	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034636_Ogataea_nitratoaversa
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YCL074W	augustus_masked-flattened_line_295-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_295-processed-gene-0.0&CDS=1-2931, augustus_masked-flattened_line_303-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_303-processed-gene-0.1&CDS=1-3468, augustus_masked-flattened_line_331-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_331-processed-gene-0.1&CDS=1-1155, augustus_masked-flattened_line_342-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_342-processed-gene-0.1&CDS=1-921, augustus_masked-flattened_line_344-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_344-processed-gene-0.2&CDS=1-1032, augustus_masked-flattened_line_366-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_366-processed-gene-0.1&CDS=1-801, augustus_masked-flattened_line_428-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_428-processed-gene-0.1&CDS=1-759, augustus_masked-flattened_line_472-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_472-processed-gene-0.1&CDS=1-858, augustus_masked-flattened_line_514-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_514-processed-gene-0.2&CDS=1-696, augustus_masked-flattened_line_516-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_516-processed-gene-0.1&CDS=1-651, augustus_masked-flattened_line_738-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_738-processed-gene-0.2&CDS=1-351, augustus_masked-flattened_line_784-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_784-processed-gene-0.0&CDS=1-396, augustus_masked-flattened_line_786-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_786-processed-gene-0.1&CDS=1-396, augustus_masked-flattened_line_788-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_788-processed-gene-0.1&CDS=1-396, augustus_masked-flattened_line_790-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_790-processed-gene-0.0&CDS=1-384, genemark-flattened_line_1112-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1112-processed-gene-0.0&CDS=1-201, genemark-flattened_line_798-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_798-processed-gene-0.0&CDS=1-348, genemark-flattened_line_866-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_866-processed-gene-0.0&CDS=1-348, snap_masked-flattened_line_1104-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1104-processed-gene-0.1&CDS=1-273, snap_masked-flattened_line_1108-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1108-processed-gene-0.0&CDS=1-231
2	OG0000002	YLL057C	augustus_masked-flattened_line_134-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.59&CDS=1-1236, augustus_masked-flattened_line_170-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.23&CDS=1-1221, augustus_masked-flattened_line_178-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_178-processed-gene-0.46&CDS=1-1248, augustus_masked-flattened_line_62-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.171&CDS=1-1218, augustus_masked-flattened_line_62-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.184&CDS=1-1212, augustus_masked-flattened_line_74-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.159&CDS=1-1221, genemark-flattened_line_6-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.4&CDS=1-1188, maker-flattened_line_12-snap-gene-0.78-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.78&CDS=1-3516, maker-flattened_line_174-snap-gene-0.17-mRNA-1_1&gene=maker-flattened_line_174-snap-gene-0.17&CDS=1-3555, maker-flattened_line_84-snap-gene-0.139-mRNA-1_1&gene=maker-flattened_line_84-snap-gene-0.139&CDS=1-2502, snap_masked-flattened_line_62-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.15&CDS=1-1224, snap_masked-flattened_line_62-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.16&CDS=1-1251
3	OG0000003	YAL051W, YLL054C, YLR256W, YOR363C	augustus_masked-flattened_line_10-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.67&CDS=1-2766, augustus_masked-flattened_line_126-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.31&CDS=1-3135, augustus_masked-flattened_line_14-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.175&CDS=1-2913, augustus_masked-flattened_line_26-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.42&CDS=1-2790, maker-flattened_line_138-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_138-snap-gene-0.40&CDS=1-2910, maker-flattened_line_16-augustus-gene-0.71-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-0.71&CDS=1-4128, maker-flattened_line_16-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-0.66&CDS=1-4185, maker-flattened_line_56-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_56-augustus-gene-0.6&CDS=1-2877
4	OG0000004	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL219W, YLR081W, YOL156W	augustus_masked-flattened_line_30-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.76&CDS=1-1623, augustus_masked-flattened_line_40-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.145&CDS=1-1635
5	OG0000005	YKL071W	augustus_masked-flattened_line_208-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_208-processed-gene-0.14&CDS=1-747, augustus_masked-flattened_line_58-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.38&CDS=1-747, augustus_masked-flattened_line_6-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.42&CDS=1-747, augustus_masked-flattened_line_86-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.129&CDS=1-747, augustus_masked-flattened_line_94-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.86&CDS=1-747, genemark-flattened_line_100-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.25&CDS=1-747, genemark-flattened_line_230-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_230-processed-gene-0.2&CDS=1-747, maker-flattened_line_230-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_230-augustus-gene-0.7&CDS=1-690, maker-flattened_line_30-snap-gene-1.208-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-1.208&CDS=1-2109, maker-flattened_line_68-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.8&CDS=1-1365
6	OG0000006	YDR011W, YOR153W, YPL058C	genemark-flattened_line_0-processed-gene-3.78-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.78&CDS=1-4623, maker-flattened_line_122-augustus-gene-0.28-mRNA-1_1&gene=maker-flattened_line_122-augustus-gene-0.28&CDS=1-4527, maker-flattened_line_128-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_128-augustus-gene-0.0&CDS=1-4470, maker-flattened_line_20-augustus-gene-1.149-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.149&CDS=1-4479, maker-flattened_line_62-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_62-augustus-gene-0.3&CDS=1-4548
7	OG0000007	YDR242W	augustus_masked-flattened_line_146-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.46&CDS=1-1689, augustus_masked-flattened_line_16-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.88&CDS=1-1623, augustus_masked-flattened_line_248-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.9&CDS=1-1722, augustus_masked-flattened_line_250-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_250-processed-gene-0.5&CDS=1-1686, augustus_masked-flattened_line_36-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.78&CDS=1-1722, augustus_masked-flattened_line_6-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.44&CDS=1-1611, augustus_masked-flattened_line_86-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.102&CDS=1-1650
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_170-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.18&CDS=1-1032, augustus_masked-flattened_line_230-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.4&CDS=1-1032, augustus_masked-flattened_line_6-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.3&CDS=1-1026, augustus_masked-flattened_line_62-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.174&CDS=1-1035
9	OG0000009	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_22-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.127&CDS=1-2304, augustus_masked-flattened_line_62-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.161&CDS=1-3243, augustus_masked-flattened_line_76-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.27&CDS=1-2985, augustus_masked-flattened_line_8-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.143&CDS=1-2826
