	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034932_Kuraishia_ogatae
0	OG0000000	YBR240C, YDR207C	augustus_masked-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-1.26&CDS=1-1668, augustus_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.106&CDS=1-1662, augustus_masked-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.85&CDS=1-2037, augustus_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-4.70&CDS=1-1962, genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-0.45&CDS=1-1731, genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-1.12&CDS=1-2214, genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-1.98-mRNA-1_1&gene=genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-1.98&CDS=1-2532, genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.90-mRNA-1_1&gene=genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.90&CDS=1-669, genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.91-mRNA-1_1&gene=genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.91&CDS=1-2382, genemark-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-1.202-mRNA-1_1&gene=genemark-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-1.202&CDS=1-1407, genemark-NODE_29_length_218192_cov_12.6781_ID_57-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_29_length_218192_cov_12.6781_ID_57-processed-gene-0.31&CDS=1-1047, genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.81&CDS=1-2652, genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-3.20&CDS=1-1125, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.48-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.48&CDS=1-2937, genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-0.2&CDS=1-2019, maker-NODE_1_length_1514969_cov_12.2952_ID_1-augustus-gene-0.70-mRNA-1_1&gene=maker-NODE_1_length_1514969_cov_12.2952_ID_1-augustus-gene-0.70&CDS=1-1653, snap_masked-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.9&CDS=1-1959, snap_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-2.27&CDS=1-1893
1	OG0000001	YLR256W	augustus_masked-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-1.100&CDS=1-2502, augustus_masked-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_43_length_40046_cov_20.5629_ID_85-processed-gene-0.26&CDS=1-1971, genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.62-mRNA-1_1&gene=genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.62&CDS=1-4632, genemark-NODE_23_length_264436_cov_11.7261_ID_45-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_23_length_264436_cov_11.7261_ID_45-processed-gene-0.89&CDS=1-2928, genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-3.28-mRNA-1_1&gene=genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-3.28&CDS=1-3678, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.47&CDS=1-3984, genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.77-mRNA-1_1&gene=genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.77&CDS=1-2439, genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.78&CDS=1-2535, maker-NODE_10_length_452332_cov_11.3725_ID_19-augustus-gene-3.121-mRNA-1_1&gene=maker-NODE_10_length_452332_cov_11.3725_ID_19-augustus-gene-3.121&CDS=1-2904, maker-NODE_8_length_530029_cov_13.7433_ID_15-augustus-gene-3.41-mRNA-1_1&gene=maker-NODE_8_length_530029_cov_13.7433_ID_15-augustus-gene-3.41&CDS=1-2790, snap_masked-NODE_23_length_264436_cov_11.7261_ID_45-processed-gene-1.172-mRNA-1_1&gene=snap_masked-NODE_23_length_264436_cov_11.7261_ID_45-processed-gene-1.172&CDS=1-1815
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.83-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.83&CDS=1-1749, genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-1.23&CDS=1-1749
3	OG0000003	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-0.65&CDS=1-3264, genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-6.17-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-6.17&CDS=1-3669, genemark-NODE_37_length_88288_cov_10.9534_ID_73-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_37_length_88288_cov_10.9534_ID_73-processed-gene-0.78&CDS=1-4029, maker-NODE_1_length_1514969_cov_12.2952_ID_1-snap-gene-7.122-mRNA-1_1&gene=maker-NODE_1_length_1514969_cov_12.2952_ID_1-snap-gene-7.122&CDS=1-2433
4	OG0000004	YAL005C, YJL034W, YLL024C, YLR064W	genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.137-mRNA-1_1&gene=genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.137&CDS=1-852, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-0.14&CDS=1-2022, maker-NODE_19_length_328470_cov_11.3744_ID_37-augustus-gene-2.87-mRNA-1_1&gene=maker-NODE_19_length_328470_cov_11.3744_ID_37-augustus-gene-2.87&CDS=1-2610, maker-NODE_7_length_544973_cov_11.384_ID_13-snap-gene-1.82-mRNA-1_1&gene=maker-NODE_7_length_544973_cov_11.384_ID_13-snap-gene-1.82&CDS=1-2775
5	OG0000005	YDR242W	genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.102-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.102&CDS=1-1644, genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.98-mRNA-1_1&gene=genemark-NODE_11_length_434127_cov_13.0365_ID_21-processed-gene-3.98&CDS=1-1689, genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.122&CDS=1-1707, genemark-NODE_25_length_257974_cov_11.421_ID_49-processed-gene-1.153-mRNA-1_1&gene=genemark-NODE_25_length_257974_cov_11.421_ID_49-processed-gene-1.153&CDS=1-1644, genemark-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-0.34&CDS=1-1662, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.51&CDS=1-1671, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-1.59&CDS=1-1683
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_13_length_399403_cov_11.7827_ID_25-processed-gene-2.161-mRNA-1_1&gene=genemark-NODE_13_length_399403_cov_11.7827_ID_25-processed-gene-2.161&CDS=1-2817, genemark-NODE_17_length_343940_cov_11.2238_ID_33-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_17_length_343940_cov_11.2238_ID_33-processed-gene-0.57&CDS=1-3324, genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-14.72-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-14.72&CDS=1-3498, genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-3.69-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-3.69&CDS=1-2298
7	OG0000007	YMR169C, YMR170C, YOR374W	genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.87-mRNA-1_1&gene=genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.87&CDS=1-1485, genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.57-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.57&CDS=1-1503, genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-4.4-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-4.4&CDS=1-1491, genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.123-mRNA-1_1&gene=genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.123&CDS=1-1503, genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-4.47-mRNA-1_1&gene=genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-4.47&CDS=1-1560
8	OG0000008	YAR019C, YDR523C, YHR102W	genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.100&CDS=1-1527, genemark-NODE_30_length_200628_cov_11.5194_ID_59-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_30_length_200628_cov_11.5194_ID_59-processed-gene-0.86&CDS=1-2973, genemark-NODE_6_length_592426_cov_11.8006_ID_11-processed-gene-1.85-mRNA-1_1&gene=genemark-NODE_6_length_592426_cov_11.8006_ID_11-processed-gene-1.85&CDS=1-3708, maker-NODE_4_length_633363_cov_13.7207_ID_7-augustus-gene-3.36-mRNA-1_1&gene=maker-NODE_4_length_633363_cov_13.7207_ID_7-augustus-gene-3.36&CDS=1-4725
9	OG0000009	YBR015C	augustus_masked-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-3.49&CDS=1-1644, genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-0.82&CDS=1-1806, genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.86&CDS=1-1971, maker-NODE_28_length_230499_cov_10.9408_ID_55-snap-gene-0.100-mRNA-1_1&gene=maker-NODE_28_length_230499_cov_10.9408_ID_55-snap-gene-0.100&CDS=1-3741, snap_masked-NODE_28_length_230499_cov_10.9408_ID_55-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_28_length_230499_cov_10.9408_ID_55-processed-gene-0.91&CDS=1-2448, snap_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.24&CDS=1-2109
