	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035022_Candida_emberorum
0	OG0000000		augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-1.16&CDS=1-1425, augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.111&CDS=1-1413, augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.112&CDS=1-1461, augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.113&CDS=1-1344, augustus_masked-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.166&CDS=1-1419, genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.32&CDS=1-1323, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.151-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.151&CDS=1-1422, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-5.41-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-5.41&CDS=1-1395, maker-NODE_1_length_1097105_cov_18.1395_ID_1-snap-gene-9.166-mRNA-1_1&gene=maker-NODE_1_length_1097105_cov_18.1395_ID_1-snap-gene-9.166&CDS=1-372, maker-NODE_1_length_1097105_cov_18.1395_ID_1-snap-gene-9.167-mRNA-1_1&gene=maker-NODE_1_length_1097105_cov_18.1395_ID_1-snap-gene-9.167&CDS=1-1515, snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-7.83&CDS=1-1389, snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-7.84&CDS=1-1383, snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.34-mRNA-1_1&gene=snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.34&CDS=1-1413
1	OG0000001	YCL025C, YDR508C, YKR039W	genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-3.193-mRNA-1_1&gene=genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-3.193&CDS=1-1728, genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-1.142&CDS=1-1695, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-1.76&CDS=1-1707, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.67-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.67&CDS=1-1827, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-1.15&CDS=1-1752, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-1.40&CDS=1-1755, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-6.114-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-6.114&CDS=1-1704, genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-5.95-mRNA-1_1&gene=genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-5.95&CDS=1-1668, maker-NODE_23_length_112151_cov_16.352_ID_45-augustus-gene-0.90-mRNA-1_1&gene=maker-NODE_23_length_112151_cov_16.352_ID_45-augustus-gene-0.90&CDS=1-2931
2	OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YJL219W, YLR081W, YMR011W	genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.106&CDS=1-1692, genemark-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.108&CDS=1-1674
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_49_length_2209_cov_22.7978_ID_97-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_49_length_2209_cov_22.7978_ID_97-processed-gene-0.1&CDS=1-990, genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-0.100&CDS=1-1713, maker-NODE_6_length_870134_cov_17.5615_ID_11-snap-gene-1.3-mRNA-1_1&gene=maker-NODE_6_length_870134_cov_17.5615_ID_11-snap-gene-1.3&CDS=1-3882
4	OG0000004	YJR061W, YKL201C	augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-3.15&CDS=1-2478, genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.109-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.109&CDS=1-2730, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-0.110-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-0.110&CDS=1-2205, genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-5.24-mRNA-1_1&gene=genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-5.24&CDS=1-2310, genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-6.79-mRNA-1_1&gene=genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-6.79&CDS=1-2442, snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.23-mRNA-1_1&gene=snap_masked-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.23&CDS=1-2802, snap_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-6.100&CDS=1-1986, snap_masked-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-0.40&CDS=1-1776
5	OG0000005	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-2.11&CDS=1-1770, genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.60&CDS=1-1764, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.50-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.50&CDS=1-1776, genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-4.149-mRNA-1_1&gene=genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-4.149&CDS=1-1761
6	OG0000006	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_25_length_78057_cov_16.1977_ID_49-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_25_length_78057_cov_16.1977_ID_49-processed-gene-0.46&CDS=1-1023, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-1.55&CDS=1-1014, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-4.99-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-4.99&CDS=1-1050, genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-4.112-mRNA-1_1&gene=genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-4.112&CDS=1-1020
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-2.12&CDS=1-3324, genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-3.260-mRNA-1_1&gene=genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-3.260&CDS=1-2727, genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-2.41-mRNA-1_1&gene=genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-2.41&CDS=1-3375, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-0.62&CDS=1-2226
8	OG0000008	YLR129W, YMR008C, YNL012W, YOL011W	genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-2.2-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-2.2&CDS=1-1998, genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.23&CDS=1-1923, maker-NODE_7_length_860677_cov_18.1149_ID_13-augustus-gene-0.96-mRNA-1_1&gene=maker-NODE_7_length_860677_cov_18.1149_ID_13-augustus-gene-0.96&CDS=1-4935, snap_masked-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-2.104&CDS=1-2652
9	OG0000009	YBR240C, YDL170W	genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.72-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-8.72&CDS=1-696, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.124-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-9.124&CDS=1-1779, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-9.87-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-9.87&CDS=1-1515, maker-NODE_16_length_412327_cov_20.647_ID_31-snap-gene-1.51-mRNA-1_1&gene=maker-NODE_16_length_412327_cov_20.647_ID_31-snap-gene-1.51&CDS=1-2259, maker-NODE_2_length_1087163_cov_17.8293_ID_3-snap-gene-4.80-mRNA-1_1&gene=maker-NODE_2_length_1087163_cov_17.8293_ID_3-snap-gene-4.80&CDS=1-2052
