	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034673_Blastobotrys_nivea
0	OG0000000	YDR402C	augustus_masked-NODE_117_length_8578_cov_3.50651_ID_233-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_117_length_8578_cov_3.50651_ID_233-processed-gene-0.11&CDS=1-1533, augustus_masked-NODE_1457_length_3304_cov_3.80825_ID_2913-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_1457_length_3304_cov_3.80825_ID_2913-processed-gene-0.4&CDS=1-432, augustus_masked-NODE_2297_length_2399_cov_2.61945_ID_4593-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_2297_length_2399_cov_2.61945_ID_4593-processed-gene-0.3&CDS=1-1521, augustus_masked-NODE_2874_length_1979_cov_2.94439_ID_5747-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2874_length_1979_cov_2.94439_ID_5747-processed-gene-0.1&CDS=1-1521, augustus_masked-NODE_3131_length_1804_cov_2.46141_ID_6261-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3131_length_1804_cov_2.46141_ID_6261-processed-gene-0.2&CDS=1-1446, augustus_masked-NODE_328_length_6365_cov_3.61569_ID_655-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_328_length_6365_cov_3.61569_ID_655-processed-gene-0.2&CDS=1-1566, augustus_masked-NODE_916_length_4300_cov_3.17951_ID_1831-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_916_length_4300_cov_3.17951_ID_1831-processed-gene-0.1&CDS=1-1566, genemark-NODE_1856_length_2832_cov_2.88549_ID_3711-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_1856_length_2832_cov_2.88549_ID_3711-processed-gene-0.7&CDS=1-2133, genemark-NODE_3869_length_1410_cov_3.05166_ID_7737-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_3869_length_1410_cov_3.05166_ID_7737-processed-gene-0.2&CDS=1-1326, snap_masked-NODE_5106_length_881_cov_2.08838_ID_10211-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_5106_length_881_cov_2.08838_ID_10211-processed-gene-0.1&CDS=1-318
1	OG0000001	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_1768_length_2922_cov_2.59749_ID_3535-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1768_length_2922_cov_2.59749_ID_3535-processed-gene-0.0&CDS=1-1428, augustus_masked-NODE_1804_length_2886_cov_2.99329_ID_3607-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1804_length_2886_cov_2.99329_ID_3607-processed-gene-0.1&CDS=1-1098, augustus_masked-NODE_29_length_11729_cov_3.11727_ID_57-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_29_length_11729_cov_3.11727_ID_57-processed-gene-0.0&CDS=1-1356, maker-NODE_419_length_5848_cov_3.52356_ID_837-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_419_length_5848_cov_3.52356_ID_837-snap-gene-0.0&CDS=1-2910, snap_masked-NODE_525_length_5299_cov_3.99504_ID_1049-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_525_length_5299_cov_3.99504_ID_1049-processed-gene-0.5&CDS=1-1260
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_100_length_8907_cov_3.59817_ID_199-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_100_length_8907_cov_3.59817_ID_199-processed-gene-0.9&CDS=1-1506, augustus_masked-NODE_4522_length_1120_cov_2.28638_ID_9043-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4522_length_1120_cov_2.28638_ID_9043-processed-gene-0.1&CDS=1-807, augustus_masked-NODE_889_length_4369_cov_2.94576_ID_1777-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_889_length_4369_cov_2.94576_ID_1777-processed-gene-0.3&CDS=1-1740
3	OG0000003	YBR199W, YOR099W	augustus_masked-NODE_1076_length_3972_cov_3.08476_ID_2151-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_1076_length_3972_cov_3.08476_ID_2151-processed-gene-0.7&CDS=1-840, augustus_masked-NODE_423_length_5827_cov_3.15177_ID_845-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_423_length_5827_cov_3.15177_ID_845-processed-gene-0.0&CDS=1-1293, augustus_masked-NODE_590_length_5073_cov_3.83619_ID_1179-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_590_length_5073_cov_3.83619_ID_1179-processed-gene-0.0&CDS=1-1155, augustus_masked-NODE_826_length_4456_cov_3.26267_ID_1651-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_826_length_4456_cov_3.26267_ID_1651-processed-gene-0.8&CDS=1-903, augustus_masked-NODE_888_length_4370_cov_3.99838_ID_1775-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_888_length_4370_cov_3.99838_ID_1775-processed-gene-0.5&CDS=1-1161, snap_masked-NODE_582_length_5095_cov_3.08393_ID_1163-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_582_length_5095_cov_3.08393_ID_1163-processed-gene-0.12&CDS=1-1134
4	OG0000004	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_1025_length_4075_cov_3.42711_ID_2049-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1025_length_4075_cov_3.42711_ID_2049-processed-gene-0.0&CDS=1-1635, augustus_masked-NODE_1300_length_3532_cov_2.90308_ID_2599-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_1300_length_3532_cov_2.90308_ID_2599-processed-gene-0.3&CDS=1-1656, augustus_masked-NODE_3040_length_1865_cov_2.94696_ID_6079-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3040_length_1865_cov_2.94696_ID_6079-processed-gene-0.1&CDS=1-1587, snap_masked-NODE_2055_length_2639_cov_3.65557_ID_4109-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_2055_length_2639_cov_3.65557_ID_4109-processed-gene-0.3&CDS=1-1473
5	OG0000005	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	augustus_masked-NODE_1874_length_2811_cov_2.58237_ID_3747-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1874_length_2811_cov_2.58237_ID_3747-processed-gene-0.1&CDS=1-1956, augustus_masked-NODE_237_length_7082_cov_2.63455_ID_473-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_237_length_7082_cov_2.63455_ID_473-processed-gene-0.4&CDS=1-1641, augustus_masked-NODE_912_length_4309_cov_3.44993_ID_1823-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_912_length_4309_cov_3.44993_ID_1823-processed-gene-0.0&CDS=1-1467
6	OG0000006	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_1005_length_4106_cov_3.21624_ID_2009-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_1005_length_4106_cov_3.21624_ID_2009-processed-gene-0.8&CDS=1-993, augustus_masked-NODE_4_length_20182_cov_3.71635_ID_7-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_4_length_20182_cov_3.71635_ID_7-processed-gene-0.15&CDS=1-993, augustus_masked-NODE_96_length_9089_cov_3.36606_ID_191-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_96_length_9089_cov_3.36606_ID_191-processed-gene-0.5&CDS=1-1185, snap_masked-NODE_5188_length_848_cov_1.73644_ID_10375-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_5188_length_848_cov_1.73644_ID_10375-processed-gene-0.2&CDS=1-711
7	OG0000007	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_108_length_8775_cov_6.13876_ID_215-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_108_length_8775_cov_6.13876_ID_215-processed-gene-0.2&CDS=1-1383, augustus_masked-NODE_2393_length_2312_cov_4.47807_ID_4785-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2393_length_2312_cov_4.47807_ID_4785-processed-gene-0.2&CDS=1-606, augustus_masked-NODE_4585_length_1082_cov_2.77799_ID_9169-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4585_length_1082_cov_2.77799_ID_9169-processed-gene-0.1&CDS=1-996, snap_masked-NODE_4054_length_1324_cov_2.15918_ID_8107-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_4054_length_1324_cov_2.15918_ID_8107-processed-gene-0.3&CDS=1-627
8	OG0000008	YLR098C, YOR337W	augustus_masked-NODE_1400_length_3397_cov_3.19928_ID_2799-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1400_length_3397_cov_3.19928_ID_2799-processed-gene-0.1&CDS=1-2517, augustus_masked-NODE_1714_length_2972_cov_2.97155_ID_3427-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1714_length_2972_cov_2.97155_ID_3427-processed-gene-0.0&CDS=1-2139, augustus_masked-NODE_1977_length_2698_cov_3.43435_ID_3953-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1977_length_2698_cov_3.43435_ID_3953-processed-gene-0.1&CDS=1-1548, augustus_masked-NODE_5660_length_663_cov_1.10033_ID_11319-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5660_length_663_cov_1.10033_ID_11319-processed-gene-0.1&CDS=1-552, genemark-NODE_1281_length_3574_cov_2.69679_ID_2561-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_1281_length_3574_cov_2.69679_ID_2561-processed-gene-0.5&CDS=1-1164, genemark-NODE_4037_length_1332_cov_2.53093_ID_8073-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_4037_length_1332_cov_2.53093_ID_8073-processed-gene-0.0&CDS=1-1299
9	OG0000009	YLR275W	augustus_masked-NODE_1634_length_3061_cov_3.32735_ID_3267-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1634_length_3061_cov_3.32735_ID_3267-processed-gene-0.2&CDS=1-1422, augustus_masked-NODE_1734_length_2958_cov_2.85394_ID_3467-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1734_length_2958_cov_2.85394_ID_3467-processed-gene-0.0&CDS=1-705, augustus_masked-NODE_1734_length_2958_cov_2.85394_ID_3467-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1734_length_2958_cov_2.85394_ID_3467-processed-gene-0.1&CDS=1-1425, augustus_masked-NODE_1985_length_2687_cov_2.75988_ID_3969-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_1985_length_2687_cov_2.75988_ID_3969-processed-gene-0.3&CDS=1-1173, augustus_masked-NODE_577_length_5103_cov_3.11906_ID_1153-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_577_length_5103_cov_3.11906_ID_1153-processed-gene-0.9&CDS=1-2607, augustus_masked-NODE_6204_length_465_cov_1.63659_ID_12407-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6204_length_465_cov_1.63659_ID_12407-processed-gene-0.1&CDS=1-462, snap_masked-NODE_2880_length_1976_cov_3.49245_ID_5759-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_2880_length_1976_cov_3.49245_ID_5759-processed-gene-0.3&CDS=1-1107
