	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035639_Wickerhamomyces_canadensis
0	OG0000000	YBR240C	genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-1.94&CDS=1-2112, genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.54&CDS=1-1656, genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.20&CDS=1-1548, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.100-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.100&CDS=1-1752, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.48-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.48&CDS=1-1884, genemark-NODE_41_length_112543_cov_27.3519_ID_4028-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_41_length_112543_cov_27.3519_ID_4028-processed-gene-0.64&CDS=1-2268, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.1&CDS=1-1638, snap_masked-NODE_17_length_306990_cov_26.8027_ID_4999-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_17_length_306990_cov_26.8027_ID_4999-processed-gene-0.29&CDS=1-1446, snap_masked-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.102&CDS=1-1665, snap_masked-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-1.150-mRNA-1_1&gene=snap_masked-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-1.150&CDS=1-1551
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_13_length_322948_cov_28.8158_ID_7294-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_13_length_322948_cov_28.8158_ID_7294-processed-gene-2.102&CDS=1-1764, genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-1.147-mRNA-1_1&gene=genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-1.147&CDS=1-1800, genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-0.29&CDS=1-1812, genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-1.19-mRNA-1_1&gene=genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-1.19&CDS=1-1731, genemark-NODE_29_length_177460_cov_26.4827_ID_2784-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_29_length_177460_cov_26.4827_ID_2784-processed-gene-0.118&CDS=1-1758, genemark-NODE_7_length_386955_cov_27.8819_ID_1857-processed-gene-2.165-mRNA-1_1&gene=genemark-NODE_7_length_386955_cov_27.8819_ID_1857-processed-gene-2.165&CDS=1-1749
2	OG0000002	YDR011W, YOR153W	augustus_masked-NODE_40_length_112547_cov_27.7886_ID_5269-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_40_length_112547_cov_27.7886_ID_5269-processed-gene-0.106&CDS=1-4449, augustus_masked-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.57&CDS=1-4506, genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.57&CDS=1-4452, genemark-NODE_30_length_171141_cov_26.3954_ID_8611-processed-gene-0.260-mRNA-1_1&gene=genemark-NODE_30_length_171141_cov_26.3954_ID_8611-processed-gene-0.260&CDS=1-4437, genemark-NODE_34_length_163099_cov_32.9594_ID_2836-processed-gene-0.219-mRNA-1_1&gene=genemark-NODE_34_length_163099_cov_32.9594_ID_2836-processed-gene-0.219&CDS=1-4644, genemark-NODE_42_length_106175_cov_27.1675_ID_4134-processed-gene-0.140-mRNA-1_1&gene=genemark-NODE_42_length_106175_cov_27.1675_ID_4134-processed-gene-0.140&CDS=1-4542, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.83-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.83&CDS=1-4380
3	OG0000003	YLR256W	augustus_masked-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-2.8&CDS=1-2055, genemark-NODE_17_length_306990_cov_26.8027_ID_4999-processed-gene-1.67-mRNA-1_1&gene=genemark-NODE_17_length_306990_cov_26.8027_ID_4999-processed-gene-1.67&CDS=1-2646, genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-0.131-mRNA-1_1&gene=genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-0.131&CDS=1-3351, genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-0.41&CDS=1-2712, genemark-NODE_42_length_106175_cov_27.1675_ID_4134-processed-gene-0.149-mRNA-1_1&gene=genemark-NODE_42_length_106175_cov_27.1675_ID_4134-processed-gene-0.149&CDS=1-2388, genemark-NODE_57_length_35141_cov_27.0672_ID_10396-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_57_length_35141_cov_27.0672_ID_10396-processed-gene-0.34&CDS=1-2637, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.58&CDS=1-2352, maker-NODE_25_length_218279_cov_26.8857_ID_3877-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_25_length_218279_cov_26.8857_ID_3877-augustus-gene-0.1&CDS=1-6666
4	OG0000004	YBR015C	augustus_masked-NODE_4_length_439725_cov_27.3288_ID_2529-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_4_length_439725_cov_27.3288_ID_2529-processed-gene-2.50&CDS=1-1776, genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.40&CDS=1-1908, genemark-NODE_13_length_322948_cov_28.8158_ID_7294-processed-gene-2.103-mRNA-1_1&gene=genemark-NODE_13_length_322948_cov_28.8158_ID_7294-processed-gene-2.103&CDS=1-1884, genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-2.4&CDS=1-1956, genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-1.30&CDS=1-1653, genemark-NODE_23_length_256485_cov_27.0463_ID_2602-processed-gene-1.155-mRNA-1_1&gene=genemark-NODE_23_length_256485_cov_27.0463_ID_2602-processed-gene-1.155&CDS=1-1638, genemark-NODE_63_length_19297_cov_25.4391_ID_6237-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_63_length_19297_cov_25.4391_ID_6237-processed-gene-0.27&CDS=1-1851
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_36_length_124891_cov_26.2673_ID_4935-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_36_length_124891_cov_26.2673_ID_4935-processed-gene-0.130&CDS=1-1710
6	OG0000006	YDR338C, YHR032W	genemark-NODE_15_length_307642_cov_26.8093_ID_2397-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_15_length_307642_cov_26.8093_ID_2397-processed-gene-0.23&CDS=1-1845, genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-1.136&CDS=1-1638, genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.94&CDS=1-1485, genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.97&CDS=1-1737, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.22&CDS=1-1458, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.106-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-1.106&CDS=1-1938
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_20_length_294571_cov_27.0711_ID_1949-processed-gene-1.332-mRNA-1_1&gene=genemark-NODE_20_length_294571_cov_27.0711_ID_1949-processed-gene-1.332&CDS=1-1050, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.62-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.62&CDS=1-1002, genemark-NODE_45_length_93153_cov_27.3459_ID_4791-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_45_length_93153_cov_27.3459_ID_4791-processed-gene-0.83&CDS=1-1050, genemark-NODE_74_length_3804_cov_100.844_ID_9257-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_74_length_3804_cov_100.844_ID_9257-processed-gene-0.5&CDS=1-555
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_43_length_100023_cov_37.6906_ID_4566-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_43_length_100023_cov_37.6906_ID_4566-processed-gene-0.63&CDS=1-2520, genemark-NODE_47_length_66922_cov_25.6309_ID_6015-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_47_length_66922_cov_25.6309_ID_6015-processed-gene-0.91&CDS=1-2784, genemark-NODE_66_length_9685_cov_24.5647_ID_10394-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_66_length_9685_cov_24.5647_ID_10394-processed-gene-0.2&CDS=1-3258, snap_masked-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-0.95&CDS=1-2175
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_63_length_19297_cov_25.4391_ID_6237-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_63_length_19297_cov_25.4391_ID_6237-processed-gene-0.15&CDS=1-1386, maker-NODE_1_length_612986_cov_28.1025_ID_2117-snap-gene-2.0-mRNA-1_1&gene=maker-NODE_1_length_612986_cov_28.1025_ID_2117-snap-gene-2.0&CDS=1-2649
