	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035643_Yarrowia_bubula
0	OG0000000	YPR194C	genemark-flattened_line_85-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_85-processed-gene-0.137&CDS=1-2625, maker-flattened_line_0-snap-gene-5.0-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.0&CDS=1-5247, snap_masked-flattened_line_0-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.22&CDS=1-2616, snap_masked-flattened_line_127-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_127-processed-gene-0.61&CDS=1-2643, snap_masked-flattened_line_133-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.26&CDS=1-2769, snap_masked-flattened_line_141-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.69&CDS=1-2628, snap_masked-flattened_line_169-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_169-processed-gene-0.60&CDS=1-2622, snap_masked-flattened_line_187-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_187-processed-gene-0.28&CDS=1-2649, snap_masked-flattened_line_21-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.0&CDS=1-2613, snap_masked-flattened_line_21-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.118&CDS=1-2604, snap_masked-flattened_line_21-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.126&CDS=1-2676, snap_masked-flattened_line_325-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_325-processed-gene-0.8&CDS=1-2757, snap_masked-flattened_line_359-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_359-processed-gene-0.3&CDS=1-2769, snap_masked-flattened_line_41-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.41&CDS=1-2637, snap_masked-flattened_line_413-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_413-processed-gene-0.5&CDS=1-2676, snap_masked-flattened_line_55-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.95&CDS=1-2637, snap_masked-flattened_line_59-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.129&CDS=1-2604, snap_masked-flattened_line_9-processed-gene-2.63-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.63&CDS=1-2616, snap_masked-flattened_line_99-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.71&CDS=1-2601
1	OG0000001	YJR107W	augustus_masked-flattened_line_0-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.28&CDS=1-1104, augustus_masked-flattened_line_11-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.20&CDS=1-1233, augustus_masked-flattened_line_173-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_173-processed-gene-0.83&CDS=1-1011, augustus_masked-flattened_line_305-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_305-processed-gene-0.32&CDS=1-978, augustus_masked-flattened_line_4-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.92&CDS=1-1188, augustus_masked-flattened_line_63-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.45&CDS=1-990, snap_masked-flattened_line_0-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.16&CDS=1-1098, snap_masked-flattened_line_0-processed-gene-6.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.63&CDS=1-1032, snap_masked-flattened_line_119-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_119-processed-gene-0.34&CDS=1-1008, snap_masked-flattened_line_173-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.38&CDS=1-972, snap_masked-flattened_line_175-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.51&CDS=1-954, snap_masked-flattened_line_191-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_191-processed-gene-0.62&CDS=1-1095, snap_masked-flattened_line_25-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.78&CDS=1-1104, snap_masked-flattened_line_47-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.172&CDS=1-1152, snap_masked-flattened_line_77-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.34&CDS=1-1098, snap_masked-flattened_line_95-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.119&CDS=1-945
2	OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	snap_masked-flattened_line_141-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.79&CDS=1-1602
3	OG0000003	YDR402C	genemark-flattened_line_99-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.22&CDS=1-1746, maker-flattened_line_45-snap-gene-0.32-mRNA-1_1&gene=maker-flattened_line_45-snap-gene-0.32&CDS=1-3129, snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.51&CDS=1-1515, snap_masked-flattened_line_115-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.16&CDS=1-1569, snap_masked-flattened_line_125-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.75&CDS=1-1575, snap_masked-flattened_line_131-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.46&CDS=1-1542, snap_masked-flattened_line_137-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.30&CDS=1-1578, snap_masked-flattened_line_147-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.33&CDS=1-1530, snap_masked-flattened_line_193-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.58&CDS=1-1539, snap_masked-flattened_line_353-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_353-processed-gene-0.16&CDS=1-1566, snap_masked-flattened_line_41-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.65&CDS=1-1584, snap_masked-flattened_line_63-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.80&CDS=1-1536, snap_masked-flattened_line_81-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.94&CDS=1-1536
4	OG0000004	YOL146W	augustus_masked-flattened_line_105-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.30&CDS=1-1299, genemark-flattened_line_0-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.36&CDS=1-1130, snap_masked-flattened_line_0-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.9&CDS=1-1164, snap_masked-flattened_line_0-processed-gene-6.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.85&CDS=1-1140, snap_masked-flattened_line_101-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_101-processed-gene-0.56&CDS=1-1128, snap_masked-flattened_line_167-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.94&CDS=1-1077, snap_masked-flattened_line_19-processed-gene-1.7-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.7&CDS=1-1110, snap_masked-flattened_line_2-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.68&CDS=1-1131, snap_masked-flattened_line_227-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_227-processed-gene-0.10&CDS=1-1269, snap_masked-flattened_line_37-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.51&CDS=1-1125, snap_masked-flattened_line_6-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.30&CDS=1-1092, snap_masked-flattened_line_6-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.69&CDS=1-1092, snap_masked-flattened_line_61-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.124&CDS=1-1092
5	OG0000005	YGR260W	augustus_masked-flattened_line_19-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.63&CDS=1-1542, snap_masked-flattened_line_107-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.100&CDS=1-1500, snap_masked-flattened_line_107-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.144&CDS=1-1527, snap_masked-flattened_line_121-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.62&CDS=1-1542, snap_masked-flattened_line_13-processed-gene-2.96-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.96&CDS=1-1512, snap_masked-flattened_line_135-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.28&CDS=1-1533, snap_masked-flattened_line_141-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.54&CDS=1-1437, snap_masked-flattened_line_151-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.26&CDS=1-1482, snap_masked-flattened_line_2-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.68&CDS=1-1551, snap_masked-flattened_line_263-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_263-processed-gene-0.33&CDS=1-1536, snap_masked-flattened_line_29-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.31&CDS=1-1527, snap_masked-flattened_line_67-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.162&CDS=1-1509
6	OG0000006	YOR388C	snap_masked-flattened_line_125-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.99&CDS=1-1104, snap_masked-flattened_line_135-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.45&CDS=1-1104, snap_masked-flattened_line_145-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.35&CDS=1-1104, snap_masked-flattened_line_155-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.10&CDS=1-1104, snap_masked-flattened_line_163-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.32&CDS=1-1104, snap_masked-flattened_line_189-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_189-processed-gene-0.38&CDS=1-1104, snap_masked-flattened_line_229-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_229-processed-gene-0.38&CDS=1-1266, snap_masked-flattened_line_245-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_245-processed-gene-0.28&CDS=1-1095, snap_masked-flattened_line_29-processed-gene-1.47-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.47&CDS=1-1104, snap_masked-flattened_line_6-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.53&CDS=1-1104, snap_masked-flattened_line_6-processed-gene-2.30-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.30&CDS=1-1104, snap_masked-flattened_line_97-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.70&CDS=1-1098
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_13-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.12&CDS=1-1050, snap_masked-flattened_line_13-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.28&CDS=1-1026, snap_masked-flattened_line_211-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_211-processed-gene-0.6&CDS=1-1017, snap_masked-flattened_line_55-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.113&CDS=1-1026, snap_masked-flattened_line_59-processed-gene-0.145-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.145&CDS=1-996, snap_masked-flattened_line_61-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.80&CDS=1-1005, snap_masked-flattened_line_79-processed-gene-0.167-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.167&CDS=1-1017
8	OG0000008	YMR234W	augustus_masked-flattened_line_133-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_133-processed-gene-0.54&CDS=1-834, augustus_masked-flattened_line_223-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_223-processed-gene-0.20&CDS=1-1626, augustus_masked-flattened_line_297-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_297-processed-gene-0.28&CDS=1-729, augustus_masked-flattened_line_71-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.118&CDS=1-765, genemark-flattened_line_255-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_255-processed-gene-0.5&CDS=1-347, snap_masked-flattened_line_2-processed-gene-3.41-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.41&CDS=1-795, snap_masked-flattened_line_21-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.162&CDS=1-786, snap_masked-flattened_line_223-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_223-processed-gene-0.38&CDS=1-717, snap_masked-flattened_line_83-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.16&CDS=1-669, snap_masked-flattened_line_83-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.47&CDS=1-771
9	OG0000009		augustus_masked-flattened_line_111-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.68&CDS=1-1908, augustus_masked-flattened_line_17-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.61&CDS=1-1971, augustus_masked-flattened_line_7-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.167&CDS=1-1854, genemark-flattened_line_187-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_187-processed-gene-0.53&CDS=1-1722, snap_masked-flattened_line_0-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.41&CDS=1-1878, snap_masked-flattened_line_149-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_149-processed-gene-0.72&CDS=1-1875, snap_masked-flattened_line_175-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.55&CDS=1-1878, snap_masked-flattened_line_2-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.53&CDS=1-1836, snap_masked-flattened_line_223-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_223-processed-gene-0.49&CDS=1-1899, snap_masked-flattened_line_29-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.65&CDS=1-1869, snap_masked-flattened_line_89-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.17&CDS=1-1905
