	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035652_Torulaspora_maleeae
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL075C, YEL077C, YER189W, YER190W, YFL064C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR204W	snap_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.24&CDS=1-612, snap_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.25&CDS=1-381
1	OG0000001	YAL005C, YBL076C, YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W	augustus_masked-NODE_11_length_317607_cov_55.1254_ID_1952-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_11_length_317607_cov_55.1254_ID_1952-processed-gene-0.66&CDS=1-2358, genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-3.106-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-3.106&CDS=1-1947, genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-3.40&CDS=1-2043, genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-0.20&CDS=1-1839, maker-NODE_11_length_317607_cov_55.1254_ID_1952-augustus-gene-0.137-mRNA-1_1&gene=maker-NODE_11_length_317607_cov_55.1254_ID_1952-augustus-gene-0.137&CDS=1-6231, maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-0.48-mRNA-1_1&gene=maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-0.48&CDS=1-2832
2	OG0000002	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
3	OG0000003	YDL138W, YDL194W, YFL011W, YLR081W, YMR011W, YOL138C, YOL154W	augustus_masked-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.260-mRNA-1_1&gene=augustus_masked-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.260&CDS=1-2265, genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-0.130&CDS=1-5286, genemark-NODE_34_length_6057_cov_296.366_ID_4928-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_34_length_6057_cov_296.366_ID_4928-processed-gene-0.4&CDS=1-1737, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.23&CDS=1-1728, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.20&CDS=1-1701, maker-NODE_11_length_317607_cov_55.1254_ID_1952-augustus-gene-1.110-mRNA-1_1&gene=maker-NODE_11_length_317607_cov_55.1254_ID_1952-augustus-gene-1.110&CDS=1-3237, maker-NODE_2_length_1019301_cov_58.9423_ID_1327-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_2_length_1019301_cov_58.9423_ID_1327-snap-gene-0.6&CDS=1-6804
4	OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	augustus_masked-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.20&CDS=1-1485
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	genemark-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.43&CDS=1-1773, genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.41-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.41&CDS=1-1773, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.38-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.38&CDS=1-1812
6	OG0000006	YDR011W, YIL013C, YOR011W, YOR153W, YPL058C	augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.163&CDS=1-4527, genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.153-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.153&CDS=1-4521, genemark-NODE_22_length_57233_cov_57.0025_ID_2446-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_22_length_57233_cov_57.0025_ID_2446-processed-gene-0.7&CDS=1-4059, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.28-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.28&CDS=1-4521
7	OG0000007	YER073W, YMR169C, YMR170C, YOR374W, YPL061W	genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.98&CDS=1-1554, genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-1.131&CDS=1-1488, maker-NODE_10_length_348408_cov_56.7795_ID_2216-snap-gene-1.149-mRNA-1_1&gene=maker-NODE_10_length_348408_cov_56.7795_ID_2216-snap-gene-1.149&CDS=1-1920, snap_masked-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-0.94&CDS=1-1512
8	OG0000008	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YGL051W, YGL053W	
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.102&CDS=1-1404, genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.200-mRNA-1_1&gene=genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.200&CDS=1-1389, genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.107&CDS=1-1392
