	OrthologID	Saccharomyces_cerevisiae	Saprochaete_clavata
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|736520272|emb|CBXB010000124.1|-processed-gene-0.46&CDS=1-1506, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.55&CDS=1-1686
1	OG0000001	YNR055C	-augustus-gene-0.138-mRNA-1_1&gene=maker-gi|736520290|emb|CBXB010000106.1|-augustus-gene-0.138&CDS=1-1632, -augustus-gene-0.16-mRNA-1_1&gene=maker-gi|736520232|emb|CBXB010000153.1|-augustus-gene-0.16&CDS=1-1332, -augustus-gene-0.5-mRNA-1_1&gene=maker-gi|736520224|emb|CBXB010000159.1|-augustus-gene-0.5&CDS=1-1332, -processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|736520432|emb|CBXB010000007.1|-processed-gene-0.0&CDS=1-117, -processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|736520297|emb|CBXB010000099.1|-processed-gene-0.54&CDS=1-1620, -processed-gene-0.9-mRNA-1_1&gene=augustus_masked-gi|736520303|emb|CBXB010000093.1|-processed-gene-0.9&CDS=1-360, -snap-gene-0.73-mRNA-1_1&gene=maker-gi|736520432|emb|CBXB010000007.1|-snap-gene-0.73&CDS=1-1632, -snap-gene-2.73-mRNA-1_1&gene=maker-gi|736520429|emb|CBXB010000009.1|-snap-gene-2.73&CDS=1-1620
2	OG0000002	YCR105W, YMR318C	-processed-gene-0.126-mRNA-1_1&gene=snap_masked-gi|736520335|emb|CBXB010000062.1|-processed-gene-0.126&CDS=1-1083, -processed-gene-0.80-mRNA-1_1&gene=snap_masked-gi|736520411|emb|CBXB010000018.1|-processed-gene-0.80&CDS=1-1116, -processed-gene-1.148-mRNA-1_1&gene=augustus_masked-gi|736520322|emb|CBXB010000074.1|-processed-gene-1.148&CDS=1-1125, -processed-gene-1.159-mRNA-1_1&gene=snap_masked-gi|736520387|emb|CBXB010000033.1|-processed-gene-1.159&CDS=1-1119, -processed-gene-1.45-mRNA-1_1&gene=snap_masked-gi|736520405|emb|CBXB010000021.1|-processed-gene-1.45&CDS=1-1098, -snap-gene-0.6-mRNA-1_1&gene=maker-gi|736520397|emb|CBXB010000026.1|-snap-gene-0.6&CDS=1-2121
3	OG0000003	YDR011W, YDR406W, YOR153W	-augustus-gene-0.39-mRNA-1_1&gene=maker-gi|736520316|emb|CBXB010000080.1|-augustus-gene-0.39&CDS=1-4695, -processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|736520147|emb|CBXB010000227.1|-processed-gene-0.1&CDS=1-3300, -processed-gene-0.94-mRNA-1_1&gene=snap_masked-gi|736520321|emb|CBXB010000075.1|-processed-gene-0.94&CDS=1-4458, -snap-gene-0.1-mRNA-1_1&gene=maker-gi|736520171|emb|CBXB010000207.1|-snap-gene-0.1&CDS=1-2649, -snap-gene-0.71-mRNA-1_1&gene=maker-gi|736520237|emb|CBXB010000150.1|-snap-gene-0.71&CDS=1-4755
4	OG0000004	YPR093C	-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|736520239|emb|CBXB010000149.1|-processed-gene-0.11&CDS=1-1902, -processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|736520231|emb|CBXB010000154.1|-processed-gene-0.17&CDS=1-1455, -processed-gene-0.43-mRNA-1_1&gene=augustus_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-0.43&CDS=1-1845, -processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|736520215|emb|CBXB010000166.1|-processed-gene-0.53&CDS=1-879, -processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|736520320|emb|CBXB010000076.1|-processed-gene-1.66&CDS=1-2712, -snap-gene-0.38-mRNA-1_1&gene=maker-gi|736520435|emb|CBXB010000005.1|-snap-gene-0.38&CDS=1-1827
5	OG0000005		-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-gi|736520332|emb|CBXB010000064.1|-processed-gene-0.102&CDS=1-2157, -processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|736520313|emb|CBXB010000083.1|-processed-gene-0.11&CDS=1-2178, -processed-gene-1.114-mRNA-1_1&gene=augustus_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-1.114&CDS=1-2175, -processed-gene-1.115-mRNA-1_1&gene=augustus_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-1.115&CDS=1-2262, -processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.23&CDS=1-2208, -snap-gene-0.117-mRNA-1_1&gene=maker-gi|736520407|emb|CBXB010000020.1|-snap-gene-0.117&CDS=1-2292, -snap-gene-0.4-mRNA-1_1&gene=maker-gi|736520219|emb|CBXB010000163.1|-snap-gene-0.4&CDS=1-2364
6	OG0000006	YAL067C	-augustus-gene-0.42-mRNA-1_1&gene=maker-gi|736520286|emb|CBXB010000110.1|-augustus-gene-0.42&CDS=1-1749, -processed-gene-0.33-mRNA-1_1&gene=snap_masked-gi|736520294|emb|CBXB010000102.1|-processed-gene-0.33&CDS=1-1818, -processed-gene-5.10-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-5.10&CDS=1-1794, -snap-gene-0.14-mRNA-1_1&gene=maker-gi|736520225|emb|CBXB010000158.1|-snap-gene-0.14&CDS=1-1797, -snap-gene-0.42-mRNA-1_1&gene=maker-gi|736520324|emb|CBXB010000072.1|-snap-gene-0.42&CDS=1-3618
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-snap-gene-0.52-mRNA-1_1&gene=maker-gi|736520323|emb|CBXB010000073.1|-snap-gene-0.52&CDS=1-1446
8	OG0000008	YBL060W, YEL022W, YJR031C	-augustus-gene-3.126-mRNA-1_1&gene=maker-gi|736520379|emb|CBXB010000038.1|-augustus-gene-3.126&CDS=1-4560, -processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.8&CDS=1-7560, -snap-gene-0.0-mRNA-1_1&gene=maker-gi|736520261|emb|CBXB010000135.1|-snap-gene-0.0&CDS=1-4962
9	OG0000009	YBR297W, YFL052W, YGR288W, YPR196W	-processed-gene-0.38-mRNA-1_1&gene=snap_masked-gi|736520297|emb|CBXB010000099.1|-processed-gene-0.38&CDS=1-1815, -snap-gene-0.233-mRNA-1_1&gene=maker-gi|736520373|emb|CBXB010000042.1|-snap-gene-0.233&CDS=1-2784
