	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034632_Candida_athensensis
0	OG0000000	YJR061W, YJR144W, YKL201C, YLR163C, YLR378C	augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.114&CDS=1-2460, augustus_masked-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.35&CDS=1-3825, augustus_masked-NODE_16_length_17662_cov_15.7944_ID_31-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_16_length_17662_cov_15.7944_ID_31-processed-gene-0.22&CDS=1-2943, augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.22&CDS=1-2373, genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.5&CDS=1-2286, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.147-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.147&CDS=1-1794, genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.64&CDS=1-2352, genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-4.95-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-4.95&CDS=1-894, maker-NODE_4_length_843707_cov_17.0791_ID_7-augustus-gene-6.7-mRNA-1_1&gene=maker-NODE_4_length_843707_cov_17.0791_ID_7-augustus-gene-6.7&CDS=1-3813, snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-0.50&CDS=1-1824
1	OG0000001	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.27&CDS=1-840, genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.39&CDS=1-984, genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.295-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.295&CDS=1-978, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.22-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.22&CDS=1-1002, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.121&CDS=1-981, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-6.97-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-6.97&CDS=1-1011, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.40&CDS=1-984, genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.125&CDS=1-984, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.24&CDS=1-984, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.137-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.137&CDS=1-1008
2	OG0000002	YDR402C, YER156C, YLR284C, YOR180C	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.10&CDS=1-3141, augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.12&CDS=1-2454, genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.94&CDS=1-1557, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.60-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.60&CDS=1-1542, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.125&CDS=1-2352, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.91&CDS=1-1491
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.80&CDS=1-1701, snap_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.167&CDS=1-1701
4	OG0000004	YCL069W, YDL035C, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.169-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.169&CDS=1-3402, genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-1.86&CDS=1-855, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.140-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.140&CDS=1-1764
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-8.31&CDS=1-3729, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.8-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.8&CDS=1-3225, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-2.158-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-2.158&CDS=1-3282, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.46&CDS=1-2274
6	OG0000006	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-0.69&CDS=1-3834, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.121-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.121&CDS=1-1755, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.87-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.87&CDS=1-4170
7	OG0000007	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.191-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.191&CDS=1-1386
9	OG0000009	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	
