	OrthologID	Arxula_adeninivorans	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-Arad1A-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-5.93&CDS=1-1593, augustus_masked-Arad1A-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.63&CDS=1-1593, augustus_masked-Arad1C-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-0.4&CDS=1-1638, augustus_masked-Arad1C-processed-gene-37.225-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-37.225&CDS=1-1602, augustus_masked-Arad1D-processed-gene-14.84-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.84&CDS=1-1680, augustus_masked-Arad1D-processed-gene-29.141-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-29.141&CDS=1-1602, augustus_masked-Arad1D-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-8.59&CDS=1-1599	YBR298C, YDL247W, YGR289C, YJR160C
1	OG0000001	augustus_masked-Arad1A-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.64&CDS=1-1032, augustus_masked-Arad1B-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.18&CDS=1-1038, augustus_masked-Arad1C-processed-gene-16.28-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-16.28&CDS=1-1038, maker-Arad1B-augustus-gene-2.11-mRNA-1_1&gene=maker-Arad1B-augustus-gene-2.11&CDS=1-1911	YDR541C, YEL021W, YGL039W, YGL157W, YOL151W
2	OG0000002	augustus_masked-Arad1A-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.83&CDS=1-1629, augustus_masked-Arad1B-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-12.117&CDS=1-1710, augustus_masked-Arad1C-processed-gene-27.145-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.145&CDS=1-1674, augustus_masked-Arad1D-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-1.58&CDS=1-1704, augustus_masked-Arad1D-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-2.88&CDS=1-1683, genemark-Arad1A-processed-gene-15.49-mRNA-1_1&gene=genemark-Arad1A-processed-gene-15.49&CDS=1-3048	YLL028W, YOR380W
3	OG0000003	augustus_masked-Arad1C-processed-gene-11.23-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-11.23&CDS=1-1698	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
4	OG0000004	augustus_masked-Arad1A-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.17&CDS=1-3834, augustus_masked-Arad1D-processed-gene-21.27-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-21.27&CDS=1-2052	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
5	OG0000005	augustus_masked-Arad1A-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.74&CDS=1-1017, augustus_masked-Arad1B-processed-gene-12.125-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-12.125&CDS=1-1023, augustus_masked-Arad1B-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.14&CDS=1-1017, augustus_masked-Arad1C-processed-gene-19.65-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-19.65&CDS=1-1005, augustus_masked-Arad1D-processed-gene-25.30-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-25.30&CDS=1-1044, maker-Arad1B-augustus-gene-7.157-mRNA-1_1&gene=maker-Arad1B-augustus-gene-7.157&CDS=1-2073	YPL088W
6	OG0000006	augustus_masked-Arad1B-processed-gene-19.144-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-19.144&CDS=1-1665	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C
7	OG0000007	augustus_masked-Arad1B-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.75&CDS=1-1152, augustus_masked-Arad1C-processed-gene-12.97-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-12.97&CDS=1-1164, augustus_masked-Arad1C-processed-gene-17.117-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-17.117&CDS=1-1866, augustus_masked-Arad1C-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-3.118&CDS=1-1725, maker-Arad1A-augustus-gene-9.98-mRNA-1_1&gene=maker-Arad1A-augustus-gene-9.98&CDS=1-1662	YBR240C
8	OG0000008	augustus_masked-Arad1B-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-10.108&CDS=1-1008, augustus_masked-Arad1C-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-2.108&CDS=1-1209, augustus_masked-Arad1C-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-2.79&CDS=1-1098	YBL068W-A, YBL069W, YER101C
9	OG0000009	augustus_masked-Arad1C-processed-gene-36.168-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-36.168&CDS=1-1098, maker-Arad1D-augustus-gene-17.2-mRNA-1_1&gene=maker-Arad1D-augustus-gene-17.2&CDS=1-2175, maker-Arad1D-augustus-gene-18.129-mRNA-1_1&gene=maker-Arad1D-augustus-gene-18.129&CDS=1-1047, maker-Arad1D-snap-gene-18.81-mRNA-1_1&gene=maker-Arad1D-snap-gene-18.81&CDS=1-5268	YHR179W, YPL171C
