	OrthologID	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-ari-_s13-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.106&CDS=1-2526, augustus_masked-ari-_s13-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.131&CDS=1-2610, augustus_masked-ari-_s288-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.54&CDS=1-4062, augustus_masked-ari-_s34-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.103&CDS=1-1758, genemark-ari-_s9-processed-gene-3.82-mRNA-1_1&gene=genemark-ari-_s9-processed-gene-3.82&CDS=1-4146	YCL024W, YDR477W, YDR507C, YKL101W, YOR233W, YPL141C, YPL150W
1	OG0000001		YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
2	OG0000002	augustus_masked-ari-_s107-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.26&CDS=1-3360, augustus_masked-ari-_s13-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.17&CDS=1-3282, augustus_masked-ari-_s13-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.115&CDS=1-2487, augustus_masked-ari-_s268-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.22&CDS=1-2277, snap_masked-ari-_s437-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ari-_s437-processed-gene-0.130&CDS=1-2655	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
3	OG0000003	augustus_masked-ari-_s107-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.16&CDS=1-1713, augustus_masked-ari-_s283-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.68&CDS=1-1671, augustus_masked-ari-_s32-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.138&CDS=1-1752, augustus_masked-ari-_s32-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.167&CDS=1-1725, augustus_masked-ari-_s399-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s399-processed-gene-0.13&CDS=1-1653, augustus_masked-ari-_s58-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-0.4&CDS=1-1833, augustus_masked-ari-_s9-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.107&CDS=1-5592	YKR039W, YLL061W, YPL274W
4	OG0000004	augustus_masked-ari-_s368-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s368-processed-gene-0.3&CDS=1-1020, augustus_masked-ari-_s393-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s393-processed-gene-0.0&CDS=1-555, snap_masked-ari-_s128-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ari-_s128-processed-gene-0.15&CDS=1-243, snap_masked-ari-_s13-processed-gene-4.33-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-4.33&CDS=1-546, snap_masked-ari-_s253-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ari-_s253-processed-gene-0.42&CDS=1-390, snap_masked-ari-_s256-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ari-_s256-processed-gene-0.19&CDS=1-1683, snap_masked-ari-_s261-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ari-_s261-processed-gene-0.12&CDS=1-225, snap_masked-ari-_s34-processed-gene-2.165-mRNA-1_1&gene=snap_masked-ari-_s34-processed-gene-2.165&CDS=1-198, snap_masked-ari-_s412-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ari-_s412-processed-gene-0.7&CDS=1-408	YCL074W
5	OG0000005	augustus_masked-ari-_s150-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s150-processed-gene-0.20&CDS=1-1593, augustus_masked-ari-_s16-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s16-processed-gene-0.1&CDS=1-1497, augustus_masked-ari-_s34-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-0.37&CDS=1-1698, augustus_masked-ari-_s40-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s40-processed-gene-0.0&CDS=1-1638, augustus_masked-ari-_s73-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s73-processed-gene-0.29&CDS=1-1758, snap_masked-ari-_s32-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ari-_s32-processed-gene-0.22&CDS=1-1818	YDR144C, YDR349C, YLR120C, YLR121C
6	OG0000006	augustus_masked-ari-_s1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.49&CDS=1-2649, augustus_masked-ari-_s134-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.92&CDS=1-2652, augustus_masked-ari-_s432-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.12&CDS=1-3195, augustus_masked-ari-_s78-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.111&CDS=1-3444, augustus_masked-ari-_s80-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s80-processed-gene-0.14&CDS=1-2796, augustus_masked-ari-_s95-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.34&CDS=1-3609, augustus_masked-ari-_s95-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.35&CDS=1-3549, genemark-ari-_s58-processed-gene-1.107-mRNA-1_1&gene=genemark-ari-_s58-processed-gene-1.107&CDS=1-2763	YKR064W
7	OG0000007	augustus_masked-ari-_s111-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.3&CDS=1-918, augustus_masked-ari-_s134-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.133&CDS=1-1065, augustus_masked-ari-_s5-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.49&CDS=1-942, augustus_masked-ari-_s50-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.56&CDS=1-1020	YDL047W, YDL134C, YDR075W, YNR032W
8	OG0000008	augustus_masked-ari-_s268-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.32&CDS=1-1893, augustus_masked-ari-_s9-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.49&CDS=1-2139, snap_masked-ari-_s115-processed-gene-0.107-mRNA-1_1&gene=snap_masked-ari-_s115-processed-gene-0.107&CDS=1-2031	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
9	OG0000009	augustus_masked-ari-_s117-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.73&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
