	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035675_Kregervanrija_fluxuum
0	OG0000000		augustus_masked-NODE_102_length_18189_cov_52.3375_ID_43339-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_102_length_18189_cov_52.3375_ID_43339-processed-gene-0.18&CDS=1-1446, augustus_masked-NODE_105_length_15510_cov_40.3881_ID_22597-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_105_length_15510_cov_40.3881_ID_22597-processed-gene-0.0&CDS=1-1107, augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.10&CDS=1-864, augustus_masked-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.65&CDS=1-1497, augustus_masked-NODE_91_length_24450_cov_41.0139_ID_53070-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_91_length_24450_cov_41.0139_ID_53070-processed-gene-0.2&CDS=1-1284, genemark-NODE_177_length_2044_cov_45.2418_ID_33894-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_177_length_2044_cov_45.2418_ID_33894-processed-gene-0.0&CDS=1-1980, genemark-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.32&CDS=1-2922, maker-NODE_104_length_15747_cov_47.3639_ID_22940-augustus-gene-0.24-mRNA-1_1&gene=maker-NODE_104_length_15747_cov_47.3639_ID_22940-augustus-gene-0.24&CDS=1-3306, maker-NODE_116_length_11088_cov_43.6082_ID_24055-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_116_length_11088_cov_43.6082_ID_24055-snap-gene-0.4&CDS=1-3348, maker-NODE_121_length_9463_cov_84.9484_ID_56799-snap-gene-0.10-mRNA-1_1&gene=maker-NODE_121_length_9463_cov_84.9484_ID_56799-snap-gene-0.10&CDS=1-981, maker-NODE_124_length_9074_cov_41.5111_ID_51971-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_124_length_9074_cov_41.5111_ID_51971-snap-gene-0.2&CDS=1-4140, maker-NODE_188_length_1833_cov_39.5648_ID_27332-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_188_length_1833_cov_39.5648_ID_27332-snap-gene-0.3&CDS=1-1662, maker-NODE_230_length_1247_cov_89.1297_ID_56651-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_230_length_1247_cov_89.1297_ID_56651-snap-gene-0.1&CDS=1-666, maker-NODE_48_length_80061_cov_41.2643_ID_15622-snap-gene-0.101-mRNA-1_1&gene=maker-NODE_48_length_80061_cov_41.2643_ID_15622-snap-gene-0.101&CDS=1-1104, maker-NODE_76_length_36934_cov_41.298_ID_24505-augustus-gene-0.11-mRNA-1_1&gene=maker-NODE_76_length_36934_cov_41.298_ID_24505-augustus-gene-0.11&CDS=1-4608, maker-NODE_93_length_23172_cov_45.2745_ID_23536-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_93_length_23172_cov_45.2745_ID_23536-snap-gene-0.1&CDS=1-1260, snap_masked-NODE_105_length_15510_cov_40.3881_ID_22597-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_105_length_15510_cov_40.3881_ID_22597-processed-gene-0.5&CDS=1-2493, snap_masked-NODE_130_length_7659_cov_53.156_ID_25312-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_130_length_7659_cov_53.156_ID_25312-processed-gene-0.2&CDS=1-1512
1	OG0000001		augustus_masked-NODE_1411_length_355_cov_283.833_ID_58449-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1411_length_355_cov_283.833_ID_58449-processed-gene-0.0&CDS=1-273, augustus_masked-NODE_166_length_2308_cov_137.323_ID_46206-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_166_length_2308_cov_137.323_ID_46206-processed-gene-0.0&CDS=1-1608, augustus_masked-NODE_52_length_75366_cov_41.9773_ID_15542-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_52_length_75366_cov_41.9773_ID_15542-processed-gene-0.15&CDS=1-510, snap_masked-NODE_115_length_12582_cov_57.5471_ID_24577-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_115_length_12582_cov_57.5471_ID_24577-processed-gene-0.6&CDS=1-180, snap_masked-NODE_115_length_12582_cov_57.5471_ID_24577-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_115_length_12582_cov_57.5471_ID_24577-processed-gene-0.8&CDS=1-474, snap_masked-NODE_132_length_7580_cov_73.0078_ID_26062-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_132_length_7580_cov_73.0078_ID_26062-processed-gene-0.0&CDS=1-1251, snap_masked-NODE_133_length_6996_cov_71.5744_ID_28086-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_133_length_6996_cov_71.5744_ID_28086-processed-gene-0.5&CDS=1-1872, snap_masked-NODE_139_length_4523_cov_43.6988_ID_27049-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_139_length_4523_cov_43.6988_ID_27049-processed-gene-0.3&CDS=1-243, snap_masked-NODE_1487_length_297_cov_44.5114_ID_58311-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1487_length_297_cov_44.5114_ID_58311-processed-gene-0.1&CDS=1-189, snap_masked-NODE_1534_length_271_cov_821.32_ID_56663-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_1534_length_271_cov_821.32_ID_56663-processed-gene-0.0&CDS=1-231, snap_masked-NODE_239_length_1157_cov_43.7394_ID_29347-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_239_length_1157_cov_43.7394_ID_29347-processed-gene-0.2&CDS=1-858, snap_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.145&CDS=1-651, snap_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.146&CDS=1-663, snap_masked-NODE_56_length_65492_cov_53.0562_ID_49771-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_56_length_65492_cov_53.0562_ID_49771-processed-gene-0.83&CDS=1-930
2	OG0000002	YBR015C	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.3&CDS=1-1800, augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-2.82&CDS=1-2112, augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.219&CDS=1-1686, augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.132&CDS=1-2004, genemark-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.59&CDS=1-2094, maker-NODE_19_length_204027_cov_37.7657_ID_13337-snap-gene-1.108-mRNA-1_1&gene=maker-NODE_19_length_204027_cov_37.7657_ID_13337-snap-gene-1.108&CDS=1-1959, maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.64-mRNA-1_1&gene=maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.64&CDS=1-3465, snap_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.163-mRNA-1_1&gene=snap_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.163&CDS=1-2652, snap_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.34&CDS=1-1929
3	OG0000003	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_101_length_18538_cov_42.6096_ID_21766-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_101_length_18538_cov_42.6096_ID_21766-processed-gene-0.9&CDS=1-2091, augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.60&CDS=1-2022, genemark-NODE_76_length_36934_cov_41.298_ID_24505-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_76_length_36934_cov_41.298_ID_24505-processed-gene-0.14&CDS=1-2124, maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.110&CDS=1-4101, snap_masked-NODE_108_length_14461_cov_51.6677_ID_23622-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_108_length_14461_cov_51.6677_ID_23622-processed-gene-0.5&CDS=1-2115
4	OG0000004	YBR240C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.225-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.225&CDS=1-1953, augustus_masked-NODE_1236_length_383_cov_0.954198_ID_37552-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1236_length_383_cov_0.954198_ID_37552-processed-gene-0.0&CDS=1-378, augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.21&CDS=1-4773, augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.109&CDS=1-975, augustus_masked-NODE_45_length_88143_cov_39.1685_ID_14790-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_45_length_88143_cov_39.1685_ID_14790-processed-gene-0.113&CDS=1-1281, augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.22&CDS=1-3033, augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-1.29&CDS=1-621, augustus_masked-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_69_length_47934_cov_37.0505_ID_17811-processed-gene-0.59&CDS=1-2304
5	OG0000005	YDR541C, YGL039W, YGL157W, YNR007C, YOL151W	augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.308-mRNA-1_1&gene=augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.308&CDS=1-1041, augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-0.135&CDS=1-1044, augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.241-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.241&CDS=1-1047, maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.58-mRNA-1_1&gene=maker-NODE_4_length_399286_cov_39.7387_ID_11480-snap-gene-0.58&CDS=1-3126
6	OG0000006	YJR152W	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.201&CDS=1-1581, augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.52&CDS=1-1581, augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.25&CDS=1-1524, augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.47&CDS=1-1584, augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.88&CDS=1-1548, augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.19&CDS=1-1635, genemark-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.64&CDS=1-1392, maker-NODE_2_length_544514_cov_38.891_ID_36300-snap-gene-3.109-mRNA-1_1&gene=maker-NODE_2_length_544514_cov_38.891_ID_36300-snap-gene-3.109&CDS=1-3087
7	OG0000007	YBL054W	augustus_masked-NODE_101_length_18538_cov_42.6096_ID_21766-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_101_length_18538_cov_42.6096_ID_21766-processed-gene-0.10&CDS=1-585, augustus_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-0.3&CDS=1-750, augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.97&CDS=1-798, maker-NODE_18_length_210819_cov_39.5738_ID_14898-snap-gene-1.156-mRNA-1_1&gene=maker-NODE_18_length_210819_cov_39.5738_ID_14898-snap-gene-1.156&CDS=1-1464, snap_masked-NODE_121_length_9463_cov_84.9484_ID_56799-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_121_length_9463_cov_84.9484_ID_56799-processed-gene-0.8&CDS=1-597, snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-0.40&CDS=1-789, snap_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.45&CDS=1-597
8	OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_630_length_458_cov_0.735905_ID_34822-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_630_length_458_cov_0.735905_ID_34822-processed-gene-0.2&CDS=1-321
9	OG0000009	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-0.26&CDS=1-2994, augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-NODE_23_length_194901_cov_37.8474_ID_45764-processed-gene-0.229&CDS=1-2748, augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.103&CDS=1-2280, maker-NODE_4_length_399286_cov_39.7387_ID_11480-augustus-gene-2.187-mRNA-1_1&gene=maker-NODE_4_length_399286_cov_39.7387_ID_11480-augustus-gene-2.187&CDS=1-5928
