	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035651_Torulaspora_microellipsoides
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	snap_masked-flattened_line_7-processed-gene-4.114-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.114&CDS=1-669
2	OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W	augustus_masked-flattened_line_62-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.101&CDS=1-1602
3	OG0000003		augustus_masked-flattened_line_130-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.5&CDS=1-897, augustus_masked-flattened_line_132-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.2&CDS=1-1107, augustus_masked-flattened_line_134-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.0&CDS=1-2445, augustus_masked-flattened_line_92-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.2&CDS=1-3090, snap_masked-flattened_line_102-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.1&CDS=1-528, snap_masked-flattened_line_130-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.4&CDS=1-666, snap_masked-flattened_line_152-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.1&CDS=1-1020, snap_masked-flattened_line_168-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.0&CDS=1-549, snap_masked-flattened_line_284-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_284-processed-gene-0.1&CDS=1-264, snap_masked-flattened_line_94-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.2&CDS=1-1863
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_62-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.62&CDS=1-1035
5	OG0000005	YLR268W, YOR162C, YOR172W	augustus_masked-flattened_line_15-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.3&CDS=1-2409, augustus_masked-flattened_line_9-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.97&CDS=1-2943, snap_masked-flattened_line_11-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.17&CDS=1-2358, snap_masked-flattened_line_11-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.19&CDS=1-2427
6	OG0000006	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_68-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.1&CDS=1-414, maker-flattened_line_68-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.7&CDS=1-612, snap_masked-flattened_line_68-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.17&CDS=1-222
7	OG0000007		augustus_masked-flattened_line_122-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.0&CDS=1-1329, augustus_masked-flattened_line_94-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.4&CDS=1-1239, snap_masked-flattened_line_138-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.2&CDS=1-924, snap_masked-flattened_line_144-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.0&CDS=1-375, snap_masked-flattened_line_150-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.1&CDS=1-534, snap_masked-flattened_line_62-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.23&CDS=1-1254, snap_masked-flattened_line_72-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.14&CDS=1-261
8	OG0000008	YDL080C, YGR087C, YLR044C, YLR134W	genemark-flattened_line_21-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.59&CDS=1-1689, maker-flattened_line_17-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.4&CDS=1-3426
9	OG0000009	YAR066W, YHR214W, YIL169C, YOL155C	snap_masked-flattened_line_19-processed-gene-2.211-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.211&CDS=1-3114
10	OG0000010	YAR071W, YBR092C, YBR093C, YHR215W	genemark-flattened_line_60-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.111&CDS=1-1401
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_50-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.78&CDS=1-4683
12	OG0000012	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_17-processed-gene-3.126-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-3.126&CDS=1-1020
13	OG0000013	YDL245C, YEL069C, YJR158W, YNR072W	genemark-flattened_line_112-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.4&CDS=1-1740
14	OG0000014	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_48-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.68&CDS=1-702
15	OG0000015	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_11-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.116&CDS=1-1485
16	OG0000016	YHR179W, YPL171C	genemark-flattened_line_0-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.38&CDS=1-1191, genemark-flattened_line_0-processed-gene-8.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.23&CDS=1-1191, genemark-flattened_line_23-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.105&CDS=1-1191
17	OG0000017	YIL120W, YIL121W, YNL065W	genemark-flattened_line_72-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.29&CDS=1-1797, maker-flattened_line_13-snap-gene-1.37-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-1.37&CDS=1-3270
18	OG0000018	YBR009C, YNL030W	genemark-flattened_line_3-processed-gene-2.15-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.15&CDS=1-309, genemark-flattened_line_38-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.100&CDS=1-309
19	OG0000019	YBR010W, YNL031C	genemark-flattened_line_3-processed-gene-2.35-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.35&CDS=1-408, genemark-flattened_line_38-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.148&CDS=1-408
20	OG0000020	YBR205W, YOR099W	genemark-flattened_line_33-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-1.53&CDS=1-1182, maker-flattened_line_11-snap-gene-3.149-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.149&CDS=1-2451
21	OG0000021	YCL067C, YCR039C, YCR096C	maker-flattened_line_128-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_128-snap-gene-0.5&CDS=1-558
22	OG0000022	YCR031C, YJL191W	genemark-flattened_line_0-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.6&CDS=1-414, genemark-flattened_line_0-processed-gene-8.66-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.66&CDS=1-414
23	OG0000023	YCR089W, YHR211W, YLR110C	augustus_masked-flattened_line_54-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.167&CDS=1-2865
24	OG0000024	YCR102C, YLR460C, YNL134C	genemark-flattened_line_33-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.78&CDS=1-1113
25	OG0000025	YCR105W, YMR318C	genemark-flattened_line_0-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.76&CDS=1-1131, genemark-flattened_line_0-processed-gene-7.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.98&CDS=1-1131
26	OG0000026	YDL243C, YJR155W, YNL331C	genemark-flattened_line_48-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.95&CDS=1-1125
27	OG0000027	YDR038C, YDR039C, YDR040C	genemark-flattened_line_11-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.0&CDS=1-3252
28	OG0000028	YER056C, YER060W, YER060W-A	genemark-flattened_line_27-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.88&CDS=1-1626
29	OG0000029	YGL008C, YPL036W	genemark-flattened_line_0-processed-gene-1.97-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.97&CDS=1-2721, genemark-flattened_line_0-processed-gene-7.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.75&CDS=1-2721
30	OG0000030	YGL031C, YGR148C	genemark-flattened_line_0-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.64&CDS=1-465, genemark-flattened_line_0-processed-gene-8.16-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.16&CDS=1-465
31	OG0000031	YGR010W, YLR328W	genemark-flattened_line_0-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.116&CDS=1-1335, genemark-flattened_line_0-processed-gene-7.83-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.83&CDS=1-1335
32	OG0000032	YGR027C, YLR333C	genemark-flattened_line_0-processed-gene-2.148-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.148&CDS=1-324, genemark-flattened_line_0-processed-gene-6.31-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.31&CDS=1-324
33	OG0000033	YGR034W, YLR344W	snap_masked-flattened_line_0-processed-gene-2.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.86&CDS=1-381, snap_masked-flattened_line_0-processed-gene-6.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.98&CDS=1-381
34	OG0000034	YHR209W	genemark-flattened_line_35-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.37&CDS=1-783, genemark-flattened_line_35-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.46&CDS=1-783, snap_masked-flattened_line_36-processed-gene-0.179-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.179&CDS=1-885
35	OG0000035	YHR210C, YNR071C	genemark-flattened_line_112-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.7&CDS=1-1026, genemark-flattened_line_36-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.125&CDS=1-1041
36	OG0000036	YHR216W, YLR432W, YML056C	genemark-flattened_line_3-processed-gene-5.91-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-5.91&CDS=1-1569
37	OG0000037	YIR013C, YLR013W, YPL021W	snap_masked-flattened_line_9-processed-gene-4.271-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.271&CDS=1-1308
38	OG0000038	YJL190C, YLR367W	genemark-flattened_line_0-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.30&CDS=1-390, genemark-flattened_line_0-processed-gene-8.31-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.31&CDS=1-390
39	OG0000039	YKL222C	genemark-flattened_line_35-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.5&CDS=1-1806, genemark-flattened_line_35-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.78&CDS=1-1806, genemark-flattened_line_96-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.13&CDS=1-2097
40	OG0000040	YLR237W, YOR071C, YOR192C	genemark-flattened_line_3-processed-gene-4.6-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-4.6&CDS=1-1830
41	OG0000041	YMR006C, YMR008C, YOL011W	maker-flattened_line_9-snap-gene-4.4-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-4.4&CDS=1-3951
42	OG0000042	YNL059C, YPL231W	maker-flattened_line_13-augustus-gene-1.0-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-1.0&CDS=1-7560, snap_masked-flattened_line_5-processed-gene-5.39-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.39&CDS=1-5685
43	OG0000043	YOL055C, YPL258C, YPR121W	genemark-flattened_line_3-processed-gene-1.46-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.46&CDS=1-1668
