	OrthologID	Lachancea_kluyveri	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-SAKL0D-processed-gene-11.258-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.258&CDS=1-957, augustus_masked-SAKL0F-processed-gene-12.220-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.220&CDS=1-1884, snap_masked-SAKL0F-processed-gene-12.48-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-12.48&CDS=1-324	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
1	OG0000001	augustus_masked-SAKL0C-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.11&CDS=1-4530, augustus_masked-SAKL0C-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.27&CDS=1-4452, augustus_masked-SAKL0C-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.29&CDS=1-4527, augustus_masked-SAKL0C-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.40&CDS=1-4635, augustus_masked-SAKL0F-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.39&CDS=1-4014, augustus_masked-SAKL0H-processed-gene-18.103-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.103&CDS=1-4341, augustus_masked-SAKL0H-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.137&CDS=1-4527, genemark-SAKL0D-processed-gene-11.46-mRNA-1_1&gene=genemark-SAKL0D-processed-gene-11.46&CDS=1-3384, maker-SAKL0G-augustus-gene-6.7-mRNA-1_1&gene=maker-SAKL0G-augustus-gene-6.7&CDS=1-5523	YDR011W, YDR406W, YIL013C, YOR011W, YOR153W, YPL058C
2	OG0000002	augustus_masked-SAKL0H-processed-gene-18.97-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.97&CDS=1-708, augustus_masked-SAKL0H-processed-gene-18.98-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.98&CDS=1-675, snap_masked-SAKL0C-processed-gene-10.43-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-10.43&CDS=1-180, snap_masked-SAKL0C-processed-gene-10.47-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-10.47&CDS=1-672, snap_masked-SAKL0C-processed-gene-9.127-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-9.127&CDS=1-435, snap_masked-SAKL0D-processed-gene-1.89-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-1.89&CDS=1-585	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
3	OG0000003	augustus_masked-SAKL0A-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.19&CDS=1-1755, augustus_masked-SAKL0A-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.13&CDS=1-1758, augustus_masked-SAKL0A-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.32&CDS=1-1758, augustus_masked-SAKL0C-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.1&CDS=1-1755, augustus_masked-SAKL0C-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.130&CDS=1-1758, augustus_masked-SAKL0E-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.37&CDS=1-1212	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
4	OG0000004	augustus_masked-SAKL0B-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.43&CDS=1-1716, augustus_masked-SAKL0C-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.17&CDS=1-1713, augustus_masked-SAKL0C-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.71&CDS=1-1713, augustus_masked-SAKL0G-processed-gene-16.162-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.162&CDS=1-1716, maker-SAKL0G-snap-gene-6.3-mRNA-1_1&gene=maker-SAKL0G-snap-gene-6.3&CDS=1-3351, snap_masked-SAKL0C-processed-gene-7.141-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-7.141&CDS=1-1656	YDR342C, YDR343C, YFL011W, YHR092C, YJL214W, YMR011W, YNL318C
5	OG0000005	augustus_masked-SAKL0B-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-1.23&CDS=1-2844, augustus_masked-SAKL0B-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-1.24&CDS=1-2964, augustus_masked-SAKL0D-processed-gene-11.285-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.285&CDS=1-2949, augustus_masked-SAKL0H-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.76&CDS=1-5349, snap_masked-SAKL0D-processed-gene-11.179-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-11.179&CDS=1-2670, snap_masked-SAKL0H-processed-gene-22.59-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-22.59&CDS=1-2022	YAL051W, YCR106W, YLL054C, YOR363C
6	OG0000006	augustus_masked-SAKL0E-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-5.8&CDS=1-1512, maker-SAKL0E-augustus-gene-5.50-mRNA-1_1&gene=maker-SAKL0E-augustus-gene-5.50&CDS=1-3258, maker-SAKL0F-snap-gene-7.97-mRNA-1_1&gene=maker-SAKL0F-snap-gene-7.97&CDS=1-1914, snap_masked-SAKL0D-processed-gene-11.136-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-11.136&CDS=1-1554, snap_masked-SAKL0H-processed-gene-8.99-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.99&CDS=1-1503	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
7	OG0000007	augustus_masked-SAKL0B-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.24&CDS=1-1725, augustus_masked-SAKL0F-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.38&CDS=1-1734, augustus_masked-SAKL0H-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.13&CDS=1-1731, maker-SAKL0D-snap-gene-5.1-mRNA-1_1&gene=maker-SAKL0D-snap-gene-5.1&CDS=1-5796	YBR284W, YJL070C, YLR237W, YOR071C, YOR192C
8	OG0000008	augustus_masked-SAKL0C-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.0&CDS=1-2226, augustus_masked-SAKL0D-processed-gene-11.260-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.260&CDS=1-1959, augustus_masked-SAKL0E-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.105&CDS=1-2154, augustus_masked-SAKL0F-processed-gene-12.222-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.222&CDS=1-2073, genemark-SAKL0G-processed-gene-0.82-mRNA-1_1&gene=genemark-SAKL0G-processed-gene-0.82&CDS=1-603, maker-SAKL0B-snap-gene-10.54-mRNA-1_1&gene=maker-SAKL0B-snap-gene-10.54&CDS=1-1014, snap_masked-SAKL0C-processed-gene-11.208-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-11.208&CDS=1-1737, snap_masked-SAKL0C-processed-gene-11.211-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-11.211&CDS=1-864, snap_masked-SAKL0F-processed-gene-0.25-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-0.25&CDS=1-873	
9	OG0000009	augustus_masked-SAKL0A-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.16&CDS=1-1794, augustus_masked-SAKL0A-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-7.31&CDS=1-1707, augustus_masked-SAKL0B-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.26&CDS=1-1896, genemark-SAKL0C-processed-gene-5.107-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-5.107&CDS=1-1800, snap_masked-SAKL0F-processed-gene-0.27-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-0.27&CDS=1-1611	YCL069W, YKR105C, YPR198W
