	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035046_Barnettozyma_populi
0	OG0000000	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	genemark-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.45&CDS=1-588
1	OG0000001	YDR134C, YLR110C	augustus_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.221-mRNA-1_1&gene=augustus_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.221&CDS=1-1272, genemark-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.15&CDS=1-1776, genemark-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.1&CDS=1-603, genemark-NODE_96_length_1732_cov_26.1785_ID_15916-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_96_length_1732_cov_26.1785_ID_15916-processed-gene-0.2&CDS=1-1374, maker-NODE_24_length_130896_cov_16.6656_ID_9097-snap-gene-0.156-mRNA-1_1&gene=maker-NODE_24_length_130896_cov_16.6656_ID_9097-snap-gene-0.156&CDS=1-1440, maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-5.59-mRNA-1_1&gene=maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-5.59&CDS=1-6789, snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.127&CDS=1-1998, snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.54&CDS=1-651, snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.59&CDS=1-375, snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.75&CDS=1-858, snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.53&CDS=1-630, snap_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.3&CDS=1-1638
2	OG0000002	YBR240C, YDR207C	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.143&CDS=1-1914, augustus_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.94&CDS=1-957, augustus_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.87&CDS=1-801, genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.161-mRNA-1_1&gene=genemark-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.161&CDS=1-1755, genemark-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.7&CDS=1-552, maker-NODE_13_length_355277_cov_14.0586_ID_7157-snap-gene-2.101-mRNA-1_1&gene=maker-NODE_13_length_355277_cov_14.0586_ID_7157-snap-gene-2.101&CDS=1-1932, maker-NODE_25_length_128994_cov_14.253_ID_6542-snap-gene-0.60-mRNA-1_1&gene=maker-NODE_25_length_128994_cov_14.253_ID_6542-snap-gene-0.60&CDS=1-1776, maker-NODE_3_length_802383_cov_13.3796_ID_5639-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_3_length_802383_cov_13.3796_ID_5639-snap-gene-2.48&CDS=1-1566, snap_masked-NODE_41_length_64632_cov_13.4045_ID_6257-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_41_length_64632_cov_13.4045_ID_6257-processed-gene-0.91&CDS=1-1509, snap_masked-NODE_54_length_17963_cov_11.707_ID_9362-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_54_length_17963_cov_11.707_ID_9362-processed-gene-0.9&CDS=1-1833, snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.123&CDS=1-1935
3	OG0000003	YKR064W	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.41&CDS=1-2613, augustus_masked-NODE_50_length_25854_cov_12.5457_ID_7762-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_50_length_25854_cov_12.5457_ID_7762-processed-gene-0.31&CDS=1-1479, augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.5&CDS=1-2682, maker-NODE_36_length_78055_cov_19.4016_ID_10013-snap-gene-0.37-mRNA-1_1&gene=maker-NODE_36_length_78055_cov_19.4016_ID_10013-snap-gene-0.37&CDS=1-2019, snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.5&CDS=1-1458, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.82&CDS=1-2694, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.48&CDS=1-2832, snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.140&CDS=1-2007, snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.141-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-4.141&CDS=1-2004, snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.124-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.124&CDS=1-3156, snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.78&CDS=1-2640
4	OG0000004	YCL025C, YDR508C, YGR191W, YKR039W	snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.111-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.111&CDS=1-1773, snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.136-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.136&CDS=1-1767, snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.131&CDS=1-1758, snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.172-mRNA-1_1&gene=snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.172&CDS=1-1749, snap_masked-NODE_39_length_74460_cov_19.8448_ID_5443-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_39_length_74460_cov_19.8448_ID_5443-processed-gene-0.52&CDS=1-1752, snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.87&CDS=1-1797
5	OG0000005	YBR015C	maker-NODE_4_length_548769_cov_13.6504_ID_5975-snap-gene-4.179-mRNA-1_1&gene=maker-NODE_4_length_548769_cov_13.6504_ID_5975-snap-gene-4.179&CDS=1-4620, snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_22_length_135631_cov_14.9371_ID_10957-processed-gene-0.171&CDS=1-1470, snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.34&CDS=1-1764, snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.34&CDS=1-1596, snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.62&CDS=1-1623, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.105&CDS=1-1740, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.88&CDS=1-1950, snap_masked-NODE_49_length_26071_cov_14.8869_ID_9007-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_49_length_26071_cov_14.8869_ID_9007-processed-gene-0.20&CDS=1-1839
6	OG0000006	YDR267C	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.61&CDS=1-429, genemark-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.23&CDS=1-1725, genemark-NODE_82_length_2701_cov_16.025_ID_10536-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_82_length_2701_cov_16.025_ID_10536-processed-gene-0.5&CDS=1-1734, maker-NODE_9_length_416299_cov_13.227_ID_6419-augustus-gene-2.157-mRNA-1_1&gene=maker-NODE_9_length_416299_cov_13.227_ID_6419-augustus-gene-2.157&CDS=1-3582, snap_masked-NODE_143_length_452_cov_24.9038_ID_15928-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_143_length_452_cov_24.9038_ID_15928-processed-gene-0.1&CDS=1-363, snap_masked-NODE_36_length_78055_cov_19.4016_ID_10013-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_36_length_78055_cov_19.4016_ID_10013-processed-gene-0.68&CDS=1-2616, snap_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-1.50&CDS=1-2505
7	OG0000007	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.142&CDS=1-1134, snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.61&CDS=1-1086, snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.36&CDS=1-1095
8	OG0000008	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W, YNL318C	snap_masked-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.168&CDS=1-1692, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-2.121&CDS=1-1605
9	OG0000009	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-1.86&CDS=1-3882, maker-NODE_24_length_130896_cov_16.6656_ID_9097-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_24_length_130896_cov_16.6656_ID_9097-augustus-gene-0.50&CDS=1-3939, snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.84&CDS=1-2172, snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-1.14&CDS=1-2607
10	OG0000010	YKL055C	augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-1.102&CDS=1-825, snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.30&CDS=1-762, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.78-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.78&CDS=1-777, snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.86&CDS=1-774, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.194-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.194&CDS=1-744, snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.176-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.176&CDS=1-831, snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.118&CDS=1-822
11	OG0000011	YOL119C, YOR296W, YOR306C	genemark-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.188-mRNA-1_1&gene=genemark-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.188&CDS=1-1518, genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.216-mRNA-1_1&gene=genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.216&CDS=1-5205, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.14&CDS=1-1407, snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.30&CDS=1-1356, snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-2.94&CDS=1-1500
12	OG0000012	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.30&CDS=1-1359, snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.249-mRNA-1_1&gene=snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.249&CDS=1-2619, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.85-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.85&CDS=1-1569, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.170-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.170&CDS=1-3075
