	OrthologID	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
0	OG0000000	snap_masked-NADE0S06-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-2.40&CDS=1-1803	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
1	OG0000001	augustus_masked-NADE0S01-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-0.23&CDS=1-1254, augustus_masked-NADE0S03-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-0.59&CDS=1-867, augustus_masked-NADE0S03-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.84&CDS=1-2757, augustus_masked-NADE0S04-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.109&CDS=1-3390, augustus_masked-NADE0S09-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-9.31&CDS=1-2631, augustus_masked-NADE0S12-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-0.106&CDS=1-3000, augustus_masked-NADE0S12-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-10.14&CDS=1-2346, augustus_masked-NADE0S13-processed-gene-2.219-mRNA-1_1&gene=augustus_masked-NADE0S13-processed-gene-2.219&CDS=1-3174, augustus_masked-NADE0S17-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-6.32&CDS=1-2544, augustus_masked-NADE0S18-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NADE0S18-processed-gene-1.131&CDS=1-1992, augustus_masked-NADE0S25-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-NADE0S25-processed-gene-4.150&CDS=1-2910, augustus_masked-NADE0S26-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NADE0S26-processed-gene-0.6&CDS=1-2511, snap_masked-NADE0S05-processed-gene-10.43-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-10.43&CDS=1-2670, snap_masked-NADE0S17-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.53&CDS=1-2562, snap_masked-NADE0S25-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-0.16&CDS=1-2676, snap_masked-NADE0S25-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-3.84&CDS=1-2079	
2	OG0000002	snap_masked-NADE0S04-processed-gene-6.109-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-6.109&CDS=1-1839, snap_masked-NADE0S08-processed-gene-1.144-mRNA-1_1&gene=snap_masked-NADE0S08-processed-gene-1.144&CDS=1-1920, snap_masked-NADE0S12-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-3.10&CDS=1-1950, snap_masked-NADE0S13-processed-gene-1.143-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-1.143&CDS=1-1998, snap_masked-NADE0S15-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-0.46&CDS=1-1839	YAL005C, YBL075C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W
3	OG0000003		YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
4	OG0000004	augustus_masked-NADE0S15-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-NADE0S15-processed-gene-5.90&CDS=1-1257, snap_masked-NADE0S05-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-0.90&CDS=1-1122, snap_masked-NADE0S09-processed-gene-7.12-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-7.12&CDS=1-1074, snap_masked-NADE0S17-processed-gene-3.14-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.14&CDS=1-1404	YJL116C, YKR042W, YNL066W
5	OG0000005	snap_masked-NADE0S05-processed-gene-10.47-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-10.47&CDS=1-1803, snap_masked-NADE0S06-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-0.92&CDS=1-1848, snap_masked-NADE0S09-processed-gene-9.147-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-9.147&CDS=1-1899, snap_masked-NADE0S13-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-0.34&CDS=1-1875	YBR068C, YCL025C, YDR046C
6	OG0000006	snap_masked-NADE0S12-processed-gene-11.129-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-11.129&CDS=1-936, snap_masked-NADE0S15-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-2.116&CDS=1-1647, snap_masked-NADE0S25-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-2.114&CDS=1-2031, snap_masked-NADE0S27-processed-gene-7.20-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-7.20&CDS=1-1611	YER133W, YML016C, YPL179W
7	OG0000007	maker-NADE0S03-snap-gene-4.39-mRNA-1_1&gene=maker-NADE0S03-snap-gene-4.39&CDS=1-5052, maker-NADE0S05-snap-gene-10.82-mRNA-1_1&gene=maker-NADE0S05-snap-gene-10.82&CDS=1-3312, snap_masked-NADE0S04-processed-gene-8.19-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-8.19&CDS=1-1662, snap_masked-NADE0S11-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NADE0S11-processed-gene-0.21&CDS=1-1695	YFL011W, YMR011W
8	OG0000008	genemark-NADE0S09-processed-gene-0.121-mRNA-1_1&gene=genemark-NADE0S09-processed-gene-0.121&CDS=1-1692, snap_masked-NADE0S03-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.21&CDS=1-1695, snap_masked-NADE0S04-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-5.32&CDS=1-1692, snap_masked-NADE0S27-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-1.119&CDS=1-1905	YDL080C, YLR044C
9	OG0000009	maker-NADE0S12-snap-gene-9.2-mRNA-1_1&gene=maker-NADE0S12-snap-gene-9.2&CDS=1-1911, snap_masked-NADE0S03-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.126&CDS=1-1497, snap_masked-NADE0S05-processed-gene-10.42-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-10.42&CDS=1-1569	YER073W, YOR374W, YPL061W
