	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026256_Zygotorulaspora_mrakii
0	OG0000000	YBL111C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YBR012W-A, YDR098C-A, YDR210C-C, YDR210C-D, YDR316W-A, YER159C-A, YGR038C-A, YGR161C-C, YLR227W-A, YLR256W-A, YML040W, YML045W-A, YMR051C, YOL103W-A, YOR142W-A, YPR158C-C, YPR158W-A	
2	OG0000002	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
3	OG0000003	YAL005C, YBL076C, YDL229W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W	genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-3.127-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-3.127&CDS=1-2043, genemark-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.82&CDS=1-1998, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-1.13&CDS=1-1839, maker-NODE_4_length_587279_cov_18.5498_ID_5513-augustus-gene-4.195-mRNA-1_1&gene=maker-NODE_4_length_587279_cov_18.5498_ID_5513-augustus-gene-4.195&CDS=1-2403, maker-NODE_4_length_587279_cov_18.5498_ID_5513-augustus-gene-4.196-mRNA-1_1&gene=maker-NODE_4_length_587279_cov_18.5498_ID_5513-augustus-gene-4.196&CDS=1-5184, maker-NODE_8_length_392823_cov_18.3038_ID_6921-snap-gene-2.7-mRNA-1_1&gene=maker-NODE_8_length_392823_cov_18.3038_ID_6921-snap-gene-2.7&CDS=1-2718
4	OG0000004	YBL100W-A, YCL020W, YDR034C-C, YDR210W-A, YDR261W-A, YFL002W-B, YGR161W-A, YLR410W-A, YLR410W-B, YOR192C-A, YOR343W-A	
5	OG0000005	YDL245C, YEL069C, YJR158W, YLR081W, YNR072W, YOL138C	augustus_masked-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.119&CDS=1-5376, genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.34&CDS=1-1710, genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.22&CDS=1-1635, genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.84&CDS=1-1725, maker-NODE_17_length_215592_cov_17.9152_ID_3339-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_17_length_215592_cov_17.9152_ID_3339-snap-gene-0.38&CDS=1-5190
6	OG0000006	YAR010C, YDR261C-C, YDR365W-A, YDR365W-B, YER137C-A, YGR027W-A, YLR157C-A, YNL054W-A, YPL257W-A, YPR137C-A	
7	OG0000007	YDR011W, YIL013C, YOR011W, YOR153W, YPL058C	genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.17&CDS=1-4095, genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.78&CDS=1-4509, genemark-NODE_37_length_49052_cov_19.6207_ID_6762-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_37_length_49052_cov_19.6207_ID_6762-processed-gene-0.7&CDS=1-4527, genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-3.137-mRNA-1_1&gene=genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-3.137&CDS=1-4485, maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-1.248-mRNA-1_1&gene=maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-1.248&CDS=1-6105
8	OG0000008	YER073W, YMR169C, YMR170C, YOR374W	genemark-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-0.19&CDS=1-1923, genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.104-mRNA-1_1&gene=genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.104&CDS=1-1512, genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.107-mRNA-1_1&gene=genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.107&CDS=1-1509, maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-1.244-mRNA-1_1&gene=maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-1.244&CDS=1-2994, snap_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-2.21&CDS=1-1560
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	maker-NODE_48_length_19424_cov_56.4409_ID_8464-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_48_length_19424_cov_56.4409_ID_8464-snap-gene-0.12&CDS=1-1818, snap_masked-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.15&CDS=1-1218
