	OrthologID	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-NW_001813675.1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-NW_001813675.1-processed-gene-2.84&CDS=1-2343, augustus_masked-NW_001813685.1-processed-gene-24.13-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-24.13&CDS=1-2748, maker-NW_001813675.1-snap-gene-3.121-mRNA-1_1&gene=maker-NW_001813675.1-snap-gene-3.121&CDS=1-4806, maker-NW_001813684.1-snap-gene-7.70-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-7.70&CDS=1-5217, snap_masked-NW_001813679.1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.87&CDS=1-2436, snap_masked-NW_001813685.1-processed-gene-23.57-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-23.57&CDS=1-1992	YJR061W, YKL201C
1	OG0000001	snap_masked-NW_001813684.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-0.67&CDS=1-1755	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
2	OG0000002	augustus_masked-NW_001813679.1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-8.82&CDS=1-4392, maker-NW_001813676.1-augustus-gene-3.154-mRNA-1_1&gene=maker-NW_001813676.1-augustus-gene-3.154&CDS=1-4194, maker-NW_001813683.1-snap-gene-15.10-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-15.10&CDS=1-9150, snap_masked-NW_001813680.1-processed-gene-9.76-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-9.76&CDS=1-4719	YDR406W, YNR070W, YOR153W
3	OG0000003	augustus_masked-NW_001813677.1-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NW_001813677.1-processed-gene-4.1&CDS=1-2772, genemark-NW_001813685.1-processed-gene-0.52-mRNA-1_1&gene=genemark-NW_001813685.1-processed-gene-0.52&CDS=1-2718, snap_masked-NW_001813679.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.32&CDS=1-2901, snap_masked-NW_001813680.1-processed-gene-11.63-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-11.63&CDS=1-2757, snap_masked-NW_001813685.1-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-2.34&CDS=1-2412	YJL212C, YPR194C
4	OG0000004	snap_masked-NW_001813678.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.5&CDS=1-1953, snap_masked-NW_001813682.1-processed-gene-15.28-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.28&CDS=1-1941, snap_masked-NW_001813684.1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.70&CDS=1-1932, snap_masked-NW_001813685.1-processed-gene-31.103-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-31.103&CDS=1-2061	YJL034W, YLL024C, YLR369W
5	OG0000005	augustus_masked-NW_001813681.1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NW_001813681.1-processed-gene-2.92&CDS=1-1716, augustus_masked-NW_001813684.1-processed-gene-24.42-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-24.42&CDS=1-1761, snap_masked-NW_001813681.1-processed-gene-7.91-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-7.91&CDS=1-1818, snap_masked-NW_001813685.1-processed-gene-23.43-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-23.43&CDS=1-1923	YKR039W, YLL061W, YPL274W
6	OG0000006	maker-NW_001813683.1-snap-gene-8.10-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-8.10&CDS=1-2916, snap_masked-NW_001813681.1-processed-gene-11.12-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-11.12&CDS=1-3045, snap_masked-NW_001813684.1-processed-gene-23.30-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-23.30&CDS=1-2283, snap_masked-NW_001813685.1-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-3.84&CDS=1-3423	YGL120C, YKR086W, YNR011C
7	OG0000007	augustus_masked-NW_001813683.1-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-10.22&CDS=1-4590, augustus_masked-NW_001813683.1-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-6.0&CDS=1-4878, genemark-NW_001813675.1-processed-gene-3.38-mRNA-1_1&gene=genemark-NW_001813675.1-processed-gene-3.38&CDS=1-2193, snap_masked-NW_001813683.1-processed-gene-10.88-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-10.88&CDS=1-4053, snap_masked-NW_001813685.1-processed-gene-19.51-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-19.51&CDS=1-2892	YJR004C
8	OG0000008	augustus_masked-NW_001813676.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_001813676.1-processed-gene-0.85&CDS=1-2349, augustus_masked-NW_001813681.1-processed-gene-11.174-mRNA-1_1&gene=augustus_masked-NW_001813681.1-processed-gene-11.174&CDS=1-2298, snap_masked-NW_001813682.1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-12.96&CDS=1-2415, snap_masked-NW_001813684.1-processed-gene-11.30-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.30&CDS=1-2307	YGL257C, YNR059W
9	OG0000009	augustus_masked-NW_001813676.1-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NW_001813676.1-processed-gene-1.25&CDS=1-2211, snap_masked-NW_001813684.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-1.64&CDS=1-3291	YER054C, YIL045W, YLR273C, YOR178C
