	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034612_Saturnispora_saitoi
0	OG0000000		augustus_masked-flattened_line_209-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_209-processed-gene-0.1&CDS=1-738, augustus_masked-flattened_line_23-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.89&CDS=1-1200, augustus_masked-flattened_line_233-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_233-processed-gene-0.1&CDS=1-531, augustus_masked-flattened_line_235-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_235-processed-gene-0.1&CDS=1-528, augustus_masked-flattened_line_35-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.135&CDS=1-2556, augustus_masked-flattened_line_37-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.145&CDS=1-957, augustus_masked-flattened_line_49-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.133&CDS=1-1050, augustus_masked-flattened_line_493-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_493-processed-gene-0.2&CDS=1-234, augustus_masked-flattened_line_495-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_495-processed-gene-0.1&CDS=1-234, augustus_masked-flattened_line_521-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_521-processed-gene-0.1&CDS=1-228, augustus_masked-flattened_line_53-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.21&CDS=1-1071, augustus_masked-flattened_line_533-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_533-processed-gene-0.0&CDS=1-222, augustus_masked-flattened_line_537-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_537-processed-gene-0.1&CDS=1-222, augustus_masked-flattened_line_547-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_547-processed-gene-0.1&CDS=1-216, augustus_masked-flattened_line_563-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_563-processed-gene-0.1&CDS=1-210, augustus_masked-flattened_line_57-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.31&CDS=1-2979, augustus_masked-flattened_line_70-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.1&CDS=1-2454, snap_masked-flattened_line_121-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.2&CDS=1-1257, snap_masked-flattened_line_49-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.25&CDS=1-267, snap_masked-flattened_line_57-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.70&CDS=1-222, snap_masked-flattened_line_74-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.1&CDS=1-2205, snap_masked-flattened_line_77-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.1&CDS=1-1638, snap_masked-flattened_line_99-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.1&CDS=1-1452
1	OG0000001	YBR240C	augustus_masked-flattened_line_0-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.145&CDS=1-2265, augustus_masked-flattened_line_10-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.5&CDS=1-852, augustus_masked-flattened_line_25-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.67&CDS=1-1515, augustus_masked-flattened_line_29-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.42&CDS=1-876, genemark-flattened_line_8-processed-gene-2.26-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.26&CDS=1-1755, snap_masked-flattened_line_2-processed-gene-2.90-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.90&CDS=1-522, snap_masked-flattened_line_2-processed-gene-3.16-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.16&CDS=1-513, snap_masked-flattened_line_20-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.103&CDS=1-2295, snap_masked-flattened_line_8-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.132&CDS=1-1161
2	OG0000002	YDR011W, YPL058C	augustus_masked-flattened_line_10-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.34&CDS=1-4491, augustus_masked-flattened_line_12-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.112&CDS=1-4761, augustus_masked-flattened_line_57-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.29&CDS=1-4575, augustus_masked-flattened_line_65-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.26&CDS=1-4488, maker-flattened_line_12-augustus-gene-3.1-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-3.1&CDS=1-6954, maker-flattened_line_37-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_37-augustus-gene-0.56&CDS=1-5070
3	OG0000003	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W	augustus_masked-flattened_line_10-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.13&CDS=1-1593, augustus_masked-flattened_line_8-processed-gene-4.212-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.212&CDS=1-1680
4	OG0000004		augustus_masked-flattened_line_117-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.5&CDS=1-1551, augustus_masked-flattened_line_23-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.91&CDS=1-2082, augustus_masked-flattened_line_31-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.28&CDS=1-1581, augustus_masked-flattened_line_351-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_351-processed-gene-0.1&CDS=1-285, augustus_masked-flattened_line_89-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.5&CDS=1-1788, genemark-flattened_line_117-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.2&CDS=1-705, snap_masked-flattened_line_131-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.5&CDS=1-1542, snap_masked-flattened_line_89-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.0&CDS=1-486
5	OG0000005	YBL068W, YER099C, YHL011C, YOL061W	augustus_masked-flattened_line_0-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.10&CDS=1-1053, augustus_masked-flattened_line_37-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.138&CDS=1-960, augustus_masked-flattened_line_6-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.28&CDS=1-984
6	OG0000006	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_4-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.76&CDS=1-1209, augustus_masked-flattened_line_4-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.78&CDS=1-867, maker-flattened_line_4-augustus-gene-2.151-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.151&CDS=1-822
7	OG0000007	YCL074W	augustus_masked-flattened_line_147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.2&CDS=1-1587, augustus_masked-flattened_line_165-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_165-processed-gene-0.1&CDS=1-1620, augustus_masked-flattened_line_63-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.14&CDS=1-1500, snap_masked-flattened_line_20-processed-gene-2.173-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.173&CDS=1-453, snap_masked-flattened_line_53-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.53&CDS=1-483, snap_masked-flattened_line_97-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.2&CDS=1-3315
8	OG0000008	YGR055W	augustus_masked-flattened_line_105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.0&CDS=1-1767, augustus_masked-flattened_line_107-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.4&CDS=1-1773, augustus_masked-flattened_line_25-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.201&CDS=1-1749, augustus_masked-flattened_line_27-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.8&CDS=1-1746, augustus_masked-flattened_line_57-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.39&CDS=1-1749, augustus_masked-flattened_line_91-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_91-processed-gene-0.1&CDS=1-1746
9	OG0000009	YMR169C, YMR170C, YOR374W	augustus_masked-flattened_line_2-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.24&CDS=1-1551, augustus_masked-flattened_line_25-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.68&CDS=1-1491, augustus_masked-flattened_line_27-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.24&CDS=1-1767, augustus_masked-flattened_line_4-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.9&CDS=1-1557
