	OrthologID	Lachancea_mirantina	Saccharomyces_cerevisiae
0	OG0000000	snap_masked-LAMI0G-processed-gene-4.71-mRNA-1_1&gene=snap_masked-LAMI0G-processed-gene-4.71&CDS=1-708	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
1	OG0000001		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W
2	OG0000002	genemark-LAMI0A-processed-gene-6.11-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.11&CDS=1-3861, maker-LAMI0D-augustus-gene-11.59-mRNA-1_1&gene=maker-LAMI0D-augustus-gene-11.59&CDS=1-2355	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
3	OG0000003	augustus_masked-LAMI0F-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-13.64&CDS=1-1755, genemark-LAMI0B-processed-gene-5.38-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.38&CDS=1-1332	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C
4	OG0000004	genemark-LAMI0E-processed-gene-5.21-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-5.21&CDS=1-4539, genemark-LAMI0F-processed-gene-11.113-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-11.113&CDS=1-4443, maker-LAMI0C-augustus-gene-3.5-mRNA-1_1&gene=maker-LAMI0C-augustus-gene-3.5&CDS=1-5325	YDR011W, YDR406W, YOR153W, YPL058C
5	OG0000005	genemark-LAMI0C-processed-gene-9.175-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-9.175&CDS=1-1407, genemark-LAMI0H-processed-gene-11.149-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.149&CDS=1-1398	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
6	OG0000006	genemark-LAMI0D-processed-gene-4.40-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-4.40&CDS=1-1959, genemark-LAMI0F-processed-gene-10.49-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-10.49&CDS=1-2034, genemark-LAMI0H-processed-gene-11.146-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.146&CDS=1-1917	YAL005C, YER103W, YJL034W, YLL024C
7	OG0000007	genemark-LAMI0G-processed-gene-13.37-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-13.37&CDS=1-2136, snap_masked-LAMI0H-processed-gene-16.53-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-16.53&CDS=1-1104	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
8	OG0000008	augustus_masked-LAMI0H-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.122&CDS=1-5811, genemark-LAMI0H-processed-gene-16.245-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-16.245&CDS=1-1740	YBR284W, YJL070C, YLR237W, YOR071C, YOR192C
9	OG0000009	genemark-LAMI0A-processed-gene-6.19-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.19&CDS=1-3369, genemark-LAMI0F-processed-gene-7.132-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.132&CDS=1-2313, genemark-LAMI0H-processed-gene-8.123-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.123&CDS=1-3339	YER013W, YGL120C, YKR086W
