	OrthologID	Metschnikowia_dekortum	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-dek_C15015-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-dek_C15015-processed-gene-0.1&CDS=1-960, augustus_masked-dek_s111-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-dek_s111-processed-gene-0.107&CDS=1-1464, augustus_masked-dek_s12-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.35&CDS=1-2523, augustus_masked-dek_s128-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-dek_s128-processed-gene-0.1&CDS=1-1230, augustus_masked-dek_s19-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-dek_s19-processed-gene-0.76&CDS=1-5085, augustus_masked-dek_s26-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-0.103&CDS=1-657, augustus_masked-dek_s61-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-dek_s61-processed-gene-2.145&CDS=1-2943, augustus_masked-dek_s61-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-dek_s61-processed-gene-2.147&CDS=1-762, augustus_masked-dek_s63-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-dek_s63-processed-gene-0.1&CDS=1-1566, augustus_masked-dek_s71-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-dek_s71-processed-gene-0.61&CDS=1-1779, augustus_masked-dek_s8-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-dek_s8-processed-gene-0.26&CDS=1-1374, augustus_masked-dek_s80-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-dek_s80-processed-gene-0.7&CDS=1-936, genemark-dek_s19-processed-gene-0.48-mRNA-1_1&gene=genemark-dek_s19-processed-gene-0.48&CDS=1-3021, maker-dek_s17-snap-gene-0.110-mRNA-1_1&gene=maker-dek_s17-snap-gene-0.110&CDS=1-462, snap_masked-dek_s111-processed-gene-0.22-mRNA-1_1&gene=snap_masked-dek_s111-processed-gene-0.22&CDS=1-2619, snap_masked-dek_s61-processed-gene-2.90-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-2.90&CDS=1-1971, snap_masked-dek_s89-processed-gene-0.6-mRNA-1_1&gene=snap_masked-dek_s89-processed-gene-0.6&CDS=1-4008	
1	OG0000001	genemark-dek_s13-processed-gene-0.42-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.42&CDS=1-1086, genemark-dek_s15-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s15-processed-gene-0.2&CDS=1-1053, genemark-dek_s26-processed-gene-12.82-mRNA-1_1&gene=genemark-dek_s26-processed-gene-12.82&CDS=1-1080, genemark-dek_s26-processed-gene-12.83-mRNA-1_1&gene=genemark-dek_s26-processed-gene-12.83&CDS=1-1080, genemark-dek_s26-processed-gene-12.84-mRNA-1_1&gene=genemark-dek_s26-processed-gene-12.84&CDS=1-1080, genemark-dek_s78-processed-gene-0.139-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.139&CDS=1-960, maker-dek_s71-snap-gene-0.1-mRNA-1_1&gene=maker-dek_s71-snap-gene-0.1&CDS=1-1935, snap_masked-dek_s19-processed-gene-0.16-mRNA-1_1&gene=snap_masked-dek_s19-processed-gene-0.16&CDS=1-1080, snap_masked-dek_s83-processed-gene-0.2-mRNA-1_1&gene=snap_masked-dek_s83-processed-gene-0.2&CDS=1-951	YCR105W, YMR318C
2	OG0000002	augustus_masked-dek_C14301-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-dek_C14301-processed-gene-0.2&CDS=1-444, augustus_masked-dek_s56-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-dek_s56-processed-gene-0.2&CDS=1-198, genemark-dek_s108-processed-gene-0.80-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.80&CDS=1-861, genemark-dek_s17-processed-gene-5.3-mRNA-1_1&gene=genemark-dek_s17-processed-gene-5.3&CDS=1-882, genemark-dek_s19-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s19-processed-gene-0.47&CDS=1-897, genemark-dek_s68-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s68-processed-gene-0.5&CDS=1-903, genemark-dek_s79-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s79-processed-gene-0.4&CDS=1-909	YKL096W
3	OG0000003	genemark-dek_s129-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s129-processed-gene-0.4&CDS=1-1002, genemark-dek_s86-processed-gene-1.129-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.129&CDS=1-1002, genemark-dek_s86-processed-gene-1.132-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.132&CDS=1-1002, genemark-dek_s86-processed-gene-1.133-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.133&CDS=1-1026, genemark-dek_s86-processed-gene-1.134-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.134&CDS=1-1002, maker-dek_s86-augustus-gene-1.98-mRNA-1_1&gene=maker-dek_s86-augustus-gene-1.98&CDS=1-2022	YDR541C, YOL151W
4	OG0000004	genemark-dek_s19-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s19-processed-gene-0.50&CDS=1-2109, genemark-dek_s22-processed-gene-1.95-mRNA-1_1&gene=genemark-dek_s22-processed-gene-1.95&CDS=1-2139, genemark-dek_s96-processed-gene-2.149-mRNA-1_1&gene=genemark-dek_s96-processed-gene-2.149&CDS=1-2172	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
5	OG0000005	genemark-dek_s96-processed-gene-1.16-mRNA-1_1&gene=genemark-dek_s96-processed-gene-1.16&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	augustus_masked-dek_C16103-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-dek_C16103-processed-gene-0.5&CDS=1-1824, augustus_masked-dek_s94-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-dek_s94-processed-gene-0.17&CDS=1-1788, genemark-dek_s3-processed-gene-5.24-mRNA-1_1&gene=genemark-dek_s3-processed-gene-5.24&CDS=1-1758, genemark-dek_s3-processed-gene-5.29-mRNA-1_1&gene=genemark-dek_s3-processed-gene-5.29&CDS=1-1761, maker-dek_s3-augustus-gene-5.89-mRNA-1_1&gene=maker-dek_s3-augustus-gene-5.89&CDS=1-2949	YPL243W, YPL244C
7	OG0000007	augustus_masked-dek_s10-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-dek_s10-processed-gene-1.125&CDS=1-3645, augustus_masked-dek_s26-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-5.12&CDS=1-2751, genemark-dek_s10-processed-gene-1.40-mRNA-1_1&gene=genemark-dek_s10-processed-gene-1.40&CDS=1-3561, genemark-dek_s137-processed-gene-5.107-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.107&CDS=1-2502, genemark-dek_s151-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s151-processed-gene-0.40&CDS=1-2709, genemark-dek_s34-processed-gene-4.20-mRNA-1_1&gene=genemark-dek_s34-processed-gene-4.20&CDS=1-3228	YLR256W
8	OG0000008	genemark-dek_s100-processed-gene-0.31-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.31&CDS=1-2538, genemark-dek_s34-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s34-processed-gene-0.5&CDS=1-4116, genemark-dek_s43-processed-gene-0.129-mRNA-1_1&gene=genemark-dek_s43-processed-gene-0.129&CDS=1-2538, genemark-dek_s61-processed-gene-1.70-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.70&CDS=1-642, genemark-dek_s61-processed-gene-1.71-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.71&CDS=1-1755, maker-dek_s46-augustus-gene-0.41-mRNA-1_1&gene=maker-dek_s46-augustus-gene-0.41&CDS=1-3306	YML015C
9	OG0000009	genemark-dek_s151-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s151-processed-gene-0.41&CDS=1-1044, genemark-dek_s8-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s8-processed-gene-0.4&CDS=1-1092, snap_masked-dek_s23-processed-gene-1.41-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.41&CDS=1-951	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
