	OrthologID	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-sce_C45390-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sce_C45390-processed-gene-0.5&CDS=1-468, augustus_masked-sce_s104-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sce_s104-processed-gene-0.30&CDS=1-1881, augustus_masked-sce_s11-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s11-processed-gene-0.4&CDS=1-333, augustus_masked-sce_s132-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sce_s132-processed-gene-0.12&CDS=1-861, augustus_masked-sce_s150-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sce_s150-processed-gene-0.33&CDS=1-759, augustus_masked-sce_s244-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sce_s244-processed-gene-0.23&CDS=1-1074, augustus_masked-sce_s25-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sce_s25-processed-gene-0.3&CDS=1-1068, augustus_masked-sce_s251-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_s251-processed-gene-0.2&CDS=1-693, augustus_masked-sce_s288-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s288-processed-gene-0.0&CDS=1-1809, augustus_masked-sce_s29-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s29-processed-gene-0.4&CDS=1-732, augustus_masked-sce_s373-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s373-processed-gene-0.0&CDS=1-858, augustus_masked-sce_s378-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sce_s378-processed-gene-0.15&CDS=1-5091, augustus_masked-sce_s4-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s4-processed-gene-0.1&CDS=1-516, augustus_masked-sce_s527-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_s527-processed-gene-0.2&CDS=1-1023, augustus_masked-sce_s537-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sce_s537-processed-gene-0.5&CDS=1-1131, augustus_masked-sce_s55-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_s55-processed-gene-0.2&CDS=1-894, augustus_masked-sce_s7-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-sce_s7-processed-gene-0.41&CDS=1-573, augustus_masked-sce_s97-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sce_s97-processed-gene-0.34&CDS=1-507, snap_masked-sce_s172-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s172-processed-gene-0.18&CDS=1-732, snap_masked-sce_s180-processed-gene-0.14-mRNA-1_1&gene=snap_masked-sce_s180-processed-gene-0.14&CDS=1-450, snap_masked-sce_s20-processed-gene-0.19-mRNA-1_1&gene=snap_masked-sce_s20-processed-gene-0.19&CDS=1-279, snap_masked-sce_s231-processed-gene-0.54-mRNA-1_1&gene=snap_masked-sce_s231-processed-gene-0.54&CDS=1-249, snap_masked-sce_s248-processed-gene-0.29-mRNA-1_1&gene=snap_masked-sce_s248-processed-gene-0.29&CDS=1-333, snap_masked-sce_s306-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_s306-processed-gene-0.2&CDS=1-393, snap_masked-sce_s412-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s412-processed-gene-0.0&CDS=1-96, snap_masked-sce_s440-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sce_s440-processed-gene-0.5&CDS=1-381, snap_masked-sce_s497-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_s497-processed-gene-0.2&CDS=1-297, snap_masked-sce_s513-processed-gene-0.16-mRNA-1_1&gene=snap_masked-sce_s513-processed-gene-0.16&CDS=1-1026, snap_masked-sce_s76-processed-gene-0.17-mRNA-1_1&gene=snap_masked-sce_s76-processed-gene-0.17&CDS=1-210	YCL074W, YOR148C
1	OG0000001	augustus_masked-sce_C45692-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sce_C45692-processed-gene-0.5&CDS=1-1314, augustus_masked-sce_s192-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s192-processed-gene-0.0&CDS=1-1449, augustus_masked-sce_s287-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sce_s287-processed-gene-0.7&CDS=1-1602, augustus_masked-sce_s411-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sce_s411-processed-gene-0.31&CDS=1-741, augustus_masked-sce_s480-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sce_s480-processed-gene-0.17&CDS=1-1161, augustus_masked-sce_s633-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s633-processed-gene-0.1&CDS=1-1461, genemark-sce_s134-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s134-processed-gene-0.1&CDS=1-1635, genemark-sce_s157-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s157-processed-gene-0.2&CDS=1-1680, genemark-sce_s20-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s20-processed-gene-0.12&CDS=1-1269, genemark-sce_s227-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s227-processed-gene-0.12&CDS=1-1758, genemark-sce_s26-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s26-processed-gene-0.23&CDS=1-1398, genemark-sce_s454-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s454-processed-gene-0.8&CDS=1-1407, genemark-sce_s455-processed-gene-1.164-mRNA-1_1&gene=genemark-sce_s455-processed-gene-1.164&CDS=1-1686, genemark-sce_s62-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s62-processed-gene-0.22&CDS=1-1665, genemark-sce_s90-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s90-processed-gene-0.11&CDS=1-1527, maker-sce_s245-snap-gene-0.0-mRNA-1_1&gene=maker-sce_s245-snap-gene-0.0&CDS=1-1440, maker-sce_s474-augustus-gene-0.21-mRNA-1_1&gene=maker-sce_s474-augustus-gene-0.21&CDS=1-1161, snap_masked-sce_s221-processed-gene-0.68-mRNA-1_1&gene=snap_masked-sce_s221-processed-gene-0.68&CDS=1-1470, snap_masked-sce_s32-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sce_s32-processed-gene-0.5&CDS=1-1341, snap_masked-sce_s463-processed-gene-0.41-mRNA-1_1&gene=snap_masked-sce_s463-processed-gene-0.41&CDS=1-1080, snap_masked-sce_s96-processed-gene-0.28-mRNA-1_1&gene=snap_masked-sce_s96-processed-gene-0.28&CDS=1-1446, snap_masked-sce_s96-processed-gene-0.29-mRNA-1_1&gene=snap_masked-sce_s96-processed-gene-0.29&CDS=1-1482	YBL026W, YDR144C, YLR120C, YLR121C
2	OG0000002	augustus_masked-sce_s207-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-sce_s207-processed-gene-2.110&CDS=1-984, augustus_masked-sce_s257-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sce_s257-processed-gene-0.114&CDS=1-837, augustus_masked-sce_s265-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sce_s265-processed-gene-0.7&CDS=1-717, augustus_masked-sce_s463-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-sce_s463-processed-gene-0.104&CDS=1-816, augustus_masked-sce_s469-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s469-processed-gene-0.0&CDS=1-1752, augustus_masked-sce_s492-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sce_s492-processed-gene-0.34&CDS=1-1611, augustus_masked-sce_s609-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sce_s609-processed-gene-0.3&CDS=1-966, augustus_masked-sce_s633-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s633-processed-gene-0.0&CDS=1-1878, augustus_masked-sce_s672-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s672-processed-gene-0.18&CDS=1-4911, augustus_masked-sce_s730-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s730-processed-gene-0.4&CDS=1-1734, augustus_masked-sce_s78-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sce_s78-processed-gene-0.37&CDS=1-897, genemark-sce_C45856-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_C45856-processed-gene-0.10&CDS=1-795, genemark-sce_s629-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s629-processed-gene-0.10&CDS=1-4680, genemark-sce_s692-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s692-processed-gene-0.18&CDS=1-870, snap_masked-sce_C42518-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_C42518-processed-gene-0.2&CDS=1-897, snap_masked-sce_C45448-processed-gene-0.8-mRNA-1_1&gene=snap_masked-sce_C45448-processed-gene-0.8&CDS=1-1770, snap_masked-sce_C45722-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_C45722-processed-gene-0.2&CDS=1-2310, snap_masked-sce_s2-processed-gene-0.44-mRNA-1_1&gene=snap_masked-sce_s2-processed-gene-0.44&CDS=1-2517, snap_masked-sce_s43-processed-gene-0.102-mRNA-1_1&gene=snap_masked-sce_s43-processed-gene-0.102&CDS=1-1521, snap_masked-sce_s692-processed-gene-0.7-mRNA-1_1&gene=snap_masked-sce_s692-processed-gene-0.7&CDS=1-264, snap_masked-sce_s78-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sce_s78-processed-gene-0.6&CDS=1-2262	
3	OG0000003	augustus_masked-sce_s12-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s12-processed-gene-0.1&CDS=1-354, augustus_masked-sce_s152-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sce_s152-processed-gene-0.3&CDS=1-534, augustus_masked-sce_s53-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.18&CDS=1-435, augustus_masked-sce_s600-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s600-processed-gene-0.0&CDS=1-414, augustus_masked-sce_s87-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s87-processed-gene-0.8&CDS=1-2640, genemark-sce_s134-processed-gene-0.0-mRNA-1_1&gene=genemark-sce_s134-processed-gene-0.0&CDS=1-867, genemark-sce_s323-processed-gene-1.202-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.202&CDS=1-900, genemark-sce_s455-processed-gene-1.131-mRNA-1_1&gene=genemark-sce_s455-processed-gene-1.131&CDS=1-867, genemark-sce_s463-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s463-processed-gene-0.59&CDS=1-882, genemark-sce_s546-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s546-processed-gene-0.6&CDS=1-843, genemark-sce_s87-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s87-processed-gene-0.31&CDS=1-867, maker-sce_s213-augustus-gene-0.0-mRNA-1_1&gene=maker-sce_s213-augustus-gene-0.0&CDS=1-594, snap_masked-sce_s12-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sce_s12-processed-gene-0.12&CDS=1-258, snap_masked-sce_s257-processed-gene-0.189-mRNA-1_1&gene=snap_masked-sce_s257-processed-gene-0.189&CDS=1-210, snap_masked-sce_s263-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sce_s263-processed-gene-0.12&CDS=1-210, snap_masked-sce_s505-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s505-processed-gene-0.4&CDS=1-414	YDR103W, YKL096W
4	OG0000004	augustus_masked-sce_s458-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s458-processed-gene-0.0&CDS=1-363, augustus_masked-sce_s89-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_s89-processed-gene-0.2&CDS=1-363, genemark-sce_s120-processed-gene-0.145-mRNA-1_1&gene=genemark-sce_s120-processed-gene-0.145&CDS=1-639, genemark-sce_s14-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s14-processed-gene-0.20&CDS=1-705, genemark-sce_s151-processed-gene-1.94-mRNA-1_1&gene=genemark-sce_s151-processed-gene-1.94&CDS=1-645, genemark-sce_s456-processed-gene-0.58-mRNA-1_1&gene=genemark-sce_s456-processed-gene-0.58&CDS=1-693, genemark-sce_s738-processed-gene-0.47-mRNA-1_1&gene=genemark-sce_s738-processed-gene-0.47&CDS=1-582, maker-sce_s526-augustus-gene-0.0-mRNA-1_1&gene=maker-sce_s526-augustus-gene-0.0&CDS=1-621	YDR533C, YMR322C, YOR391C, YPL280W
5	OG0000005	augustus_masked-sce_s248-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sce_s248-processed-gene-0.12&CDS=1-636, augustus_masked-sce_s359-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-sce_s359-processed-gene-0.54&CDS=1-3297, genemark-sce_s128-processed-gene-0.89-mRNA-1_1&gene=genemark-sce_s128-processed-gene-0.89&CDS=1-2649, genemark-sce_s207-processed-gene-1.158-mRNA-1_1&gene=genemark-sce_s207-processed-gene-1.158&CDS=1-2757, genemark-sce_s3-processed-gene-2.52-mRNA-1_1&gene=genemark-sce_s3-processed-gene-2.52&CDS=1-2496, genemark-sce_s43-processed-gene-0.36-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.36&CDS=1-3450, maker-sce_s323-augustus-gene-0.73-mRNA-1_1&gene=maker-sce_s323-augustus-gene-0.73&CDS=1-7005, snap_masked-sce_s323-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_s323-processed-gene-0.2&CDS=1-3159, snap_masked-sce_s582-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sce_s582-processed-gene-0.6&CDS=1-228	YKR064W, YLR256W
6	OG0000006	augustus_masked-sce_s363-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sce_s363-processed-gene-0.24&CDS=1-1689, augustus_masked-sce_s648-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sce_s648-processed-gene-0.103&CDS=1-1728, genemark-sce_s15-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s15-processed-gene-0.6&CDS=1-1653, genemark-sce_s207-processed-gene-2.211-mRNA-1_1&gene=genemark-sce_s207-processed-gene-2.211&CDS=1-1812, genemark-sce_s249-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s249-processed-gene-0.9&CDS=1-1668, genemark-sce_s648-processed-gene-0.79-mRNA-1_1&gene=genemark-sce_s648-processed-gene-0.79&CDS=1-1752, maker-sce_C46472-augustus-gene-0.23-mRNA-1_1&gene=maker-sce_C46472-augustus-gene-0.23&CDS=1-2769	YKR039W, YLL061W, YPL274W
7	OG0000007	augustus_masked-sce_s118-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sce_s118-processed-gene-0.89&CDS=1-2229, genemark-sce_s122-processed-gene-1.243-mRNA-1_1&gene=genemark-sce_s122-processed-gene-1.243&CDS=1-1773, genemark-sce_s463-processed-gene-0.50-mRNA-1_1&gene=genemark-sce_s463-processed-gene-0.50&CDS=1-2262, genemark-sce_s6-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s6-processed-gene-0.15&CDS=1-2643, genemark-sce_s736-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s736-processed-gene-0.32&CDS=1-2253, snap_masked-sce_s257-processed-gene-0.162-mRNA-1_1&gene=snap_masked-sce_s257-processed-gene-0.162&CDS=1-1248, snap_masked-sce_s274-processed-gene-0.10-mRNA-1_1&gene=snap_masked-sce_s274-processed-gene-0.10&CDS=1-273	YJR061W, YKL201C
8	OG0000008	genemark-sce_s118-processed-gene-1.25-mRNA-1_1&gene=genemark-sce_s118-processed-gene-1.25&CDS=1-1788, genemark-sce_s128-processed-gene-0.97-mRNA-1_1&gene=genemark-sce_s128-processed-gene-0.97&CDS=1-1896, genemark-sce_s280-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s280-processed-gene-0.27&CDS=1-1722, genemark-sce_s455-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s455-processed-gene-0.10&CDS=1-1737	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
9	OG0000009	augustus_masked-sce_s118-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sce_s118-processed-gene-0.86&CDS=1-5982, genemark-sce_s295-processed-gene-0.56-mRNA-1_1&gene=genemark-sce_s295-processed-gene-0.56&CDS=1-2277, genemark-sce_s43-processed-gene-3.152-mRNA-1_1&gene=genemark-sce_s43-processed-gene-3.152&CDS=1-2646, genemark-sce_s590-processed-gene-0.65-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.65&CDS=1-3372	YER013W, YGL120C, YKR086W, YNR011C
