	OrthologID	Saccharomyces_cerevisiae	Stagonospora_nodorum
0	OG0000000	YBR293W	XP_001791004.1, XP_001791612.1, XP_001792000.1, XP_001793206.1, XP_001793574.1, XP_001794321.1, XP_001794478.1, XP_001794802.1, XP_001794964.1, XP_001795030.1, XP_001795310.1, XP_001796360.1, XP_001797244.1, XP_001798920.1, XP_001798951.1, XP_001799336.1, XP_001799746.1, XP_001800209.1, XP_001801136.1, XP_001801323.1, XP_001801480.1, XP_001802666.1, XP_001803889.1, XP_001805954.1
1	OG0000001	YBR240C, YDL170W, YML099C	XP_001791840.1, XP_001792247.1, XP_001792848.1, XP_001793289.1, XP_001794278.1, XP_001795255.1, XP_001797248.1, XP_001797820.1, XP_001798156.1, XP_001798983.1, XP_001799729.1, XP_001799883.1, XP_001800140.1, XP_001801076.1, XP_001801282.1, XP_001802030.1, XP_001803056.1, XP_001803238.1, XP_001803869.1, XP_001804162.1, XP_001805903.1
2	OG0000002	YBR008C, YGR138C, YLL028W, YPR156C	XP_001791463.1, XP_001792067.1, XP_001792242.1, XP_001793370.1, XP_001794322.1, XP_001795756.1, XP_001796204.1, XP_001797087.1, XP_001797175.1, XP_001797546.1, XP_001799633.1, XP_001803084.1, XP_001803761.1, XP_001805575.1, XP_001806116.1
3	OG0000003	YMR152W	XP_001791475.1, XP_001792581.1, XP_001792582.1, XP_001795278.1, XP_001795860.1, XP_001797893.1, XP_001798824.1, XP_001800222.1, XP_001800234.1, XP_001800637.1, XP_001801016.1, XP_001802687.1, XP_001802812.1, XP_001804611.1, XP_001804740.1, XP_001805302.1, XP_001805829.1, XP_001806507.1
4	OG0000004	YBL007C, YGR260W	XP_001792895.1, XP_001794417.1, XP_001795305.1, XP_001795356.1, XP_001796290.1, XP_001797628.1, XP_001798420.1, XP_001799104.1, XP_001799964.1, XP_001800057.1, XP_001801128.1, XP_001801720.1, XP_001803475.1, XP_001805375.1
5	OG0000005	YBR086C	XP_001791257.1, XP_001792695.1, XP_001793189.1, XP_001793237.1, XP_001793617.1, XP_001795183.1, XP_001795920.1, XP_001796261.1, XP_001796262.1, XP_001799822.1, XP_001801239.1, XP_001801293.1, XP_001801962.1, XP_001803963.1, XP_001804889.1
6	OG0000006	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YOL156W	XP_001793601.1, XP_001795809.1, XP_001801069.1
7	OG0000007	YER080W	XP_001792090.1, XP_001793924.1, XP_001795754.1, XP_001795939.1, XP_001796022.1, XP_001796789.1, XP_001797137.1, XP_001798447.1, XP_001798784.1, XP_001799178.1, XP_001799429.1, XP_001800819.1, XP_001803937.1
8	OG0000008	YOR246C	XP_001791777.1, XP_001792297.1, XP_001797381.1, XP_001797927.1, XP_001798189.1, XP_001798911.1, XP_001799785.1, XP_001799845.1, XP_001799905.1, XP_001800437.1, XP_001800942.1, XP_001803189.1, XP_001804858.1
9	OG0000009	YDR034C, YDR213W, YLR228C	XP_001790848.1, XP_001792551.1, XP_001792677.1, XP_001793075.1, XP_001797294.1, XP_001802168.1, XP_001802633.1, XP_001803147.1, XP_001803579.1, XP_001806180.1
