	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_kudriavzevii
0	OG0000000	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	augustus_masked-Skud_14-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-0.21&CDS=1-360, augustus_masked-Skud_3-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.37&CDS=1-360
1	OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W	genemark-Skud_6-processed-gene-0.42-mRNA-1_1&gene=genemark-Skud_6-processed-gene-0.42&CDS=1-1374, maker-Skud_4-augustus-gene-11.3-mRNA-1_1&gene=maker-Skud_4-augustus-gene-11.3&CDS=1-1611, maker-Skud_7-augustus-gene-9.249-mRNA-1_1&gene=maker-Skud_7-augustus-gene-9.249&CDS=1-1368
2	OG0000002	YAL005C, YBL075C, YBL076C, YER103W, YJL034W, YLL024C	augustus_masked-Skud_1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.69&CDS=1-1926, augustus_masked-Skud_10-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-Skud_10-processed-gene-3.14&CDS=1-2046, augustus_masked-Skud_5-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-Skud_5-processed-gene-3.27&CDS=1-1926, maker-Skud_12-snap-gene-1.1-mRNA-1_1&gene=maker-Skud_12-snap-gene-1.1&CDS=1-2751, maker-Skud_2-augustus-gene-0.4-mRNA-1_1&gene=maker-Skud_2-augustus-gene-0.4&CDS=1-5190
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-Skud_7-processed-gene-9.200-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.200&CDS=1-1743, augustus_masked-Skud_7-processed-gene-9.204-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.204&CDS=1-1752, augustus_masked-Skud_7-processed-gene-9.236-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.236&CDS=1-1767, maker-Skud_6-augustus-gene-0.75-mRNA-1_1&gene=maker-Skud_6-augustus-gene-0.75&CDS=1-1590
4	OG0000004	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W	augustus_masked-Skud_11-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-Skud_11-processed-gene-0.43&CDS=1-864
5	OG0000005	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-Skud_2-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-6.122&CDS=1-1404, augustus_masked-Skud_6-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-Skud_6-processed-gene-0.11&CDS=1-1254, augustus_masked-Skud_7-processed-gene-9.201-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.201&CDS=1-1227, augustus_masked-Skud_7-processed-gene-9.203-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.203&CDS=1-1224, snap_masked-Skud_7-processed-gene-9.49-mRNA-1_1&gene=snap_masked-Skud_7-processed-gene-9.49&CDS=1-1422
6	OG0000006	YBR145W, YMR083W, YMR303C, YOL086C	augustus_masked-Skud_13-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-4.52&CDS=1-1125, augustus_masked-Skud_13-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-7.65&CDS=1-1044, augustus_masked-Skud_15-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-1.111&CDS=1-1044, genemark-Skud_2-processed-gene-5.51-mRNA-1_1&gene=genemark-Skud_2-processed-gene-5.51&CDS=1-1053
7	OG0000007	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-Skud_4-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-0.34&CDS=1-1833, augustus_masked-Skud_7-processed-gene-9.235-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.235&CDS=1-1848, augustus_masked-Skud_7-processed-gene-9.237-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-9.237&CDS=1-1848
8	OG0000008	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-Skud_10-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-Skud_10-processed-gene-0.38&CDS=1-1020, augustus_masked-Skud_4-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-0.35&CDS=1-1020, snap_masked-Skud_14-processed-gene-0.81-mRNA-1_1&gene=snap_masked-Skud_14-processed-gene-0.81&CDS=1-996
9	OG0000009	YNL104C, YNL106C, YOR108W, YOR109W	augustus_masked-Skud_15-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-5.2&CDS=1-3324, genemark-Skud_15-processed-gene-4.122-mRNA-1_1&gene=genemark-Skud_15-processed-gene-4.122&CDS=1-1812, maker-Skud_14-augustus-gene-4.137-mRNA-1_1&gene=maker-Skud_14-augustus-gene-4.137&CDS=1-5535
