	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034892_Ogataea_pilisensis
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001		augustus_masked-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.25&CDS=1-3471, augustus_masked-NODE_165_length_4215_cov_44.1839_ID_329-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_165_length_4215_cov_44.1839_ID_329-processed-gene-0.2&CDS=1-1923, augustus_masked-NODE_192_length_2512_cov_24.8763_ID_383-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_192_length_2512_cov_24.8763_ID_383-processed-gene-0.2&CDS=1-1983, augustus_masked-NODE_235_length_1010_cov_83.1874_ID_469-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_235_length_1010_cov_83.1874_ID_469-processed-gene-0.2&CDS=1-534, augustus_masked-NODE_259_length_761_cov_26.2266_ID_517-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_259_length_761_cov_26.2266_ID_517-processed-gene-0.1&CDS=1-588, augustus_masked-NODE_296_length_594_cov_54.3711_ID_591-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_296_length_594_cov_54.3711_ID_591-processed-gene-0.2&CDS=1-297, snap_masked-NODE_156_length_5282_cov_41.6151_ID_311-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_156_length_5282_cov_41.6151_ID_311-processed-gene-0.0&CDS=1-225, snap_masked-NODE_235_length_1010_cov_83.1874_ID_469-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_235_length_1010_cov_83.1874_ID_469-processed-gene-0.1&CDS=1-276, snap_masked-NODE_24_length_191322_cov_18.2082_ID_47-processed-gene-0.206-mRNA-1_1&gene=snap_masked-NODE_24_length_191322_cov_18.2082_ID_47-processed-gene-0.206&CDS=1-369, snap_masked-NODE_252_length_824_cov_151.1_ID_503-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_252_length_824_cov_151.1_ID_503-processed-gene-0.0&CDS=1-456, snap_masked-NODE_285_length_632_cov_76.0936_ID_569-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_285_length_632_cov_76.0936_ID_569-processed-gene-0.0&CDS=1-354, snap_masked-NODE_298_length_566_cov_43.9393_ID_595-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_298_length_566_cov_43.9393_ID_595-processed-gene-0.0&CDS=1-369, snap_masked-NODE_305_length_528_cov_81.3383_ID_609-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_305_length_528_cov_81.3383_ID_609-processed-gene-0.0&CDS=1-279, snap_masked-NODE_306_length_522_cov_123.409_ID_611-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_306_length_522_cov_123.409_ID_611-processed-gene-0.0&CDS=1-222
2	OG0000002	YLR253W, YOL031C	augustus_masked-NODE_79_length_49234_cov_13.7125_ID_157-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_79_length_49234_cov_13.7125_ID_157-processed-gene-0.32&CDS=1-4023, genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-1.126-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-1.126&CDS=1-2898, genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.99&CDS=1-2757, genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.33&CDS=1-2991, genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.90&CDS=1-2565, genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.20&CDS=1-3219, genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.68-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.68&CDS=1-4527, maker-NODE_6_length_344941_cov_13.9826_ID_11-augustus-gene-2.51-mRNA-1_1&gene=maker-NODE_6_length_344941_cov_13.9826_ID_11-augustus-gene-2.51&CDS=1-5772
3	OG0000003	YLL057C	augustus_masked-NODE_158_length_4961_cov_51.0236_ID_315-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_158_length_4961_cov_51.0236_ID_315-processed-gene-0.0&CDS=1-699, augustus_masked-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.142&CDS=1-567, genemark-NODE_21_length_202435_cov_14.3085_ID_41-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_21_length_202435_cov_14.3085_ID_41-processed-gene-0.75&CDS=1-1212, genemark-NODE_21_length_202435_cov_14.3085_ID_41-processed-gene-1.67-mRNA-1_1&gene=genemark-NODE_21_length_202435_cov_14.3085_ID_41-processed-gene-1.67&CDS=1-1182, genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.51&CDS=1-1236, maker-NODE_18_length_215947_cov_14.4674_ID_35-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_18_length_215947_cov_14.4674_ID_35-snap-gene-1.0&CDS=1-3525, maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-1.76-mRNA-1_1&gene=maker-NODE_6_length_344941_cov_13.9826_ID_11-snap-gene-1.76&CDS=1-2442
4	OG0000004	YBR015C	genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.59&CDS=1-2091, genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.74&CDS=1-2304, genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_53_length_95441_cov_14.3676_ID_105-processed-gene-0.86&CDS=1-2169, genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-0.48&CDS=1-2115, maker-NODE_5_length_350234_cov_14.3543_ID_9-snap-gene-2.220-mRNA-1_1&gene=maker-NODE_5_length_350234_cov_14.3543_ID_9-snap-gene-2.220&CDS=1-3453, snap_masked-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.45&CDS=1-1935
5	OG0000005	YCR028C	augustus_masked-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.30&CDS=1-1437, genemark-NODE_112_length_24816_cov_29.6987_ID_223-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_112_length_24816_cov_29.6987_ID_223-processed-gene-0.13&CDS=1-1683, genemark-NODE_129_length_13214_cov_23.6878_ID_257-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_129_length_13214_cov_23.6878_ID_257-processed-gene-0.8&CDS=1-1683, genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.96&CDS=1-1545, genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.90&CDS=1-1683, genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.25-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.25&CDS=1-1695
6	OG0000006	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.133&CDS=1-1629, genemark-NODE_41_length_124887_cov_20.9297_ID_81-processed-gene-0.122-mRNA-1_1&gene=genemark-NODE_41_length_124887_cov_20.9297_ID_81-processed-gene-0.122&CDS=1-1629
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_131_length_12801_cov_13.33_ID_261-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_131_length_12801_cov_13.33_ID_261-processed-gene-0.8&CDS=1-1035, genemark-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.18&CDS=1-1026, genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.72&CDS=1-1011
8	OG0000008	YKL071W	genemark-NODE_119_length_17761_cov_14.9075_ID_237-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_119_length_17761_cov_14.9075_ID_237-processed-gene-0.3&CDS=1-750, genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.6-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.6&CDS=1-708, genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.46&CDS=1-750, genemark-NODE_56_length_91527_cov_14.5165_ID_111-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_56_length_91527_cov_14.5165_ID_111-processed-gene-0.66&CDS=1-750, maker-NODE_7_length_299677_cov_14.2618_ID_13-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_7_length_299677_cov_14.2618_ID_13-snap-gene-0.38&CDS=1-1410, snap_masked-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-1.107&CDS=1-729
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
