	OrthologID	Ogataea_methanolica	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
1	OG0000001	-processed-gene-0.13-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.13&CDS=1-1050, -processed-gene-0.7-mRNA-1_1&gene=genemark-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.7&CDS=1-1068, -processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-1.53&CDS=1-1074, -processed-gene-10.105-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.105&CDS=1-1074, -processed-gene-10.17-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-10.17&CDS=1-1062, -processed-gene-14.47-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.47&CDS=1-1050, -processed-gene-2.39-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-2.39&CDS=1-1047, -processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-2.63&CDS=1-1062, -processed-gene-2.80-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-2.80&CDS=1-1059, -processed-gene-3.34-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-3.34&CDS=1-1050, -processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316332|dbj|BCKW01000005.1|-processed-gene-4.88&CDS=1-1074, -snap-gene-10.113-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-10.113&CDS=1-1428	YPL088W
2	OG0000002	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002316322|dbj|BCKW01000015.1|-augustus-gene-0.0&CDS=1-4506, -augustus-gene-0.2-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-0.2&CDS=1-4659, -augustus-gene-0.29-mRNA-1_1&gene=maker-gi|1002316323|dbj|BCKW01000014.1|-augustus-gene-0.29&CDS=1-4506, -augustus-gene-17.0-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-17.0&CDS=1-4101, -augustus-gene-35.238-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-augustus-gene-35.238&CDS=1-4506, -augustus-gene-6.237-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-augustus-gene-6.237&CDS=1-4506, -augustus-gene-6.239-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-augustus-gene-6.239&CDS=1-4506, -processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.37&CDS=1-4506, -processed-gene-14.257-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.257&CDS=1-4506, -processed-gene-27.3-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-27.3&CDS=1-4515, -snap-gene-17.2-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-17.2&CDS=1-4509	YOR153W
3	OG0000003	-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002316323|dbj|BCKW01000014.1|-processed-gene-0.10&CDS=1-1026, -processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.19&CDS=1-1011, -processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.23&CDS=1-1011, -processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316323|dbj|BCKW01000014.1|-processed-gene-0.3&CDS=1-1011, -processed-gene-26.54-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-26.54&CDS=1-1008, -processed-gene-3.16-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-3.16&CDS=1-1008, -processed-gene-9.66-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-9.66&CDS=1-1014	YDR541C, YGL039W, YGL157W, YOL151W
4	OG0000004		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
5	OG0000005	-augustus-gene-1.34-mRNA-1_1&gene=maker-gi|1002316332|dbj|BCKW01000005.1|-augustus-gene-1.34&CDS=1-4497, -processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.51&CDS=1-4494, -processed-gene-1.51-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-1.51&CDS=1-4497, -processed-gene-1.83-mRNA-1_1&gene=augustus_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-1.83&CDS=1-4506, -processed-gene-10.104-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-10.104&CDS=1-4491, -processed-gene-12.41-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-12.41&CDS=1-4497, -processed-gene-14.58-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.58&CDS=1-4476, -processed-gene-2.1-mRNA-1_1&gene=augustus_masked-gi|1002316332|dbj|BCKW01000005.1|-processed-gene-2.1&CDS=1-4497	YDR011W, YPL058C
6	OG0000006	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-1.64&CDS=1-1647, -processed-gene-2.100-mRNA-1_1&gene=augustus_masked-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-2.100&CDS=1-1890, -processed-gene-4.52-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.52&CDS=1-2376	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
7	OG0000007	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002316315|dbj|BCKW01000022.1|-processed-gene-0.0&CDS=1-645, -processed-gene-0.108-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-0.108&CDS=1-3567, -processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-1.63&CDS=1-369, -processed-gene-1.88-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-1.88&CDS=1-900, -processed-gene-30.27-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.27&CDS=1-3762, -processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-6.41&CDS=1-645, -processed-gene-7.116-mRNA-1_1&gene=snap_masked-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-7.116&CDS=1-1680, -processed-gene-7.54-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-7.54&CDS=1-660	
8	OG0000008	-augustus-gene-2.3-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-augustus-gene-2.3&CDS=1-1077, -augustus-gene-2.4-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-augustus-gene-2.4&CDS=1-630, -augustus-gene-4.0-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-augustus-gene-4.0&CDS=1-789, -processed-gene-2.154-mRNA-1_1&gene=snap_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-2.154&CDS=1-285, -processed-gene-2.44-mRNA-1_1&gene=augustus_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-2.44&CDS=1-1623, -processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-4.9&CDS=1-1137, -snap-gene-2.108-mRNA-1_1&gene=maker-gi|1002316330|dbj|BCKW01000007.1|-snap-gene-2.108&CDS=1-372	YOR308C
9	OG0000009	-processed-gene-14.192-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.192&CDS=1-1365, -processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.39&CDS=1-1404, -processed-gene-4.66-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-4.66&CDS=1-1374	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
