	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034988_Candida_fructus
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-flattened_line_111-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.90&CDS=1-885, augustus_masked-flattened_line_223-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_223-processed-gene-0.1&CDS=1-885
1	OG0000001	YPR049C	augustus_masked-flattened_line_105-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.90&CDS=1-1392, augustus_masked-flattened_line_107-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.17&CDS=1-2652, augustus_masked-flattened_line_191-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_191-processed-gene-0.4&CDS=1-753, augustus_masked-flattened_line_205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.0&CDS=1-2589, augustus_masked-flattened_line_4-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.108&CDS=1-2034, genemark-flattened_line_24-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.61&CDS=1-1260, maker-flattened_line_105-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_105-snap-gene-0.1&CDS=1-1734, snap_masked-flattened_line_197-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_197-processed-gene-0.1&CDS=1-315, snap_masked-flattened_line_217-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_217-processed-gene-0.1&CDS=1-294, snap_masked-flattened_line_24-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.4&CDS=1-735, snap_masked-flattened_line_26-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.52&CDS=1-4014
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_105-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.88&CDS=1-1038, augustus_masked-flattened_line_129-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.66&CDS=1-1014, augustus_masked-flattened_line_16-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.182&CDS=1-1020, augustus_masked-flattened_line_18-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.73&CDS=1-1011, augustus_masked-flattened_line_89-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.124&CDS=1-1005, maker-flattened_line_97-snap-gene-0.35-mRNA-1_1&gene=maker-flattened_line_97-snap-gene-0.35&CDS=1-990
3	OG0000003	YAL041W	augustus_masked-flattened_line_107-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.8&CDS=1-1872, augustus_masked-flattened_line_2-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.104&CDS=1-1815, augustus_masked-flattened_line_6-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.121&CDS=1-2109, maker-flattened_line_32-snap-gene-1.51-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.51&CDS=1-1914, snap_masked-flattened_line_0-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.37&CDS=1-3618, snap_masked-flattened_line_0-processed-gene-5.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.111&CDS=1-2103, snap_masked-flattened_line_169-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_169-processed-gene-0.2&CDS=1-3219
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_14-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.6&CDS=1-1698
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_119-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.17&CDS=1-2271, augustus_masked-flattened_line_36-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.8&CDS=1-2427, augustus_masked-flattened_line_91-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_91-processed-gene-0.79&CDS=1-3237, snap_masked-flattened_line_4-processed-gene-3.67-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.67&CDS=1-3498
6	OG0000006	YGL128C, YLR090W, YNL064C	augustus_masked-flattened_line_12-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.91&CDS=1-789, augustus_masked-flattened_line_175-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_175-processed-gene-0.1&CDS=1-1224, augustus_masked-flattened_line_63-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.108&CDS=1-1329, genemark-flattened_line_131-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_131-processed-gene-0.29&CDS=1-213, snap_masked-flattened_line_279-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_279-processed-gene-0.2&CDS=1-354
7	OG0000007	YLR256W	augustus_masked-flattened_line_71-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.133&CDS=1-3378, augustus_masked-flattened_line_75-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.91&CDS=1-2400, augustus_masked-flattened_line_8-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.10&CDS=1-2376, augustus_masked-flattened_line_8-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.35&CDS=1-2688, augustus_masked-flattened_line_97-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.19&CDS=1-3153, snap_masked-flattened_line_83-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.98&CDS=1-2397, snap_masked-flattened_line_97-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.56&CDS=1-3315
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_34-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.3&CDS=1-1386
10	OG0000010	YBR207W, YER145C	augustus_masked-flattened_line_107-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.7&CDS=1-1158, augustus_masked-flattened_line_111-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.72&CDS=1-1137, augustus_masked-flattened_line_16-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.220&CDS=1-1146, augustus_masked-flattened_line_91-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_91-processed-gene-0.85&CDS=1-1194
11	OG0000011	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_4-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.122&CDS=1-1758, maker-flattened_line_16-snap-gene-1.2-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.2&CDS=1-1695
12	OG0000012	YDR144C, YIL015W, YIR039C, YLR120C, YLR121C	snap_masked-flattened_line_173-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.20&CDS=1-1164
13	OG0000013	YDR207C, YLR228C	augustus_masked-flattened_line_34-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.35&CDS=1-2421, augustus_masked-flattened_line_61-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.20&CDS=1-1005, maker-flattened_line_123-snap-gene-0.20-mRNA-1_1&gene=maker-flattened_line_123-snap-gene-0.20&CDS=1-1644, snap_masked-flattened_line_12-processed-gene-2.75-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.75&CDS=1-822
14	OG0000014	YDR338C, YHR032W	augustus_masked-flattened_line_0-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.33&CDS=1-1749, augustus_masked-flattened_line_32-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.76&CDS=1-1428, augustus_masked-flattened_line_50-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.40&CDS=1-1809, augustus_masked-flattened_line_87-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.35&CDS=1-1728
15	OG0000015	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_101-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.84&CDS=1-2610, augustus_masked-flattened_line_44-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.52&CDS=1-1554
16	OG0000016	YJR061W, YKL201C	augustus_masked-flattened_line_10-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.31&CDS=1-1770, augustus_masked-flattened_line_4-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.113&CDS=1-2001, snap_masked-flattened_line_113-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.26&CDS=1-2754, snap_masked-flattened_line_2-processed-gene-3.63-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.63&CDS=1-2319
17	OG0000017	YLR129W, YMR006C, YMR008C, YOL011W	augustus_masked-flattened_line_57-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.9&CDS=1-1905, maker-flattened_line_40-augustus-gene-0.187-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.187&CDS=1-4650
18	OG0000018	YML111W, YMR275C, YNR068C, YNR069C	augustus_masked-flattened_line_26-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.12&CDS=1-2724, augustus_masked-flattened_line_36-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.17&CDS=1-2283
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.2&CDS=1-4557
