	OrthologID	Hanseniaspora_vinae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-JFAV02000089.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000089.1-processed-gene-0.0&CDS=1-1401, augustus_masked-JFAV02000133.1-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.148&CDS=1-2088, augustus_masked-JFAV02000227.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.24&CDS=1-2187, augustus_masked-JFAV02000227.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.25&CDS=1-2166, augustus_masked-JFAV02000227.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.26&CDS=1-2142, genemark-JFAV02000089.1-processed-gene-0.5-mRNA-1_1&gene=genemark-JFAV02000089.1-processed-gene-0.5&CDS=1-642, snap_masked-JFAV02000227.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-JFAV02000227.1-processed-gene-0.10&CDS=1-2187	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
1	OG0000001	augustus_masked-JFAV02000108.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.19&CDS=1-846, augustus_masked-JFAV02000108.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.20&CDS=1-1788, augustus_masked-JFAV02000133.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.122&CDS=1-1821, augustus_masked-JFAV02000133.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.123&CDS=1-8949, augustus_masked-JFAV02000279.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000279.1-processed-gene-0.28&CDS=1-1782, augustus_masked-JFAV02000291.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.12&CDS=1-1635, maker-JFAV02000108.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000108.1-snap-gene-0.0&CDS=1-3489	YCL025C, YDR508C, YGR191W, YKR039W
2	OG0000002	augustus_masked-JFAV02000294.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000294.1-processed-gene-0.30&CDS=1-4893, maker-JFAV02000144.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000144.1-snap-gene-0.0&CDS=1-6495, maker-JFAV02000203.1-snap-gene-0.154-mRNA-1_1&gene=maker-JFAV02000203.1-snap-gene-0.154&CDS=1-3870, maker-JFAV02000301.1-snap-gene-0.19-mRNA-1_1&gene=maker-JFAV02000301.1-snap-gene-0.19&CDS=1-2625, snap_masked-JFAV02000256.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-JFAV02000256.1-processed-gene-1.86&CDS=1-4380	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
3	OG0000003	augustus_masked-JFAV02000080.1-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.144&CDS=1-1560, augustus_masked-JFAV02000080.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.184&CDS=1-1512, augustus_masked-JFAV02000082.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000082.1-processed-gene-0.2&CDS=1-1605, augustus_masked-JFAV02000192.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000192.1-processed-gene-0.26&CDS=1-1575	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
4	OG0000004	augustus_masked-JFAV02000119.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000119.1-processed-gene-0.7&CDS=1-1695, augustus_masked-JFAV02000291.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.34&CDS=1-1548, maker-JFAV02000256.1-augustus-gene-1.65-mRNA-1_1&gene=maker-JFAV02000256.1-augustus-gene-1.65&CDS=1-3378, snap_masked-JFAV02000109.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.26&CDS=1-1584	YDR342C, YDR343C, YDR345C, YHR092C, YNL318C
5	OG0000005	augustus_masked-JFAV02000041.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000041.1-processed-gene-0.0&CDS=1-1614, augustus_masked-JFAV02000041.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000041.1-processed-gene-0.1&CDS=1-1260, augustus_masked-JFAV02000155.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000155.1-processed-gene-0.30&CDS=1-3447, snap_masked-JFAV02000107.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-JFAV02000107.1-processed-gene-0.11&CDS=1-3234, snap_masked-JFAV02000155.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-JFAV02000155.1-processed-gene-0.51&CDS=1-3243	YKL222C, YOR162C, YOR172W
6	OG0000006	augustus_masked-JFAV02000104.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.141&CDS=1-3864, augustus_masked-JFAV02000104.1-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.143&CDS=1-1041, augustus_masked-JFAV02000155.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000155.1-processed-gene-0.26&CDS=1-1035, maker-JFAV02000104.1-augustus-gene-1.106-mRNA-1_1&gene=maker-JFAV02000104.1-augustus-gene-1.106&CDS=1-2985	YDR541C, YGL039W, YGL157W, YOL151W
7	OG0000007	augustus_masked-JFAV02000201.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000201.1-processed-gene-0.15&CDS=1-2301, augustus_masked-JFAV02000219.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.29&CDS=1-5259, maker-JFAV02000296.1-augustus-gene-0.16-mRNA-1_1&gene=maker-JFAV02000296.1-augustus-gene-0.16&CDS=1-3426, snap_masked-JFAV02000104.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.31&CDS=1-3468	YER013W, YGL120C, YKR086W, YNR011C
8	OG0000008	augustus_masked-JFAV02000115.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.8&CDS=1-1182, augustus_masked-JFAV02000126.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-JFAV02000126.1-processed-gene-0.57&CDS=1-1188, augustus_masked-JFAV02000151.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000151.1-processed-gene-0.47&CDS=1-1185, augustus_masked-JFAV02000293.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.96&CDS=1-1188, augustus_masked-JFAV02000293.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.97&CDS=1-1188, genemark-JFAV02000212.1-processed-gene-0.4-mRNA-1_1&gene=genemark-JFAV02000212.1-processed-gene-0.4&CDS=1-1200	YHR179W, YPL171C
9	OG0000009	augustus_masked-JFAV02000267.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-JFAV02000267.1-processed-gene-0.68&CDS=1-2202, augustus_masked-JFAV02000267.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000267.1-processed-gene-0.93&CDS=1-2049, maker-JFAV02000091.1-snap-gene-0.18-mRNA-1_1&gene=maker-JFAV02000091.1-snap-gene-0.18&CDS=1-1911, maker-JFAV02000272.1-snap-gene-0.129-mRNA-1_1&gene=maker-JFAV02000272.1-snap-gene-0.129&CDS=1-2172	YDR144C, YLR120C, YLR121C
10	OG0000010	augustus_masked-JFAV02000128.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-JFAV02000128.1-processed-gene-0.149&CDS=1-1377, augustus_masked-JFAV02000263.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000263.1-processed-gene-0.0&CDS=1-2172, augustus_masked-JFAV02000282.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.169&CDS=1-1653	YHL028W, YNL283C, YOL105C, YOR008C
