	OrthologID	Candida_dubliniensis	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W
1	OG0000001	maker-NC_012861.1-snap-gene-1.0-mRNA-1_1&gene=maker-NC_012861.1-snap-gene-1.0&CDS=1-4854	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
2	OG0000002	augustus_masked-NC_012860.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-0.94&CDS=1-3771, augustus_masked-NC_012860.1-processed-gene-31.135-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-31.135&CDS=1-483, augustus_masked-NC_012861.1-processed-gene-21.37-mRNA-1_1&gene=augustus_masked-NC_012861.1-processed-gene-21.37&CDS=1-1251, augustus_masked-NC_012862.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-0.114&CDS=1-4077, augustus_masked-NC_012863.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-0.119&CDS=1-2025, augustus_masked-NC_012864.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NC_012864.1-processed-gene-0.89&CDS=1-1104, augustus_masked-NC_012864.1-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-NC_012864.1-processed-gene-11.35&CDS=1-1869, augustus_masked-NC_012865.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NC_012865.1-processed-gene-0.87&CDS=1-1257, augustus_masked-NC_012866.1-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-9.157&CDS=1-1104, augustus_masked-NC_012867.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NC_012867.1-processed-gene-0.84&CDS=1-483, snap_masked-NC_012861.1-processed-gene-21.179-mRNA-1_1&gene=snap_masked-NC_012861.1-processed-gene-21.179&CDS=1-501, snap_masked-NC_012862.1-processed-gene-17.200-mRNA-1_1&gene=snap_masked-NC_012862.1-processed-gene-17.200&CDS=1-1341, snap_masked-NC_012863.1-processed-gene-15.32-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-15.32&CDS=1-1692, snap_masked-NC_012864.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NC_012864.1-processed-gene-0.14&CDS=1-1626, snap_masked-NC_012864.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NC_012864.1-processed-gene-0.16&CDS=1-501, snap_masked-NC_012866.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-0.55&CDS=1-1800, snap_masked-NC_012866.1-processed-gene-9.94-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-9.94&CDS=1-501	
3	OG0000003	genemark-NC_012860.1-processed-gene-24.22-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-24.22&CDS=1-2028, genemark-NC_012861.1-processed-gene-10.17-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-10.17&CDS=1-2247, genemark-NC_012863.1-processed-gene-9.18-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-9.18&CDS=1-2118, genemark-NC_012867.1-processed-gene-14.108-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-14.108&CDS=1-2229, genemark-NC_012867.1-processed-gene-14.79-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-14.79&CDS=1-2217, maker-NC_012863.1-snap-gene-13.95-mRNA-1_1&gene=maker-NC_012863.1-snap-gene-13.95&CDS=1-4506, maker-NC_012864.1-snap-gene-2.45-mRNA-1_1&gene=maker-NC_012864.1-snap-gene-2.45&CDS=1-4251, maker-NC_012867.1-snap-gene-15.110-mRNA-1_1&gene=maker-NC_012867.1-snap-gene-15.110&CDS=1-4224, snap_masked-NC_012863.1-processed-gene-13.36-mRNA-1_1&gene=snap_masked-NC_012863.1-processed-gene-13.36&CDS=1-2160	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
4	OG0000004	augustus_masked-NC_012860.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-0.101&CDS=1-2319, augustus_masked-NC_012863.1-processed-gene-15.154-mRNA-1_1&gene=augustus_masked-NC_012863.1-processed-gene-15.154&CDS=1-2799, genemark-NC_012860.1-processed-gene-20.43-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-20.43&CDS=1-2256, genemark-NC_012861.1-processed-gene-7.35-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-7.35&CDS=1-2520, genemark-NC_012861.1-processed-gene-8.89-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-8.89&CDS=1-2604, genemark-NC_012863.1-processed-gene-15.67-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-15.67&CDS=1-2958, genemark-NC_012865.1-processed-gene-6.70-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-6.70&CDS=1-2601, maker-NC_012860.1-augustus-gene-5.123-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-5.123&CDS=1-4974	YJR061W, YKL201C, YOL154W
5	OG0000005	maker-NC_012861.1-snap-gene-17.35-mRNA-1_1&gene=maker-NC_012861.1-snap-gene-17.35&CDS=1-2553	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
6	OG0000006	genemark-NC_012864.1-processed-gene-11.74-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-11.74&CDS=1-1737, genemark-NC_012867.1-processed-gene-21.49-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-21.49&CDS=1-1725	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
7	OG0000007	genemark-NC_012860.1-processed-gene-10.13-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.13&CDS=1-2265, genemark-NC_012864.1-processed-gene-6.39-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-6.39&CDS=1-2505, genemark-NC_012864.1-processed-gene-6.63-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-6.63&CDS=1-2400, maker-NC_012862.1-snap-gene-13.40-mRNA-1_1&gene=maker-NC_012862.1-snap-gene-13.40&CDS=1-3648, snap_masked-NC_012860.1-processed-gene-23.43-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-23.43&CDS=1-2532	YER001W, YGL257C, YNR059W
8	OG0000008	genemark-NC_012861.1-processed-gene-5.70-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-5.70&CDS=1-1176, genemark-NC_012865.1-processed-gene-2.77-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-2.77&CDS=1-1218, genemark-NC_012865.1-processed-gene-3.37-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-3.37&CDS=1-1206, genemark-NC_012865.1-processed-gene-3.42-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-3.42&CDS=1-1221, genemark-NC_012867.1-processed-gene-2.24-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-2.24&CDS=1-1176, maker-NC_012865.1-snap-gene-3.32-mRNA-1_1&gene=maker-NC_012865.1-snap-gene-3.32&CDS=1-1263	YHR179W, YPL171C
9	OG0000009	genemark-NC_012863.1-processed-gene-4.60-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-4.60&CDS=1-1371, genemark-NC_012867.1-processed-gene-4.103-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-4.103&CDS=1-1386, genemark-NC_012867.1-processed-gene-5.15-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-5.15&CDS=1-1386	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
