	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_blattae
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	genemark-NC_020191-processed-gene-1.66-mRNA-1_1&gene=genemark-NC_020191-processed-gene-1.66&CDS=1-813, maker-NC_020194-snap-gene-3.237-mRNA-1_1&gene=maker-NC_020194-snap-gene-3.237&CDS=1-1209, snap_masked-NC_020194-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-3.61&CDS=1-825
1	OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W	augustus_masked-NC_020189-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-4.31&CDS=1-1770, genemark-NC_020185-processed-gene-12.68-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.68&CDS=1-1725, genemark-NC_020185-processed-gene-3.52-mRNA-1_1&gene=genemark-NC_020185-processed-gene-3.52&CDS=1-1707, genemark-NC_020185-processed-gene-8.14-mRNA-1_1&gene=genemark-NC_020185-processed-gene-8.14&CDS=1-1692, genemark-NC_020185-processed-gene-8.6-mRNA-1_1&gene=genemark-NC_020185-processed-gene-8.6&CDS=1-1731, genemark-NC_020185-processed-gene-8.7-mRNA-1_1&gene=genemark-NC_020185-processed-gene-8.7&CDS=1-1722, genemark-NC_020185-processed-gene-9.49-mRNA-1_1&gene=genemark-NC_020185-processed-gene-9.49&CDS=1-1716, genemark-NC_020186-processed-gene-11.66-mRNA-1_1&gene=genemark-NC_020186-processed-gene-11.66&CDS=1-1725, genemark-NC_020186-processed-gene-2.48-mRNA-1_1&gene=genemark-NC_020186-processed-gene-2.48&CDS=1-1911, genemark-NC_020186-processed-gene-23.23-mRNA-1_1&gene=genemark-NC_020186-processed-gene-23.23&CDS=1-1713, genemark-NC_020190-processed-gene-4.38-mRNA-1_1&gene=genemark-NC_020190-processed-gene-4.38&CDS=1-1701, genemark-NC_020194-processed-gene-0.55-mRNA-1_1&gene=genemark-NC_020194-processed-gene-0.55&CDS=1-1722, maker-NC_020188-snap-gene-13.171-mRNA-1_1&gene=maker-NC_020188-snap-gene-13.171&CDS=1-3393, snap_masked-NC_020185-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-3.3&CDS=1-1509
2	OG0000002	YDR098C-A, YDR210C-C, YDR261C-C, YDR316W-A, YDR365W-A, YER137C-A, YER159C-A, YGR161C-C, YJR026W, YLR157C-A, YLR227W-A, YLR256W-A, YML040W, YMR051C, YOL103W-A, YOR142W-A, YPL257W-A, YPR158C-C, YPR158W-A	
3	OG0000003	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
4	OG0000004	YHR179W, YPL171C	genemark-NC_020185-processed-gene-25.102-mRNA-1_1&gene=genemark-NC_020185-processed-gene-25.102&CDS=1-1200, genemark-NC_020186-processed-gene-5.0-mRNA-1_1&gene=genemark-NC_020186-processed-gene-5.0&CDS=1-1194, genemark-NC_020187-processed-gene-16.73-mRNA-1_1&gene=genemark-NC_020187-processed-gene-16.73&CDS=1-918, genemark-NC_020187-processed-gene-3.44-mRNA-1_1&gene=genemark-NC_020187-processed-gene-3.44&CDS=1-1203, genemark-NC_020188-processed-gene-0.66-mRNA-1_1&gene=genemark-NC_020188-processed-gene-0.66&CDS=1-1254, genemark-NC_020188-processed-gene-8.33-mRNA-1_1&gene=genemark-NC_020188-processed-gene-8.33&CDS=1-1200, genemark-NC_020189-processed-gene-8.56-mRNA-1_1&gene=genemark-NC_020189-processed-gene-8.56&CDS=1-1200, genemark-NC_020191-processed-gene-8.133-mRNA-1_1&gene=genemark-NC_020191-processed-gene-8.133&CDS=1-1200, genemark-NC_020193-processed-gene-7.135-mRNA-1_1&gene=genemark-NC_020193-processed-gene-7.135&CDS=1-1200, snap_masked-NC_020194-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-1.19&CDS=1-1200
5	OG0000005	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W	snap_masked-NC_020186-processed-gene-13.101-mRNA-1_1&gene=snap_masked-NC_020186-processed-gene-13.101&CDS=1-318
6	OG0000006	YDR436W, YER133W, YML016C, YPL179W	genemark-NC_020185-processed-gene-17.38-mRNA-1_1&gene=genemark-NC_020185-processed-gene-17.38&CDS=1-2577, genemark-NC_020185-processed-gene-21.35-mRNA-1_1&gene=genemark-NC_020185-processed-gene-21.35&CDS=1-933, genemark-NC_020188-processed-gene-3.74-mRNA-1_1&gene=genemark-NC_020188-processed-gene-3.74&CDS=1-1845, snap_masked-NC_020186-processed-gene-12.10-mRNA-1_1&gene=snap_masked-NC_020186-processed-gene-12.10&CDS=1-1419
7	OG0000007	YBR068C, YCL025C, YDR046C, YDR508C	genemark-NC_020191-processed-gene-8.78-mRNA-1_1&gene=genemark-NC_020191-processed-gene-8.78&CDS=1-2019, maker-NC_020185-snap-gene-12.97-mRNA-1_1&gene=maker-NC_020185-snap-gene-12.97&CDS=1-4014, maker-NC_020193-snap-gene-4.2-mRNA-1_1&gene=maker-NC_020193-snap-gene-4.2&CDS=1-3612
8	OG0000008	YCR021C	genemark-NC_020186-processed-gene-4.98-mRNA-1_1&gene=genemark-NC_020186-processed-gene-4.98&CDS=1-1065, genemark-NC_020186-processed-gene-6.70-mRNA-1_1&gene=genemark-NC_020186-processed-gene-6.70&CDS=1-1059, genemark-NC_020188-processed-gene-2.91-mRNA-1_1&gene=genemark-NC_020188-processed-gene-2.91&CDS=1-1041, maker-NC_020186-snap-gene-16.1-mRNA-1_1&gene=maker-NC_020186-snap-gene-16.1&CDS=1-1206, maker-NC_020186-snap-gene-16.3-mRNA-1_1&gene=maker-NC_020186-snap-gene-16.3&CDS=1-1923, maker-NC_020188-augustus-gene-2.0-mRNA-1_1&gene=maker-NC_020188-augustus-gene-2.0&CDS=1-2133
9	OG0000009	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NC_020190-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NC_020190-processed-gene-2.63&CDS=1-954, snap_masked-NC_020185-processed-gene-19.121-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-19.121&CDS=1-846, snap_masked-NC_020190-processed-gene-9.143-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-9.143&CDS=1-348
10	OG0000010		augustus_masked-NC_020185-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-16.83&CDS=1-441, augustus_masked-NC_020186-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-12.53&CDS=1-2142, augustus_masked-NC_020187-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-0.35&CDS=1-2250, augustus_masked-NC_020187-processed-gene-10.28-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-10.28&CDS=1-1104, augustus_masked-NC_020189-processed-gene-11.0-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-11.0&CDS=1-1128, augustus_masked-NC_020189-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-8.35&CDS=1-2382, snap_masked-NC_020187-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-1.99&CDS=1-543
11	OG0000011		augustus_masked-NC_020186-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-15.54&CDS=1-1806, augustus_masked-NC_020186-processed-gene-17.54-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-17.54&CDS=1-1521, augustus_masked-NC_020186-processed-gene-19.47-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-19.47&CDS=1-1350, augustus_masked-NC_020187-processed-gene-16.112-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-16.112&CDS=1-1002, augustus_masked-NC_020189-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-6.84&CDS=1-1299, snap_masked-NC_020188-processed-gene-7.5-mRNA-1_1&gene=snap_masked-NC_020188-processed-gene-7.5&CDS=1-504, snap_masked-NC_020191-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-5.27&CDS=1-729
12	OG0000012	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W	snap_masked-NC_020186-processed-gene-7.94-mRNA-1_1&gene=snap_masked-NC_020186-processed-gene-7.94&CDS=1-852
13	OG0000013	YDR483W, YOR099W, YPL053C	genemark-NC_020186-processed-gene-3.21-mRNA-1_1&gene=genemark-NC_020186-processed-gene-3.21&CDS=1-1236, genemark-NC_020187-processed-gene-0.65-mRNA-1_1&gene=genemark-NC_020187-processed-gene-0.65&CDS=1-1242, genemark-NC_020192-processed-gene-8.154-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.154&CDS=1-1395
14	OG0000014	YER001W	augustus_masked-NC_020187-processed-gene-15.8-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-15.8&CDS=1-2208, augustus_masked-NC_020189-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-10.102&CDS=1-2319, augustus_masked-NC_020191-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-NC_020191-processed-gene-8.70&CDS=1-2253, snap_masked-NC_020185-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-1.84&CDS=1-2241, snap_masked-NC_020192-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NC_020192-processed-gene-0.18&CDS=1-2061
15	OG0000015	YJL116C, YKR042W, YNL066W	genemark-NC_020186-processed-gene-15.105-mRNA-1_1&gene=genemark-NC_020186-processed-gene-15.105&CDS=1-1281, genemark-NC_020189-processed-gene-9.79-mRNA-1_1&gene=genemark-NC_020189-processed-gene-9.79&CDS=1-1257, genemark-NC_020191-processed-gene-6.55-mRNA-1_1&gene=genemark-NC_020191-processed-gene-6.55&CDS=1-1386
16	OG0000016	YMR083W, YMR303C, YOL086C	genemark-NC_020189-processed-gene-8.47-mRNA-1_1&gene=genemark-NC_020189-processed-gene-8.47&CDS=1-1053, genemark-NC_020189-processed-gene-8.48-mRNA-1_1&gene=genemark-NC_020189-processed-gene-8.48&CDS=1-1053, genemark-NC_020193-processed-gene-2.10-mRNA-1_1&gene=genemark-NC_020193-processed-gene-2.10&CDS=1-1131
17	OG0000017	YOL055C, YPL258C, YPR121W	genemark-NC_020186-processed-gene-9.16-mRNA-1_1&gene=genemark-NC_020186-processed-gene-9.16&CDS=1-1668, genemark-NC_020186-processed-gene-9.17-mRNA-1_1&gene=genemark-NC_020186-processed-gene-9.17&CDS=1-1659, genemark-NC_020191-processed-gene-2.44-mRNA-1_1&gene=genemark-NC_020191-processed-gene-2.44&CDS=1-1674
18	OG0000018	YPL088W	genemark-NC_020186-processed-gene-23.44-mRNA-1_1&gene=genemark-NC_020186-processed-gene-23.44&CDS=1-1035, genemark-NC_020189-processed-gene-12.57-mRNA-1_1&gene=genemark-NC_020189-processed-gene-12.57&CDS=1-1026, genemark-NC_020190-processed-gene-1.45-mRNA-1_1&gene=genemark-NC_020190-processed-gene-1.45&CDS=1-954, genemark-NC_020191-processed-gene-2.69-mRNA-1_1&gene=genemark-NC_020191-processed-gene-2.69&CDS=1-1029, snap_masked-NC_020191-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-2.24&CDS=1-1071
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NC_020185-processed-gene-21.108-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-21.108&CDS=1-4950
20	OG0000020	YBR008C	genemark-NC_020185-processed-gene-10.59-mRNA-1_1&gene=genemark-NC_020185-processed-gene-10.59&CDS=1-1701, genemark-NC_020187-processed-gene-16.35-mRNA-1_1&gene=genemark-NC_020187-processed-gene-16.35&CDS=1-1836, genemark-NC_020189-processed-gene-6.53-mRNA-1_1&gene=genemark-NC_020189-processed-gene-6.53&CDS=1-1728, genemark-NC_020189-processed-gene-6.70-mRNA-1_1&gene=genemark-NC_020189-processed-gene-6.70&CDS=1-1689
21	OG0000021	YCR083W, YGR209C, YLR043C	genemark-NC_020186-processed-gene-18.85-mRNA-1_1&gene=genemark-NC_020186-processed-gene-18.85&CDS=1-315, genemark-NC_020190-processed-gene-9.120-mRNA-1_1&gene=genemark-NC_020190-processed-gene-9.120&CDS=1-420
22	OG0000022	YCR102C, YLR460C, YNL134C	genemark-NC_020188-processed-gene-13.124-mRNA-1_1&gene=genemark-NC_020188-processed-gene-13.124&CDS=1-1122, genemark-NC_020193-processed-gene-6.48-mRNA-1_1&gene=genemark-NC_020193-processed-gene-6.48&CDS=1-1122
23	OG0000023	YDR111C, YLR089C	genemark-NC_020189-processed-gene-11.58-mRNA-1_1&gene=genemark-NC_020189-processed-gene-11.58&CDS=1-1686, genemark-NC_020190-processed-gene-7.87-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.87&CDS=1-1500, genemark-NC_020191-processed-gene-4.12-mRNA-1_1&gene=genemark-NC_020191-processed-gene-4.12&CDS=1-1500
24	OG0000024	YDR533C, YMR322C, YOR391C, YPL280W	maker-NC_020192-augustus-gene-5.2-mRNA-1_1&gene=maker-NC_020192-augustus-gene-5.2&CDS=1-1494
25	OG0000025	YDR541C, YOL151W	genemark-NC_020185-processed-gene-3.68-mRNA-1_1&gene=genemark-NC_020185-processed-gene-3.68&CDS=1-1020, genemark-NC_020188-processed-gene-2.95-mRNA-1_1&gene=genemark-NC_020188-processed-gene-2.95&CDS=1-1023, maker-NC_020187-augustus-gene-0.91-mRNA-1_1&gene=maker-NC_020187-augustus-gene-0.91&CDS=1-2022
