	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034614_Saturnispora_silvae
0	OG0000000		augustus_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.72&CDS=1-1275, augustus_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-2.133&CDS=1-1617, augustus_masked-NODE_15_length_281263_cov_16.0857_ID_29-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_15_length_281263_cov_16.0857_ID_29-processed-gene-1.76&CDS=1-2466, augustus_masked-NODE_25_length_66227_cov_23.3792_ID_49-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_25_length_66227_cov_23.3792_ID_49-processed-gene-0.51&CDS=1-669, augustus_masked-NODE_28_length_51954_cov_19.6716_ID_55-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_28_length_51954_cov_19.6716_ID_55-processed-gene-0.19&CDS=1-1224, augustus_masked-NODE_29_length_41474_cov_16.4673_ID_57-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_29_length_41474_cov_16.4673_ID_57-processed-gene-0.6&CDS=1-1416, augustus_masked-NODE_30_length_35442_cov_24.5389_ID_59-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_30_length_35442_cov_24.5389_ID_59-processed-gene-0.59&CDS=1-885, augustus_masked-NODE_31_length_33921_cov_17.2222_ID_61-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_31_length_33921_cov_17.2222_ID_61-processed-gene-0.2&CDS=1-2724, augustus_masked-NODE_39_length_7971_cov_20.9288_ID_77-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_39_length_7971_cov_20.9288_ID_77-processed-gene-0.1&CDS=1-2070, augustus_masked-NODE_42_length_4690_cov_20.1194_ID_83-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_42_length_4690_cov_20.1194_ID_83-processed-gene-0.1&CDS=1-1080, augustus_masked-NODE_45_length_3950_cov_21.1489_ID_89-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_45_length_3950_cov_21.1489_ID_89-processed-gene-0.0&CDS=1-669, augustus_masked-NODE_53_length_1768_cov_94.9101_ID_105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_53_length_1768_cov_94.9101_ID_105-processed-gene-0.0&CDS=1-1764, augustus_masked-NODE_56_length_1582_cov_33.8851_ID_111-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_56_length_1582_cov_33.8851_ID_111-processed-gene-0.0&CDS=1-1578, genemark-NODE_24_length_133439_cov_21.549_ID_47-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_24_length_133439_cov_21.549_ID_47-processed-gene-0.37&CDS=1-2457, maker-NODE_2_length_802642_cov_16.2871_ID_3-snap-gene-1.55-mRNA-1_1&gene=maker-NODE_2_length_802642_cov_16.2871_ID_3-snap-gene-1.55&CDS=1-1275, snap_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-2.65-mRNA-1_1&gene=snap_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-2.65&CDS=1-1830, snap_masked-NODE_16_length_269428_cov_16.0408_ID_31-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_16_length_269428_cov_16.0408_ID_31-processed-gene-0.82&CDS=1-1245, snap_masked-NODE_19_length_227220_cov_17.0149_ID_37-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NODE_19_length_227220_cov_17.0149_ID_37-processed-gene-1.122&CDS=1-2496, snap_masked-NODE_21_length_187636_cov_18.2367_ID_41-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_21_length_187636_cov_18.2367_ID_41-processed-gene-0.140&CDS=1-3426, snap_masked-NODE_32_length_22809_cov_27.0026_ID_63-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_32_length_22809_cov_27.0026_ID_63-processed-gene-0.12&CDS=1-2448
1	OG0000001	YDR011W, YDR406W, YNR070W, YOR153W, YPL058C	augustus_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-3.83&CDS=1-4797, genemark-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-1.30&CDS=1-6270, snap_masked-NODE_18_length_249361_cov_17.2264_ID_35-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_18_length_249361_cov_17.2264_ID_35-processed-gene-1.159&CDS=1-4467, snap_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-7.77-mRNA-1_1&gene=snap_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-7.77&CDS=1-4548, snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-1.130&CDS=1-4485
2	OG0000002	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-2.12&CDS=1-4395, augustus_masked-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-2.13&CDS=1-4113, maker-NODE_5_length_484156_cov_16.2556_ID_9-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_5_length_484156_cov_16.2556_ID_9-snap-gene-0.1&CDS=1-4182, snap_masked-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-1.131&CDS=1-2226
3	OG0000003	YER152C, YJL172W, YOL153C	augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.37&CDS=1-5133, snap_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.105&CDS=1-1737, snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.73&CDS=1-1710, snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.87-mRNA-1_1&gene=snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.87&CDS=1-1692, snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.233-mRNA-1_1&gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.233&CDS=1-2181
4	OG0000004	YBR015C	augustus_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-2.13&CDS=1-4128, augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-9.146&CDS=1-1443, genemark-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-0.90&CDS=1-2349, snap_masked-NODE_28_length_51954_cov_19.6716_ID_55-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_28_length_51954_cov_19.6716_ID_55-processed-gene-0.46&CDS=1-1938, snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-2.34&CDS=1-1926, snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-3.90&CDS=1-1458
5	OG0000005	YBR293W	augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-6.30&CDS=1-4227, genemark-NODE_32_length_22809_cov_27.0026_ID_63-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_32_length_22809_cov_27.0026_ID_63-processed-gene-0.23&CDS=1-1587, snap_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_11_length_314998_cov_16.4125_ID_21-processed-gene-0.10&CDS=1-1710, snap_masked-NODE_18_length_249361_cov_17.2264_ID_35-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_18_length_249361_cov_17.2264_ID_35-processed-gene-1.118&CDS=1-1719, snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-3.70&CDS=1-1635, snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_7_length_405706_cov_16.1032_ID_13-processed-gene-0.80&CDS=1-1641
6	OG0000006	YCL024W, YDR477W, YDR507C, YKL101W	snap_masked-NODE_12_length_305955_cov_16.6075_ID_23-processed-gene-1.150-mRNA-1_1&gene=snap_masked-NODE_12_length_305955_cov_16.6075_ID_23-processed-gene-1.150&CDS=1-2646, snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-5.30&CDS=1-1716, snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-7.33-mRNA-1_1&gene=snap_masked-NODE_1_length_1002083_cov_15.8003_ID_1-processed-gene-7.33&CDS=1-3495
7	OG0000007	YDL048C, YDR463W, YHR006W, YLR375W	augustus_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.317-mRNA-1_1&gene=augustus_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.317&CDS=1-1140, genemark-NODE_4_length_499891_cov_15.9754_ID_7-processed-gene-3.285-mRNA-1_1&gene=genemark-NODE_4_length_499891_cov_15.9754_ID_7-processed-gene-3.285&CDS=1-570, snap_masked-NODE_20_length_198128_cov_16.8048_ID_39-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_20_length_198128_cov_16.8048_ID_39-processed-gene-0.60&CDS=1-1350
8	OG0000008	YDR385W, YKL173W, YNL163C, YOR133W	genemark-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_5_length_484156_cov_16.2556_ID_9-processed-gene-1.46&CDS=1-2877, maker-NODE_18_length_249361_cov_17.2264_ID_35-snap-gene-0.47-mRNA-1_1&gene=maker-NODE_18_length_249361_cov_17.2264_ID_35-snap-gene-0.47&CDS=1-2526, snap_masked-NODE_22_length_173672_cov_17.4769_ID_43-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_22_length_173672_cov_17.4769_ID_43-processed-gene-0.22&CDS=1-2904
9	OG0000009	YER013W, YGL120C, YKR086W	genemark-NODE_4_length_499891_cov_15.9754_ID_7-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_4_length_499891_cov_15.9754_ID_7-processed-gene-0.11&CDS=1-2745, genemark-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-0.16&CDS=1-1932, genemark-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-2.101-mRNA-1_1&gene=genemark-NODE_6_length_448691_cov_16.0604_ID_11-processed-gene-2.101&CDS=1-2253, snap_masked-NODE_14_length_287767_cov_18.6596_ID_27-processed-gene-1.188-mRNA-1_1&gene=snap_masked-NODE_14_length_287767_cov_18.6596_ID_27-processed-gene-1.188&CDS=1-2544
