	OrthologID	Saccharomyces_cerevisiae	yHAB133_Kazachstania_unispora
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	augustus_masked-NODE_240_length_1861_cov_288.084_ID_479-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_240_length_1861_cov_288.084_ID_479-processed-gene-0.0&CDS=1-1857
1	OG0000001	Q0140	maker-NODE_117_length_12049_cov_2450.44_ID_233-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_117_length_12049_cov_2450.44_ID_233-augustus-gene-0.8&CDS=1-444, maker-NODE_126_length_7255_cov_2273.82_ID_251-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_126_length_7255_cov_2273.82_ID_251-augustus-gene-0.0&CDS=1-444, maker-NODE_127_length_7219_cov_2294.68_ID_253-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_127_length_7219_cov_2294.68_ID_253-augustus-gene-0.0&CDS=1-444, maker-NODE_128_length_6996_cov_2166.61_ID_255-augustus-gene-0.13-mRNA-1_1&gene=maker-NODE_128_length_6996_cov_2166.61_ID_255-augustus-gene-0.13&CDS=1-444, maker-NODE_129_length_6585_cov_2280.62_ID_257-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_129_length_6585_cov_2280.62_ID_257-augustus-gene-0.12&CDS=1-444, maker-NODE_130_length_6369_cov_2312.83_ID_259-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_130_length_6369_cov_2312.83_ID_259-augustus-gene-0.2&CDS=1-444, maker-NODE_131_length_6338_cov_2270.45_ID_261-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_131_length_6338_cov_2270.45_ID_261-augustus-gene-0.12&CDS=1-444, maker-NODE_132_length_6334_cov_2278.67_ID_263-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_132_length_6334_cov_2278.67_ID_263-augustus-gene-0.0&CDS=1-444, maker-NODE_133_length_6324_cov_2305.46_ID_265-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_133_length_6324_cov_2305.46_ID_265-augustus-gene-0.1&CDS=1-444, maker-NODE_134_length_6323_cov_2267.59_ID_267-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_134_length_6323_cov_2267.59_ID_267-augustus-gene-0.0&CDS=1-444, maker-NODE_135_length_6323_cov_2304.55_ID_269-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_135_length_6323_cov_2304.55_ID_269-augustus-gene-0.1&CDS=1-444, maker-NODE_136_length_6322_cov_2267.86_ID_271-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_136_length_6322_cov_2267.86_ID_271-augustus-gene-0.4&CDS=1-444, maker-NODE_137_length_6320_cov_2266.5_ID_273-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_137_length_6320_cov_2266.5_ID_273-augustus-gene-0.1&CDS=1-444, maker-NODE_138_length_6320_cov_2241.16_ID_275-augustus-gene-0.10-mRNA-1_1&gene=maker-NODE_138_length_6320_cov_2241.16_ID_275-augustus-gene-0.10&CDS=1-444, maker-NODE_144_length_5696_cov_2357.9_ID_287-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_144_length_5696_cov_2357.9_ID_287-augustus-gene-0.12&CDS=1-444, maker-NODE_147_length_5227_cov_2291.38_ID_293-augustus-gene-0.10-mRNA-1_1&gene=maker-NODE_147_length_5227_cov_2291.38_ID_293-augustus-gene-0.10&CDS=1-444, maker-NODE_151_length_5125_cov_2053.57_ID_301-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_151_length_5125_cov_2053.57_ID_301-augustus-gene-0.3&CDS=1-444, maker-NODE_152_length_5088_cov_2048.05_ID_303-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_152_length_5088_cov_2048.05_ID_303-augustus-gene-0.3&CDS=1-444, maker-NODE_155_length_4925_cov_2114.61_ID_309-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_155_length_4925_cov_2114.61_ID_309-augustus-gene-0.0&CDS=1-435, maker-NODE_156_length_4894_cov_2130.03_ID_311-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_156_length_4894_cov_2130.03_ID_311-augustus-gene-0.8&CDS=1-444, maker-NODE_157_length_4861_cov_2068.71_ID_313-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_157_length_4861_cov_2068.71_ID_313-augustus-gene-0.8&CDS=1-444, maker-NODE_160_length_4271_cov_1956.73_ID_319-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_160_length_4271_cov_1956.73_ID_319-augustus-gene-0.7&CDS=1-483, maker-NODE_164_length_3964_cov_2035.74_ID_327-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_164_length_3964_cov_2035.74_ID_327-augustus-gene-0.0&CDS=1-483, maker-NODE_169_length_3617_cov_1862.78_ID_337-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_169_length_3617_cov_1862.78_ID_337-augustus-gene-0.6&CDS=1-444, maker-NODE_173_length_3455_cov_1950.63_ID_345-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_173_length_3455_cov_1950.63_ID_345-augustus-gene-0.2&CDS=1-444
2	OG0000002	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	
3	OG0000003		augustus_masked-NODE_141_length_5896_cov_39.7661_ID_281-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_141_length_5896_cov_39.7661_ID_281-processed-gene-0.3&CDS=1-531, augustus_masked-NODE_190_length_2801_cov_46.721_ID_379-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_190_length_2801_cov_46.721_ID_379-processed-gene-0.0&CDS=1-1119, augustus_masked-NODE_218_length_2065_cov_86.3318_ID_435-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_218_length_2065_cov_86.3318_ID_435-processed-gene-0.2&CDS=1-519, augustus_masked-NODE_219_length_2050_cov_85.1148_ID_437-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_219_length_2050_cov_85.1148_ID_437-processed-gene-0.2&CDS=1-504, augustus_masked-NODE_230_length_1941_cov_115.906_ID_459-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_230_length_1941_cov_115.906_ID_459-processed-gene-0.1&CDS=1-1527, augustus_masked-NODE_376_length_955_cov_153.459_ID_751-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_376_length_955_cov_153.459_ID_751-processed-gene-0.1&CDS=1-954, augustus_masked-NODE_383_length_934_cov_69.537_ID_765-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_383_length_934_cov_69.537_ID_765-processed-gene-0.1&CDS=1-933, augustus_masked-NODE_646_length_399_cov_146.253_ID_1291-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_646_length_399_cov_146.253_ID_1291-processed-gene-0.0&CDS=1-396, augustus_masked-NODE_652_length_393_cov_631.08_ID_1303-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_652_length_393_cov_631.08_ID_1303-processed-gene-0.2&CDS=1-390, augustus_masked-NODE_694_length_338_cov_256.83_ID_1387-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_694_length_338_cov_256.83_ID_1387-processed-gene-0.0&CDS=1-333, augustus_masked-NODE_702_length_323_cov_148.28_ID_1403-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_702_length_323_cov_148.28_ID_1403-processed-gene-0.1&CDS=1-279, augustus_masked-NODE_714_length_309_cov_146.201_ID_1427-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_714_length_309_cov_146.201_ID_1427-processed-gene-0.0&CDS=1-300, augustus_masked-NODE_761_length_273_cov_358.339_ID_1521-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_761_length_273_cov_358.339_ID_1521-processed-gene-0.1&CDS=1-270, augustus_masked-NODE_802_length_250_cov_409.892_ID_1603-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_802_length_250_cov_409.892_ID_1603-processed-gene-0.0&CDS=1-246, augustus_masked-NODE_86_length_34074_cov_34.6064_ID_171-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_86_length_34074_cov_34.6064_ID_171-processed-gene-0.22&CDS=1-1155, augustus_masked-NODE_97_length_25620_cov_32.971_ID_193-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_97_length_25620_cov_32.971_ID_193-processed-gene-0.17&CDS=1-1701, augustus_masked-NODE_97_length_25620_cov_32.971_ID_193-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_97_length_25620_cov_32.971_ID_193-processed-gene-0.18&CDS=1-1641, snap_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.26&CDS=1-795, snap_masked-NODE_115_length_12516_cov_39.6164_ID_229-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_115_length_12516_cov_39.6164_ID_229-processed-gene-0.9&CDS=1-738
4	OG0000004	Q0250	augustus_masked-NODE_36_length_111988_cov_143.925_ID_71-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_36_length_111988_cov_143.925_ID_71-processed-gene-0.140&CDS=1-486, maker-NODE_216_length_2090_cov_3670.84_ID_431-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_216_length_2090_cov_3670.84_ID_431-augustus-gene-0.1&CDS=1-279, maker-NODE_226_length_1978_cov_3883.91_ID_451-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_226_length_1978_cov_3883.91_ID_451-augustus-gene-0.5&CDS=1-300, maker-NODE_229_length_1955_cov_3576.18_ID_457-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_229_length_1955_cov_3576.18_ID_457-augustus-gene-0.1&CDS=1-279, maker-NODE_252_length_1710_cov_3581.87_ID_503-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_252_length_1710_cov_3581.87_ID_503-augustus-gene-0.4&CDS=1-309, maker-NODE_253_length_1708_cov_3576.06_ID_505-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_253_length_1708_cov_3576.06_ID_505-augustus-gene-0.4&CDS=1-309, maker-NODE_254_length_1705_cov_3573.15_ID_507-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_254_length_1705_cov_3573.15_ID_507-augustus-gene-0.0&CDS=1-288, maker-NODE_255_length_1704_cov_3573.62_ID_509-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_255_length_1704_cov_3573.62_ID_509-augustus-gene-0.5&CDS=1-288, maker-NODE_256_length_1703_cov_3570.33_ID_511-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_256_length_1703_cov_3570.33_ID_511-augustus-gene-0.2&CDS=1-288, maker-NODE_257_length_1703_cov_3717.59_ID_513-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_257_length_1703_cov_3717.59_ID_513-augustus-gene-0.3&CDS=1-279, maker-NODE_259_length_1698_cov_3577.71_ID_517-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_259_length_1698_cov_3577.71_ID_517-augustus-gene-0.3&CDS=1-288, maker-NODE_260_length_1697_cov_3570.77_ID_519-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_260_length_1697_cov_3570.77_ID_519-augustus-gene-0.4&CDS=1-288, maker-NODE_270_length_1584_cov_3503.35_ID_539-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_270_length_1584_cov_3503.35_ID_539-augustus-gene-0.1&CDS=1-294, maker-NODE_276_length_1561_cov_3540.2_ID_551-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_276_length_1561_cov_3540.2_ID_551-augustus-gene-0.1&CDS=1-210, maker-NODE_277_length_1560_cov_3488.46_ID_553-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_277_length_1560_cov_3488.46_ID_553-augustus-gene-0.1&CDS=1-228, maker-NODE_279_length_1554_cov_2994.17_ID_557-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_279_length_1554_cov_2994.17_ID_557-augustus-gene-0.1&CDS=1-249
5	OG0000005	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YNL318C	augustus_masked-NODE_23_length_165942_cov_33.1915_ID_45-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_23_length_165942_cov_33.1915_ID_45-processed-gene-0.89&CDS=1-1683, augustus_masked-NODE_29_length_137972_cov_44.9543_ID_57-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_29_length_137972_cov_44.9543_ID_57-processed-gene-0.59&CDS=1-1653, augustus_masked-NODE_3_length_423887_cov_33.3805_ID_5-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NODE_3_length_423887_cov_33.3805_ID_5-processed-gene-3.84&CDS=1-1671, augustus_masked-NODE_5_length_301528_cov_34.1577_ID_9-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_5_length_301528_cov_34.1577_ID_9-processed-gene-0.57&CDS=1-1692, augustus_masked-NODE_6_length_294704_cov_31.7473_ID_11-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_6_length_294704_cov_31.7473_ID_11-processed-gene-1.139&CDS=1-1656, augustus_masked-NODE_98_length_25607_cov_36.8308_ID_195-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_98_length_25607_cov_36.8308_ID_195-processed-gene-0.13&CDS=1-1707, augustus_masked-NODE_99_length_25436_cov_36.4826_ID_197-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_99_length_25436_cov_36.4826_ID_197-processed-gene-0.31&CDS=1-1689, genemark-NODE_10_length_257794_cov_72.1185_ID_19-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_10_length_257794_cov_72.1185_ID_19-processed-gene-0.18&CDS=1-1530, snap_masked-NODE_2_length_468479_cov_32.2962_ID_3-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_2_length_468479_cov_32.2962_ID_3-processed-gene-0.112&CDS=1-1554, snap_masked-NODE_34_length_114703_cov_35.7617_ID_67-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_34_length_114703_cov_35.7617_ID_67-processed-gene-0.36&CDS=1-1689
6	OG0000006	Q0105, Q0110, Q0115, Q0120	augustus_masked-NODE_176_length_3323_cov_3507.5_ID_351-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_176_length_3323_cov_3507.5_ID_351-processed-gene-0.5&CDS=1-738, augustus_masked-NODE_181_length_3203_cov_3606.1_ID_361-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_181_length_3203_cov_3606.1_ID_361-processed-gene-0.1&CDS=1-687, augustus_masked-NODE_201_length_2439_cov_2682.9_ID_401-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_201_length_2439_cov_2682.9_ID_401-processed-gene-0.5&CDS=1-582, augustus_masked-NODE_616_length_449_cov_5118.02_ID_1231-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_616_length_449_cov_5118.02_ID_1231-processed-gene-0.0&CDS=1-249, augustus_masked-NODE_619_length_443_cov_5123.7_ID_1237-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_619_length_443_cov_5123.7_ID_1237-processed-gene-0.0&CDS=1-258, maker-NODE_166_length_3721_cov_3045.53_ID_331-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_166_length_3721_cov_3045.53_ID_331-snap-gene-0.1&CDS=1-1128, maker-NODE_170_length_3565_cov_3348.09_ID_339-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_170_length_3565_cov_3348.09_ID_339-snap-gene-0.6&CDS=1-1128, maker-NODE_179_length_3295_cov_3506.11_ID_357-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_179_length_3295_cov_3506.11_ID_357-snap-gene-0.6&CDS=1-1128, snap_masked-NODE_184_length_3000_cov_3570.24_ID_367-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_184_length_3000_cov_3570.24_ID_367-processed-gene-0.2&CDS=1-678, snap_masked-NODE_196_length_2524_cov_3774.09_ID_391-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_196_length_2524_cov_3774.09_ID_391-processed-gene-0.0&CDS=1-660, snap_masked-NODE_215_length_2123_cov_3876.63_ID_429-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_215_length_2123_cov_3876.63_ID_429-processed-gene-0.0&CDS=1-411
7	OG0000007		augustus_masked-NODE_116_length_12462_cov_39.4801_ID_231-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_116_length_12462_cov_39.4801_ID_231-processed-gene-0.6&CDS=1-2793, augustus_masked-NODE_125_length_7321_cov_67.9151_ID_249-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_125_length_7321_cov_67.9151_ID_249-processed-gene-0.1&CDS=1-1488, augustus_masked-NODE_168_length_3651_cov_103.263_ID_335-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_168_length_3651_cov_103.263_ID_335-processed-gene-0.0&CDS=1-1146, augustus_masked-NODE_34_length_114703_cov_35.7617_ID_67-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_34_length_114703_cov_35.7617_ID_67-processed-gene-0.132&CDS=1-1002, augustus_masked-NODE_379_length_952_cov_112.343_ID_757-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_379_length_952_cov_112.343_ID_757-processed-gene-0.2&CDS=1-948, augustus_masked-NODE_429_length_807_cov_102.438_ID_857-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_429_length_807_cov_102.438_ID_857-processed-gene-0.0&CDS=1-804, snap_masked-NODE_178_length_3308_cov_62.5699_ID_355-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_178_length_3308_cov_62.5699_ID_355-processed-gene-0.1&CDS=1-1284, snap_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.189-mRNA-1_1&gene=snap_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.189&CDS=1-1893, snap_masked-NODE_33_length_125176_cov_31.9344_ID_65-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_33_length_125176_cov_31.9344_ID_65-processed-gene-0.81&CDS=1-2622, snap_masked-NODE_33_length_125176_cov_31.9344_ID_65-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_33_length_125176_cov_31.9344_ID_65-processed-gene-0.82&CDS=1-2250, snap_masked-NODE_39_length_104068_cov_37.199_ID_77-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_39_length_104068_cov_37.199_ID_77-processed-gene-0.28&CDS=1-717, snap_masked-NODE_54_length_75417_cov_34.5715_ID_107-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_54_length_75417_cov_34.5715_ID_107-processed-gene-0.31&CDS=1-2181
8	OG0000008	YHR179W, YPL171C	augustus_masked-NODE_103_length_22571_cov_32.6935_ID_205-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_103_length_22571_cov_32.6935_ID_205-processed-gene-0.12&CDS=1-1197, augustus_masked-NODE_217_length_2074_cov_67.8791_ID_433-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_217_length_2074_cov_67.8791_ID_433-processed-gene-0.1&CDS=1-1218, augustus_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.79&CDS=1-1197, augustus_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_30_length_136415_cov_36.7892_ID_59-processed-gene-0.99&CDS=1-1191, augustus_masked-NODE_39_length_104068_cov_37.199_ID_77-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_39_length_104068_cov_37.199_ID_77-processed-gene-0.91&CDS=1-1197, augustus_masked-NODE_54_length_75417_cov_34.5715_ID_107-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_54_length_75417_cov_34.5715_ID_107-processed-gene-0.16&CDS=1-1191, augustus_masked-NODE_69_length_59916_cov_36.1468_ID_137-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_69_length_59916_cov_36.1468_ID_137-processed-gene-0.15&CDS=1-1191, maker-NODE_38_length_106421_cov_31.6807_ID_75-snap-gene-0.51-mRNA-1_1&gene=maker-NODE_38_length_106421_cov_31.6807_ID_75-snap-gene-0.51&CDS=1-2301
9	OG0000009	YER011W, YOR010C	augustus_masked-NODE_12_length_234970_cov_35.404_ID_23-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_12_length_234970_cov_35.404_ID_23-processed-gene-0.78&CDS=1-393, augustus_masked-NODE_195_length_2640_cov_80.9516_ID_389-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_195_length_2640_cov_80.9516_ID_389-processed-gene-0.1&CDS=1-621, augustus_masked-NODE_22_length_169416_cov_32.5641_ID_43-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_22_length_169416_cov_32.5641_ID_43-processed-gene-0.86&CDS=1-390, augustus_masked-NODE_25_length_158554_cov_30.6552_ID_49-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_25_length_158554_cov_30.6552_ID_49-processed-gene-0.115&CDS=1-1533, augustus_masked-NODE_628_length_426_cov_59.8814_ID_1255-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_628_length_426_cov_59.8814_ID_1255-processed-gene-0.1&CDS=1-303, augustus_masked-NODE_95_length_26585_cov_60.808_ID_189-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_95_length_26585_cov_60.808_ID_189-processed-gene-0.18&CDS=1-660, maker-NODE_22_length_169416_cov_32.5641_ID_43-snap-gene-0.234-mRNA-1_1&gene=maker-NODE_22_length_169416_cov_32.5641_ID_43-snap-gene-0.234&CDS=1-705
