	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034661_Dipodascus_albidus
0	OG0000000	YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-flattened_line_86-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.135&CDS=1-1602
1	OG0000001	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_0-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.117&CDS=1-2163, augustus_masked-flattened_line_184-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.25&CDS=1-2055, augustus_masked-flattened_line_66-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.81&CDS=1-2163, genemark-flattened_line_150-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_150-processed-gene-0.25&CDS=1-2397, genemark-flattened_line_48-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.78&CDS=1-2046, genemark-flattened_line_56-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.56&CDS=1-2013, snap_masked-flattened_line_14-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.125&CDS=1-2076, snap_masked-flattened_line_184-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.60&CDS=1-666, snap_masked-flattened_line_72-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.2&CDS=1-2133
2	OG0000002	YGR212W	augustus_masked-flattened_line_134-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.65&CDS=1-1614, augustus_masked-flattened_line_74-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.41&CDS=1-1803, augustus_masked-flattened_line_8-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.84&CDS=1-1362, snap_masked-flattened_line_0-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.60&CDS=1-1338, snap_masked-flattened_line_124-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.17&CDS=1-1602, snap_masked-flattened_line_124-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.18&CDS=1-1590, snap_masked-flattened_line_62-processed-gene-0.176-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.176&CDS=1-1593, snap_masked-flattened_line_70-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.80&CDS=1-1323, snap_masked-flattened_line_70-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.82&CDS=1-1338
3	OG0000003	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W	genemark-flattened_line_0-processed-gene-7.54-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.54&CDS=1-1791, genemark-flattened_line_217-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_217-processed-gene-0.8&CDS=1-1677, genemark-flattened_line_52-processed-gene-0.193-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.193&CDS=1-1695
4	OG0000004	YGR260W	augustus_masked-flattened_line_0-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.97&CDS=1-1161, genemark-flattened_line_120-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.124&CDS=1-1497, genemark-flattened_line_142-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_142-processed-gene-0.120&CDS=1-1416, genemark-flattened_line_2-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.103&CDS=1-1542, genemark-flattened_line_28-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.86&CDS=1-1581, genemark-flattened_line_28-processed-gene-1.19-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.19&CDS=1-1515, genemark-flattened_line_42-processed-gene-1.2-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.2&CDS=1-1524, genemark-flattened_line_42-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.24&CDS=1-1560
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_74-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.61&CDS=1-1431, augustus_masked-flattened_line_88-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.142&CDS=1-1425, genemark-flattened_line_140-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.21&CDS=1-1392
6	OG0000006	YDR034C	augustus_masked-flattened_line_158-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.55&CDS=1-1695, augustus_masked-flattened_line_168-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.53&CDS=1-612, genemark-flattened_line_16-processed-gene-1.216-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.216&CDS=1-2181, genemark-flattened_line_16-processed-gene-1.295-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.295&CDS=1-1914, genemark-flattened_line_217-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_217-processed-gene-0.12&CDS=1-1734, genemark-flattened_line_38-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.13&CDS=1-1671, genemark-flattened_line_80-processed-gene-0.155-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.155&CDS=1-1833
7	OG0000007	YKR064W, YLR098C, YOR337W	genemark-flattened_line_100-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.137&CDS=1-2712, maker-flattened_line_152-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_152-augustus-gene-0.5&CDS=1-2472, snap_masked-flattened_line_8-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.44&CDS=1-2877, snap_masked-flattened_line_8-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.6&CDS=1-711, snap_masked-flattened_line_8-processed-gene-1.7-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.7&CDS=1-381
8	OG0000008	YMR169C, YMR170C, YOR374W	genemark-flattened_line_0-processed-gene-2.28-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.28&CDS=1-1578, genemark-flattened_line_2-processed-gene-3.91-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.91&CDS=1-1476, genemark-flattened_line_20-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.55&CDS=1-1488, genemark-flattened_line_20-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.56&CDS=1-1488, genemark-flattened_line_6-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.83&CDS=1-1485
9	OG0000009	YIL123W, YJL116C, YKR042W, YNL066W	genemark-flattened_line_170-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.58&CDS=1-1233, genemark-flattened_line_174-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_174-processed-gene-0.70&CDS=1-1461, genemark-flattened_line_6-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.67&CDS=1-1107
10	OG0000010	YKR039W	genemark-flattened_line_12-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.67&CDS=1-1737, genemark-flattened_line_150-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_150-processed-gene-0.16&CDS=1-1749, genemark-flattened_line_215-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_215-processed-gene-0.33&CDS=1-1743, genemark-flattened_line_251-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_251-processed-gene-0.26&CDS=1-1755, genemark-flattened_line_251-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_251-processed-gene-0.33&CDS=1-1725, genemark-flattened_line_66-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.10&CDS=1-1719
11	OG0000011	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_178-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_178-snap-gene-0.14&CDS=1-195, maker-flattened_line_178-snap-gene-0.15-mRNA-1_1&gene=maker-flattened_line_178-snap-gene-0.15&CDS=1-825, maker-flattened_line_178-snap-gene-0.16-mRNA-1_1&gene=maker-flattened_line_178-snap-gene-0.16&CDS=1-402
12	OG0000012	YAL053W, YGL139W, YPL221W	genemark-flattened_line_16-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.108&CDS=1-2229, genemark-flattened_line_20-processed-gene-1.207-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.207&CDS=1-2157, genemark-flattened_line_30-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.106&CDS=1-2334
13	OG0000013	YBR038W, YNL192W	genemark-flattened_line_146-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.117&CDS=1-2886, genemark-flattened_line_164-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_164-processed-gene-0.109&CDS=1-3147, genemark-flattened_line_2-processed-gene-6.219-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.219&CDS=1-2757, genemark-flattened_line_38-processed-gene-1.2-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.2&CDS=1-3363
14	OG0000014	YBR147W, YDR352W, YOL092W	augustus_masked-flattened_line_190-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.27&CDS=1-963, genemark-flattened_line_100-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.157&CDS=1-777, genemark-flattened_line_64-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.23&CDS=1-789
15	OG0000015	YBR207W, YER145C	augustus_masked-flattened_line_0-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.98&CDS=1-1332, genemark-flattened_line_152-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.92&CDS=1-1233, genemark-flattened_line_42-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.114&CDS=1-1128, genemark-flattened_line_86-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.145&CDS=1-1182
16	OG0000016	YCR073W-A, YGR248W, YHR163W, YNR034W	genemark-flattened_line_122-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.114&CDS=1-846, genemark-flattened_line_48-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.2&CDS=1-789
17	OG0000017	YDL137W, YDL192W, YOR094W	genemark-flattened_line_120-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.103&CDS=1-546, genemark-flattened_line_28-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.50&CDS=1-543, genemark-flattened_line_56-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.51&CDS=1-546
18	OG0000018	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_4-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.165&CDS=1-1521, genemark-flattened_line_12-processed-gene-1.27-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.27&CDS=1-1527, genemark-flattened_line_24-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.11&CDS=1-1545
19	OG0000019	YDR150W	augustus_masked-flattened_line_212-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_212-processed-gene-0.21&CDS=1-3363, augustus_masked-flattened_line_323-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_323-processed-gene-0.2&CDS=1-2745, augustus_masked-flattened_line_445-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_445-processed-gene-0.0&CDS=1-438, augustus_masked-flattened_line_60-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.61&CDS=1-7596, genemark-flattened_line_88-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.95&CDS=1-6609
20	OG0000020	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_74-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.43&CDS=1-2241, snap_masked-flattened_line_10-processed-gene-2.104-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.104&CDS=1-876
21	OG0000021	YKL046C	genemark-flattened_line_106-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.151&CDS=1-1374, genemark-flattened_line_14-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.106&CDS=1-1389, genemark-flattened_line_16-processed-gene-1.277-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.277&CDS=1-1344, maker-flattened_line_0-snap-gene-7.188-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-7.188&CDS=1-2733, snap_masked-flattened_line_225-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_225-processed-gene-0.28&CDS=1-1359
22	OG0000022	YLL057C	genemark-flattened_line_116-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.123&CDS=1-1191, genemark-flattened_line_116-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.148&CDS=1-1176, genemark-flattened_line_4-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.120&CDS=1-1101, genemark-flattened_line_40-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.89&CDS=1-1200, genemark-flattened_line_98-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.140&CDS=1-1155
