	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041829_Debaryomyces_fabryi
0	OG0000000	YKL222C, YLR256W, YOL093W, YOR162C, YOR172W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.6&CDS=1-2175, augustus_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.30&CDS=1-2109, augustus_masked-NODE_43_length_4121_cov_18.9222_ID_5590-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_43_length_4121_cov_18.9222_ID_5590-processed-gene-0.0&CDS=1-3078, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.280-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.280&CDS=1-10461, augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.205-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.205&CDS=1-2781, augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-6.131&CDS=1-2763, genemark-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-3.150-mRNA-1_1&gene=genemark-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-3.150&CDS=1-2196, genemark-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-5.114-mRNA-1_1&gene=genemark-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-5.114&CDS=1-2241, maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-6.150-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-6.150&CDS=1-4305, maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-6.151-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-6.151&CDS=1-2871, maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-4.125-mRNA-1_1&gene=maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-4.125&CDS=1-6690, snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.56-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.56&CDS=1-2628, snap_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.25&CDS=1-2283, snap_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.27&CDS=1-588, snap_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.4&CDS=1-1962, snap_masked-NODE_33_length_15945_cov_24.8433_ID_4970-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_33_length_15945_cov_24.8433_ID_4970-processed-gene-0.6&CDS=1-2406, snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-5.101-mRNA-1_1&gene=snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-5.101&CDS=1-3120
1	OG0000001	YCL025C, YDR508C, YKR039W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.125&CDS=1-1761, augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.61&CDS=1-1716, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.125&CDS=1-1767, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.128&CDS=1-1701, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.101&CDS=1-1755, augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.131&CDS=1-1734, augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.140&CDS=1-1740, genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.61-mRNA-1_1&gene=genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.61&CDS=1-1695, maker-NODE_3_length_903599_cov_13.2106_ID_2211-augustus-gene-4.140-mRNA-1_1&gene=maker-NODE_3_length_903599_cov_13.2106_ID_2211-augustus-gene-4.140&CDS=1-3048
2	OG0000002	YJR062C, YLR163C, YPR097W	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.39&CDS=1-5196, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.0&CDS=1-2697, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.44&CDS=1-2598, augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.172-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.172&CDS=1-1812, genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-8.154-mRNA-1_1&gene=genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-8.154&CDS=1-2115, maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-1.295-mRNA-1_1&gene=maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-1.295&CDS=1-4914, maker-NODE_20_length_126166_cov_9.70033_ID_4056-augustus-gene-0.184-mRNA-1_1&gene=maker-NODE_20_length_126166_cov_9.70033_ID_4056-augustus-gene-0.184&CDS=1-3801, maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-2.152-mRNA-1_1&gene=maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-2.152&CDS=1-3426
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.122&CDS=1-1704, maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-2.115-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-snap-gene-2.115&CDS=1-2178
4	OG0000004	YFL040W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-0.109&CDS=1-1656, augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.17&CDS=1-1644, augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.25&CDS=1-1515, augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.31&CDS=1-1626, augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.36&CDS=1-1614, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.78&CDS=1-1629, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.13&CDS=1-1590, genemark-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.50&CDS=1-1590
5	OG0000005	YBR015C, YJL186W	augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.78&CDS=1-1962, augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.41&CDS=1-3453, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.255-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.255&CDS=1-1734, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-2.24&CDS=1-1752, genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-3.41-mRNA-1_1&gene=genemark-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-3.41&CDS=1-1842, snap_masked-NODE_23_length_48617_cov_20.1129_ID_14123-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_23_length_48617_cov_20.1129_ID_14123-processed-gene-0.45&CDS=1-1713
6	OG0000006	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.79&CDS=1-1662, augustus_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.29&CDS=1-1734, augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.35&CDS=1-1737, augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.39&CDS=1-1725
7	OG0000007	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.93&CDS=1-4428
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.30&CDS=1-1392, maker-NODE_2_length_1055133_cov_10.9579_ID_2135-augustus-gene-3.2-mRNA-1_1&gene=maker-NODE_2_length_1055133_cov_10.9579_ID_2135-augustus-gene-3.2&CDS=1-2766
9	OG0000009	YCL069W, YGR224W, YKR105C, YMR088C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.145&CDS=1-1731, augustus_masked-NODE_23_length_48617_cov_20.1129_ID_14123-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_23_length_48617_cov_20.1129_ID_14123-processed-gene-0.47&CDS=1-1881, augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.119&CDS=1-1878
