	OrthologID	Lachancea_waltii	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YBL113C, YDR545W, YEL075C, YEL076C, YEL076C-A, YEL077C, YER189W, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W
1	OG0000001	augustus_masked-AADM01000001.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-AADM01000001.1-processed-gene-0.44&CDS=1-534, augustus_masked-AADM01000009.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.59&CDS=1-429, augustus_masked-AADM01000053.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000053.1-processed-gene-0.4&CDS=1-1818, augustus_masked-AADM01000053.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000053.1-processed-gene-0.5&CDS=1-1050, augustus_masked-AADM01000119.1-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-AADM01000119.1-processed-gene-0.137&CDS=1-384, augustus_masked-AADM01000167.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-AADM01000167.1-processed-gene-0.8&CDS=1-2607, augustus_masked-AADM01000167.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AADM01000167.1-processed-gene-0.9&CDS=1-1323, augustus_masked-AADM01000263.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000263.1-processed-gene-0.4&CDS=1-408, augustus_masked-AADM01000297.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000297.1-processed-gene-0.1&CDS=1-549, augustus_masked-AADM01000330.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000330.1-processed-gene-0.4&CDS=1-3195, augustus_masked-AADM01000331.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000331.1-processed-gene-0.5&CDS=1-612, augustus_masked-AADM01000367.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000367.1-processed-gene-0.5&CDS=1-1746, augustus_masked-AADM01000368.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000368.1-processed-gene-0.4&CDS=1-285, augustus_masked-AADM01000384.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-AADM01000384.1-processed-gene-0.7&CDS=1-2727, augustus_masked-AADM01000395.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-AADM01000395.1-processed-gene-0.12&CDS=1-456, augustus_masked-AADM01000402.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000402.1-processed-gene-0.4&CDS=1-666, augustus_masked-AADM01000414.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AADM01000414.1-processed-gene-0.3&CDS=1-390, augustus_masked-AADM01000454.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000454.1-processed-gene-0.5&CDS=1-2304, augustus_masked-AADM01000468.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AADM01000468.1-processed-gene-0.3&CDS=1-747, augustus_masked-AADM01000468.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000468.1-processed-gene-0.4&CDS=1-744, augustus_masked-AADM01000469.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AADM01000469.1-processed-gene-0.3&CDS=1-1143, augustus_masked-AADM01000489.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-AADM01000489.1-processed-gene-0.0&CDS=1-2142, augustus_masked-AADM01000500.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000500.1-processed-gene-0.4&CDS=1-495, snap_masked-AADM01000379.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000379.1-processed-gene-0.1&CDS=1-1398, snap_masked-AADM01000394.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000394.1-processed-gene-0.4&CDS=1-750, snap_masked-AADM01000394.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000394.1-processed-gene-0.5&CDS=1-597, snap_masked-AADM01000395.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000395.1-processed-gene-0.5&CDS=1-747, snap_masked-AADM01000500.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000500.1-processed-gene-0.3&CDS=1-279	
2	OG0000002	augustus_masked-AADM01000081.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-AADM01000081.1-processed-gene-0.122&CDS=1-957, snap_masked-AADM01000038.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.4&CDS=1-1020, snap_masked-AADM01000093.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.31&CDS=1-1101, snap_masked-AADM01000109.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-AADM01000109.1-processed-gene-0.99&CDS=1-1014	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
3	OG0000003	augustus_masked-AADM01000053.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AADM01000053.1-processed-gene-0.6&CDS=1-1845, augustus_masked-AADM01000119.1-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-AADM01000119.1-processed-gene-0.138&CDS=1-1572, augustus_masked-AADM01000298.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-AADM01000298.1-processed-gene-0.104&CDS=1-3246, augustus_masked-AADM01000327.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AADM01000327.1-processed-gene-0.6&CDS=1-426, augustus_masked-AADM01000368.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000368.1-processed-gene-0.5&CDS=1-1089, augustus_masked-AADM01000377.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000377.1-processed-gene-0.1&CDS=1-1356, augustus_masked-AADM01000384.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AADM01000384.1-processed-gene-0.6&CDS=1-2526, augustus_masked-AADM01000454.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AADM01000454.1-processed-gene-0.6&CDS=1-1155, snap_masked-AADM01000167.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000167.1-processed-gene-0.0&CDS=1-1140, snap_masked-AADM01000169.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-AADM01000169.1-processed-gene-0.96&CDS=1-558, snap_masked-AADM01000169.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-AADM01000169.1-processed-gene-0.97&CDS=1-2205, snap_masked-AADM01000394.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000394.1-processed-gene-0.3&CDS=1-912	
4	OG0000004	genemark-AADM01000073.1-processed-gene-0.19-mRNA-1_1&gene=genemark-AADM01000073.1-processed-gene-0.19&CDS=1-1398, snap_masked-AADM01000074.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000074.1-processed-gene-0.9&CDS=1-1707, snap_masked-AADM01000214.1-processed-gene-0.180-mRNA-1_1&gene=snap_masked-AADM01000214.1-processed-gene-0.180&CDS=1-1701, snap_masked-AADM01000220.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000220.1-processed-gene-0.5&CDS=1-1713, snap_masked-AADM01000265.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000265.1-processed-gene-0.7&CDS=1-1701, snap_masked-AADM01000298.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AADM01000298.1-processed-gene-0.38&CDS=1-1710	YDR342C, YDR343C, YHR092C, YMR011W
5	OG0000005		YAL063C, YAL064C-A, YAL065C, YAR050W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
6	OG0000006		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W
7	OG0000007	augustus_masked-AADM01000071.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-AADM01000071.1-processed-gene-0.121&CDS=1-2757, augustus_masked-AADM01000072.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-AADM01000072.1-processed-gene-0.5&CDS=1-1398, augustus_masked-AADM01000075.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-AADM01000075.1-processed-gene-0.56&CDS=1-2220, genemark-AADM01000074.1-processed-gene-0.3-mRNA-1_1&gene=genemark-AADM01000074.1-processed-gene-0.3&CDS=1-1959, snap_masked-AADM01000021.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000021.1-processed-gene-0.4&CDS=1-4467, snap_masked-AADM01000036.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000036.1-processed-gene-0.34&CDS=1-4422	YDR011W, YDR406W, YOR153W
8	OG0000008	maker-AADM01000320.1-augustus-gene-0.11-mRNA-1_1&gene=maker-AADM01000320.1-augustus-gene-0.11&CDS=1-2058, snap_masked-AADM01000385.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000385.1-processed-gene-0.10&CDS=1-1398	YBL017C, YCR100C, YCR101C, YIL173W, YJL222W, YNR065C, YNR066C
9	OG0000009	augustus_masked-AADM01000002.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-AADM01000002.1-processed-gene-0.10&CDS=1-1704, snap_masked-AADM01000022.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000022.1-processed-gene-0.7&CDS=1-1641, snap_masked-AADM01000247.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-AADM01000247.1-processed-gene-0.49&CDS=1-1857, snap_masked-AADM01000262.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000262.1-processed-gene-0.10&CDS=1-1620, snap_masked-AADM01000319.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000319.1-processed-gene-0.24&CDS=1-2199	YER001W, YGL257C, YNR059W
