	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034622_Pichia_occidentalis
0	OG0000000	YKR082W	augustus_masked-NODE_108_length_12387_cov_37.087_ID_215-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_108_length_12387_cov_37.087_ID_215-processed-gene-0.1&CDS=1-1047, augustus_masked-NODE_134_length_2738_cov_274.479_ID_267-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_134_length_2738_cov_274.479_ID_267-processed-gene-0.0&CDS=1-1059, augustus_masked-NODE_137_length_2594_cov_157.335_ID_273-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_137_length_2594_cov_157.335_ID_273-processed-gene-0.2&CDS=1-1059, augustus_masked-NODE_156_length_1613_cov_269.997_ID_311-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_156_length_1613_cov_269.997_ID_311-processed-gene-0.0&CDS=1-1113, augustus_masked-NODE_159_length_1558_cov_195.584_ID_317-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_159_length_1558_cov_195.584_ID_317-processed-gene-0.1&CDS=1-1059, augustus_masked-NODE_162_length_1519_cov_81.9821_ID_323-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_162_length_1519_cov_81.9821_ID_323-processed-gene-0.1&CDS=1-339, augustus_masked-NODE_163_length_1512_cov_255.043_ID_325-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_163_length_1512_cov_255.043_ID_325-processed-gene-0.2&CDS=1-1356, augustus_masked-NODE_166_length_1487_cov_253.794_ID_331-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_166_length_1487_cov_253.794_ID_331-processed-gene-0.2&CDS=1-1059, augustus_masked-NODE_170_length_1440_cov_296.607_ID_339-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_170_length_1440_cov_296.607_ID_339-processed-gene-0.2&CDS=1-1437, augustus_masked-NODE_171_length_1439_cov_249.935_ID_341-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_171_length_1439_cov_249.935_ID_341-processed-gene-0.2&CDS=1-1317, augustus_masked-NODE_192_length_1300_cov_326.681_ID_383-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_192_length_1300_cov_326.681_ID_383-processed-gene-0.1&CDS=1-1281, augustus_masked-NODE_200_length_1209_cov_317.063_ID_399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_200_length_1209_cov_317.063_ID_399-processed-gene-0.0&CDS=1-1059, augustus_masked-NODE_243_length_895_cov_190.026_ID_485-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_243_length_895_cov_190.026_ID_485-processed-gene-0.1&CDS=1-555, augustus_masked-NODE_265_length_791_cov_339.049_ID_529-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_265_length_791_cov_339.049_ID_529-processed-gene-0.0&CDS=1-789, augustus_masked-NODE_273_length_757_cov_233.077_ID_545-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_273_length_757_cov_233.077_ID_545-processed-gene-0.1&CDS=1-633, augustus_masked-NODE_41_length_97040_cov_14.4426_ID_81-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_41_length_97040_cov_14.4426_ID_81-processed-gene-0.67&CDS=1-771, augustus_masked-NODE_569_length_297_cov_156.608_ID_1137-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_569_length_297_cov_156.608_ID_1137-processed-gene-0.0&CDS=1-297, augustus_masked-NODE_81_length_33609_cov_25.4733_ID_161-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_81_length_33609_cov_25.4733_ID_161-processed-gene-0.33&CDS=1-4341, snap_masked-NODE_120_length_5344_cov_20.5805_ID_239-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_120_length_5344_cov_20.5805_ID_239-processed-gene-0.5&CDS=1-636, snap_masked-NODE_144_length_1833_cov_307.933_ID_287-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_144_length_1833_cov_307.933_ID_287-processed-gene-0.2&CDS=1-1782, snap_masked-NODE_151_length_1733_cov_278.589_ID_301-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_151_length_1733_cov_278.589_ID_301-processed-gene-0.2&CDS=1-1209, snap_masked-NODE_155_length_1633_cov_135.398_ID_309-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_155_length_1633_cov_135.398_ID_309-processed-gene-0.2&CDS=1-801, snap_masked-NODE_175_length_1422_cov_312.766_ID_349-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_175_length_1422_cov_312.766_ID_349-processed-gene-0.2&CDS=1-1335, snap_masked-NODE_208_length_1137_cov_305.371_ID_415-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_208_length_1137_cov_305.371_ID_415-processed-gene-0.0&CDS=1-1122, snap_masked-NODE_272_length_773_cov_342.354_ID_543-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_272_length_773_cov_342.354_ID_543-processed-gene-0.2&CDS=1-708
1	OG0000001	YCL074W	augustus_masked-NODE_129_length_3161_cov_109.49_ID_257-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_129_length_3161_cov_109.49_ID_257-processed-gene-0.0&CDS=1-645, augustus_masked-NODE_146_length_1816_cov_191.449_ID_291-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_146_length_1816_cov_191.449_ID_291-processed-gene-0.1&CDS=1-858, augustus_masked-NODE_147_length_1816_cov_208.809_ID_293-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_147_length_1816_cov_208.809_ID_293-processed-gene-0.2&CDS=1-1056, augustus_masked-NODE_164_length_1508_cov_174.826_ID_327-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_164_length_1508_cov_174.826_ID_327-processed-gene-0.0&CDS=1-420, augustus_masked-NODE_229_length_959_cov_129.887_ID_457-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_229_length_959_cov_129.887_ID_457-processed-gene-0.2&CDS=1-519, augustus_masked-NODE_249_length_871_cov_266.517_ID_497-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_249_length_871_cov_266.517_ID_497-processed-gene-0.2&CDS=1-867, augustus_masked-NODE_296_length_686_cov_174.671_ID_591-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_296_length_686_cov_174.671_ID_591-processed-gene-0.1&CDS=1-645, augustus_masked-NODE_359_length_580_cov_195.017_ID_717-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_359_length_580_cov_195.017_ID_717-processed-gene-0.0&CDS=1-519, augustus_masked-NODE_376_length_558_cov_238.341_ID_751-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_376_length_558_cov_238.341_ID_751-processed-gene-0.0&CDS=1-525, maker-NODE_128_length_3343_cov_83.1592_ID_255-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_128_length_3343_cov_83.1592_ID_255-augustus-gene-0.1&CDS=1-792, snap_masked-NODE_161_length_1521_cov_152.595_ID_321-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_161_length_1521_cov_152.595_ID_321-processed-gene-0.0&CDS=1-420, snap_masked-NODE_169_length_1449_cov_211.695_ID_337-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_169_length_1449_cov_211.695_ID_337-processed-gene-0.2&CDS=1-420, snap_masked-NODE_235_length_928_cov_146.708_ID_469-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_235_length_928_cov_146.708_ID_469-processed-gene-0.0&CDS=1-420, snap_masked-NODE_270_length_775_cov_182.393_ID_539-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_270_length_775_cov_182.393_ID_539-processed-gene-0.1&CDS=1-420, snap_masked-NODE_602_length_265_cov_283.986_ID_1203-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_602_length_265_cov_283.986_ID_1203-processed-gene-0.0&CDS=1-204
2	OG0000002	YBR240C, YDL170W	augustus_masked-NODE_48_length_87780_cov_16.8063_ID_95-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_48_length_87780_cov_16.8063_ID_95-processed-gene-0.33&CDS=1-1572, genemark-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.183-mRNA-1_1&gene=genemark-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.183&CDS=1-2976, genemark-NODE_61_length_59308_cov_19.0804_ID_121-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_61_length_59308_cov_19.0804_ID_121-processed-gene-0.18&CDS=1-1695, genemark-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.46&CDS=1-2019, snap_masked-NODE_16_length_190544_cov_14.457_ID_31-processed-gene-0.162-mRNA-1_1&gene=snap_masked-NODE_16_length_190544_cov_14.457_ID_31-processed-gene-0.162&CDS=1-2580, snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.142&CDS=1-453, snap_masked-NODE_22_length_166511_cov_14.8775_ID_43-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_22_length_166511_cov_14.8775_ID_43-processed-gene-0.64&CDS=1-1377, snap_masked-NODE_28_length_136305_cov_23.9313_ID_55-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_28_length_136305_cov_23.9313_ID_55-processed-gene-0.111&CDS=1-1986, snap_masked-NODE_60_length_59351_cov_13.2682_ID_119-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_60_length_59351_cov_13.2682_ID_119-processed-gene-0.72&CDS=1-1749
3	OG0000003	YDR011W, YPL058C	genemark-NODE_48_length_87780_cov_16.8063_ID_95-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_48_length_87780_cov_16.8063_ID_95-processed-gene-0.80&CDS=1-4740, maker-NODE_34_length_122449_cov_15.1049_ID_67-snap-gene-0.141-mRNA-1_1&gene=maker-NODE_34_length_122449_cov_15.1049_ID_67-snap-gene-0.141&CDS=1-8880, maker-NODE_49_length_86660_cov_15.4373_ID_97-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_49_length_86660_cov_15.4373_ID_97-snap-gene-0.41&CDS=1-4491, snap_masked-NODE_11_length_281462_cov_14.3937_ID_21-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_11_length_281462_cov_14.3937_ID_21-processed-gene-0.12&CDS=1-4497, snap_masked-NODE_130_length_3139_cov_20.84_ID_259-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_130_length_3139_cov_20.84_ID_259-processed-gene-0.2&CDS=1-2481, snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.154-mRNA-1_1&gene=snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.154&CDS=1-4575
4	OG0000004	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-1.83&CDS=1-4326, genemark-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-2.58&CDS=1-2271, snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.146&CDS=1-2781, snap_masked-NODE_56_length_67904_cov_15.3873_ID_111-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_56_length_67904_cov_15.3873_ID_111-processed-gene-0.25&CDS=1-2703
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_63_length_54474_cov_15.5768_ID_125-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_63_length_54474_cov_15.5768_ID_125-processed-gene-0.19&CDS=1-1404, snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-0.107&CDS=1-1362
6	OG0000006	YEL064C, YKR064W, YLR129W	genemark-NODE_17_length_177823_cov_14.5037_ID_33-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_17_length_177823_cov_14.5037_ID_33-processed-gene-0.80&CDS=1-2850, genemark-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.151&CDS=1-3546, maker-NODE_24_length_154291_cov_16.9242_ID_47-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_24_length_154291_cov_16.9242_ID_47-augustus-gene-0.0&CDS=1-2265, maker-NODE_28_length_136305_cov_23.9313_ID_55-augustus-gene-0.102-mRNA-1_1&gene=maker-NODE_28_length_136305_cov_23.9313_ID_55-augustus-gene-0.102&CDS=1-5118
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-NODE_12_length_279119_cov_14.1565_ID_23-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_12_length_279119_cov_14.1565_ID_23-processed-gene-0.85&CDS=1-2097, snap_masked-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-0.20&CDS=1-2088
8	OG0000008	YLR253W	genemark-NODE_14_length_241051_cov_15.2247_ID_27-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_14_length_241051_cov_15.2247_ID_27-processed-gene-0.4&CDS=1-7464, genemark-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-0.36&CDS=1-2781, maker-NODE_1_length_588352_cov_13.099_ID_1-augustus-gene-1.8-mRNA-1_1&gene=maker-NODE_1_length_588352_cov_13.099_ID_1-augustus-gene-1.8&CDS=1-13455, snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-0.10&CDS=1-2712, snap_masked-NODE_25_length_151388_cov_15.4933_ID_49-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_25_length_151388_cov_15.4933_ID_49-processed-gene-0.25&CDS=1-3351, snap_masked-NODE_57_length_67361_cov_26.3817_ID_113-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_57_length_67361_cov_26.3817_ID_113-processed-gene-0.63&CDS=1-2682
9	OG0000009	YML111W, YMR275C, YNR069C	genemark-NODE_54_length_70433_cov_14.1979_ID_107-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_54_length_70433_cov_14.1979_ID_107-processed-gene-0.9&CDS=1-2223, snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-2.16&CDS=1-2052, snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-2.17&CDS=1-2055, snap_masked-NODE_54_length_70433_cov_14.1979_ID_107-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_54_length_70433_cov_14.1979_ID_107-processed-gene-0.76&CDS=1-2202
