	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034654_Aciculoconidium_aculeatum
0	OG0000000	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_113_length_22252_cov_35.9671_ID_225-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_113_length_22252_cov_35.9671_ID_225-processed-gene-0.11&CDS=1-960, augustus_masked-NODE_11_length_357132_cov_34.8173_ID_21-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_11_length_357132_cov_34.8173_ID_21-processed-gene-1.112&CDS=1-966, augustus_masked-NODE_15_length_329958_cov_33.9237_ID_29-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_15_length_329958_cov_33.9237_ID_29-processed-gene-1.118&CDS=1-978, augustus_masked-NODE_30_length_167876_cov_33.5866_ID_59-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_30_length_167876_cov_33.5866_ID_59-processed-gene-0.29&CDS=1-960, augustus_masked-NODE_34_length_161411_cov_34.277_ID_67-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_34_length_161411_cov_34.277_ID_67-processed-gene-0.133&CDS=1-996, augustus_masked-NODE_37_length_152874_cov_34.0814_ID_73-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_37_length_152874_cov_34.0814_ID_73-processed-gene-0.23&CDS=1-972, augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.36&CDS=1-1920, augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.8&CDS=1-975, augustus_masked-NODE_59_length_86289_cov_33.4173_ID_117-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_59_length_86289_cov_33.4173_ID_117-processed-gene-0.31&CDS=1-960, maker-NODE_1_length_997750_cov_35.0829_ID_1-snap-gene-1.113-mRNA-1_1&gene=maker-NODE_1_length_997750_cov_35.0829_ID_1-snap-gene-1.113&CDS=1-1851, maker-NODE_70_length_72228_cov_33.8195_ID_139-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_70_length_72228_cov_33.8195_ID_139-snap-gene-0.55&CDS=1-1902, snap_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.6&CDS=1-939, snap_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.71&CDS=1-975, snap_masked-NODE_19_length_260818_cov_32.8456_ID_37-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_19_length_260818_cov_32.8456_ID_37-processed-gene-0.79&CDS=1-972
1	OG0000001		augustus_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.20&CDS=1-612, augustus_masked-NODE_113_length_22252_cov_35.9671_ID_225-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_113_length_22252_cov_35.9671_ID_225-processed-gene-0.13&CDS=1-1545, augustus_masked-NODE_114_length_21995_cov_48.7818_ID_227-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_114_length_21995_cov_48.7818_ID_227-processed-gene-0.13&CDS=1-1503, augustus_masked-NODE_134_length_11906_cov_35.1022_ID_267-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_134_length_11906_cov_35.1022_ID_267-processed-gene-0.0&CDS=1-2427, augustus_masked-NODE_156_length_7712_cov_50.868_ID_311-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_156_length_7712_cov_50.868_ID_311-processed-gene-0.0&CDS=1-387, augustus_masked-NODE_168_length_6073_cov_49.0334_ID_335-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_168_length_6073_cov_49.0334_ID_335-processed-gene-0.2&CDS=1-387, augustus_masked-NODE_377_length_1090_cov_63.8008_ID_753-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_377_length_1090_cov_63.8008_ID_753-processed-gene-0.2&CDS=1-1041, augustus_masked-NODE_3_length_592973_cov_34.3764_ID_5-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-NODE_3_length_592973_cov_34.3764_ID_5-processed-gene-3.9&CDS=1-2925, augustus_masked-NODE_436_length_796_cov_72.5763_ID_871-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_436_length_796_cov_72.5763_ID_871-processed-gene-0.2&CDS=1-771, augustus_masked-NODE_46_length_125620_cov_33.9717_ID_91-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_46_length_125620_cov_33.9717_ID_91-processed-gene-0.32&CDS=1-1557, augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.66&CDS=1-1767, snap_masked-NODE_128_length_14147_cov_33.8324_ID_255-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_128_length_14147_cov_33.8324_ID_255-processed-gene-0.5&CDS=1-1554, snap_masked-NODE_155_length_7773_cov_38.4949_ID_309-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_155_length_7773_cov_38.4949_ID_309-processed-gene-0.2&CDS=1-1587, snap_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.42&CDS=1-1650, snap_masked-NODE_95_length_35770_cov_31.5532_ID_189-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_95_length_35770_cov_31.5532_ID_189-processed-gene-0.12&CDS=1-2232
2	OG0000002	YKL096W	augustus_masked-NODE_115_length_20730_cov_32.9049_ID_229-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_115_length_20730_cov_32.9049_ID_229-processed-gene-0.19&CDS=1-402, augustus_masked-NODE_129_length_13863_cov_32.6899_ID_257-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_129_length_13863_cov_32.6899_ID_257-processed-gene-0.2&CDS=1-405, augustus_masked-NODE_144_length_9349_cov_33.7731_ID_287-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_144_length_9349_cov_33.7731_ID_287-processed-gene-0.7&CDS=1-474, augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.42&CDS=1-915, augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.13&CDS=1-381, augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.16&CDS=1-405, augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.54&CDS=1-402, augustus_masked-NODE_574_length_490_cov_81.3631_ID_1147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_574_length_490_cov_81.3631_ID_1147-processed-gene-0.2&CDS=1-327, snap_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_108_length_28565_cov_38.2515_ID_215-processed-gene-0.5&CDS=1-408, snap_masked-NODE_117_length_19605_cov_34.5305_ID_233-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_117_length_19605_cov_34.5305_ID_233-processed-gene-0.3&CDS=1-471, snap_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.23&CDS=1-393, snap_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.31&CDS=1-396
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_21_length_231536_cov_32.8639_ID_41-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_21_length_231536_cov_32.8639_ID_41-processed-gene-0.85&CDS=1-1404, augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_39_length_151875_cov_34.4392_ID_77-processed-gene-0.31&CDS=1-1386, augustus_masked-NODE_4_length_483234_cov_34.9916_ID_7-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4_length_483234_cov_34.9916_ID_7-processed-gene-0.1&CDS=1-1386, augustus_masked-NODE_87_length_43509_cov_38.8338_ID_173-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_87_length_43509_cov_38.8338_ID_173-processed-gene-0.35&CDS=1-1410, maker-NODE_12_length_346549_cov_34.9883_ID_23-augustus-gene-1.154-mRNA-1_1&gene=maker-NODE_12_length_346549_cov_34.9883_ID_23-augustus-gene-1.154&CDS=1-2622
4	OG0000004	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.90&CDS=1-1647, augustus_masked-NODE_7_length_403571_cov_37.4828_ID_13-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_7_length_403571_cov_37.4828_ID_13-processed-gene-2.18&CDS=1-1650
5	OG0000005	YBL007C	augustus_masked-NODE_106_length_30765_cov_36.579_ID_211-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_106_length_30765_cov_36.579_ID_211-processed-gene-0.3&CDS=1-705, augustus_masked-NODE_109_length_25546_cov_37.0152_ID_217-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_109_length_25546_cov_37.0152_ID_217-processed-gene-0.20&CDS=1-705, augustus_masked-NODE_15_length_329958_cov_33.9237_ID_29-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NODE_15_length_329958_cov_33.9237_ID_29-processed-gene-2.30&CDS=1-681, augustus_masked-NODE_169_length_5958_cov_42.4949_ID_337-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_169_length_5958_cov_42.4949_ID_337-processed-gene-0.1&CDS=1-693, augustus_masked-NODE_194_length_3685_cov_51.3081_ID_387-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_194_length_3685_cov_51.3081_ID_387-processed-gene-0.3&CDS=1-681, augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.50&CDS=1-705, augustus_masked-NODE_97_length_34420_cov_46.2795_ID_193-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_97_length_34420_cov_46.2795_ID_193-processed-gene-0.26&CDS=1-681, genemark-NODE_63_length_78351_cov_35.6797_ID_125-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_63_length_78351_cov_35.6797_ID_125-processed-gene-0.52&CDS=1-3807
6	OG0000006	YLR256W	augustus_masked-NODE_17_length_317208_cov_34.3659_ID_33-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NODE_17_length_317208_cov_34.3659_ID_33-processed-gene-1.9&CDS=1-2751, augustus_masked-NODE_28_length_181478_cov_35.4096_ID_55-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_28_length_181478_cov_35.4096_ID_55-processed-gene-0.145&CDS=1-2670, augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.19&CDS=1-3390, augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.20&CDS=1-2376, augustus_masked-NODE_44_length_135740_cov_34.0102_ID_87-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-NODE_44_length_135740_cov_34.0102_ID_87-processed-gene-0.171&CDS=1-2811, augustus_masked-NODE_50_length_120741_cov_34.4772_ID_99-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_50_length_120741_cov_34.4772_ID_99-processed-gene-0.120&CDS=1-3666, augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.79&CDS=1-3258, augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.41&CDS=1-2277
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-2.125&CDS=1-1722
8	OG0000008	YCL075W	augustus_masked-NODE_104_length_31709_cov_36.1325_ID_207-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_104_length_31709_cov_36.1325_ID_207-processed-gene-0.21&CDS=1-966, augustus_masked-NODE_10_length_383627_cov_34.1544_ID_19-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_10_length_383627_cov_34.1544_ID_19-processed-gene-0.10&CDS=1-903, augustus_masked-NODE_174_length_5230_cov_60.6933_ID_347-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_174_length_5230_cov_60.6933_ID_347-processed-gene-0.2&CDS=1-2244, augustus_masked-NODE_473_length_668_cov_33.6252_ID_945-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_473_length_668_cov_33.6252_ID_945-processed-gene-0.2&CDS=1-594, snap_masked-NODE_167_length_6340_cov_38.2102_ID_333-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_167_length_6340_cov_38.2102_ID_333-processed-gene-0.0&CDS=1-2535, snap_masked-NODE_170_length_5956_cov_105.446_ID_339-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_170_length_5956_cov_105.446_ID_339-processed-gene-0.2&CDS=1-774, snap_masked-NODE_170_length_5956_cov_105.446_ID_339-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_170_length_5956_cov_105.446_ID_339-processed-gene-0.3&CDS=1-1854
9	OG0000009	YJR061W, YKL201C	augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-8.213-mRNA-1_1&gene=augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-8.213&CDS=1-2892, augustus_masked-NODE_28_length_181478_cov_35.4096_ID_55-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_28_length_181478_cov_35.4096_ID_55-processed-gene-0.123&CDS=1-1848, augustus_masked-NODE_3_length_592973_cov_34.3764_ID_5-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_3_length_592973_cov_34.3764_ID_5-processed-gene-1.26&CDS=1-1920, augustus_masked-NODE_6_length_411934_cov_33.9477_ID_11-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_6_length_411934_cov_33.9477_ID_11-processed-gene-3.70&CDS=1-1926, maker-NODE_63_length_78351_cov_35.6797_ID_125-snap-gene-0.66-mRNA-1_1&gene=maker-NODE_63_length_78351_cov_35.6797_ID_125-snap-gene-0.66&CDS=1-3276, maker-NODE_63_length_78351_cov_35.6797_ID_125-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_63_length_78351_cov_35.6797_ID_125-snap-gene-0.69&CDS=1-2124
