	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041693_Debaryomyces_nepalensis
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.121&CDS=1-1902, maker-NODE_12_length_401645_cov_13.8051_ID_2448-snap-gene-3.56-mRNA-1_1&gene=maker-NODE_12_length_401645_cov_13.8051_ID_2448-snap-gene-3.56&CDS=1-2682
1	OG0000001	YLR256W	augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.191-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.191&CDS=1-3417, augustus_masked-NODE_19_length_53035_cov_22.1813_ID_3340-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_19_length_53035_cov_22.1813_ID_3340-processed-gene-0.28&CDS=1-2298, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-1.133&CDS=1-6474, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-9.99&CDS=1-2724, augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-5.85&CDS=1-2247, augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-0.28&CDS=1-2706, augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-0.31&CDS=1-2289, augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-1.73&CDS=1-2565, maker-NODE_10_length_472640_cov_12.5405_ID_2051-augustus-gene-3.17-mRNA-1_1&gene=maker-NODE_10_length_472640_cov_12.5405_ID_2051-augustus-gene-3.17&CDS=1-5919, snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.57-mRNA-1_1&gene=snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.57&CDS=1-2781, snap_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-1.43&CDS=1-3141, snap_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.260-mRNA-1_1&gene=snap_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.260&CDS=1-2352, snap_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-0.39&CDS=1-2130
2	OG0000002	YBR068C, YCL025C, YDR046C, YDR508C, YKR039W	augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-0.36&CDS=1-1737, augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.120&CDS=1-1710, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-4.75&CDS=1-1719, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-0.116&CDS=1-1731, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-2.41&CDS=1-1689, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-3.55&CDS=1-3795, augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-4.142&CDS=1-1761, snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-5.138-mRNA-1_1&gene=snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-5.138&CDS=1-1767
3	OG0000003	YJR061W, YJR062C, YKL201C	augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-1.31&CDS=1-3390, augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-1.9&CDS=1-2589, augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-2.65&CDS=1-2835, augustus_masked-NODE_12_length_401645_cov_13.8051_ID_2448-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-NODE_12_length_401645_cov_13.8051_ID_2448-processed-gene-3.128&CDS=1-2424, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-12.128-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-12.128&CDS=1-2415, augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-0.36&CDS=1-1815, maker-NODE_14_length_288750_cov_16.578_ID_2395-snap-gene-1.210-mRNA-1_1&gene=maker-NODE_14_length_288750_cov_16.578_ID_2395-snap-gene-1.210&CDS=1-4833
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.58&CDS=1-1734, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-6.37&CDS=1-1704
5	OG0000005	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-2.81&CDS=1-2133, augustus_masked-NODE_42_length_2140_cov_11.5218_ID_4418-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_42_length_2140_cov_11.5218_ID_4418-processed-gene-0.2&CDS=1-1404, maker-NODE_32_length_4665_cov_40.835_ID_6488-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_32_length_4665_cov_40.835_ID_6488-snap-gene-0.6&CDS=1-2190, maker-NODE_5_length_855293_cov_13.274_ID_3467-snap-gene-4.52-mRNA-1_1&gene=maker-NODE_5_length_855293_cov_13.274_ID_3467-snap-gene-4.52&CDS=1-4401
6	OG0000006	YBR015C, YJL186W	augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.169-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.169&CDS=1-1731, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.207-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.207&CDS=1-1716, augustus_masked-NODE_31_length_4840_cov_42.6195_ID_6492-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_31_length_4840_cov_42.6195_ID_6492-processed-gene-0.4&CDS=1-1710, maker-NODE_4_length_882405_cov_13.2916_ID_4850-augustus-gene-7.298-mRNA-1_1&gene=maker-NODE_4_length_882405_cov_13.2916_ID_4850-augustus-gene-7.298&CDS=1-3453, snap_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.199-mRNA-1_1&gene=snap_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.199&CDS=1-1947
7	OG0000007	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-9.135&CDS=1-2922, augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-2.29&CDS=1-3903, maker-NODE_12_length_401645_cov_13.8051_ID_2448-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_12_length_401645_cov_13.8051_ID_2448-augustus-gene-1.0&CDS=1-3786
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_3_length_1003114_cov_11.7128_ID_1650-snap-gene-6.120-mRNA-1_1&gene=maker-NODE_3_length_1003114_cov_11.7128_ID_1650-snap-gene-6.120&CDS=1-2691
9	OG0000009	YBR298C, YDL247W, YJR160C	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.76&CDS=1-1734, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.64&CDS=1-1731, snap_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.165&CDS=1-1629
