	OrthologID	Candida_auris	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-LGST01000022.1-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-LGST01000022.1-processed-gene-0.212&CDS=1-2028, augustus_masked-LGST01000022.1-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-LGST01000022.1-processed-gene-0.215&CDS=1-2022, snap_masked-LGST01000001.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LGST01000001.1-processed-gene-0.11&CDS=1-2010, snap_masked-LGST01000002.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LGST01000002.1-processed-gene-1.87&CDS=1-2016, snap_masked-LGST01000003.1-processed-gene-2.157-mRNA-1_1&gene=snap_masked-LGST01000003.1-processed-gene-2.157&CDS=1-2034, snap_masked-LGST01000041.1-processed-gene-6.3-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-6.3&CDS=1-2019, snap_masked-LGST01000043.1-processed-gene-2.36-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.36&CDS=1-2019, snap_masked-LGST01000043.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.44&CDS=1-2040, snap_masked-LGST01000045.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.45&CDS=1-2061, snap_masked-LGST01000045.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.52&CDS=1-2064, snap_masked-LGST01000045.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.54&CDS=1-2025, snap_masked-LGST01000067.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LGST01000067.1-processed-gene-0.39&CDS=1-1980	YEL065W, YHL040C
1	OG0000001	augustus_masked-LGST01000001.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LGST01000001.1-processed-gene-0.20&CDS=1-1734, augustus_masked-LGST01000022.1-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-LGST01000022.1-processed-gene-0.172&CDS=1-4125, augustus_masked-LGST01000031.1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-LGST01000031.1-processed-gene-1.104&CDS=1-2151, genemark-LGST01000081.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LGST01000081.1-processed-gene-0.3&CDS=1-1707, maker-LGST01000027.1-snap-gene-0.0-mRNA-1_1&gene=maker-LGST01000027.1-snap-gene-0.0&CDS=1-8703, snap_masked-LGST01000027.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000027.1-processed-gene-0.52&CDS=1-975, snap_masked-LGST01000027.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LGST01000027.1-processed-gene-0.56&CDS=1-1992, snap_masked-LGST01000030.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LGST01000030.1-processed-gene-0.67&CDS=1-2175, snap_masked-LGST01000047.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.3&CDS=1-5160, snap_masked-LGST01000082.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LGST01000082.1-processed-gene-0.3&CDS=1-1926	
2	OG0000002	augustus_masked-LGST01000066.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LGST01000066.1-processed-gene-0.35&CDS=1-1752, snap_masked-LGST01000016.1-processed-gene-6.148-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-6.148&CDS=1-1731, snap_masked-LGST01000023.1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.133&CDS=1-1761, snap_masked-LGST01000031.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-0.3&CDS=1-1764, snap_masked-LGST01000039.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LGST01000039.1-processed-gene-0.15&CDS=1-1725, snap_masked-LGST01000039.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LGST01000039.1-processed-gene-0.26&CDS=1-1758, snap_masked-LGST01000041.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-1.25&CDS=1-1773	YKR039W, YLL061W, YPL274W
3	OG0000003	augustus_masked-LGST01000020.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-0.71&CDS=1-5028, snap_masked-LGST01000004.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LGST01000004.1-processed-gene-1.87&CDS=1-2361, snap_masked-LGST01000018.1-processed-gene-4.97-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-4.97&CDS=1-2475, snap_masked-LGST01000041.1-processed-gene-7.70-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-7.70&CDS=1-1881, snap_masked-LGST01000043.1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.32&CDS=1-2334, snap_masked-LGST01000046.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.27&CDS=1-1848	YJR061W, YKL201C, YPR097W
4	OG0000004	augustus_masked-LGST01000017.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LGST01000017.1-processed-gene-0.25&CDS=1-6729, augustus_masked-LGST01000017.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LGST01000017.1-processed-gene-0.28&CDS=1-3132, augustus_masked-LGST01000026.1-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-LGST01000026.1-processed-gene-0.209&CDS=1-4272, augustus_masked-LGST01000031.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LGST01000031.1-processed-gene-0.83&CDS=1-2160, augustus_masked-LGST01000064.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LGST01000064.1-processed-gene-0.37&CDS=1-3639, snap_masked-LGST01000009.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-LGST01000009.1-processed-gene-0.35&CDS=1-2847, snap_masked-LGST01000026.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LGST01000026.1-processed-gene-0.87&CDS=1-2679, snap_masked-LGST01000031.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-3.18&CDS=1-2553	YOL093W
5	OG0000005	augustus_masked-LGST01000016.1-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-LGST01000016.1-processed-gene-1.22&CDS=1-3936, maker-LGST01000025.1-snap-gene-1.74-mRNA-1_1&gene=maker-LGST01000025.1-snap-gene-1.74&CDS=1-5400, maker-LGST01000025.1-snap-gene-1.76-mRNA-1_1&gene=maker-LGST01000025.1-snap-gene-1.76&CDS=1-5436, snap_masked-LGST01000025.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-0.50&CDS=1-2727, snap_masked-LGST01000025.1-processed-gene-1.194-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-1.194&CDS=1-2769, snap_masked-LGST01000051.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.91&CDS=1-2649, snap_masked-LGST01000061.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LGST01000061.1-processed-gene-0.62&CDS=1-2328	YDR145W, YPR194C
6	OG0000006	snap_masked-LGST01000001.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LGST01000001.1-processed-gene-0.16&CDS=1-3243, snap_masked-LGST01000018.1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-3.68&CDS=1-2241, snap_masked-LGST01000040.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-0.57&CDS=1-2658, snap_masked-LGST01000043.1-processed-gene-2.26-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.26&CDS=1-3318	YER013W, YGL120C, YKR086W, YNR011C
7	OG0000007	augustus_masked-LGST01000006.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LGST01000006.1-processed-gene-0.20&CDS=1-2181, augustus_masked-LGST01000025.1-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-LGST01000025.1-processed-gene-1.45&CDS=1-1374, snap_masked-LGST01000004.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LGST01000004.1-processed-gene-0.64&CDS=1-1776, snap_masked-LGST01000008.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-1.101&CDS=1-1686, snap_masked-LGST01000027.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LGST01000027.1-processed-gene-0.74&CDS=1-1419	YDR338C, YHR032W, YNL288W
8	OG0000008	snap_masked-LGST01000029.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.81&CDS=1-1713	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
9	OG0000009	maker-LGST01000041.1-snap-gene-6.82-mRNA-1_1&gene=maker-LGST01000041.1-snap-gene-6.82&CDS=1-3264, snap_masked-LGST01000049.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-LGST01000049.1-processed-gene-0.13&CDS=1-1638	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W
