	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041713_Debaryomyces_maramus
0	OG0000000	YER185W, YGR213C, YLR046C, YLR256W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.104&CDS=1-2805, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-16.228-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-16.228&CDS=1-2757, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-9.4&CDS=1-6486, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.209-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.209&CDS=1-2313, maker-NODE_4_length_1354523_cov_30.1699_ID_1712-augustus-gene-12.77-mRNA-1_1&gene=maker-NODE_4_length_1354523_cov_30.1699_ID_1712-augustus-gene-12.77&CDS=1-3636, maker-NODE_7_length_764832_cov_27.519_ID_1967-augustus-gene-4.144-mRNA-1_1&gene=maker-NODE_7_length_764832_cov_27.519_ID_1967-augustus-gene-4.144&CDS=1-9171, snap_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-9.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-9.128&CDS=1-3243
1	OG0000001	YJR061W, YKL201C	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-0.115&CDS=1-2430, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.161&CDS=1-2403, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.273-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.273&CDS=1-2667, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.295-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.295&CDS=1-2316, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.347-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.347&CDS=1-2613, augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-1.267-mRNA-1_1&gene=augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-1.267&CDS=1-4842, genemark-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.42&CDS=1-1692, snap_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-10.186-mRNA-1_1&gene=snap_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-10.186&CDS=1-2052
2	OG0000002	YCL025C, YDR508C, YKR039W	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.139&CDS=1-1737, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-7.41&CDS=1-1740, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-10.183-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-10.183&CDS=1-1701, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-10.186-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-10.186&CDS=1-1773, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-4.128&CDS=1-1764, maker-NODE_3_length_1617016_cov_26.7539_ID_6023-snap-gene-12.49-mRNA-1_1&gene=maker-NODE_3_length_1617016_cov_26.7539_ID_6023-snap-gene-12.49&CDS=1-3372
3	OG0000003	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_13_length_28926_cov_54.0482_ID_2378-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_13_length_28926_cov_54.0482_ID_2378-processed-gene-0.1&CDS=1-2550, maker-NODE_107_length_441_cov_0.715625_ID_4913-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_107_length_441_cov_0.715625_ID_4913-snap-gene-0.0&CDS=1-294
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.286-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.286&CDS=1-1704
5	OG0000005	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.131&CDS=1-2256, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.132&CDS=1-2283, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.314-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.314&CDS=1-2124
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-15.42-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-15.42&CDS=1-1380, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-7.108&CDS=1-1383
7	OG0000007	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-0.11&CDS=1-1092, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.119&CDS=1-1107, snap_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.94-mRNA-1_1&gene=snap_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.94&CDS=1-1119, snap_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.33&CDS=1-1224
8	OG0000008	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-10.26&CDS=1-1683, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.205-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.205&CDS=1-1725
9	OG0000009	YDR402C, YJL039C	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-13.104-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-13.104&CDS=1-1581, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-13.105-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-13.105&CDS=1-7302, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.37-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.37&CDS=1-1542, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.9&CDS=1-1557, augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-0.113&CDS=1-1560
