	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026142_Citeromyces_matritensis
0	OG0000000	YDR295C	augustus_masked-scf7180000040194-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000040194-processed-gene-0.1&CDS=1-810, augustus_masked-scf7180000040482-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040482-processed-gene-0.0&CDS=1-561, augustus_masked-scf7180000042915-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000042915-processed-gene-0.6&CDS=1-993, augustus_masked-scf7180000042917-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000042917-processed-gene-0.24&CDS=1-558, augustus_masked-scf7180000043083-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000043083-processed-gene-0.56&CDS=1-2394, augustus_masked-scf7180000043202-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000043202-processed-gene-0.19&CDS=1-381, augustus_masked-scf7180000043233-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000043233-processed-gene-0.68&CDS=1-891, augustus_masked-scf7180000043233-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000043233-processed-gene-0.70&CDS=1-1293, snap_masked-scf7180000040062-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000040062-processed-gene-0.1&CDS=1-582, snap_masked-scf7180000040434-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000040434-processed-gene-0.5&CDS=1-1101, snap_masked-scf7180000040492-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000040492-processed-gene-0.1&CDS=1-1101, snap_masked-scf7180000040565-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000040565-processed-gene-0.0&CDS=1-678, snap_masked-scf7180000041051-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000041051-processed-gene-0.1&CDS=1-855, snap_masked-scf7180000041203-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000041203-processed-gene-0.1&CDS=1-534, snap_masked-scf7180000042119-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000042119-processed-gene-0.1&CDS=1-1047, snap_masked-scf7180000042873-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000042873-processed-gene-0.3&CDS=1-810, snap_masked-scf7180000043018-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000043018-processed-gene-0.8&CDS=1-891, snap_masked-scf7180000043136-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000043136-processed-gene-0.4&CDS=1-960, snap_masked-scf7180000043163-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043163-processed-gene-0.1&CDS=1-183, snap_masked-scf7180000043229-processed-gene-0.82-mRNA-1_1&gene=snap_masked-scf7180000043229-processed-gene-0.82&CDS=1-972, snap_masked-scf7180000043232-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000043232-processed-gene-0.45&CDS=1-936
1	OG0000001		augustus_masked-scf7180000040226-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000040226-processed-gene-0.2&CDS=1-3993, augustus_masked-scf7180000042203-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000042203-processed-gene-0.4&CDS=1-906, augustus_masked-scf7180000042770-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000042770-processed-gene-0.1&CDS=1-2256, augustus_masked-scf7180000043243-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000043243-processed-gene-0.13&CDS=1-2886, genemark-scf7180000040269-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000040269-processed-gene-0.3&CDS=1-498, maker-scf7180000043150-augustus-gene-0.8-mRNA-1_1&gene=maker-scf7180000043150-augustus-gene-0.8&CDS=1-1863, snap_masked-scf7180000040529-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000040529-processed-gene-0.3&CDS=1-1296, snap_masked-scf7180000040645-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000040645-processed-gene-0.2&CDS=1-546, snap_masked-scf7180000041314-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000041314-processed-gene-0.2&CDS=1-1275, snap_masked-scf7180000041401-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041401-processed-gene-0.0&CDS=1-1122, snap_masked-scf7180000042473-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000042473-processed-gene-0.1&CDS=1-462, snap_masked-scf7180000042696-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000042696-processed-gene-0.1&CDS=1-1095, snap_masked-scf7180000042711-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000042711-processed-gene-0.0&CDS=1-540, snap_masked-scf7180000042873-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000042873-processed-gene-0.2&CDS=1-228, snap_masked-scf7180000042897-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000042897-processed-gene-0.24&CDS=1-876, snap_masked-scf7180000043011-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043011-processed-gene-0.1&CDS=1-183, snap_masked-scf7180000043112-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000043112-processed-gene-0.0&CDS=1-1947, snap_masked-scf7180000043189-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scf7180000043189-processed-gene-0.120&CDS=1-252
2	OG0000002		augustus_masked-scf7180000040346-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000040346-processed-gene-0.2&CDS=1-1215, augustus_masked-scf7180000040396-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040396-processed-gene-0.0&CDS=1-2562, augustus_masked-scf7180000041806-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000041806-processed-gene-0.2&CDS=1-705, genemark-scf7180000041452-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000041452-processed-gene-0.0&CDS=1-1776, genemark-scf7180000043174-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000043174-processed-gene-0.0&CDS=1-2124, maker-scf7180000042640-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000042640-snap-gene-0.0&CDS=1-1446, maker-scf7180000042715-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000042715-snap-gene-0.4&CDS=1-2982, snap_masked-scf7180000040737-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000040737-processed-gene-0.1&CDS=1-747, snap_masked-scf7180000040885-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000040885-processed-gene-0.1&CDS=1-288, snap_masked-scf7180000041106-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041106-processed-gene-0.0&CDS=1-936, snap_masked-scf7180000041571-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041571-processed-gene-0.0&CDS=1-879, snap_masked-scf7180000041700-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000041700-processed-gene-0.1&CDS=1-459, snap_masked-scf7180000041755-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041755-processed-gene-0.0&CDS=1-459, snap_masked-scf7180000041891-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000041891-processed-gene-0.2&CDS=1-546, snap_masked-scf7180000042110-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000042110-processed-gene-0.7&CDS=1-2340, snap_masked-scf7180000042758-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000042758-processed-gene-0.2&CDS=1-2994, snap_masked-scf7180000042960-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scf7180000042960-processed-gene-0.39&CDS=1-261, snap_masked-scf7180000043265-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000043265-processed-gene-0.7&CDS=1-2946
3	OG0000003	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	augustus_masked-scf7180000042343-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000042343-processed-gene-0.0&CDS=1-267, maker-scf7180000041935-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000041935-snap-gene-0.0&CDS=1-1821, snap_masked-scf7180000042990-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000042990-processed-gene-0.10&CDS=1-1707
4	OG0000004	YML111W, YMR275C, YNR068C, YNR069C	augustus_masked-scf7180000042149-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000042149-processed-gene-0.3&CDS=1-2091, augustus_masked-scf7180000042150-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000042150-processed-gene-0.6&CDS=1-378, augustus_masked-scf7180000043101-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000043101-processed-gene-0.7&CDS=1-1053, augustus_masked-scf7180000043241-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000043241-processed-gene-0.14&CDS=1-1146, snap_masked-scf7180000041922-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000041922-processed-gene-0.100&CDS=1-387, snap_masked-scf7180000042937-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000042937-processed-gene-0.8&CDS=1-675, snap_masked-scf7180000043363-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043363-processed-gene-0.1&CDS=1-246
5	OG0000005	YJR042W	augustus_masked-scf7180000041922-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000041922-processed-gene-0.17&CDS=1-3411, augustus_masked-scf7180000042006-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000042006-processed-gene-0.7&CDS=1-1254, augustus_masked-scf7180000043240-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000043240-processed-gene-0.4&CDS=1-1233, snap_masked-scf7180000040120-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000040120-processed-gene-0.2&CDS=1-669, snap_masked-scf7180000041971-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000041971-processed-gene-0.6&CDS=1-1284, snap_masked-scf7180000042973-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000042973-processed-gene-0.14&CDS=1-645, snap_masked-scf7180000043126-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000043126-processed-gene-0.2&CDS=1-681, snap_masked-scf7180000043251-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000043251-processed-gene-0.101&CDS=1-1245, snap_masked-scf7180000043260-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000043260-processed-gene-0.7&CDS=1-1212
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-scf7180000040939-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040939-processed-gene-0.0&CDS=1-576, augustus_masked-scf7180000042031-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000042031-processed-gene-0.7&CDS=1-237, augustus_masked-scf7180000043052-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000043052-processed-gene-0.74&CDS=1-1806, genemark-scf7180000043303-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000043303-processed-gene-0.29&CDS=1-2844, snap_masked-scf7180000041941-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000041941-processed-gene-0.2&CDS=1-2070
7	OG0000007	YAL051W, YLL054C, YLR256W, YOR363C	augustus_masked-scf7180000042753-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000042753-processed-gene-0.13&CDS=1-2220, augustus_masked-scf7180000042753-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000042753-processed-gene-0.14&CDS=1-2346, augustus_masked-scf7180000042896-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000042896-processed-gene-0.9&CDS=1-1761, augustus_masked-scf7180000043255-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000043255-processed-gene-0.74&CDS=1-2631, maker-scf7180000042753-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000042753-snap-gene-0.0&CDS=1-2889
8	OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-scf7180000042973-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000042973-processed-gene-0.31&CDS=1-1704, snap_masked-scf7180000043284-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scf7180000043284-processed-gene-0.74&CDS=1-1695
9	OG0000009	YOR131C	augustus_masked-scf7180000040142-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040142-processed-gene-0.0&CDS=1-441, augustus_masked-scf7180000042015-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000042015-processed-gene-0.1&CDS=1-591, augustus_masked-scf7180000042554-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000042554-processed-gene-0.1&CDS=1-186, augustus_masked-scf7180000043015-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000043015-processed-gene-0.16&CDS=1-537, augustus_masked-scf7180000043100-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000043100-processed-gene-0.41&CDS=1-231, maker-scf7180000042536-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000042536-snap-gene-0.3&CDS=1-459, maker-scf7180000043176-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000043176-snap-gene-0.5&CDS=1-441, snap_masked-scf7180000043351-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000043351-processed-gene-0.4&CDS=1-243
