	OrthologID	Candida_orthopsilosis	Saccharomyces_cerevisiae
0	OG0000000	genemark-NC_018292.1-processed-gene-10.50-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.50&CDS=1-2154, genemark-NC_018300.1-processed-gene-5.29-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-5.29&CDS=1-1725, genemark-NC_018300.1-processed-gene-5.43-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-5.43&CDS=1-1821, maker-NC_018295.1-snap-gene-4.107-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-4.107&CDS=1-2124, maker-NC_018301.1-augustus-gene-2.3-mRNA-1_1&gene=maker-NC_018301.1-augustus-gene-2.3&CDS=1-3954, snap_masked-NC_018296.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-0.4&CDS=1-3432	YMR006C, YMR008C, YNL012W, YOL011W
1	OG0000001	augustus_masked-NC_018295.1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-2.98&CDS=1-2184, genemark-NC_018292.1-processed-gene-15.114-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.114&CDS=1-2478, genemark-NC_018292.1-processed-gene-15.116-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.116&CDS=1-1239, genemark-NC_018292.1-processed-gene-16.50-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.50&CDS=1-1908, genemark-NC_018292.1-processed-gene-25.14-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-25.14&CDS=1-2262, maker-NC_018292.1-augustus-gene-15.5-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-15.5&CDS=1-2322, maker-NC_018295.1-snap-gene-16.106-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-16.106&CDS=1-5256	YJR061W, YKL201C
2	OG0000002	genemark-NC_018292.1-processed-gene-20.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.75&CDS=1-2265, genemark-NC_018298.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-4.57&CDS=1-2133, maker-NC_018292.1-augustus-gene-20.1-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-20.1&CDS=1-5415, maker-NC_018296.1-snap-gene-2.90-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-2.90&CDS=1-1758	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
3	OG0000003	augustus_masked-NC_018302.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NC_018302.1-processed-gene-1.12&CDS=1-3555, genemark-NC_018295.1-processed-gene-9.76-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.76&CDS=1-687, genemark-NC_018296.1-processed-gene-12.92-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.92&CDS=1-534, maker-NC_018292.1-snap-gene-19.0-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-19.0&CDS=1-876	YHL034C, YIR001C, YLL046C, YLR001C
4	OG0000004	genemark-NC_018292.1-processed-gene-20.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.76&CDS=1-1665, maker-NC_018292.1-snap-gene-26.149-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-26.149&CDS=1-3309	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C
5	OG0000005	genemark-NC_018295.1-processed-gene-23.59-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.59&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	genemark-NC_018292.1-processed-gene-2.4-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.4&CDS=1-1389, genemark-NC_018298.1-processed-gene-1.134-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.134&CDS=1-1377	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
7	OG0000007	augustus_masked-NC_018295.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-7.22&CDS=1-3009, genemark-NC_018292.1-processed-gene-14.113-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.113&CDS=1-1575, genemark-NC_018295.1-processed-gene-6.36-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-6.36&CDS=1-1575, maker-NC_018292.1-snap-gene-19.1-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-19.1&CDS=1-3180, maker-NC_018297.1-snap-gene-7.82-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-7.82&CDS=1-2883	YJR152W, YMR013C
8	OG0000008	augustus_masked-NC_018296.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-4.100&CDS=1-7422, genemark-NC_018292.1-processed-gene-22.45-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-22.45&CDS=1-2244, genemark-NC_018295.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-3.66&CDS=1-7488, genemark-NC_018296.1-processed-gene-10.72-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.72&CDS=1-3069, genemark-NC_018296.1-processed-gene-10.73-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.73&CDS=1-3069, genemark-NC_018296.1-processed-gene-2.30-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.30&CDS=1-2427, genemark-NC_018301.1-processed-gene-8.157-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.157&CDS=1-3108	
9	OG0000009	maker-NC_018292.1-augustus-gene-24.2-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-24.2&CDS=1-2001, maker-NC_018296.1-augustus-gene-1.124-mRNA-1_1&gene=maker-NC_018296.1-augustus-gene-1.124&CDS=1-2649, snap_masked-NC_018300.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-4.89&CDS=1-1590	YBL089W, YER107C, YER119C, YIL088C
10	OG0000010	augustus_masked-NC_018295.1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-2.95&CDS=1-3030, genemark-NC_018295.1-processed-gene-8.105-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-8.105&CDS=1-2160, maker-NC_018295.1-augustus-gene-8.43-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-8.43&CDS=1-2223, maker-NC_018296.1-snap-gene-4.2-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-4.2&CDS=1-4515, maker-NC_018302.1-snap-gene-3.44-mRNA-1_1&gene=maker-NC_018302.1-snap-gene-3.44&CDS=1-4482	YER015W, YIR034C
11	OG0000011	augustus_masked-NC_018292.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-1.106&CDS=1-1794, genemark-NC_018292.1-processed-gene-10.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.49&CDS=1-993, genemark-NC_018295.1-processed-gene-10.7-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-10.7&CDS=1-1026, genemark-NC_018296.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.68&CDS=1-1002	YKL128C, YOR340C
12	OG0000012	genemark-NC_018292.1-processed-gene-2.18-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.18&CDS=1-3105, genemark-NC_018296.1-processed-gene-8.5-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-8.5&CDS=1-2592, snap_masked-NC_018300.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-0.57&CDS=1-2934	YER013W, YKR086W, YNR011C
13	OG0000013	genemark-NC_018292.1-processed-gene-20.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.70&CDS=1-1248, genemark-NC_018292.1-processed-gene-6.105-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.105&CDS=1-1317, genemark-NC_018301.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-1.54&CDS=1-1203, genemark-NC_018302.1-processed-gene-4.52-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-4.52&CDS=1-1218	YBR207W, YER145C
14	OG0000014	genemark-NC_018292.1-processed-gene-7.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.56&CDS=1-2604, genemark-NC_018296.1-processed-gene-7.60-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-7.60&CDS=1-2856, genemark-NC_018298.1-processed-gene-8.47-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.47&CDS=1-2550	YLL005C, YMR266W, YOL084W
15	OG0000015	genemark-NC_018292.1-processed-gene-11.34-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.34&CDS=1-1764, genemark-NC_018295.1-processed-gene-4.39-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-4.39&CDS=1-1878	YCL069W, YGR224W, YKR105C, YPR198W
16	OG0000016	augustus_masked-NC_018292.1-processed-gene-13.60-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-13.60&CDS=1-5718, augustus_masked-NC_018292.1-processed-gene-19.147-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-19.147&CDS=1-3684, snap_masked-NC_018300.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-6.46&CDS=1-1461	YDR523C, YHR102W, YML131W
