	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034865_Zygosaccharomyces_kombuchaensis
0	OG0000000	YBL113C, YDR545W, YEL077C, YER190W, YGR296W, YHL050C, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	snap_masked-NODE_150_length_4625_cov_49.0867_ID_299-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_150_length_4625_cov_49.0867_ID_299-processed-gene-0.3&CDS=1-801
1	OG0000001	YDR342C, YDR343C, YDR345C, YDR443C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-NODE_47_length_80422_cov_10.2449_ID_93-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_47_length_80422_cov_10.2449_ID_93-processed-gene-0.96&CDS=1-6057, maker-NODE_45_length_84110_cov_9.9571_ID_89-snap-gene-0.125-mRNA-1_1&gene=maker-NODE_45_length_84110_cov_9.9571_ID_89-snap-gene-0.125&CDS=1-3465
2	OG0000002	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
3	OG0000003	YDR541C, YOL151W	augustus_masked-NODE_44_length_86606_cov_10.0517_ID_87-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_44_length_86606_cov_10.0517_ID_87-processed-gene-0.102&CDS=1-1029, augustus_masked-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.35&CDS=1-1029, genemark-NODE_107_length_23720_cov_10.296_ID_213-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_107_length_23720_cov_10.296_ID_213-processed-gene-0.24&CDS=1-1023, genemark-NODE_108_length_22824_cov_9.38438_ID_215-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_108_length_22824_cov_9.38438_ID_215-processed-gene-0.14&CDS=1-1038, genemark-NODE_112_length_22344_cov_21.8653_ID_223-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_112_length_22344_cov_21.8653_ID_223-processed-gene-0.5&CDS=1-915, genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.73&CDS=1-1029, genemark-NODE_34_length_101184_cov_9.8563_ID_67-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_34_length_101184_cov_9.8563_ID_67-processed-gene-0.24&CDS=1-1026, genemark-NODE_71_length_53331_cov_17.9727_ID_141-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_71_length_53331_cov_17.9727_ID_141-processed-gene-0.22&CDS=1-1029, maker-NODE_110_length_22568_cov_10.4364_ID_219-snap-gene-0.8-mRNA-1_1&gene=maker-NODE_110_length_22568_cov_10.4364_ID_219-snap-gene-0.8&CDS=1-993, maker-NODE_112_length_22344_cov_21.8653_ID_223-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_112_length_22344_cov_21.8653_ID_223-snap-gene-0.0&CDS=1-903, maker-NODE_18_length_133720_cov_10.4426_ID_35-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_18_length_133720_cov_10.4426_ID_35-augustus-gene-0.0&CDS=1-1368
4	OG0000004	YBR068C, YCL025C, YDR046C, YDR508C, YGR191W, YKR039W	genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.151-mRNA-1_1&gene=genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.151&CDS=1-1842, genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.84&CDS=1-1806, maker-NODE_6_length_231626_cov_10.3373_ID_11-augustus-gene-1.70-mRNA-1_1&gene=maker-NODE_6_length_231626_cov_10.3373_ID_11-augustus-gene-1.70&CDS=1-2451, snap_masked-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.68&CDS=1-1701, snap_masked-NODE_76_length_48989_cov_9.58268_ID_151-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_76_length_48989_cov_9.58268_ID_151-processed-gene-0.22&CDS=1-1806
5	OG0000005	YDR011W, YDR406W, YOR153W, YOR328W, YPL058C	genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.109&CDS=1-6885, genemark-NODE_42_length_88937_cov_10.0104_ID_83-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_42_length_88937_cov_10.0104_ID_83-processed-gene-0.97&CDS=1-4485, genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.64&CDS=1-4485, maker-NODE_28_length_118691_cov_10.2088_ID_55-snap-gene-0.161-mRNA-1_1&gene=maker-NODE_28_length_118691_cov_10.2088_ID_55-snap-gene-0.161&CDS=1-13257, snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.7&CDS=1-4566, snap_masked-NODE_117_length_18999_cov_22.8255_ID_233-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_117_length_18999_cov_22.8255_ID_233-processed-gene-0.3&CDS=1-4425
6	OG0000006	YBL017C, YCR099C, YCR100C, YIL173W, YJL222W, YNR065C, YNR066C	maker-NODE_43_length_87113_cov_10.1534_ID_85-augustus-gene-0.28-mRNA-1_1&gene=maker-NODE_43_length_87113_cov_10.1534_ID_85-augustus-gene-0.28&CDS=1-387, snap_masked-NODE_58_length_70814_cov_10.15_ID_115-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_58_length_70814_cov_10.15_ID_115-processed-gene-0.36&CDS=1-1131, snap_masked-NODE_79_length_46407_cov_10.0834_ID_157-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_79_length_46407_cov_10.0834_ID_157-processed-gene-0.43&CDS=1-5010
7	OG0000007	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W	augustus_masked-NODE_41_length_91025_cov_9.81865_ID_81-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_41_length_91025_cov_9.81865_ID_81-processed-gene-0.23&CDS=1-2853, genemark-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.153&CDS=1-2019, genemark-NODE_24_length_123266_cov_9.9853_ID_47-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_24_length_123266_cov_9.9853_ID_47-processed-gene-0.96&CDS=1-1839, genemark-NODE_48_length_80413_cov_9.32547_ID_95-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_48_length_80413_cov_9.32547_ID_95-processed-gene-0.45&CDS=1-1929
8	OG0000008	YER073W, YMR169C, YMR170C, YOR374W	genemark-NODE_168_length_2557_cov_437.097_ID_335-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_168_length_2557_cov_437.097_ID_335-processed-gene-0.1&CDS=1-1509, genemark-NODE_2_length_270538_cov_10.4682_ID_3-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_2_length_270538_cov_10.4682_ID_3-processed-gene-1.31&CDS=1-1944, genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.19&CDS=1-1545, maker-NODE_45_length_84110_cov_9.9571_ID_89-augustus-gene-0.41-mRNA-1_1&gene=maker-NODE_45_length_84110_cov_9.9571_ID_89-augustus-gene-0.41&CDS=1-3012, maker-NODE_45_length_84110_cov_9.9571_ID_89-augustus-gene-0.44-mRNA-1_1&gene=maker-NODE_45_length_84110_cov_9.9571_ID_89-augustus-gene-0.44&CDS=1-3315
9	OG0000009	YBL111C, YEL075C, YER189W, YFL064C, YHL049C, YLR462W, YPR202W	snap_masked-NODE_122_length_14027_cov_18.1926_ID_243-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_122_length_14027_cov_18.1926_ID_243-processed-gene-0.4&CDS=1-588
