	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035268_Wickerhamomyces_hampshirensis
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	maker-NODE_3_length_1364554_cov_21.9612_ID_3295-snap-gene-5.92-mRNA-1_1&gene=maker-NODE_3_length_1364554_cov_21.9612_ID_3295-snap-gene-5.92&CDS=1-3306
1	OG0000001	YAR061W, YFL051C, YHR212W-A	augustus_masked-NODE_221_length_446_cov_62.0836_ID_10860-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_221_length_446_cov_62.0836_ID_10860-processed-gene-0.2&CDS=1-420, augustus_masked-NODE_29_length_2990_cov_120.596_ID_8869-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_29_length_2990_cov_120.596_ID_8869-processed-gene-0.0&CDS=1-1572, augustus_masked-NODE_32_length_2293_cov_155.515_ID_5371-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_32_length_2293_cov_155.515_ID_5371-processed-gene-0.0&CDS=1-1272, augustus_masked-NODE_33_length_2261_cov_149.422_ID_5173-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_33_length_2261_cov_149.422_ID_5173-processed-gene-0.0&CDS=1-1026, augustus_masked-NODE_37_length_1818_cov_180.6_ID_5632-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_37_length_1818_cov_180.6_ID_5632-processed-gene-0.1&CDS=1-1014, augustus_masked-NODE_38_length_1797_cov_169.602_ID_5504-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_38_length_1797_cov_169.602_ID_5504-processed-gene-0.1&CDS=1-984, snap_masked-NODE_113_length_519_cov_35.4216_ID_10926-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_113_length_519_cov_35.4216_ID_10926-processed-gene-0.1&CDS=1-420, snap_masked-NODE_129_length_469_cov_52.1285_ID_10910-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_129_length_469_cov_52.1285_ID_10910-processed-gene-0.0&CDS=1-387, snap_masked-NODE_15_length_246556_cov_32.6908_ID_5762-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_15_length_246556_cov_32.6908_ID_5762-processed-gene-0.0&CDS=1-3024, snap_masked-NODE_31_length_2455_cov_228.581_ID_8450-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_31_length_2455_cov_228.581_ID_8450-processed-gene-0.1&CDS=1-1005
2	OG0000002	YBR240C, YDR207C	augustus_masked-NODE_17_length_172630_cov_35.0434_ID_4407-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_17_length_172630_cov_35.0434_ID_4407-processed-gene-0.114&CDS=1-660, genemark-NODE_16_length_214857_cov_18.8876_ID_4634-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_16_length_214857_cov_18.8876_ID_4634-processed-gene-1.39&CDS=1-1932, genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-6.12-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-6.12&CDS=1-1473, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-0.35&CDS=1-1797, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.77-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.77&CDS=1-2298, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.113-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.113&CDS=1-1437, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.12-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.12&CDS=1-834, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-2.4&CDS=1-1785, genemark-NODE_8_length_533836_cov_19.8766_ID_4568-processed-gene-4.182-mRNA-1_1&gene=genemark-NODE_8_length_533836_cov_19.8766_ID_4568-processed-gene-4.182&CDS=1-414, snap_masked-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-5.117&CDS=1-1953
3	OG0000003	YLR300W, YMR169C, YMR170C, YOR190W, YOR374W, YPL061W	genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-2.156-mRNA-1_1&gene=genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-2.156&CDS=1-1500, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-9.133-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-9.133&CDS=1-1491, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.22-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.22&CDS=1-1497, genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.37-mRNA-1_1&gene=genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.37&CDS=1-1545, maker-NODE_1_length_2064379_cov_23.1478_ID_10436-snap-gene-6.110-mRNA-1_1&gene=maker-NODE_1_length_2064379_cov_23.1478_ID_10436-snap-gene-6.110&CDS=1-1935, maker-NODE_3_length_1364554_cov_21.9612_ID_3295-augustus-gene-8.181-mRNA-1_1&gene=maker-NODE_3_length_1364554_cov_21.9612_ID_3295-augustus-gene-8.181&CDS=1-2844
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.152-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.152&CDS=1-1689, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.46-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.46&CDS=1-1695, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.8-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.8&CDS=1-1689, genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.41-mRNA-1_1&gene=genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.41&CDS=1-1680
5	OG0000005	YDR242W	genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.23&CDS=1-1701, genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-2.191-mRNA-1_1&gene=genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-2.191&CDS=1-1620, genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-0.135&CDS=1-1614, genemark-NODE_16_length_214857_cov_18.8876_ID_4634-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_16_length_214857_cov_18.8876_ID_4634-processed-gene-1.12&CDS=1-1704, genemark-NODE_17_length_172630_cov_35.0434_ID_4407-processed-gene-0.213-mRNA-1_1&gene=genemark-NODE_17_length_172630_cov_35.0434_ID_4407-processed-gene-0.213&CDS=1-1608, genemark-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.43&CDS=1-1626, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-8.0-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-8.0&CDS=1-1743, genemark-NODE_9_length_350230_cov_29.1439_ID_4503-processed-gene-2.39-mRNA-1_1&gene=genemark-NODE_9_length_350230_cov_29.1439_ID_4503-processed-gene-2.39&CDS=1-1629, maker-NODE_21_length_62229_cov_19.6615_ID_10144-augustus-gene-0.92-mRNA-1_1&gene=maker-NODE_21_length_62229_cov_19.6615_ID_10144-augustus-gene-0.92&CDS=1-2871, maker-NODE_2_length_1379909_cov_21.984_ID_3444-snap-gene-7.162-mRNA-1_1&gene=maker-NODE_2_length_1379909_cov_21.984_ID_3444-snap-gene-7.162&CDS=1-4830
6	OG0000006	YPL248C	augustus_masked-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.266-mRNA-1_1&gene=augustus_masked-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.266&CDS=1-1671, augustus_masked-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.53&CDS=1-2175, augustus_masked-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.222-mRNA-1_1&gene=augustus_masked-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.222&CDS=1-1974, genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-5.16-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-5.16&CDS=1-861, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.34-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.34&CDS=1-2490, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-0.112&CDS=1-2163, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.10-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.10&CDS=1-2139, genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.80-mRNA-1_1&gene=genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-5.80&CDS=1-2421, snap_masked-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.130&CDS=1-1911, snap_masked-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.98&CDS=1-2220
7	OG0000007	YKL071W	genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-0.112&CDS=1-774, genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_11_length_314032_cov_21.0685_ID_9587-processed-gene-1.146&CDS=1-762, genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-0.23&CDS=1-771, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-0.139&CDS=1-756, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.19-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.19&CDS=1-762, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.20-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-5.20&CDS=1-762, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-0.116&CDS=1-774, genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-1.42&CDS=1-771, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-1.52&CDS=1-753
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.74-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.74&CDS=1-1020, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-0.113&CDS=1-1695, snap_masked-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-11.156-mRNA-1_1&gene=snap_masked-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-11.156&CDS=1-1980, snap_masked-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-11.89-mRNA-1_1&gene=snap_masked-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-11.89&CDS=1-1137, snap_masked-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-5.38-mRNA-1_1&gene=snap_masked-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-5.38&CDS=1-2235
9	OG0000009	YCL025C, YDR508C, YGR191W	genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-4.4-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-4.4&CDS=1-1782, genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-7.145-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-7.145&CDS=1-1764, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-3.135-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-3.135&CDS=1-1758, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.40-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.40&CDS=1-1767, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-2.35&CDS=1-1758, maker-NODE_6_length_661877_cov_25.9127_ID_4294-augustus-gene-5.84-mRNA-1_1&gene=maker-NODE_6_length_661877_cov_25.9127_ID_4294-augustus-gene-5.84&CDS=1-3492
