	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034655_Botryozyma_nematodophila
0	OG0000000	YGL071W, YPL202C	augustus_masked-NODE_1137_length_3470_cov_55.5602_ID_2273-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_1137_length_3470_cov_55.5602_ID_2273-processed-gene-0.3&CDS=1-2052, augustus_masked-NODE_2031_length_2502_cov_71.9804_ID_4061-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2031_length_2502_cov_71.9804_ID_4061-processed-gene-0.0&CDS=1-2052, augustus_masked-NODE_2434_length_2223_cov_74.5577_ID_4867-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2434_length_2223_cov_74.5577_ID_4867-processed-gene-0.2&CDS=1-1872, augustus_masked-NODE_2646_length_2087_cov_85.1604_ID_5291-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2646_length_2087_cov_85.1604_ID_5291-processed-gene-0.0&CDS=1-1995, augustus_masked-NODE_2833_length_1981_cov_82.6978_ID_5665-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2833_length_1981_cov_82.6978_ID_5665-processed-gene-0.1&CDS=1-1908, augustus_masked-NODE_3373_length_1718_cov_83.7703_ID_6745-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3373_length_1718_cov_83.7703_ID_6745-processed-gene-0.0&CDS=1-1551, augustus_masked-NODE_3671_length_1585_cov_10.2216_ID_7341-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3671_length_1585_cov_10.2216_ID_7341-processed-gene-0.2&CDS=1-1383, augustus_masked-NODE_3686_length_1577_cov_9.9954_ID_7371-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3686_length_1577_cov_9.9954_ID_7371-processed-gene-0.2&CDS=1-1017, augustus_masked-NODE_3789_length_1530_cov_5.14644_ID_7577-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3789_length_1530_cov_5.14644_ID_7577-processed-gene-0.0&CDS=1-849, augustus_masked-NODE_4050_length_1424_cov_11.6932_ID_8099-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4050_length_1424_cov_11.6932_ID_8099-processed-gene-0.1&CDS=1-1419, augustus_masked-NODE_4742_length_1181_cov_77.1536_ID_9483-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_4742_length_1181_cov_77.1536_ID_9483-processed-gene-0.2&CDS=1-984, augustus_masked-NODE_5848_length_886_cov_9.53911_ID_11695-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5848_length_886_cov_9.53911_ID_11695-processed-gene-0.0&CDS=1-885, augustus_masked-NODE_6056_length_844_cov_28.185_ID_12111-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6056_length_844_cov_28.185_ID_12111-processed-gene-0.0&CDS=1-666, augustus_masked-NODE_6057_length_844_cov_27.1242_ID_12113-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6057_length_844_cov_27.1242_ID_12113-processed-gene-0.0&CDS=1-765, augustus_masked-NODE_6058_length_844_cov_27.9708_ID_12115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6058_length_844_cov_27.9708_ID_12115-processed-gene-0.1&CDS=1-765, augustus_masked-NODE_6126_length_830_cov_7.52516_ID_12251-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6126_length_830_cov_7.52516_ID_12251-processed-gene-0.1&CDS=1-732, augustus_masked-NODE_6130_length_829_cov_10.1111_ID_12259-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6130_length_829_cov_10.1111_ID_12259-processed-gene-0.0&CDS=1-594, augustus_masked-NODE_6357_length_782_cov_42.5351_ID_12713-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6357_length_782_cov_42.5351_ID_12713-processed-gene-0.1&CDS=1-780, augustus_masked-NODE_640_length_4532_cov_8.12263_ID_1279-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_640_length_4532_cov_8.12263_ID_1279-processed-gene-0.5&CDS=1-963, augustus_masked-NODE_6412_length_771_cov_27.676_ID_12823-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6412_length_771_cov_27.676_ID_12823-processed-gene-0.0&CDS=1-570, augustus_masked-NODE_6650_length_728_cov_67.2407_ID_13299-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6650_length_728_cov_67.2407_ID_13299-processed-gene-0.1&CDS=1-723, augustus_masked-NODE_7914_length_529_cov_12.6013_ID_15827-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_7914_length_529_cov_12.6013_ID_15827-processed-gene-0.0&CDS=1-255, augustus_masked-NODE_8730_length_431_cov_8.6516_ID_17459-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_8730_length_431_cov_8.6516_ID_17459-processed-gene-0.0&CDS=1-402, snap_masked-NODE_2313_length_2298_cov_12.9483_ID_4625-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2313_length_2298_cov_12.9483_ID_4625-processed-gene-0.1&CDS=1-729, snap_masked-NODE_4771_length_1170_cov_9.3139_ID_9541-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_4771_length_1170_cov_9.3139_ID_9541-processed-gene-0.1&CDS=1-681
1	OG0000001	YCL075W	augustus_masked-NODE_2674_length_2070_cov_4.79206_ID_5347-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_2674_length_2070_cov_4.79206_ID_5347-processed-gene-0.4&CDS=1-531, augustus_masked-NODE_3118_length_1835_cov_4.21461_ID_6235-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3118_length_1835_cov_4.21461_ID_6235-processed-gene-0.3&CDS=1-492, augustus_masked-NODE_3976_length_1461_cov_42.7809_ID_7951-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3976_length_1461_cov_42.7809_ID_7951-processed-gene-0.0&CDS=1-1224, augustus_masked-NODE_3987_length_1452_cov_42.0215_ID_7973-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3987_length_1452_cov_42.0215_ID_7973-processed-gene-0.0&CDS=1-1224, augustus_masked-NODE_4006_length_1445_cov_36.7137_ID_8011-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4006_length_1445_cov_36.7137_ID_8011-processed-gene-0.0&CDS=1-1260, augustus_masked-NODE_4247_length_1344_cov_36.2002_ID_8493-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4247_length_1344_cov_36.2002_ID_8493-processed-gene-0.1&CDS=1-1224, augustus_masked-NODE_4399_length_1289_cov_41.4489_ID_8797-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4399_length_1289_cov_41.4489_ID_8797-processed-gene-0.1&CDS=1-1002, augustus_masked-NODE_4446_length_1276_cov_41.6937_ID_8891-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4446_length_1276_cov_41.6937_ID_8891-processed-gene-0.1&CDS=1-1002, augustus_masked-NODE_4768_length_1172_cov_42.7932_ID_9535-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4768_length_1172_cov_42.7932_ID_9535-processed-gene-0.0&CDS=1-1146, augustus_masked-NODE_5461_length_976_cov_9.14875_ID_10921-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5461_length_976_cov_9.14875_ID_10921-processed-gene-0.1&CDS=1-855, augustus_masked-NODE_5591_length_949_cov_21.7662_ID_11181-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5591_length_949_cov_21.7662_ID_11181-processed-gene-0.1&CDS=1-363, augustus_masked-NODE_6033_length_848_cov_38.8865_ID_12065-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6033_length_848_cov_38.8865_ID_12065-processed-gene-0.1&CDS=1-726, augustus_masked-NODE_6353_length_783_cov_19.3118_ID_12705-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6353_length_783_cov_19.3118_ID_12705-processed-gene-0.0&CDS=1-396, augustus_masked-NODE_659_length_4478_cov_35.3945_ID_1317-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_659_length_4478_cov_35.3945_ID_1317-processed-gene-0.1&CDS=1-1581, augustus_masked-NODE_7679_length_557_cov_11.8127_ID_15357-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_7679_length_557_cov_11.8127_ID_15357-processed-gene-0.1&CDS=1-399, augustus_masked-NODE_8096_length_505_cov_35.8956_ID_16191-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8096_length_505_cov_35.8956_ID_16191-processed-gene-0.1&CDS=1-360, augustus_masked-NODE_8467_length_459_cov_39.7351_ID_16933-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8467_length_459_cov_39.7351_ID_16933-processed-gene-0.1&CDS=1-360, augustus_masked-NODE_9389_length_368_cov_44.8658_ID_18777-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_9389_length_368_cov_44.8658_ID_18777-processed-gene-0.1&CDS=1-345, maker-NODE_1990_length_2533_cov_41.6651_ID_3979-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_1990_length_2533_cov_41.6651_ID_3979-augustus-gene-0.0&CDS=1-1836, maker-NODE_1991_length_2533_cov_41.7692_ID_3981-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_1991_length_2533_cov_41.7692_ID_3981-augustus-gene-0.1&CDS=1-1836, maker-NODE_6050_length_845_cov_11.9886_ID_12099-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_6050_length_845_cov_11.9886_ID_12099-augustus-gene-0.2&CDS=1-675, snap_masked-NODE_3300_length_1754_cov_40.678_ID_6599-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_3300_length_1754_cov_40.678_ID_6599-processed-gene-0.0&CDS=1-1662, snap_masked-NODE_4300_length_1326_cov_40.2116_ID_8599-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_4300_length_1326_cov_40.2116_ID_8599-processed-gene-0.1&CDS=1-1227, snap_masked-NODE_6829_length_690_cov_4.9685_ID_13657-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_6829_length_690_cov_4.9685_ID_13657-processed-gene-0.1&CDS=1-612, snap_masked-NODE_7765_length_548_cov_34.9148_ID_15529-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_7765_length_548_cov_34.9148_ID_15529-processed-gene-0.1&CDS=1-354
2	OG0000002	YDR081C	augustus_masked-NODE_3053_length_1867_cov_5.00166_ID_6105-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3053_length_1867_cov_5.00166_ID_6105-processed-gene-0.2&CDS=1-621, augustus_masked-NODE_3649_length_1596_cov_12.4711_ID_7297-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3649_length_1596_cov_12.4711_ID_7297-processed-gene-0.3&CDS=1-777, augustus_masked-NODE_3682_length_1580_cov_16.5659_ID_7363-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3682_length_1580_cov_16.5659_ID_7363-processed-gene-0.2&CDS=1-633, augustus_masked-NODE_3682_length_1580_cov_16.5659_ID_7363-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3682_length_1580_cov_16.5659_ID_7363-processed-gene-0.3&CDS=1-552, augustus_masked-NODE_3691_length_1577_cov_16.4159_ID_7381-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3691_length_1577_cov_16.4159_ID_7381-processed-gene-0.3&CDS=1-633, augustus_masked-NODE_3691_length_1577_cov_16.4159_ID_7381-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_3691_length_1577_cov_16.4159_ID_7381-processed-gene-0.4&CDS=1-549, augustus_masked-NODE_4129_length_1390_cov_13.233_ID_8257-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_4129_length_1390_cov_13.233_ID_8257-processed-gene-0.2&CDS=1-702, augustus_masked-NODE_5277_length_1024_cov_17.711_ID_10553-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5277_length_1024_cov_17.711_ID_10553-processed-gene-0.1&CDS=1-510, augustus_masked-NODE_6069_length_842_cov_8.51461_ID_12137-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6069_length_842_cov_8.51461_ID_12137-processed-gene-0.1&CDS=1-204, augustus_masked-NODE_6294_length_795_cov_16.2716_ID_12587-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6294_length_795_cov_16.2716_ID_12587-processed-gene-0.0&CDS=1-330, augustus_masked-NODE_6585_length_740_cov_19.4175_ID_13169-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6585_length_740_cov_19.4175_ID_13169-processed-gene-0.1&CDS=1-318, augustus_masked-NODE_7603_length_567_cov_7.22461_ID_15205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_7603_length_567_cov_7.22461_ID_15205-processed-gene-0.0&CDS=1-336, augustus_masked-NODE_8080_length_508_cov_34.3422_ID_16159-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8080_length_508_cov_34.3422_ID_16159-processed-gene-0.1&CDS=1-381, augustus_masked-NODE_8855_length_420_cov_10.2658_ID_17709-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8855_length_420_cov_10.2658_ID_17709-processed-gene-0.1&CDS=1-300, augustus_masked-NODE_8862_length_419_cov_6.29396_ID_17723-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_8862_length_419_cov_6.29396_ID_17723-processed-gene-0.0&CDS=1-306, augustus_masked-NODE_9100_length_395_cov_12.2941_ID_18199-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_9100_length_395_cov_12.2941_ID_18199-processed-gene-0.0&CDS=1-255, augustus_masked-NODE_9626_length_346_cov_14.0378_ID_19251-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_9626_length_346_cov_14.0378_ID_19251-processed-gene-0.0&CDS=1-255, snap_masked-NODE_1295_length_3241_cov_9.32988_ID_2589-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1295_length_3241_cov_9.32988_ID_2589-processed-gene-0.1&CDS=1-246, snap_masked-NODE_5571_length_954_cov_9.77976_ID_11141-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_5571_length_954_cov_9.77976_ID_11141-processed-gene-0.0&CDS=1-366, snap_masked-NODE_6157_length_823_cov_3.45573_ID_12313-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_6157_length_823_cov_3.45573_ID_12313-processed-gene-0.1&CDS=1-267, snap_masked-NODE_6513_length_753_cov_19.1705_ID_13025-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_6513_length_753_cov_19.1705_ID_13025-processed-gene-0.1&CDS=1-246, snap_masked-NODE_7688_length_556_cov_22.5529_ID_15375-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_7688_length_556_cov_22.5529_ID_15375-processed-gene-0.1&CDS=1-246, snap_masked-NODE_8428_length_464_cov_11.2372_ID_16855-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_8428_length_464_cov_11.2372_ID_16855-processed-gene-0.0&CDS=1-204, snap_masked-NODE_8450_length_462_cov_24.8059_ID_16899-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_8450_length_462_cov_24.8059_ID_16899-processed-gene-0.0&CDS=1-246, snap_masked-NODE_9122_length_392_cov_12.2047_ID_18243-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_9122_length_392_cov_12.2047_ID_18243-processed-gene-0.1&CDS=1-204
3	OG0000003	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	snap_masked-NODE_650_length_4512_cov_4.28001_ID_1299-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_650_length_4512_cov_4.28001_ID_1299-processed-gene-0.6&CDS=1-1617
4	OG0000004		augustus_masked-NODE_10238_length_299_cov_30.3525_ID_20475-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_10238_length_299_cov_30.3525_ID_20475-processed-gene-0.1&CDS=1-297, augustus_masked-NODE_1505_length_2986_cov_6.78028_ID_3009-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1505_length_2986_cov_6.78028_ID_3009-processed-gene-0.1&CDS=1-1482, augustus_masked-NODE_1892_length_2622_cov_6.57966_ID_3783-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1892_length_2622_cov_6.57966_ID_3783-processed-gene-0.1&CDS=1-1302, augustus_masked-NODE_2415_length_2234_cov_14.4378_ID_4829-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2415_length_2234_cov_14.4378_ID_4829-processed-gene-0.2&CDS=1-1530, augustus_masked-NODE_4725_length_1187_cov_4.0159_ID_9449-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_4725_length_1187_cov_4.0159_ID_9449-processed-gene-0.2&CDS=1-591, augustus_masked-NODE_5062_length_1087_cov_22.6948_ID_10123-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5062_length_1087_cov_22.6948_ID_10123-processed-gene-0.0&CDS=1-873, augustus_masked-NODE_5342_length_1008_cov_2.24344_ID_10683-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5342_length_1008_cov_2.24344_ID_10683-processed-gene-0.0&CDS=1-609, augustus_masked-NODE_5633_length_940_cov_3.54011_ID_11265-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5633_length_940_cov_3.54011_ID_11265-processed-gene-0.1&CDS=1-225, augustus_masked-NODE_6904_length_676_cov_9.62319_ID_13807-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6904_length_676_cov_9.62319_ID_13807-processed-gene-0.0&CDS=1-216, augustus_masked-NODE_6927_length_672_cov_3.07455_ID_13853-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6927_length_672_cov_3.07455_ID_13853-processed-gene-0.1&CDS=1-477, augustus_masked-NODE_825_length_4055_cov_3.6665_ID_1649-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_825_length_4055_cov_3.6665_ID_1649-processed-gene-0.2&CDS=1-1251, augustus_masked-NODE_8457_length_461_cov_2.1601_ID_16913-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8457_length_461_cov_2.1601_ID_16913-processed-gene-0.1&CDS=1-447, augustus_masked-NODE_8472_length_459_cov_3.41832_ID_16943-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_8472_length_459_cov_3.41832_ID_16943-processed-gene-0.1&CDS=1-258, snap_masked-NODE_1550_length_2944_cov_3.93631_ID_3099-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_1550_length_2944_cov_3.93631_ID_3099-processed-gene-0.0&CDS=1-1020, snap_masked-NODE_3019_length_1887_cov_4.8941_ID_6037-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3019_length_1887_cov_4.8941_ID_6037-processed-gene-0.1&CDS=1-1662, snap_masked-NODE_387_length_5500_cov_10.3747_ID_773-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_387_length_5500_cov_10.3747_ID_773-processed-gene-0.3&CDS=1-1539, snap_masked-NODE_4477_length_1264_cov_4.07279_ID_8953-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_4477_length_1264_cov_4.07279_ID_8953-processed-gene-0.2&CDS=1-1248
5	OG0000005	YCL074W	augustus_masked-NODE_1767_length_2734_cov_4.17096_ID_3533-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1767_length_2734_cov_4.17096_ID_3533-processed-gene-0.1&CDS=1-2541, augustus_masked-NODE_3243_length_1783_cov_5.42477_ID_6485-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3243_length_1783_cov_5.42477_ID_6485-processed-gene-0.0&CDS=1-276, augustus_masked-NODE_4840_length_1149_cov_5.75594_ID_9679-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4840_length_1149_cov_5.75594_ID_9679-processed-gene-0.0&CDS=1-978, augustus_masked-NODE_5586_length_950_cov_4.2581_ID_11171-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5586_length_950_cov_4.2581_ID_11171-processed-gene-0.0&CDS=1-846, augustus_masked-NODE_6428_length_768_cov_6.19916_ID_12855-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6428_length_768_cov_6.19916_ID_12855-processed-gene-0.1&CDS=1-588, augustus_masked-NODE_650_length_4512_cov_4.28001_ID_1299-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_650_length_4512_cov_4.28001_ID_1299-processed-gene-0.2&CDS=1-2436, augustus_masked-NODE_7072_length_648_cov_3.45194_ID_14143-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_7072_length_648_cov_3.45194_ID_14143-processed-gene-0.2&CDS=1-645, genemark-NODE_486_length_5051_cov_7.1267_ID_971-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_486_length_5051_cov_7.1267_ID_971-processed-gene-0.2&CDS=1-3006, snap_masked-NODE_6136_length_827_cov_3.08808_ID_12271-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_6136_length_827_cov_3.08808_ID_12271-processed-gene-0.0&CDS=1-558
6	OG0000006	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_3016_length_1888_cov_6.3437_ID_6031-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3016_length_1888_cov_6.3437_ID_6031-processed-gene-0.1&CDS=1-1884, augustus_masked-NODE_700_length_4344_cov_4.29937_ID_1399-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_700_length_4344_cov_4.29937_ID_1399-processed-gene-0.5&CDS=1-2220, augustus_masked-NODE_865_length_3944_cov_4.5441_ID_1729-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_865_length_3944_cov_4.5441_ID_1729-processed-gene-0.1&CDS=1-2397
8	OG0000008		augustus_masked-NODE_3007_length_1893_cov_3.06257_ID_6013-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3007_length_1893_cov_3.06257_ID_6013-processed-gene-0.2&CDS=1-600, augustus_masked-NODE_4128_length_1391_cov_5.45734_ID_8255-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4128_length_1391_cov_5.45734_ID_8255-processed-gene-0.0&CDS=1-1251, augustus_masked-NODE_4500_length_1256_cov_57.8618_ID_8999-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4500_length_1256_cov_57.8618_ID_8999-processed-gene-0.0&CDS=1-822, augustus_masked-NODE_4589_length_1228_cov_2.95141_ID_9177-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4589_length_1228_cov_2.95141_ID_9177-processed-gene-0.1&CDS=1-1071, augustus_masked-NODE_5555_length_957_cov_53.602_ID_11109-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5555_length_957_cov_53.602_ID_11109-processed-gene-0.1&CDS=1-921, augustus_masked-NODE_608_length_4625_cov_7.27046_ID_1215-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_608_length_4625_cov_7.27046_ID_1215-processed-gene-0.1&CDS=1-4077, augustus_masked-NODE_6160_length_823_cov_50.5326_ID_12319-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6160_length_823_cov_50.5326_ID_12319-processed-gene-0.1&CDS=1-780, augustus_masked-NODE_765_length_4184_cov_51.0661_ID_1529-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_765_length_4184_cov_51.0661_ID_1529-processed-gene-0.1&CDS=1-3843
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_330_length_5756_cov_3.54324_ID_659-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_330_length_5756_cov_3.54324_ID_659-augustus-gene-0.8&CDS=1-1767, snap_masked-NODE_948_length_3792_cov_4.17394_ID_1895-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_948_length_3792_cov_4.17394_ID_1895-processed-gene-0.0&CDS=1-1788
