	OrthologID	Saccharomyces_cerevisiae	Xylona_heveae
0	OG0000000	YBR008C, YGR138C, YHR048W, YLL028W, YOR273C, YPR156C	XP_018184365.1, XP_018184387.1, XP_018184750.1, XP_018185074.1, XP_018185402.1, XP_018185427.1, XP_018185689.1, XP_018185712.1, XP_018185722.1, XP_018185792.1, XP_018186011.1, XP_018186525.1, XP_018187026.1, XP_018187709.1, XP_018188004.1, XP_018188074.1, XP_018188332.1, XP_018188457.1, XP_018189287.1, XP_018189442.1, XP_018190907.1, XP_018191129.1, XP_018191137.1, XP_018191983.1, XP_018192519.1
1	OG0000001	YBR132C, YEL063C, YKR039W, YOR348C, YPL265W	XP_018184982.1, XP_018185216.1, XP_018185226.1, XP_018185253.1, XP_018185760.1, XP_018186413.1, XP_018188520.1, XP_018188621.1, XP_018189465.1, XP_018189467.1, XP_018190167.1, XP_018190361.1, XP_018190526.1, XP_018190847.1, XP_018191446.1, XP_018191637.1, XP_018191670.1, XP_018191970.1, XP_018192376.1
2	OG0000002	YBR293W	XP_018184752.1, XP_018185184.1, XP_018185359.1, XP_018185731.1, XP_018186537.1, XP_018186559.1, XP_018186963.1, XP_018187299.1, XP_018187395.1, XP_018187619.1, XP_018187650.1, XP_018188646.1, XP_018189258.1, XP_018189667.1, XP_018190206.1, XP_018190369.1, XP_018190900.1, XP_018191586.1, XP_018191649.1, XP_018191713.1, XP_018191780.1, XP_018191905.1, XP_018192311.1
3	OG0000003	YKR064W, YLR256W, YNR063W	XP_018184779.1, XP_018185075.1, XP_018185411.1, XP_018187973.1, XP_018188019.1, XP_018189080.1, XP_018189323.1, XP_018189441.1, XP_018189544.1, XP_018189654.1, XP_018189668.1, XP_018189923.1, XP_018189981.1, XP_018190364.1, XP_018190781.1, XP_018190908.1, XP_018191409.1, XP_018191904.1, XP_018192244.1, XP_018192410.1, XP_018192470.1
4	OG0000004	YKL055C, YNL202W	XP_018184559.1, XP_018184969.1, XP_018184990.1, XP_018185217.1, XP_018185408.1, XP_018185766.1, XP_018185814.1, XP_018185953.1, XP_018186338.1, XP_018186632.1, XP_018187530.1, XP_018187565.1, XP_018188579.1, XP_018189340.1, XP_018189447.1, XP_018189844.1, XP_018191159.1, XP_018191255.1, XP_018191383.1, XP_018191411.1, XP_018191412.1
5	OG0000005	YER080W	XP_018184763.1, XP_018185221.1, XP_018185942.1, XP_018185982.1, XP_018186443.1, XP_018186724.1, XP_018187052.1, XP_018187929.1, XP_018188083.1, XP_018188589.1, XP_018188592.1, XP_018189047.1, XP_018189513.1, XP_018189530.1, XP_018191062.1, XP_018191318.1, XP_018192029.1
6	OG0000006	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	
7	OG0000007	YKL015W, YMR280C	XP_018185649.1, XP_018185837.1, XP_018186893.1, XP_018187559.1, XP_018187875.1, XP_018189207.1, XP_018189426.1, XP_018189722.1, XP_018189996.1, XP_018190469.1, XP_018190529.1
8	OG0000008	YOL119C	XP_018184764.1, XP_018186080.1, XP_018186113.1, XP_018186516.1, XP_018187454.1, XP_018189896.1, XP_018190042.1, XP_018190215.1, XP_018190377.1, XP_018190779.1
9	OG0000009	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	XP_018187799.1, XP_018188587.1, XP_018188620.1
10	OG0000010	YDL170W, YDR207C	XP_018184789.1, XP_018185969.1, XP_018186345.1, XP_018187316.1, XP_018188494.1, XP_018190713.1, XP_018190930.1, XP_018191958.1
11	OG0000011	YGR260W	XP_018185076.1, XP_018186503.1, XP_018187337.1, XP_018187535.1, XP_018187969.1, XP_018189485.1, XP_018189600.1, XP_018190327.1, XP_018192315.1
12	OG0000012	YAL005C, YJL034W, YKL073W, YNL209W	XP_018186170.1, XP_018186693.1, XP_018189629.1, XP_018191686.1
13	OG0000013	YBR260C, YDR379W, YOR127W, YPL115C	XP_018186059.1, XP_018188949.1, XP_018190232.1, XP_018192353.1
14	OG0000014	YCR102C, YLR460C, YNL134C	XP_018184400.1, XP_018185368.1, XP_018185732.1, XP_018186085.1, XP_018189444.1
15	OG0000015	YKL139W, YPL031C, YPR161C	XP_018184601.1, XP_018185906.1, XP_018188203.1, XP_018188286.1, XP_018190638.1
16	OG0000016	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	XP_018186886.1, XP_018187780.1, XP_018189682.1
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	XP_018188586.1, XP_018189458.1, XP_018190645.1
18	OG0000018	YDL138W, YDL194W	XP_018185081.1, XP_018186333.1, XP_018189431.1, XP_018191377.1, XP_018191638.1
19	OG0000019	YDR034C	XP_018184713.1, XP_018184716.1, XP_018188476.1, XP_018188531.1, XP_018188616.1, XP_018192381.1
20	OG0000020	YDR242W	XP_018184489.1, XP_018184765.1, XP_018185414.1, XP_018188013.1, XP_018191386.1, XP_018191735.1
21	OG0000021	YER056C, YER060W, YER060W-A, YGL186C	XP_018189240.1, XP_018189971.1, XP_018190048.1
22	OG0000022	YJR152W	XP_018185839.1, XP_018186982.1, XP_018188067.1, XP_018189001.1, XP_018190367.1, XP_018191757.1
23	OG0000023	YKL174C	XP_018185000.1, XP_018186082.1, XP_018186293.1, XP_018187260.1, XP_018187314.1, XP_018189237.1
24	OG0000024	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	XP_018186417.1
25	OG0000025	YBL005W, YER184C, YGL013C	XP_018185714.1, XP_018185723.1, XP_018188008.1
26	OG0000026	YCR023C	XP_018186347.1, XP_018188444.1, XP_018189989.1, XP_018190632.1, XP_018191731.1
27	OG0000027	YDL132W, YGR003W, YJL039C	XP_018187951.1, XP_018189025.1, XP_018192270.1
28	OG0000028	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	XP_018185698.1
29	OG0000029	YDR541C, YGL039W, YGL157W, YOL151W	XP_018185327.1, XP_018188448.1
30	OG0000030	YER066W, YFL009W	XP_018185913.1, XP_018187880.1, XP_018189822.1, XP_018190461.1
31	OG0000031	YGL227W, YIL097W, YMR135C	XP_018188215.1, XP_018188840.1, XP_018189862.1
32	OG0000032	YGR261C, YJR005W, YKL135C	XP_018187432.1, XP_018188772.1, XP_018191083.1
33	OG0000033	YJR127C, YML081W	XP_018185155.1, XP_018187249.1, XP_018192078.1, XP_018192482.1
34	OG0000034	YLR098C, YOR337W	XP_018185749.1, XP_018188647.1, XP_018188873.1, XP_018191012.1
35	OG0000035	YOR246C	XP_018185145.1, XP_018186398.1, XP_018187110.1, XP_018190629.1, XP_018192375.1
36	OG0000036	YBL017C, YIL173W, YJL222W, YNR065C	XP_018189335.1
37	OG0000037	YBL060W, YEL022W, YJR031C	XP_018188831.1, XP_018190131.1
38	OG0000038	YBR015C, YJL186W	XP_018187681.1, XP_018189786.1, XP_018190546.1
39	OG0000039	YBR038W, YNL192W	XP_018184577.1, XP_018184624.1, XP_018191091.1
40	OG0000040	YBR054W, YDR033W	XP_018186014.1, XP_018186643.1, XP_018189777.1
41	OG0000041	YBR114W, YOR191W	XP_018186650.1, XP_018187662.1, XP_018190195.1
42	OG0000042	YBR150C, YOL089C	XP_018186430.1, XP_018186488.1, XP_018188006.1
43	OG0000043	YCR028C	XP_018184834.1, XP_018185158.1, XP_018185929.1, XP_018188644.1
44	OG0000044	YCR065W, YIL131C, YNL068C	XP_018188204.1, XP_018189710.1
45	OG0000045	YCR106W, YLL054C	XP_018184474.1, XP_018185391.1, XP_018188706.1
