	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034749_Lipomyces_mesembrius
0	OG0000000	YDR536W, YFL040W	augustus_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-1.53&CDS=1-1569, augustus_masked-NODE_83_length_39603_cov_19.489_ID_165-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_83_length_39603_cov_19.489_ID_165-processed-gene-0.38&CDS=1-1380, augustus_masked-NODE_88_length_27493_cov_36.6133_ID_175-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_88_length_27493_cov_36.6133_ID_175-processed-gene-0.6&CDS=1-1473, augustus_masked-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-3.197-mRNA-1_1&gene=augustus_masked-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-3.197&CDS=1-1590, genemark-NODE_3_length_646201_cov_15.3204_ID_5-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_3_length_646201_cov_15.3204_ID_5-processed-gene-2.4&CDS=1-1671, maker-NODE_10_length_459778_cov_14.8991_ID_19-snap-gene-2.105-mRNA-1_1&gene=maker-NODE_10_length_459778_cov_14.8991_ID_19-snap-gene-2.105&CDS=1-1341, maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-1.34-mRNA-1_1&gene=maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-1.34&CDS=1-1707, maker-NODE_161_length_2119_cov_17.7502_ID_321-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_161_length_2119_cov_17.7502_ID_321-augustus-gene-0.3&CDS=1-1503, maker-NODE_177_length_1787_cov_18.1964_ID_353-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_177_length_1787_cov_18.1964_ID_353-augustus-gene-0.1&CDS=1-1086, maker-NODE_195_length_1395_cov_21.7872_ID_389-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_195_length_1395_cov_21.7872_ID_389-augustus-gene-0.1&CDS=1-1242, maker-NODE_205_length_1265_cov_16.1559_ID_409-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_205_length_1265_cov_16.1559_ID_409-augustus-gene-0.3&CDS=1-567, maker-NODE_2_length_781223_cov_15.3897_ID_3-augustus-gene-1.12-mRNA-1_1&gene=maker-NODE_2_length_781223_cov_15.3897_ID_3-augustus-gene-1.12&CDS=1-1683, maker-NODE_30_length_182192_cov_15.3438_ID_59-augustus-gene-0.232-mRNA-1_1&gene=maker-NODE_30_length_182192_cov_15.3438_ID_59-augustus-gene-0.232&CDS=1-1623, maker-NODE_37_length_158016_cov_20.0057_ID_73-augustus-gene-0.143-mRNA-1_1&gene=maker-NODE_37_length_158016_cov_20.0057_ID_73-augustus-gene-0.143&CDS=1-1503, maker-NODE_96_length_21920_cov_17.9762_ID_191-augustus-gene-0.26-mRNA-1_1&gene=maker-NODE_96_length_21920_cov_17.9762_ID_191-augustus-gene-0.26&CDS=1-1689, maker-NODE_9_length_460943_cov_15.6853_ID_17-augustus-gene-3.29-mRNA-1_1&gene=maker-NODE_9_length_460943_cov_15.6853_ID_17-augustus-gene-3.29&CDS=1-1575, snap_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.243-mRNA-1_1&gene=snap_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.243&CDS=1-558
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.108&CDS=1-1785
2	OG0000002	YDL170W, YML099C	augustus_masked-NODE_27_length_211305_cov_14.7586_ID_53-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_27_length_211305_cov_14.7586_ID_53-processed-gene-0.97&CDS=1-978, augustus_masked-NODE_2_length_781223_cov_15.3897_ID_3-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_2_length_781223_cov_15.3897_ID_3-processed-gene-1.101&CDS=1-2085, augustus_masked-NODE_7_length_493755_cov_15.7063_ID_13-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NODE_7_length_493755_cov_15.7063_ID_13-processed-gene-3.59&CDS=1-1722, augustus_masked-NODE_9_length_460943_cov_15.6853_ID_17-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_9_length_460943_cov_15.6853_ID_17-processed-gene-0.109&CDS=1-2160, augustus_masked-NODE_9_length_460943_cov_15.6853_ID_17-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_9_length_460943_cov_15.6853_ID_17-processed-gene-0.131&CDS=1-1833, genemark-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-4.56-mRNA-1_1&gene=genemark-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-4.56&CDS=1-1893, maker-NODE_20_length_256387_cov_16.8461_ID_39-augustus-gene-1.5-mRNA-1_1&gene=maker-NODE_20_length_256387_cov_16.8461_ID_39-augustus-gene-1.5&CDS=1-726, maker-NODE_20_length_256387_cov_16.8461_ID_39-snap-gene-1.258-mRNA-1_1&gene=maker-NODE_20_length_256387_cov_16.8461_ID_39-snap-gene-1.258&CDS=1-945, maker-NODE_25_length_224029_cov_16.3037_ID_49-augustus-gene-1.12-mRNA-1_1&gene=maker-NODE_25_length_224029_cov_16.3037_ID_49-augustus-gene-1.12&CDS=1-1752, maker-NODE_52_length_94199_cov_16.7239_ID_103-augustus-gene-0.147-mRNA-1_1&gene=maker-NODE_52_length_94199_cov_16.7239_ID_103-augustus-gene-0.147&CDS=1-1884
3	OG0000003	YPR194C	augustus_masked-NODE_102_length_17076_cov_24.0431_ID_203-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_102_length_17076_cov_24.0431_ID_203-processed-gene-0.1&CDS=1-1773, augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.97&CDS=1-2583, augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.97&CDS=1-2595, augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.99&CDS=1-2559, augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-1.191&CDS=1-2580, augustus_masked-NODE_22_length_236444_cov_14.7802_ID_43-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_22_length_236444_cov_14.7802_ID_43-processed-gene-0.22&CDS=1-2589, augustus_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.172&CDS=1-2592, augustus_masked-NODE_85_length_34281_cov_18.923_ID_169-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_85_length_34281_cov_18.923_ID_169-processed-gene-0.46&CDS=1-2604, maker-NODE_128_length_4723_cov_20.5703_ID_255-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_128_length_4723_cov_20.5703_ID_255-augustus-gene-0.1&CDS=1-2574, maker-NODE_2_length_781223_cov_15.3897_ID_3-augustus-gene-0.96-mRNA-1_1&gene=maker-NODE_2_length_781223_cov_15.3897_ID_3-augustus-gene-0.96&CDS=1-2601, maker-NODE_8_length_468094_cov_15.2478_ID_15-snap-gene-3.257-mRNA-1_1&gene=maker-NODE_8_length_468094_cov_15.2478_ID_15-snap-gene-3.257&CDS=1-2571
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-0.98&CDS=1-534, augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.86&CDS=1-1416, maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.120-mRNA-1_1&gene=maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.120&CDS=1-363, maker-NODE_33_length_172057_cov_17.0907_ID_65-augustus-gene-0.274-mRNA-1_1&gene=maker-NODE_33_length_172057_cov_17.0907_ID_65-augustus-gene-0.274&CDS=1-1563
5	OG0000005	YMR088C	augustus_masked-NODE_36_length_158621_cov_31.1899_ID_71-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_36_length_158621_cov_31.1899_ID_71-processed-gene-0.46&CDS=1-1629, augustus_masked-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.152&CDS=1-1629, augustus_masked-NODE_73_length_53357_cov_17.5892_ID_145-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_73_length_53357_cov_17.5892_ID_145-processed-gene-0.98&CDS=1-621, augustus_masked-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-2.81&CDS=1-1683, maker-NODE_10_length_459778_cov_14.8991_ID_19-snap-gene-3.2-mRNA-1_1&gene=maker-NODE_10_length_459778_cov_14.8991_ID_19-snap-gene-3.2&CDS=1-1008, maker-NODE_13_length_358725_cov_30.8807_ID_25-augustus-gene-2.168-mRNA-1_1&gene=maker-NODE_13_length_358725_cov_30.8807_ID_25-augustus-gene-2.168&CDS=1-1650, maker-NODE_22_length_236444_cov_14.7802_ID_43-snap-gene-1.16-mRNA-1_1&gene=maker-NODE_22_length_236444_cov_14.7802_ID_43-snap-gene-1.16&CDS=1-1641, maker-NODE_4_length_601463_cov_15.82_ID_7-augustus-gene-5.22-mRNA-1_1&gene=maker-NODE_4_length_601463_cov_15.82_ID_7-augustus-gene-5.22&CDS=1-1782, maker-NODE_7_length_493755_cov_15.7063_ID_13-augustus-gene-3.10-mRNA-1_1&gene=maker-NODE_7_length_493755_cov_15.7063_ID_13-augustus-gene-3.10&CDS=1-1797
6	OG0000006	YCL074W	augustus_masked-NODE_48_length_111463_cov_15.638_ID_95-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_48_length_111463_cov_15.638_ID_95-processed-gene-0.12&CDS=1-483, augustus_masked-NODE_87_length_31929_cov_18.2574_ID_173-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_87_length_31929_cov_18.2574_ID_173-processed-gene-0.2&CDS=1-429, genemark-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-3.98-mRNA-1_1&gene=genemark-NODE_8_length_468094_cov_15.2478_ID_15-processed-gene-3.98&CDS=1-411, maker-NODE_105_length_15595_cov_20.5652_ID_209-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_105_length_15595_cov_20.5652_ID_209-snap-gene-0.9&CDS=1-459, snap_masked-NODE_13_length_358725_cov_30.8807_ID_25-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_13_length_358725_cov_30.8807_ID_25-processed-gene-2.80&CDS=1-390, snap_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.180-mRNA-1_1&gene=snap_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.180&CDS=1-345, snap_masked-NODE_510_length_353_cov_20.6907_ID_1019-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_510_length_353_cov_20.6907_ID_1019-processed-gene-0.1&CDS=1-324, snap_masked-NODE_92_length_24103_cov_16.2459_ID_183-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_92_length_24103_cov_16.2459_ID_183-processed-gene-0.20&CDS=1-261
7	OG0000007	YDR402C	augustus_masked-NODE_189_length_1539_cov_51.7342_ID_377-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_189_length_1539_cov_51.7342_ID_377-processed-gene-0.6&CDS=1-555, augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-1.77&CDS=1-1602, augustus_masked-NODE_321_length_504_cov_18.4548_ID_641-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_321_length_504_cov_18.4548_ID_641-processed-gene-0.0&CDS=1-213, augustus_masked-NODE_322_length_503_cov_21.7176_ID_643-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_322_length_503_cov_21.7176_ID_643-processed-gene-0.0&CDS=1-210, augustus_masked-NODE_92_length_24103_cov_16.2459_ID_183-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_92_length_24103_cov_16.2459_ID_183-processed-gene-0.1&CDS=1-1629, genemark-NODE_31_length_174790_cov_14.1834_ID_61-processed-gene-0.278-mRNA-1_1&gene=genemark-NODE_31_length_174790_cov_14.1834_ID_61-processed-gene-0.278&CDS=1-1482, maker-NODE_61_length_71297_cov_15.291_ID_121-augustus-gene-0.99-mRNA-1_1&gene=maker-NODE_61_length_71297_cov_15.291_ID_121-augustus-gene-0.99&CDS=1-1680, maker-NODE_66_length_60647_cov_18.4722_ID_131-snap-gene-0.59-mRNA-1_1&gene=maker-NODE_66_length_60647_cov_18.4722_ID_131-snap-gene-0.59&CDS=1-1647
8	OG0000008	YKL055C	augustus_masked-NODE_12_length_360066_cov_17.2837_ID_23-processed-gene-2.204-mRNA-1_1&gene=augustus_masked-NODE_12_length_360066_cov_17.2837_ID_23-processed-gene-2.204&CDS=1-357, augustus_masked-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-4.31&CDS=1-948, maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.125-mRNA-1_1&gene=maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.125&CDS=1-753, maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.129-mRNA-1_1&gene=maker-NODE_12_length_360066_cov_17.2837_ID_23-augustus-gene-0.129&CDS=1-942, maker-NODE_13_length_358725_cov_30.8807_ID_25-augustus-gene-2.165-mRNA-1_1&gene=maker-NODE_13_length_358725_cov_30.8807_ID_25-augustus-gene-2.165&CDS=1-774, maker-NODE_19_length_258083_cov_16.6613_ID_37-augustus-gene-1.18-mRNA-1_1&gene=maker-NODE_19_length_258083_cov_16.6613_ID_37-augustus-gene-1.18&CDS=1-813, maker-NODE_3_length_646201_cov_15.3204_ID_5-augustus-gene-5.221-mRNA-1_1&gene=maker-NODE_3_length_646201_cov_15.3204_ID_5-augustus-gene-5.221&CDS=1-795, snap_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.32&CDS=1-972
9	OG0000009	YOL152W	augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_18_length_258954_cov_16.5537_ID_35-processed-gene-0.87&CDS=1-1866, augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-1.226-mRNA-1_1&gene=augustus_masked-NODE_20_length_256387_cov_16.8461_ID_39-processed-gene-1.226&CDS=1-2097, genemark-NODE_94_length_22392_cov_18.6132_ID_187-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_94_length_22392_cov_18.6132_ID_187-processed-gene-0.17&CDS=1-1782, maker-NODE_16_length_279401_cov_15.9753_ID_31-augustus-gene-1.268-mRNA-1_1&gene=maker-NODE_16_length_279401_cov_15.9753_ID_31-augustus-gene-1.268&CDS=1-1461, maker-NODE_2_length_781223_cov_15.3897_ID_3-snap-gene-0.86-mRNA-1_1&gene=maker-NODE_2_length_781223_cov_15.3897_ID_3-snap-gene-0.86&CDS=1-1905, maker-NODE_33_length_172057_cov_17.0907_ID_65-augustus-gene-0.286-mRNA-1_1&gene=maker-NODE_33_length_172057_cov_17.0907_ID_65-augustus-gene-0.286&CDS=1-1917, maker-NODE_3_length_646201_cov_15.3204_ID_5-augustus-gene-1.79-mRNA-1_1&gene=maker-NODE_3_length_646201_cov_15.3204_ID_5-augustus-gene-1.79&CDS=1-2157, snap_masked-NODE_25_length_224029_cov_16.3037_ID_49-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_25_length_224029_cov_16.3037_ID_49-processed-gene-1.76&CDS=1-1803
