	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035629_Yueomyces_sinensis
0	OG0000000	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	genemark-NODE_1_length_451508_cov_30.8094_ID_1-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_1_length_451508_cov_30.8094_ID_1-processed-gene-1.46&CDS=1-837, genemark-NODE_1_length_451508_cov_30.8094_ID_1-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_1_length_451508_cov_30.8094_ID_1-processed-gene-1.48&CDS=1-768, genemark-NODE_7_length_328208_cov_29.0134_ID_13-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_7_length_328208_cov_29.0134_ID_13-processed-gene-0.80&CDS=1-684
1	OG0000001		augustus_masked-NODE_108_length_15590_cov_59.8429_ID_215-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_108_length_15590_cov_59.8429_ID_215-processed-gene-0.4&CDS=1-381, augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.10&CDS=1-4056, augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.9&CDS=1-255, augustus_masked-NODE_120_length_10534_cov_36.2745_ID_239-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_120_length_10534_cov_36.2745_ID_239-processed-gene-0.12&CDS=1-594, augustus_masked-NODE_131_length_8485_cov_40.6156_ID_261-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_131_length_8485_cov_40.6156_ID_261-processed-gene-0.3&CDS=1-1077, augustus_masked-NODE_142_length_6765_cov_68.3888_ID_283-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_142_length_6765_cov_68.3888_ID_283-processed-gene-0.1&CDS=1-3966, augustus_masked-NODE_158_length_4776_cov_79.7539_ID_315-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_158_length_4776_cov_79.7539_ID_315-processed-gene-0.1&CDS=1-207, augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.4&CDS=1-1260, augustus_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.89&CDS=1-231, augustus_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.37&CDS=1-138, augustus_masked-NODE_230_length_2121_cov_107.627_ID_459-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_230_length_2121_cov_107.627_ID_459-processed-gene-0.0&CDS=1-141, augustus_masked-NODE_31_length_130711_cov_34.7438_ID_61-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_31_length_130711_cov_34.7438_ID_61-processed-gene-0.76&CDS=1-633, augustus_masked-NODE_57_length_59995_cov_30.336_ID_113-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_57_length_59995_cov_30.336_ID_113-processed-gene-0.13&CDS=1-438, augustus_masked-NODE_82_length_28027_cov_36.4041_ID_163-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_82_length_28027_cov_36.4041_ID_163-processed-gene-0.20&CDS=1-234, snap_masked-NODE_103_length_17123_cov_36.5288_ID_205-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_103_length_17123_cov_36.5288_ID_205-processed-gene-0.8&CDS=1-273, snap_masked-NODE_114_length_13147_cov_41.7868_ID_227-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_114_length_13147_cov_41.7868_ID_227-processed-gene-0.6&CDS=1-267, snap_masked-NODE_149_length_6111_cov_40.5611_ID_297-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_149_length_6111_cov_40.5611_ID_297-processed-gene-0.1&CDS=1-207, snap_masked-NODE_164_length_4289_cov_72.9242_ID_327-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_164_length_4289_cov_72.9242_ID_327-processed-gene-0.3&CDS=1-177, snap_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.166&CDS=1-2043, snap_masked-NODE_40_length_109054_cov_35.5454_ID_79-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_40_length_109054_cov_35.5454_ID_79-processed-gene-0.7&CDS=1-426, snap_masked-NODE_58_length_57850_cov_39.5176_ID_115-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_58_length_57850_cov_39.5176_ID_115-processed-gene-0.42&CDS=1-192, snap_masked-NODE_59_length_55713_cov_41.1846_ID_117-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_59_length_55713_cov_41.1846_ID_117-processed-gene-0.16&CDS=1-234, snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.38&CDS=1-204, snap_masked-NODE_69_length_44591_cov_37.6029_ID_137-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_69_length_44591_cov_37.6029_ID_137-processed-gene-0.33&CDS=1-180
2	OG0000002	YBR012C, YER076C, YMR265C	augustus_masked-NODE_13_length_282444_cov_78.3145_ID_25-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_13_length_282444_cov_78.3145_ID_25-processed-gene-0.70&CDS=1-834, augustus_masked-NODE_182_length_3279_cov_41.0696_ID_363-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_182_length_3279_cov_41.0696_ID_363-processed-gene-0.1&CDS=1-933, augustus_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.19&CDS=1-459, augustus_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.12&CDS=1-1935, augustus_masked-NODE_2_length_439574_cov_29.0697_ID_3-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_2_length_439574_cov_29.0697_ID_3-processed-gene-1.49&CDS=1-375, augustus_masked-NODE_76_length_37425_cov_44.083_ID_151-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_76_length_37425_cov_44.083_ID_151-processed-gene-0.17&CDS=1-600, snap_masked-NODE_113_length_13265_cov_60.1427_ID_225-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_113_length_13265_cov_60.1427_ID_225-processed-gene-0.7&CDS=1-183, snap_masked-NODE_127_length_9044_cov_52.4984_ID_253-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_127_length_9044_cov_52.4984_ID_253-processed-gene-0.4&CDS=1-462, snap_masked-NODE_17_length_229698_cov_30.9751_ID_33-processed-gene-1.140-mRNA-1_1&gene=snap_masked-NODE_17_length_229698_cov_30.9751_ID_33-processed-gene-1.140&CDS=1-1833, snap_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.17&CDS=1-291, snap_masked-NODE_225_length_2185_cov_48.8509_ID_449-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_225_length_2185_cov_48.8509_ID_449-processed-gene-0.0&CDS=1-660, snap_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.196-mRNA-1_1&gene=snap_masked-NODE_22_length_177725_cov_36.2377_ID_43-processed-gene-0.196&CDS=1-279, snap_masked-NODE_76_length_37425_cov_44.083_ID_151-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_76_length_37425_cov_44.083_ID_151-processed-gene-0.4&CDS=1-252, snap_masked-NODE_80_length_31868_cov_39.2565_ID_159-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_80_length_31868_cov_39.2565_ID_159-processed-gene-0.24&CDS=1-648, snap_masked-NODE_80_length_31868_cov_39.2565_ID_159-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_80_length_31868_cov_39.2565_ID_159-processed-gene-0.37&CDS=1-681
3	OG0000003	YIL171W, YJL219W, YOL156W	augustus_masked-NODE_181_length_3364_cov_27.702_ID_361-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_181_length_3364_cov_27.702_ID_361-processed-gene-0.2&CDS=1-348, augustus_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.97&CDS=1-282, augustus_masked-NODE_511_length_494_cov_54.7707_ID_1021-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_511_length_494_cov_54.7707_ID_1021-processed-gene-0.1&CDS=1-492, genemark-NODE_111_length_13743_cov_32.0959_ID_221-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_111_length_13743_cov_32.0959_ID_221-processed-gene-0.1&CDS=1-1791, genemark-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.6&CDS=1-1794, genemark-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.74-mRNA-1_1&gene=genemark-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.74&CDS=1-1764, genemark-NODE_2_length_439574_cov_29.0697_ID_3-processed-gene-1.99-mRNA-1_1&gene=genemark-NODE_2_length_439574_cov_29.0697_ID_3-processed-gene-1.99&CDS=1-1728, genemark-NODE_8_length_308350_cov_29.7871_ID_15-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_8_length_308350_cov_29.7871_ID_15-processed-gene-0.22&CDS=1-1701, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.20&CDS=1-1731, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.21&CDS=1-1761, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.22&CDS=1-1758, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.23&CDS=1-1764, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.24&CDS=1-1758, snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.37&CDS=1-1794, snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_5_length_362465_cov_30.2791_ID_9-processed-gene-0.39&CDS=1-1794
4	OG0000004	YGR201C	augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_112_length_13574_cov_53.2506_ID_223-processed-gene-0.5&CDS=1-156, augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.5&CDS=1-648, augustus_masked-NODE_98_length_19899_cov_37.663_ID_195-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_98_length_19899_cov_37.663_ID_195-processed-gene-0.0&CDS=1-393, snap_masked-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.2&CDS=1-390, snap_masked-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_119_length_10869_cov_41.9673_ID_237-processed-gene-0.3&CDS=1-192, snap_masked-NODE_19_length_213047_cov_31.9787_ID_37-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_19_length_213047_cov_31.9787_ID_37-processed-gene-0.115&CDS=1-648, snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NODE_21_length_202180_cov_29.5319_ID_41-processed-gene-1.7&CDS=1-600, snap_masked-NODE_31_length_130711_cov_34.7438_ID_61-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_31_length_130711_cov_34.7438_ID_61-processed-gene-0.145&CDS=1-654, snap_masked-NODE_431_length_686_cov_116.215_ID_861-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_431_length_686_cov_116.215_ID_861-processed-gene-0.2&CDS=1-576, snap_masked-NODE_43_length_101809_cov_35.2577_ID_85-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_43_length_101809_cov_35.2577_ID_85-processed-gene-0.0&CDS=1-681
5	OG0000005	YDR150W	augustus_masked-NODE_1032_length_134_cov_392.667_ID_2063-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1032_length_134_cov_392.667_ID_2063-processed-gene-0.0&CDS=1-132, augustus_masked-NODE_106_length_16358_cov_30.0669_ID_211-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_106_length_16358_cov_30.0669_ID_211-processed-gene-0.11&CDS=1-3534, augustus_masked-NODE_499_length_530_cov_78.6107_ID_997-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_499_length_530_cov_78.6107_ID_997-processed-gene-0.2&CDS=1-528, augustus_masked-NODE_671_length_290_cov_33.4386_ID_1341-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_671_length_290_cov_33.4386_ID_1341-processed-gene-0.2&CDS=1-288, augustus_masked-NODE_784_length_239_cov_148.092_ID_1567-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_784_length_239_cov_148.092_ID_1567-processed-gene-0.1&CDS=1-237, augustus_masked-NODE_824_length_224_cov_58.3238_ID_1647-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_824_length_224_cov_58.3238_ID_1647-processed-gene-0.0&CDS=1-222, augustus_masked-NODE_913_length_170_cov_50.1176_ID_1825-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_913_length_170_cov_50.1176_ID_1825-processed-gene-0.0&CDS=1-168, augustus_masked-NODE_930_length_164_cov_98.6_ID_1859-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_930_length_164_cov_98.6_ID_1859-processed-gene-0.0&CDS=1-162, augustus_masked-NODE_953_length_155_cov_160.278_ID_1905-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_953_length_155_cov_160.278_ID_1905-processed-gene-0.0&CDS=1-141
6	OG0000006		augustus_masked-NODE_154_length_5352_cov_34.3707_ID_307-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_154_length_5352_cov_34.3707_ID_307-processed-gene-0.1&CDS=1-1266, augustus_masked-NODE_191_length_2870_cov_45.635_ID_381-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_191_length_2870_cov_45.635_ID_381-processed-gene-0.1&CDS=1-870, augustus_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.39&CDS=1-2784, augustus_masked-NODE_84_length_27633_cov_28.7566_ID_167-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_84_length_27633_cov_28.7566_ID_167-processed-gene-0.39&CDS=1-2493, augustus_masked-NODE_98_length_19899_cov_37.663_ID_195-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_98_length_19899_cov_37.663_ID_195-processed-gene-0.1&CDS=1-1425, genemark-NODE_172_length_3608_cov_28.3325_ID_343-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_172_length_3608_cov_28.3325_ID_343-processed-gene-0.0&CDS=1-1752, genemark-NODE_277_length_1495_cov_34.0531_ID_553-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_277_length_1495_cov_34.0531_ID_553-processed-gene-0.2&CDS=1-1416, genemark-NODE_310_length_1247_cov_35.328_ID_619-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_310_length_1247_cov_35.328_ID_619-processed-gene-0.3&CDS=1-1074, maker-NODE_153_length_5525_cov_59.1463_ID_305-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_153_length_5525_cov_59.1463_ID_305-snap-gene-0.3&CDS=1-1299, maker-NODE_179_length_3393_cov_46.0855_ID_357-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_179_length_3393_cov_46.0855_ID_357-augustus-gene-0.2&CDS=1-1116
7	OG0000007	YHL044W	augustus_masked-NODE_107_length_15614_cov_43.4616_ID_213-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_107_length_15614_cov_43.4616_ID_213-processed-gene-0.8&CDS=1-525, augustus_masked-NODE_129_length_9003_cov_49.4595_ID_257-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_129_length_9003_cov_49.4595_ID_257-processed-gene-0.4&CDS=1-645, augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_15_length_267474_cov_32.1813_ID_29-processed-gene-0.22&CDS=1-657, augustus_masked-NODE_58_length_57850_cov_39.5176_ID_115-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_58_length_57850_cov_39.5176_ID_115-processed-gene-0.63&CDS=1-645, snap_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_18_length_225906_cov_32.8077_ID_35-processed-gene-1.18&CDS=1-456, snap_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.171&CDS=1-396, snap_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.196-mRNA-1_1&gene=snap_masked-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.196&CDS=1-201, snap_masked-NODE_63_length_49111_cov_38.5539_ID_125-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_63_length_49111_cov_38.5539_ID_125-processed-gene-0.60&CDS=1-411
8	OG0000008	YHR179W, YPL171C	augustus_masked-NODE_54_length_65257_cov_66.7818_ID_107-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_54_length_65257_cov_66.7818_ID_107-processed-gene-0.63&CDS=1-1200, genemark-NODE_170_length_3626_cov_48.7745_ID_339-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_170_length_3626_cov_48.7745_ID_339-processed-gene-0.3&CDS=1-1203, genemark-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.123-mRNA-1_1&gene=genemark-NODE_24_length_162449_cov_32.5493_ID_47-processed-gene-0.123&CDS=1-1203, genemark-NODE_35_length_118196_cov_32.9689_ID_69-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_35_length_118196_cov_32.9689_ID_69-processed-gene-0.74&CDS=1-1200, genemark-NODE_35_length_118196_cov_32.9689_ID_69-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_35_length_118196_cov_32.9689_ID_69-processed-gene-0.80&CDS=1-1212, genemark-NODE_3_length_378438_cov_30.282_ID_5-processed-gene-2.76-mRNA-1_1&gene=genemark-NODE_3_length_378438_cov_30.282_ID_5-processed-gene-2.76&CDS=1-1200, genemark-NODE_43_length_101809_cov_35.2577_ID_85-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_43_length_101809_cov_35.2577_ID_85-processed-gene-0.62&CDS=1-1209
9	OG0000009	YBR068C, YCL025C, YDR046C, YDR508C	genemark-NODE_10_length_299503_cov_30.4291_ID_19-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_10_length_299503_cov_30.4291_ID_19-processed-gene-0.93&CDS=1-2136, maker-NODE_19_length_213047_cov_31.9787_ID_37-snap-gene-0.138-mRNA-1_1&gene=maker-NODE_19_length_213047_cov_31.9787_ID_37-snap-gene-0.138&CDS=1-3954, maker-NODE_3_length_378438_cov_30.282_ID_5-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_3_length_378438_cov_30.282_ID_5-snap-gene-0.41&CDS=1-3747
