	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035658_Starmera_amethionina
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	
1	OG0000001	YDR207C, YJL089W	augustus_masked-flattened_line_2-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.107&CDS=1-1833, augustus_masked-flattened_line_30-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.1&CDS=1-1695, augustus_masked-flattened_line_46-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.47&CDS=1-1461, maker-flattened_line_16-augustus-gene-1.110-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-1.110&CDS=1-1593, snap_masked-flattened_line_124-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.59&CDS=1-552, snap_masked-flattened_line_152-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.18&CDS=1-2592, snap_masked-flattened_line_216-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.4&CDS=1-2037, snap_masked-flattened_line_42-processed-gene-0.234-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.234&CDS=1-1416, snap_masked-flattened_line_72-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.132&CDS=1-948, snap_masked-flattened_line_72-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.95&CDS=1-1158
2	OG0000002	YBR272C	augustus_masked-flattened_line_102-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.18&CDS=1-1167, augustus_masked-flattened_line_26-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.28&CDS=1-1881, augustus_masked-flattened_line_26-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.7&CDS=1-1161, augustus_masked-flattened_line_32-processed-gene-0.259-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.259&CDS=1-1335, augustus_masked-flattened_line_32-processed-gene-0.305-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.305&CDS=1-1419, augustus_masked-flattened_line_34-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.171&CDS=1-657, augustus_masked-flattened_line_34-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.232&CDS=1-1284, augustus_masked-flattened_line_50-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.15&CDS=1-927, snap_masked-flattened_line_26-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.87&CDS=1-1443
3	OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	snap_masked-flattened_line_0-processed-gene-2.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.114&CDS=1-1779, snap_masked-flattened_line_18-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.57&CDS=1-1809, snap_masked-flattened_line_40-processed-gene-0.216-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.216&CDS=1-1782, snap_masked-flattened_line_66-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.153&CDS=1-1812, snap_masked-flattened_line_76-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.58&CDS=1-1746, snap_masked-flattened_line_76-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.59&CDS=1-1752
4	OG0000004	YDR242W	snap_masked-flattened_line_14-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.33&CDS=1-1713, snap_masked-flattened_line_148-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.55&CDS=1-1638, snap_masked-flattened_line_160-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.34&CDS=1-1728, snap_masked-flattened_line_162-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_162-processed-gene-0.57&CDS=1-1641, snap_masked-flattened_line_64-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.24&CDS=1-1710, snap_masked-flattened_line_64-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.33&CDS=1-1611, snap_masked-flattened_line_64-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.63&CDS=1-1644, snap_masked-flattened_line_72-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.114&CDS=1-1626
5	OG0000005	YER073W, YMR169C, YMR170C, YPL061W	genemark-flattened_line_0-processed-gene-2.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.23&CDS=1-2151, genemark-flattened_line_10-processed-gene-1.186-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.186&CDS=1-1488, snap_masked-flattened_line_46-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.82&CDS=1-1503, snap_masked-flattened_line_56-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.107&CDS=1-1491
6	OG0000006	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_116-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.96&CDS=1-1842, augustus_masked-flattened_line_38-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.220&CDS=1-630, snap_masked-flattened_line_0-processed-gene-2.151-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.151&CDS=1-1170
7	OG0000007	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	snap_masked-flattened_line_50-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.109&CDS=1-1956
8	OG0000008	YGL257C, YNR059W	augustus_masked-flattened_line_18-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.34&CDS=1-1758, augustus_masked-flattened_line_466-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_466-processed-gene-0.0&CDS=1-1755, augustus_masked-flattened_line_58-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.148&CDS=1-726, genemark-flattened_line_42-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.112&CDS=1-2253, snap_masked-flattened_line_58-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.86&CDS=1-2082
9	OG0000009	YJL134W, YKR053C, YLR260W, YOR171C	augustus_masked-flattened_line_60-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.140&CDS=1-5748, genemark-flattened_line_114-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.77&CDS=1-1218, snap_masked-flattened_line_32-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.30&CDS=1-957
