	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035695_Hanseniaspora_pseudoguilliermondii
0	OG0000000	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	snap_masked-flattened_line_122-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.15&CDS=1-3921
1	OG0000001		augustus_masked-flattened_line_330-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_330-processed-gene-0.1&CDS=1-447, augustus_masked-flattened_line_664-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_664-processed-gene-0.1&CDS=1-294, snap_masked-flattened_line_1080-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1080-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_162-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_162-processed-gene-0.2&CDS=1-366, snap_masked-flattened_line_378-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_378-processed-gene-0.1&CDS=1-258, snap_masked-flattened_line_510-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_510-processed-gene-0.1&CDS=1-258, snap_masked-flattened_line_528-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_528-processed-gene-0.1&CDS=1-186, snap_masked-flattened_line_594-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_594-processed-gene-0.0&CDS=1-276, snap_masked-flattened_line_604-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_604-processed-gene-0.0&CDS=1-306, snap_masked-flattened_line_612-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_612-processed-gene-0.0&CDS=1-354, snap_masked-flattened_line_654-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_654-processed-gene-0.0&CDS=1-93, snap_masked-flattened_line_734-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_734-processed-gene-0.1&CDS=1-93
2	OG0000002	YKR039W	augustus_masked-flattened_line_10-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.14&CDS=1-1803, augustus_masked-flattened_line_136-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.10&CDS=1-1806, augustus_masked-flattened_line_136-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.11&CDS=1-1788, augustus_masked-flattened_line_14-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.150&CDS=1-1770, augustus_masked-flattened_line_192-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.1&CDS=1-1839, augustus_masked-flattened_line_320-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_320-processed-gene-0.0&CDS=1-1074, maker-flattened_line_10-snap-gene-1.91-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.91&CDS=1-3567
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_66-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.76&CDS=1-2838, maker-flattened_line_56-augustus-gene-0.147-mRNA-1_1&gene=maker-flattened_line_56-augustus-gene-0.147&CDS=1-1635
4	OG0000004	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_26-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.122&CDS=1-1956, augustus_masked-flattened_line_26-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.123&CDS=1-1866, augustus_masked-flattened_line_26-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.124&CDS=1-1821
5	OG0000005	YDR342C, YDR343C, YLR081W	augustus_masked-flattened_line_0-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.131&CDS=1-1731, augustus_masked-flattened_line_12-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.116&CDS=1-1671, augustus_masked-flattened_line_38-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.97&CDS=1-1743, maker-flattened_line_26-snap-gene-0.244-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.244&CDS=1-3285
6	OG0000006	YCR098C	augustus_masked-flattened_line_22-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.20&CDS=1-1761, augustus_masked-flattened_line_70-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.65&CDS=1-1713, augustus_masked-flattened_line_70-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.67&CDS=1-1737, maker-flattened_line_6-augustus-gene-3.234-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.234&CDS=1-657, maker-flattened_line_6-snap-gene-3.156-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.156&CDS=1-978
7	OG0000007	YDR380W, YLR044C	augustus_masked-flattened_line_0-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.8&CDS=1-1827, augustus_masked-flattened_line_0-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.95&CDS=1-1692, augustus_masked-flattened_line_16-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.56&CDS=1-1692, genemark-flattened_line_2-processed-gene-5.14-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.14&CDS=1-2085
8	OG0000008	YGR201C, YKL081W, YPL048W	augustus_masked-flattened_line_102-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.17&CDS=1-687, augustus_masked-flattened_line_218-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.0&CDS=1-1275, maker-flattened_line_156-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_156-snap-gene-0.6&CDS=1-2406
9	OG0000009	YHR179W, YPL171C	augustus_masked-flattened_line_100-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.33&CDS=1-831, augustus_masked-flattened_line_106-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.42&CDS=1-1269, augustus_masked-flattened_line_108-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.46&CDS=1-1269, augustus_masked-flattened_line_92-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.43&CDS=1-1254
