	OrthologID	Babjeviella_inositovora	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-scaffold_42-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_42-processed-gene-0.1&CDS=1-147, augustus_masked-scaffold_7-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.143&CDS=1-567, genemark-scaffold_11-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.28&CDS=1-864, genemark-scaffold_3-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.82&CDS=1-1350	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
1	OG0000001	augustus_masked-scaffold_8-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.57&CDS=1-1941	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
2	OG0000002	genemark-scaffold_1-processed-gene-7.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.104&CDS=1-3180, genemark-scaffold_4-processed-gene-7.10-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.10&CDS=1-2910, genemark-scaffold_4-processed-gene-7.30-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.30&CDS=1-2457, genemark-scaffold_7-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.96&CDS=1-2673, maker-scaffold_11-snap-gene-0.88-mRNA-1_1&gene=maker-scaffold_11-snap-gene-0.88&CDS=1-2382, maker-scaffold_17-snap-gene-2.78-mRNA-1_1&gene=maker-scaffold_17-snap-gene-2.78&CDS=1-3759, maker-scaffold_17-snap-gene-2.79-mRNA-1_1&gene=maker-scaffold_17-snap-gene-2.79&CDS=1-2973, snap_masked-scaffold_17-processed-gene-2.6-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.6&CDS=1-2970	YLR256W
3	OG0000003	genemark-scaffold_1-processed-gene-11.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.87&CDS=1-1698, maker-scaffold_7-snap-gene-0.126-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.126&CDS=1-6162	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
4	OG0000004	augustus_masked-scaffold_26-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.1&CDS=1-819, genemark-scaffold_4-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.29&CDS=1-2277, genemark-scaffold_6-processed-gene-8.26-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.26&CDS=1-2049, maker-scaffold_1-snap-gene-1.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.0&CDS=1-9339, snap_masked-scaffold_26-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_26-processed-gene-0.2&CDS=1-1512	YGL257C, YIL014W, YNR059W
5	OG0000005	genemark-scaffold_1-processed-gene-5.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.19&CDS=1-2121, genemark-scaffold_1-processed-gene-8.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.98&CDS=1-2124, genemark-scaffold_11-processed-gene-4.7-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.7&CDS=1-2229, genemark-scaffold_4-processed-gene-5.94-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.94&CDS=1-2145, genemark-scaffold_6-processed-gene-2.13-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.13&CDS=1-2142, genemark-scaffold_6-processed-gene-2.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.36&CDS=1-2118, maker-scaffold_8-snap-gene-7.3-mRNA-1_1&gene=maker-scaffold_8-snap-gene-7.3&CDS=1-4185	YER015W
6	OG0000006	genemark-scaffold_1-processed-gene-17.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.66&CDS=1-1560, genemark-scaffold_1-processed-gene-25.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.103&CDS=1-2292, genemark-scaffold_3-processed-gene-3.101-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.101&CDS=1-1839, genemark-scaffold_9-processed-gene-6.74-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.74&CDS=1-1473	YBR297W, YFL052W, YGR288W, YPR196W
7	OG0000007	genemark-scaffold_15-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.16&CDS=1-1416, genemark-scaffold_15-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.9&CDS=1-1470, genemark-scaffold_4-processed-gene-7.8-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.8&CDS=1-1353, genemark-scaffold_5-processed-gene-0.101-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.101&CDS=1-1401, maker-scaffold_8-snap-gene-7.7-mRNA-1_1&gene=maker-scaffold_8-snap-gene-7.7&CDS=1-2868	YDR144C, YLR120C, YLR121C
8	OG0000008	augustus_masked-scaffold_9-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.20&CDS=1-1125, augustus_masked-scaffold_9-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.21&CDS=1-1119, genemark-scaffold_2-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.17&CDS=1-1095, genemark-scaffold_3-processed-gene-2.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.103&CDS=1-1083, genemark-scaffold_9-processed-gene-3.101-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.101&CDS=1-1131, genemark-scaffold_9-processed-gene-4.13-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.13&CDS=1-1116	YCR105W, YMR318C
9	OG0000009	genemark-scaffold_1-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.94&CDS=1-4416, genemark-scaffold_17-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.3&CDS=1-4599, genemark-scaffold_8-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.97&CDS=1-4455, snap_masked-scaffold_1-processed-gene-22.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.43&CDS=1-4527, snap_masked-scaffold_13-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scaffold_13-processed-gene-2.64&CDS=1-4527	YDR011W, YPL058C
