	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034675_Blastobotrys_mokoenaii
0	OG0000000	YFL040W	genemark-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.39&CDS=1-1494, maker-NODE_16_length_234033_cov_177.797_ID_31-snap-gene-1.115-mRNA-1_1&gene=maker-NODE_16_length_234033_cov_177.797_ID_31-snap-gene-1.115&CDS=1-1497, maker-NODE_23_length_189928_cov_36.9488_ID_45-snap-gene-0.91-mRNA-1_1&gene=maker-NODE_23_length_189928_cov_36.9488_ID_45-snap-gene-0.91&CDS=1-4479, snap_masked-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.135-mRNA-1_1&gene=snap_masked-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.135&CDS=1-1512, snap_masked-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.157-mRNA-1_1&gene=snap_masked-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.157&CDS=1-1770, snap_masked-NODE_16_length_234033_cov_177.797_ID_31-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_16_length_234033_cov_177.797_ID_31-processed-gene-1.49&CDS=1-1770, snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-0.75&CDS=1-1551, snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-1.99&CDS=1-1632, snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.77-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.77&CDS=1-1539, snap_masked-NODE_24_length_187586_cov_36.3305_ID_47-processed-gene-0.270-mRNA-1_1&gene=snap_masked-NODE_24_length_187586_cov_36.3305_ID_47-processed-gene-0.270&CDS=1-1485, snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.135-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.135&CDS=1-1548, snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.92&CDS=1-1602, snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.151-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.151&CDS=1-1596, snap_masked-NODE_57_length_53682_cov_38.2443_ID_113-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_57_length_53682_cov_38.2443_ID_113-processed-gene-0.41&CDS=1-1671, snap_masked-NODE_61_length_46681_cov_38.2901_ID_121-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_61_length_46681_cov_38.2901_ID_121-processed-gene-0.5&CDS=1-1557, snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-2.92&CDS=1-1539
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	snap_masked-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.104&CDS=1-1626
2	OG0000002	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_19_length_213996_cov_36.8084_ID_37-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_19_length_213996_cov_36.8084_ID_37-processed-gene-0.54&CDS=1-1620, snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.168&CDS=1-1605, snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.44&CDS=1-1653, snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.44&CDS=1-1623, snap_masked-NODE_45_length_98406_cov_38.6896_ID_89-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_45_length_98406_cov_38.6896_ID_89-processed-gene-0.79&CDS=1-1713, snap_masked-NODE_48_length_81606_cov_37.5732_ID_95-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_48_length_81606_cov_37.5732_ID_95-processed-gene-0.94&CDS=1-1605, snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.129&CDS=1-1602
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.71&CDS=1-1731
4	OG0000004	YDR402C	genemark-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.161-mRNA-1_1&gene=genemark-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.161&CDS=1-1428, genemark-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.236-mRNA-1_1&gene=genemark-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.236&CDS=1-1524, maker-NODE_15_length_249261_cov_35.9522_ID_29-snap-gene-0.36-mRNA-1_1&gene=maker-NODE_15_length_249261_cov_35.9522_ID_29-snap-gene-0.36&CDS=1-3096, snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.122&CDS=1-1530, snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.66&CDS=1-1557, snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.153-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.153&CDS=1-1506, snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-1.48&CDS=1-1560
5	OG0000005	YHR179W, YNL175C, YPL171C	maker-NODE_36_length_117742_cov_35.7736_ID_71-augustus-gene-0.52-mRNA-1_1&gene=maker-NODE_36_length_117742_cov_35.7736_ID_71-augustus-gene-0.52&CDS=1-2121, snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.200-mRNA-1_1&gene=snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.200&CDS=1-1110, snap_masked-NODE_33_length_148847_cov_36.5932_ID_65-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_33_length_148847_cov_36.5932_ID_65-processed-gene-0.76&CDS=1-1086, snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.238-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.238&CDS=1-1086, snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.239-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.239&CDS=1-1086
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.18-mRNA-1_1&gene=genemark-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.18&CDS=1-2109, snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.49&CDS=1-2022, snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.86&CDS=1-1959
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.253-mRNA-1_1&gene=snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.253&CDS=1-1017, snap_masked-NODE_55_length_55226_cov_35.6328_ID_109-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_55_length_55226_cov_35.6328_ID_109-processed-gene-0.42&CDS=1-1017, snap_masked-NODE_93_length_4019_cov_37.1242_ID_185-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_93_length_4019_cov_37.1242_ID_185-processed-gene-0.2&CDS=1-1017
8	OG0000008	YHR024C, YIL166C, YLR004C	augustus_masked-NODE_65_length_31672_cov_37.998_ID_129-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_65_length_31672_cov_37.998_ID_129-processed-gene-0.34&CDS=1-1152, maker-NODE_38_length_116373_cov_36.5_ID_75-snap-gene-0.100-mRNA-1_1&gene=maker-NODE_38_length_116373_cov_36.5_ID_75-snap-gene-0.100&CDS=1-5688, snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-5.15-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-5.15&CDS=1-1536, snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.117-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.117&CDS=1-1515
9	OG0000009	YJR061W, YKL201C	augustus_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.140&CDS=1-1545, snap_masked-NODE_103_length_3168_cov_34.3984_ID_205-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_103_length_3168_cov_34.3984_ID_205-processed-gene-0.3&CDS=1-966, snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.53&CDS=1-1656, snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.54&CDS=1-1887, snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-1.147&CDS=1-1656
