	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034611_Saturnispora_mendoncae
0	OG0000000		augustus_masked-NODE_141_length_1401_cov_43.7065_ID_281-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_141_length_1401_cov_43.7065_ID_281-processed-gene-0.0&CDS=1-1398, augustus_masked-NODE_146_length_1370_cov_42.0613_ID_291-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_146_length_1370_cov_42.0613_ID_291-processed-gene-0.0&CDS=1-1269, augustus_masked-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-1.199&CDS=1-2262, augustus_masked-NODE_158_length_1199_cov_100.599_ID_315-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_158_length_1199_cov_100.599_ID_315-processed-gene-0.1&CDS=1-1197, augustus_masked-NODE_162_length_1180_cov_46.716_ID_323-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_162_length_1180_cov_46.716_ID_323-processed-gene-0.1&CDS=1-1176, augustus_masked-NODE_216_length_755_cov_114.85_ID_431-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_216_length_755_cov_114.85_ID_431-processed-gene-0.1&CDS=1-750, augustus_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.110&CDS=1-1293, augustus_masked-NODE_273_length_596_cov_114.389_ID_545-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_273_length_596_cov_114.389_ID_545-processed-gene-0.2&CDS=1-591, augustus_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-6.177-mRNA-1_1&gene=augustus_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-6.177&CDS=1-1209, augustus_masked-NODE_30_length_76848_cov_41.9915_ID_59-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_30_length_76848_cov_41.9915_ID_59-processed-gene-0.103&CDS=1-2466, augustus_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.187-mRNA-1_1&gene=augustus_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.187&CDS=1-1641, augustus_masked-NODE_443_length_275_cov_150.938_ID_885-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_443_length_275_cov_150.938_ID_885-processed-gene-0.0&CDS=1-273, augustus_masked-NODE_483_length_239_cov_134.857_ID_965-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_483_length_239_cov_134.857_ID_965-processed-gene-0.1&CDS=1-237, augustus_masked-NODE_555_length_198_cov_72.8_ID_1109-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_555_length_198_cov_72.8_ID_1109-processed-gene-0.0&CDS=1-198, snap_masked-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-0.29&CDS=1-2118, snap_masked-NODE_23_length_113240_cov_44.465_ID_45-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_23_length_113240_cov_44.465_ID_45-processed-gene-0.124&CDS=1-864, snap_masked-NODE_33_length_63906_cov_41.5924_ID_65-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_33_length_63906_cov_41.5924_ID_65-processed-gene-0.25&CDS=1-987, snap_masked-NODE_35_length_59254_cov_45.4742_ID_69-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_35_length_59254_cov_45.4742_ID_69-processed-gene-0.23&CDS=1-2517, snap_masked-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-0.127&CDS=1-888
1	OG0000001	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_30_length_76848_cov_41.9915_ID_59-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_30_length_76848_cov_41.9915_ID_59-processed-gene-0.97&CDS=1-4077, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-0.135&CDS=1-1389, genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.1-mRNA-1_1&gene=genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.1&CDS=1-651, genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.7&CDS=1-984, snap_masked-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.26&CDS=1-1770
2	OG0000002	YIL038C, YJL172W, YOL153C	augustus_masked-NODE_24_length_112108_cov_42.372_ID_47-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_24_length_112108_cov_42.372_ID_47-processed-gene-0.174&CDS=1-3690, genemark-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.3&CDS=1-1755, genemark-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.1&CDS=1-1728, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.18-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.18&CDS=1-1695, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.33-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.33&CDS=1-1656, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.34-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.34&CDS=1-3567
3	OG0000003	YCR042C	augustus_masked-NODE_69_length_2796_cov_22.9001_ID_137-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_69_length_2796_cov_22.9001_ID_137-processed-gene-0.1&CDS=1-1593, genemark-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-1.40&CDS=1-7413, genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.28&CDS=1-2106, genemark-NODE_27_length_108070_cov_42.5938_ID_53-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_27_length_108070_cov_42.5938_ID_53-processed-gene-0.28&CDS=1-2106, genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-5.23-mRNA-1_1&gene=genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-5.23&CDS=1-2097, snap_masked-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.80&CDS=1-2091, snap_masked-NODE_287_length_557_cov_65.723_ID_573-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_287_length_557_cov_65.723_ID_573-processed-gene-0.0&CDS=1-486
4	OG0000004	YDR011W, YOR153W, YPL058C	augustus_masked-NODE_23_length_113240_cov_44.465_ID_45-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_23_length_113240_cov_44.465_ID_45-processed-gene-0.54&CDS=1-4470, genemark-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-0.100&CDS=1-5172, genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-4.5-mRNA-1_1&gene=genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-4.5&CDS=1-4458, snap_masked-NODE_13_length_255369_cov_41.7759_ID_25-processed-gene-1.217-mRNA-1_1&gene=snap_masked-NODE_13_length_255369_cov_41.7759_ID_25-processed-gene-1.217&CDS=1-4488, snap_masked-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.116&CDS=1-4521
5	OG0000005	YDR303C, YHR056C, YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-1.58&CDS=1-720, snap_masked-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_14_length_251873_cov_41.9906_ID_27-processed-gene-0.74&CDS=1-2613
6	OG0000006	YBR015C	genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-6.197-mRNA-1_1&gene=genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-6.197&CDS=1-2043, genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.26&CDS=1-1833, genemark-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-1.305-mRNA-1_1&gene=genemark-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-1.305&CDS=1-1632, snap_masked-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_17_length_212836_cov_42.4655_ID_33-processed-gene-1.11&CDS=1-1380, snap_masked-NODE_33_length_63906_cov_41.5924_ID_65-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_33_length_63906_cov_41.5924_ID_65-processed-gene-0.34&CDS=1-2007, snap_masked-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-5.94-mRNA-1_1&gene=snap_masked-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-5.94&CDS=1-1797
7	OG0000007	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-NODE_34_length_60141_cov_41.4034_ID_67-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_34_length_60141_cov_41.4034_ID_67-processed-gene-0.97&CDS=1-3321, genemark-NODE_31_length_66966_cov_40.8582_ID_61-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_31_length_66966_cov_40.8582_ID_61-processed-gene-0.85&CDS=1-2664, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.8-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-3.8&CDS=1-3414
8	OG0000008	YDR216W, YJL042W, YOR227W, YPL137C	augustus_masked-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.117&CDS=1-4116, augustus_masked-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-6.81&CDS=1-3198, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-4.13-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-4.13&CDS=1-7113
9	OG0000009	YDR385W, YKL173W, YNL163C, YOR133W	genemark-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.179-mRNA-1_1&gene=genemark-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.179&CDS=1-2901, genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-5.7-mRNA-1_1&gene=genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-5.7&CDS=1-2922, genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-2.12-mRNA-1_1&gene=genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-2.12&CDS=1-3222
10	OG0000010	YFL050C, YKL064W, YOL130W	augustus_masked-NODE_210_length_787_cov_82.8902_ID_419-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_210_length_787_cov_82.8902_ID_419-processed-gene-0.1&CDS=1-783, genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-2.26&CDS=1-2466, snap_masked-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-0.21&CDS=1-2103, snap_masked-NODE_94_length_2083_cov_41.5076_ID_187-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_94_length_2083_cov_41.5076_ID_187-processed-gene-0.3&CDS=1-567
11	OG0000011	YMR169C, YMR170C, YOR374W	genemark-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.218-mRNA-1_1&gene=genemark-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.218&CDS=1-1482, genemark-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.27&CDS=1-1491, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-2.1&CDS=1-1560, maker-NODE_12_length_255420_cov_41.4768_ID_23-augustus-gene-1.159-mRNA-1_1&gene=maker-NODE_12_length_255420_cov_41.4768_ID_23-augustus-gene-1.159&CDS=1-1902
12	OG0000012	YAL005C, YJL034W, YLL024C	genemark-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.120&CDS=1-1923, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.5&CDS=1-2001, maker-NODE_2_length_712999_cov_40.8768_ID_3-snap-gene-1.3-mRNA-1_1&gene=maker-NODE_2_length_712999_cov_40.8768_ID_3-snap-gene-1.3&CDS=1-4497
