	OrthologID	Metschnikowia_matae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-mat-_C31569-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_C31569-processed-gene-0.1&CDS=1-264, augustus_masked-mat-_C32127-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C32127-processed-gene-0.0&CDS=1-282, augustus_masked-mat-_C35947-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C35947-processed-gene-0.0&CDS=1-516, augustus_masked-mat-_s10-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mat-_s10-processed-gene-0.12&CDS=1-4020, augustus_masked-mat-_s118-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mat-_s118-processed-gene-0.71&CDS=1-2706, augustus_masked-mat-_s135-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mat-_s135-processed-gene-0.11&CDS=1-1131, augustus_masked-mat-_s204-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.52&CDS=1-4374, augustus_masked-mat-_s302-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-mat-_s302-processed-gene-0.86&CDS=1-1242, augustus_masked-mat-_s335-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s335-processed-gene-0.2&CDS=1-3024, augustus_masked-mat-_s338-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s338-processed-gene-0.2&CDS=1-1269, augustus_masked-mat-_s6-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mat-_s6-processed-gene-0.51&CDS=1-3780, augustus_masked-mat-_s607-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mat-_s607-processed-gene-0.16&CDS=1-2514, augustus_masked-mat-_s639-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mat-_s639-processed-gene-0.11&CDS=1-2187, augustus_masked-mat-_s640-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s640-processed-gene-0.2&CDS=1-981, augustus_masked-mat-_s93-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s93-processed-gene-0.0&CDS=1-4803, augustus_masked-mat-_s93-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s93-processed-gene-0.1&CDS=1-498, snap_masked-mat-_s118-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mat-_s118-processed-gene-0.51&CDS=1-3576, snap_masked-mat-_s129-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mat-_s129-processed-gene-0.26&CDS=1-1344, snap_masked-mat-_s176-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mat-_s176-processed-gene-0.21&CDS=1-3486, snap_masked-mat-_s181-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s181-processed-gene-0.28&CDS=1-2454, snap_masked-mat-_s181-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mat-_s181-processed-gene-0.29&CDS=1-2388, snap_masked-mat-_s309-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mat-_s309-processed-gene-0.46&CDS=1-792, snap_masked-mat-_s407-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s407-processed-gene-0.6&CDS=1-2439, snap_masked-mat-_s6-processed-gene-0.78-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.78&CDS=1-3618, snap_masked-mat-_s606-processed-gene-0.141-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.141&CDS=1-1224, snap_masked-mat-_s746-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s746-processed-gene-0.13&CDS=1-384, snap_masked-mat-_s82-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s82-processed-gene-0.5&CDS=1-3522	YDR363W, YJR046W
1	OG0000001	augustus_masked-mat-_s137-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s137-processed-gene-0.0&CDS=1-1269, augustus_masked-mat-_s148-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mat-_s148-processed-gene-0.19&CDS=1-1545, augustus_masked-mat-_s158-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-mat-_s158-processed-gene-0.131&CDS=1-1770, augustus_masked-mat-_s165-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s165-processed-gene-0.2&CDS=1-2037, augustus_masked-mat-_s189-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s189-processed-gene-0.0&CDS=1-1770, augustus_masked-mat-_s193-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s193-processed-gene-0.2&CDS=1-1500, augustus_masked-mat-_s207-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s207-processed-gene-0.1&CDS=1-1719, augustus_masked-mat-_s209-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mat-_s209-processed-gene-0.57&CDS=1-2304, augustus_masked-mat-_s301-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s301-processed-gene-0.0&CDS=1-1311, augustus_masked-mat-_s301-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s301-processed-gene-0.1&CDS=1-2061, augustus_masked-mat-_s408-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s408-processed-gene-0.0&CDS=1-621, maker-mat-_s168-augustus-gene-0.26-mRNA-1_1&gene=maker-mat-_s168-augustus-gene-0.26&CDS=1-2424, maker-mat-_s346-augustus-gene-0.6-mRNA-1_1&gene=maker-mat-_s346-augustus-gene-0.6&CDS=1-4344, snap_masked-mat-_C41799-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_C41799-processed-gene-0.2&CDS=1-777, snap_masked-mat-_s123-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mat-_s123-processed-gene-0.22&CDS=1-2439, snap_masked-mat-_s123-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s123-processed-gene-0.23&CDS=1-2892, snap_masked-mat-_s123-processed-gene-0.36-mRNA-1_1&gene=snap_masked-mat-_s123-processed-gene-0.36&CDS=1-2265, snap_masked-mat-_s148-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s148-processed-gene-0.5&CDS=1-2451, snap_masked-mat-_s153-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s153-processed-gene-0.2&CDS=1-1089, snap_masked-mat-_s158-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mat-_s158-processed-gene-0.27&CDS=1-7539, snap_masked-mat-_s168-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s168-processed-gene-0.6&CDS=1-4926, snap_masked-mat-_s237-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s237-processed-gene-0.3&CDS=1-405, snap_masked-mat-_s253-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-0.48&CDS=1-2748, snap_masked-mat-_s284-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s284-processed-gene-0.6&CDS=1-1275, snap_masked-mat-_s379-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s379-processed-gene-0.1&CDS=1-1839, snap_masked-mat-_s47-processed-gene-1.173-mRNA-1_1&gene=snap_masked-mat-_s47-processed-gene-1.173&CDS=1-1080, snap_masked-mat-_s488-processed-gene-0.98-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.98&CDS=1-1563	
2	OG0000002	augustus_masked-mat-_s166-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s166-processed-gene-0.0&CDS=1-375, augustus_masked-mat-_s349-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mat-_s349-processed-gene-0.15&CDS=1-561, augustus_masked-mat-_s543-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s543-processed-gene-0.0&CDS=1-477, augustus_masked-mat-_s626-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s626-processed-gene-0.1&CDS=1-489, augustus_masked-mat-_s98-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mat-_s98-processed-gene-0.9&CDS=1-603, genemark-mat-_s132-processed-gene-0.34-mRNA-1_1&gene=genemark-mat-_s132-processed-gene-0.34&CDS=1-450, genemark-mat-_s221-processed-gene-0.3-mRNA-1_1&gene=genemark-mat-_s221-processed-gene-0.3&CDS=1-570, genemark-mat-_s336-processed-gene-0.1-mRNA-1_1&gene=genemark-mat-_s336-processed-gene-0.1&CDS=1-705, genemark-mat-_s491-processed-gene-0.1-mRNA-1_1&gene=genemark-mat-_s491-processed-gene-0.1&CDS=1-615, maker-mat-_s170-snap-gene-1.146-mRNA-1_1&gene=maker-mat-_s170-snap-gene-1.146&CDS=1-504, maker-mat-_s174-augustus-gene-0.1-mRNA-1_1&gene=maker-mat-_s174-augustus-gene-0.1&CDS=1-561, maker-mat-_s216-augustus-gene-0.0-mRNA-1_1&gene=maker-mat-_s216-augustus-gene-0.0&CDS=1-465, maker-mat-_s370-augustus-gene-0.13-mRNA-1_1&gene=maker-mat-_s370-augustus-gene-0.13&CDS=1-507, maker-mat-_s43-augustus-gene-0.0-mRNA-1_1&gene=maker-mat-_s43-augustus-gene-0.0&CDS=1-528, maker-mat-_s480-augustus-gene-0.3-mRNA-1_1&gene=maker-mat-_s480-augustus-gene-0.3&CDS=1-3885, maker-mat-_s549-augustus-gene-0.36-mRNA-1_1&gene=maker-mat-_s549-augustus-gene-0.36&CDS=1-459, maker-mat-_s561-snap-gene-0.4-mRNA-1_1&gene=maker-mat-_s561-snap-gene-0.4&CDS=1-792, maker-mat-_s77-snap-gene-0.49-mRNA-1_1&gene=maker-mat-_s77-snap-gene-0.49&CDS=1-549, snap_masked-mat-_s127-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s127-processed-gene-0.7&CDS=1-510, snap_masked-mat-_s262-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s262-processed-gene-0.2&CDS=1-549, snap_masked-mat-_s332-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s332-processed-gene-0.30&CDS=1-345, snap_masked-mat-_s38-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s38-processed-gene-0.94&CDS=1-504, snap_masked-mat-_s48-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mat-_s48-processed-gene-0.16&CDS=1-642, snap_masked-mat-_s529-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s529-processed-gene-0.1&CDS=1-402, snap_masked-mat-_s83-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mat-_s83-processed-gene-0.22&CDS=1-378	YHR137W, YIL041W
3	OG0000003	augustus_masked-mat-_C36779-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C36779-processed-gene-0.0&CDS=1-408, augustus_masked-mat-_s12-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mat-_s12-processed-gene-0.75&CDS=1-1014, augustus_masked-mat-_s47-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mat-_s47-processed-gene-0.55&CDS=1-840, maker-mat-_s279-snap-gene-0.8-mRNA-1_1&gene=maker-mat-_s279-snap-gene-0.8&CDS=1-495, snap_masked-mat-_s110-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mat-_s110-processed-gene-0.10&CDS=1-219, snap_masked-mat-_s179-processed-gene-0.73-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.73&CDS=1-777, snap_masked-mat-_s184-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s184-processed-gene-0.13&CDS=1-222, snap_masked-mat-_s252-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s252-processed-gene-0.54&CDS=1-237, snap_masked-mat-_s267-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s267-processed-gene-0.23&CDS=1-261, snap_masked-mat-_s456-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mat-_s456-processed-gene-0.21&CDS=1-588, snap_masked-mat-_s495-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mat-_s495-processed-gene-0.63&CDS=1-204, snap_masked-mat-_s71-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.75&CDS=1-507, snap_masked-mat-_s748-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mat-_s748-processed-gene-0.9&CDS=1-663	YCL074W
4	OG0000004	augustus_masked-mat-_s237-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mat-_s237-processed-gene-0.12&CDS=1-1470, snap_masked-mat-_s135-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mat-_s135-processed-gene-0.44&CDS=1-1398, snap_masked-mat-_s148-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s148-processed-gene-0.3&CDS=1-1338, snap_masked-mat-_s169-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s169-processed-gene-0.45&CDS=1-1740, snap_masked-mat-_s24-processed-gene-0.92-mRNA-1_1&gene=snap_masked-mat-_s24-processed-gene-0.92&CDS=1-1686, snap_masked-mat-_s25-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mat-_s25-processed-gene-0.12&CDS=1-1461, snap_masked-mat-_s3-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s3-processed-gene-0.1&CDS=1-1497, snap_masked-mat-_s634-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s634-processed-gene-0.13&CDS=1-1374, snap_masked-mat-_s730-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s730-processed-gene-0.2&CDS=1-1581, snap_masked-mat-_s87-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s87-processed-gene-0.0&CDS=1-1701	YDR144C, YLR120C, YLR121C
5	OG0000005	augustus_masked-mat-_C29025-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C29025-processed-gene-0.0&CDS=1-195, augustus_masked-mat-_s349-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s349-processed-gene-0.20&CDS=1-3108, snap_masked-mat-_s156-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-0.56&CDS=1-3162, snap_masked-mat-_s156-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-0.59&CDS=1-3525, snap_masked-mat-_s156-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-0.60&CDS=1-3534, snap_masked-mat-_s252-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s252-processed-gene-0.40&CDS=1-186, snap_masked-mat-_s253-processed-gene-2.81-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-2.81&CDS=1-2760, snap_masked-mat-_s389-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s389-processed-gene-0.1&CDS=1-315, snap_masked-mat-_s488-processed-gene-0.136-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.136&CDS=1-3450, snap_masked-mat-_s591-processed-gene-1.87-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.87&CDS=1-2649	YLR256W
6	OG0000006	augustus_masked-mat-_C33991-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C33991-processed-gene-0.2&CDS=1-297, augustus_masked-mat-_s291-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mat-_s291-processed-gene-0.14&CDS=1-483, augustus_masked-mat-_s517-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s517-processed-gene-0.0&CDS=1-483, genemark-mat-_s84-processed-gene-0.31-mRNA-1_1&gene=genemark-mat-_s84-processed-gene-0.31&CDS=1-522, snap_masked-mat-_s306-processed-gene-1.102-mRNA-1_1&gene=snap_masked-mat-_s306-processed-gene-1.102&CDS=1-693, snap_masked-mat-_s339-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mat-_s339-processed-gene-0.17&CDS=1-693, snap_masked-mat-_s689-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s689-processed-gene-0.42&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
7	OG0000007	augustus_masked-mat-_C35957-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C35957-processed-gene-0.2&CDS=1-555, augustus_masked-mat-_s145-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s145-processed-gene-0.2&CDS=1-789, augustus_masked-mat-_s245-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s245-processed-gene-0.0&CDS=1-390, snap_masked-mat-_C36753-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_C36753-processed-gene-0.0&CDS=1-390, snap_masked-mat-_s12-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s12-processed-gene-0.40&CDS=1-537, snap_masked-mat-_s156-processed-gene-2.30-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-2.30&CDS=1-900, snap_masked-mat-_s24-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mat-_s24-processed-gene-0.81&CDS=1-882, snap_masked-mat-_s281-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s281-processed-gene-0.14&CDS=1-522, snap_masked-mat-_s362-processed-gene-0.61-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.61&CDS=1-906, snap_masked-mat-_s4-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s4-processed-gene-0.45&CDS=1-414	YKL096W
8	OG0000008	augustus_masked-mat-_s112-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-mat-_s112-processed-gene-0.139&CDS=1-1728, snap_masked-mat-_s112-processed-gene-0.173-mRNA-1_1&gene=snap_masked-mat-_s112-processed-gene-0.173&CDS=1-1752, snap_masked-mat-_s115-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s115-processed-gene-0.4&CDS=1-1653, snap_masked-mat-_s253-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-0.33&CDS=1-1812, snap_masked-mat-_s320-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s320-processed-gene-0.5&CDS=1-1668, snap_masked-mat-_s480-processed-gene-0.93-mRNA-1_1&gene=snap_masked-mat-_s480-processed-gene-0.93&CDS=1-1719, snap_masked-mat-_s84-processed-gene-0.67-mRNA-1_1&gene=snap_masked-mat-_s84-processed-gene-0.67&CDS=1-1860	YKR039W, YLL061W, YPL274W
9	OG0000009	augustus_masked-mat-_s288-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mat-_s288-processed-gene-0.59&CDS=1-1722, snap_masked-mat-_s171-processed-gene-1.88-mRNA-1_1&gene=snap_masked-mat-_s171-processed-gene-1.88&CDS=1-1743, snap_masked-mat-_s591-processed-gene-1.94-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.94&CDS=1-1812, snap_masked-mat-_s66-processed-gene-2.143-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-2.143&CDS=1-1794	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
