	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034950_Citeromyces_hawaiiensis
0	OG0000000	YCL075W	augustus_masked-scf7180000029336-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029336-processed-gene-0.0&CDS=1-1296, augustus_masked-scf7180000029399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029399-processed-gene-0.0&CDS=1-1026, augustus_masked-scf7180000029650-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000029650-processed-gene-0.3&CDS=1-882, augustus_masked-scf7180000031507-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031507-processed-gene-0.2&CDS=1-1242, augustus_masked-scf7180000031678-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000031678-processed-gene-0.28&CDS=1-636, snap_masked-scf7180000029373-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000029373-processed-gene-0.1&CDS=1-744, snap_masked-scf7180000029400-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000029400-processed-gene-0.2&CDS=1-957, snap_masked-scf7180000030502-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000030502-processed-gene-0.7&CDS=1-564, snap_masked-scf7180000030860-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030860-processed-gene-0.2&CDS=1-756, snap_masked-scf7180000030910-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000030910-processed-gene-0.1&CDS=1-957, snap_masked-scf7180000031666-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000031666-processed-gene-0.14&CDS=1-453, snap_masked-scf7180000031671-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000031671-processed-gene-0.3&CDS=1-510
1	OG0000001	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-scf7180000028971-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028971-processed-gene-0.2&CDS=1-1671, augustus_masked-scf7180000031537-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031537-processed-gene-0.3&CDS=1-1698, snap_masked-scf7180000030322-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000030322-processed-gene-0.17&CDS=1-1704
2	OG0000002	YGL089C, YPL187W	augustus_masked-scf7180000029214-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029214-processed-gene-0.2&CDS=1-453, augustus_masked-scf7180000031146-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000031146-processed-gene-0.10&CDS=1-357, augustus_masked-scf7180000031221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031221-processed-gene-0.2&CDS=1-465, augustus_masked-scf7180000031437-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000031437-processed-gene-0.51&CDS=1-609, augustus_masked-scf7180000031488-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031488-processed-gene-0.1&CDS=1-465, augustus_masked-scf7180000031666-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000031666-processed-gene-0.5&CDS=1-402, genemark-scf7180000031660-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000031660-processed-gene-0.26&CDS=1-393
3	OG0000003	YBR150C, YOL089C	augustus_masked-scf7180000029121-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029121-processed-gene-0.0&CDS=1-375, augustus_masked-scf7180000030748-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030748-processed-gene-0.0&CDS=1-645, augustus_masked-scf7180000031594-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000031594-processed-gene-0.18&CDS=1-2028, genemark-scf7180000030552-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000030552-processed-gene-0.14&CDS=1-2094, snap_masked-scf7180000028847-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000028847-processed-gene-0.1&CDS=1-507, snap_masked-scf7180000031175-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031175-processed-gene-0.1&CDS=1-1605
4	OG0000004	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W	augustus_masked-scf7180000031546-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000031546-processed-gene-0.34&CDS=1-1656, snap_masked-scf7180000031470-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000031470-processed-gene-0.27&CDS=1-1659, snap_masked-scf7180000031625-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000031625-processed-gene-0.42&CDS=1-1656
5	OG0000005	YKL098W	genemark-scf7180000028648-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000028648-processed-gene-0.3&CDS=1-639, maker-scf7180000031584-snap-gene-0.15-mRNA-1_1&gene=maker-scf7180000031584-snap-gene-0.15&CDS=1-540, snap_masked-scf7180000030531-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030531-processed-gene-0.2&CDS=1-393, snap_masked-scf7180000030531-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000030531-processed-gene-0.3&CDS=1-276, snap_masked-scf7180000031537-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000031537-processed-gene-0.40&CDS=1-969, snap_masked-scf7180000031556-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000031556-processed-gene-0.4&CDS=1-276, snap_masked-scf7180000031556-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000031556-processed-gene-0.5&CDS=1-555
6	OG0000006	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-scf7180000028649-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000028649-processed-gene-0.1&CDS=1-1665, augustus_masked-scf7180000031525-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031525-processed-gene-0.1&CDS=1-1605, augustus_masked-scf7180000031642-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000031642-processed-gene-0.21&CDS=1-1755
7	OG0000007	YER054C, YIL045W	augustus_masked-scf7180000029053-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029053-processed-gene-0.2&CDS=1-1620, augustus_masked-scf7180000029492-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029492-processed-gene-0.0&CDS=1-1587, augustus_masked-scf7180000030465-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000030465-processed-gene-0.24&CDS=1-987, augustus_masked-scf7180000030769-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000030769-processed-gene-0.5&CDS=1-1608, augustus_masked-scf7180000031573-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000031573-processed-gene-0.26&CDS=1-1620
8	OG0000008	YIL166C, YOL163W	augustus_masked-scf7180000029102-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029102-processed-gene-0.0&CDS=1-897, augustus_masked-scf7180000029605-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029605-processed-gene-0.0&CDS=1-897, augustus_masked-scf7180000030617-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030617-processed-gene-0.0&CDS=1-1599, augustus_masked-scf7180000031563-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000031563-processed-gene-0.6&CDS=1-1596, maker-scf7180000031569-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000031569-augustus-gene-0.0&CDS=1-633
9	OG0000009	YAL034W-A, YOR340C	augustus_masked-scf7180000031026-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000031026-processed-gene-0.20&CDS=1-834, maker-scf7180000030449-augustus-gene-0.9-mRNA-1_1&gene=maker-scf7180000030449-augustus-gene-0.9&CDS=1-1737, snap_masked-scf7180000029008-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000029008-processed-gene-0.5&CDS=1-459, snap_masked-scf7180000029008-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000029008-processed-gene-0.6&CDS=1-834
