	OrthologID	Candida_intermedia	Saccharomyces_cerevisiae
0	OG0000000	-processed-gene-0.117-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.117&CDS=1-2994, -processed-gene-0.118-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.118&CDS=1-3645, -processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316274|dbj|BCGD01000009.1|-processed-gene-0.51&CDS=1-2292, -processed-gene-12.137-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-12.137&CDS=1-2709, -processed-gene-13.66-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-13.66&CDS=1-4536, -processed-gene-18.153-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-18.153&CDS=1-2562, -processed-gene-19.107-mRNA-1_1&gene=augustus_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-19.107&CDS=1-2274, -processed-gene-19.131-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-19.131&CDS=1-3120, -snap-gene-7.81-mRNA-1_1&gene=maker-gi|1002316277|dbj|BCGD01000006.1|-snap-gene-7.81&CDS=1-5946	YAL051W, YKR064W, YOR363C
1	OG0000001	-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002316272|dbj|BCGD01000011.1|-processed-gene-0.4&CDS=1-3657, -processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.44&CDS=1-3108, -processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.57&CDS=1-1482, -processed-gene-11.222-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.222&CDS=1-6834, -processed-gene-11.31-mRNA-1_1&gene=augustus_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.31&CDS=1-1251, -processed-gene-11.34-mRNA-1_1&gene=augustus_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.34&CDS=1-2373, -processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.39&CDS=1-2700, -processed-gene-20.108-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.108&CDS=1-1569, -processed-gene-22.96-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-22.96&CDS=1-1356	YDR134C, YLR110C
2	OG0000002	-processed-gene-12.35-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-12.35&CDS=1-1734, -processed-gene-16.25-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-16.25&CDS=1-1740, -processed-gene-16.39-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-16.39&CDS=1-1758, -processed-gene-18.186-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-18.186&CDS=1-1785, -processed-gene-7.31-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-7.31&CDS=1-1674	YBR068C, YCL025C, YDR508C, YKR039W, YLL061W, YPL274W
3	OG0000003	-processed-gene-0.85-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-0.85&CDS=1-525, -processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-1.33&CDS=1-501, -processed-gene-1.82-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.82&CDS=1-1581, -processed-gene-17.69-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-17.69&CDS=1-1743, -processed-gene-2.47-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-2.47&CDS=1-1347, -processed-gene-3.29-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-3.29&CDS=1-1347, -processed-gene-4.65-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-4.65&CDS=1-585, -processed-gene-7.8-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.8&CDS=1-1707, -snap-gene-9.125-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-snap-gene-9.125&CDS=1-1938	YDR207C
4	OG0000004	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.39&CDS=1-2511, -processed-gene-1.35-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.35&CDS=1-2625, -processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-1.40&CDS=1-2520, -processed-gene-1.41-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-1.41&CDS=1-2409, -processed-gene-18.64-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-18.64&CDS=1-2088, -processed-gene-3.75-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-3.75&CDS=1-1296, -processed-gene-6.93-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.93&CDS=1-2346	YBR150C, YOL089C
5	OG0000005	-processed-gene-11.128-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.128&CDS=1-1695, -processed-gene-3.82-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-3.82&CDS=1-1698	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	-processed-gene-11.15-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.15&CDS=1-4242, -processed-gene-15.17-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-15.17&CDS=1-4650, -processed-gene-15.23-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-15.23&CDS=1-4317, -processed-gene-15.31-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-15.31&CDS=1-1332, -processed-gene-2.129-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-2.129&CDS=1-4146, -processed-gene-3.4-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-3.4&CDS=1-4074, -processed-gene-7.48-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-7.48&CDS=1-5619	YGR281W, YKL221W
7	OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
8	OG0000008	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316274|dbj|BCGD01000009.1|-processed-gene-0.11&CDS=1-864, -processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.53&CDS=1-903, -processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.54&CDS=1-867, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.55&CDS=1-864, -processed-gene-17.10-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-17.10&CDS=1-3030, -processed-gene-4.57-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.57&CDS=1-882	YER185W, YGR213C
9	OG0000009	-processed-gene-11.15-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.15&CDS=1-2367, -processed-gene-2.1-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-2.1&CDS=1-1818, -processed-gene-3.101-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.101&CDS=1-2265, -processed-gene-4.0-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.0&CDS=1-2418, -processed-gene-5.70-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-5.70&CDS=1-2289, -processed-gene-6.99-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-6.99&CDS=1-2019	YJR061W, YKL201C
