	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034939_Komagataella_pseudopastoris
0	OG0000000	YBL017C, YIL107C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-3.13&CDS=1-2031, genemark-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-1.29&CDS=1-6483, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-1.119&CDS=1-4494, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.117&CDS=1-2370
1	OG0000001	YBR132C, YNL268W, YOR348C	maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-2.137-mRNA-1_1&gene=maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-2.137&CDS=1-3204, snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-0.54&CDS=1-1722, snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.170-mRNA-1_1&gene=snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.170&CDS=1-1695, snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-1.99&CDS=1-1728, snap_masked-NODE_17_length_170323_cov_32.1895_ID_33-processed-gene-0.213-mRNA-1_1&gene=snap_masked-NODE_17_length_170323_cov_32.1895_ID_33-processed-gene-0.213&CDS=1-1686, snap_masked-NODE_23_length_42618_cov_34.8587_ID_45-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_23_length_42618_cov_34.8587_ID_45-processed-gene-0.1&CDS=1-1611
2	OG0000002	YDR536W, YFL040W	augustus_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-6.150&CDS=1-1689, augustus_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-1.97&CDS=1-1587, snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.126&CDS=1-1536, snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.20&CDS=1-1620, snap_masked-NODE_26_length_10357_cov_96.2324_ID_51-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_26_length_10357_cov_96.2324_ID_51-processed-gene-0.8&CDS=1-1494, snap_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-6.230-mRNA-1_1&gene=snap_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-6.230&CDS=1-1701, snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-0.29&CDS=1-1620
3	OG0000003	YIL130W, YKL015W	snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-2.72&CDS=1-1191, snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.139-mRNA-1_1&gene=snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.139&CDS=1-2832, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-2.16&CDS=1-2637, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-4.60-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-4.60&CDS=1-2808, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.119-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.119&CDS=1-2280, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.50&CDS=1-2964, snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-4.106-mRNA-1_1&gene=snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-4.106&CDS=1-2265
4	OG0000004	YAL005C, YJL034W, YLL024C, YNL209W	maker-NODE_12_length_307513_cov_36.2426_ID_23-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_12_length_307513_cov_36.2426_ID_23-augustus-gene-0.4&CDS=1-2892, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-0.27&CDS=1-1839, snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-3.96-mRNA-1_1&gene=snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-3.96&CDS=1-1950, snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-0.63&CDS=1-1953
5	OG0000005	YCL024W, YDR477W, YDR507C, YPL150W	augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-1.92&CDS=1-8514, genemark-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.27-mRNA-1_1&gene=genemark-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.27&CDS=1-1641, snap_masked-NODE_18_length_156365_cov_33.01_ID_35-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_18_length_156365_cov_33.01_ID_35-processed-gene-0.72&CDS=1-2508, snap_masked-NODE_23_length_42618_cov_34.8587_ID_45-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_23_length_42618_cov_34.8587_ID_45-processed-gene-0.14&CDS=1-3504
6	OG0000006	YDL093W, YDL095W, YER070W, YJR152W	maker-NODE_11_length_354078_cov_37.7079_ID_21-snap-gene-2.1-mRNA-1_1&gene=maker-NODE_11_length_354078_cov_37.7079_ID_21-snap-gene-2.1&CDS=1-6522, maker-NODE_6_length_584922_cov_32.2926_ID_11-augustus-gene-4.7-mRNA-1_1&gene=maker-NODE_6_length_584922_cov_32.2926_ID_11-augustus-gene-4.7&CDS=1-7917, snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.90&CDS=1-2604, snap_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-0.79&CDS=1-1575
7	OG0000007	YDR011W, YDR406W, YOR153W, YPL058C	snap_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-1.135&CDS=1-5940, snap_masked-NODE_20_length_144930_cov_36.6757_ID_39-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_20_length_144930_cov_36.6757_ID_39-processed-gene-0.149&CDS=1-4512, snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.56-mRNA-1_1&gene=snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.56&CDS=1-4398, snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-2.131-mRNA-1_1&gene=snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-2.131&CDS=1-4449
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-7.65&CDS=1-3552, augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-8.166-mRNA-1_1&gene=augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-8.166&CDS=1-3570, snap_masked-NODE_27_length_9112_cov_33.0982_ID_53-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_27_length_9112_cov_33.0982_ID_53-processed-gene-0.3&CDS=1-2259, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.117-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.117&CDS=1-2667
9	OG0000009	YAL051W, YLL054C, YLR256W, YOR363C	augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-5.91&CDS=1-1098, augustus_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-3.116&CDS=1-2163, snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-2.87&CDS=1-4254
10	OG0000010	YDL137W, YDL192W, YHR114W, YMR138W	maker-NODE_3_length_777129_cov_32.6323_ID_5-augustus-gene-6.11-mRNA-1_1&gene=maker-NODE_3_length_777129_cov_32.6323_ID_5-augustus-gene-6.11&CDS=1-2316, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-5.101-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-5.101&CDS=1-564, snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-5.141-mRNA-1_1&gene=snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-5.141&CDS=1-543
11	OG0000011	YDR146C, YLR131C, YMR182C, YPL230W	genemark-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-3.279-mRNA-1_1&gene=genemark-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-3.279&CDS=1-1071, snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-0.37&CDS=1-1227, snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-1.116&CDS=1-1854
12	OG0000012	YDR160W, YKR039W	augustus_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.60&CDS=1-2448, augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-7.60&CDS=1-1758, maker-NODE_1_length_1101463_cov_32.2612_ID_1-augustus-gene-4.5-mRNA-1_1&gene=maker-NODE_1_length_1101463_cov_32.2612_ID_1-augustus-gene-4.5&CDS=1-2472, maker-NODE_6_length_584922_cov_32.2926_ID_11-snap-gene-2.39-mRNA-1_1&gene=maker-NODE_6_length_584922_cov_32.2926_ID_11-snap-gene-2.39&CDS=1-1779, snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.85&CDS=1-2271
13	OG0000013	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-4.83&CDS=1-1128, snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-1.90&CDS=1-1065
14	OG0000014	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_16_length_203096_cov_33.4034_ID_31-snap-gene-1.214-mRNA-1_1&gene=maker-NODE_16_length_203096_cov_33.4034_ID_31-snap-gene-1.214&CDS=1-2094, snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.21&CDS=1-1071, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-4.79&CDS=1-1065
15	OG0000015	YER023W, YKL220C, YNR060W, YOR381W	augustus_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.129&CDS=1-2121, augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.210-mRNA-1_1&gene=augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.210&CDS=1-2856, snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-2.45&CDS=1-2148
16	OG0000016	YJR126C, YML080W, YOR256C, YPL176C	augustus_masked-NODE_22_length_97672_cov_33.0443_ID_43-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_22_length_97672_cov_33.0443_ID_43-processed-gene-0.94&CDS=1-5229, maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-1.4-mRNA-1_1&gene=maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-1.4&CDS=1-2355, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-3.106&CDS=1-2868
17	OG0000017	YMR169C, YMR170C, YOR374W	maker-NODE_2_length_799181_cov_33.4065_ID_3-augustus-gene-5.58-mRNA-1_1&gene=maker-NODE_2_length_799181_cov_33.4065_ID_3-augustus-gene-5.58&CDS=1-3792, snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.176-mRNA-1_1&gene=snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.176&CDS=1-1575, snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.117&CDS=1-1503, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-0.69&CDS=1-1485
