	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034999_Cephaloascus_fragrans
0	OG0000000	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.48&CDS=1-1890, augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.8&CDS=1-1803, augustus_masked-NODE_25_length_157129_cov_13.2327_ID_49-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_25_length_157129_cov_13.2327_ID_49-processed-gene-0.196&CDS=1-1800, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.7&CDS=1-1797, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-2.15&CDS=1-1752, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-1.61&CDS=1-1740, augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-0.32&CDS=1-1740
1	OG0000001	YBR150C, YOL089C, YOR380W	augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-0.91&CDS=1-2763, augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-13.115-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-13.115&CDS=1-2199, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.51-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.51&CDS=1-2661, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.105&CDS=1-3075, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.107&CDS=1-2148, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-7.109&CDS=1-2655, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-0.55&CDS=1-1830
2	OG0000002	YGR177C, YGR212W, YOR377W, YPL272C	augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-4.112&CDS=1-1326, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-9.92&CDS=1-1395, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-8.4&CDS=1-1359, augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-1.14&CDS=1-1347, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.18&CDS=1-1311, maker-NODE_2_length_1483094_cov_12.2697_ID_3-snap-gene-9.38-mRNA-1_1&gene=maker-NODE_2_length_1483094_cov_12.2697_ID_3-snap-gene-9.38&CDS=1-3417
3	OG0000003	YDR011W, YDR406W, YOR153W, YPL058C	augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.233&CDS=1-4377, augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-1.90&CDS=1-4509, augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.15&CDS=1-4407, augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.25&CDS=1-4497, maker-NODE_46_length_3471_cov_24.3094_ID_91-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_46_length_3471_cov_24.3094_ID_91-augustus-gene-0.1&CDS=1-3234
4	OG0000004	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-8.19&CDS=1-2517, genemark-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-0.116&CDS=1-2379, genemark-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.45&CDS=1-2484, maker-NODE_14_length_293170_cov_12.5859_ID_27-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_14_length_293170_cov_12.5859_ID_27-augustus-gene-0.0&CDS=1-1389, maker-NODE_1_length_1709425_cov_12.0966_ID_1-augustus-gene-12.92-mRNA-1_1&gene=maker-NODE_1_length_1709425_cov_12.0966_ID_1-augustus-gene-12.92&CDS=1-1461
5	OG0000005	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_13_length_301457_cov_12.8257_ID_25-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_13_length_301457_cov_12.8257_ID_25-processed-gene-1.103&CDS=1-1509, augustus_masked-NODE_28_length_95373_cov_12.3035_ID_55-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_28_length_95373_cov_12.3035_ID_55-processed-gene-0.136&CDS=1-1506, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.17&CDS=1-1470, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-10.19&CDS=1-1473, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-8.3&CDS=1-1563, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.25&CDS=1-1485
6	OG0000006	YBR015C	augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_12_length_309467_cov_12.1754_ID_23-processed-gene-2.24&CDS=1-1788, augustus_masked-NODE_22_length_160789_cov_12.2417_ID_43-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_22_length_160789_cov_12.2417_ID_43-processed-gene-0.36&CDS=1-1887, augustus_masked-NODE_24_length_159332_cov_15.5569_ID_47-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_24_length_159332_cov_15.5569_ID_47-processed-gene-0.59&CDS=1-1722, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-10.21&CDS=1-1878, augustus_masked-NODE_35_length_37639_cov_12.4365_ID_69-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_35_length_37639_cov_12.4365_ID_69-processed-gene-0.4&CDS=1-1662, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.5&CDS=1-1611, augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-1.20&CDS=1-1791
7	OG0000007	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.178&CDS=1-1302, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-2.105&CDS=1-1617, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-8.26&CDS=1-1266, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.29&CDS=1-1689, maker-NODE_6_length_814577_cov_12.2606_ID_11-snap-gene-3.57-mRNA-1_1&gene=maker-NODE_6_length_814577_cov_12.2606_ID_11-snap-gene-3.57&CDS=1-2376
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_13_length_301457_cov_12.8257_ID_25-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_13_length_301457_cov_12.8257_ID_25-processed-gene-0.123&CDS=1-3450, augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-12.169-mRNA-1_1&gene=augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-12.169&CDS=1-2727, augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-3.127&CDS=1-2313, maker-NODE_1_length_1709425_cov_12.0966_ID_1-augustus-gene-13.43-mRNA-1_1&gene=maker-NODE_1_length_1709425_cov_12.0966_ID_1-augustus-gene-13.43&CDS=1-3930
9	OG0000009	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.45&CDS=1-1674, augustus_masked-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.21&CDS=1-1653, augustus_masked-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_17_length_231556_cov_12.6204_ID_33-processed-gene-0.23&CDS=1-1677, augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.227&CDS=1-1665, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.5&CDS=1-1677
