	OrthologID	Nakaseomyces_castellii	Saccharomyces_cerevisiae
0	OG0000000	genemark-CACA0S05-processed-gene-19.50-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-19.50&CDS=1-1839, genemark-CACA0S05-processed-gene-8.80-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.80&CDS=1-1941, genemark-CACA0S12-processed-gene-7.74-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-7.74&CDS=1-1839, genemark-CACA0S27-processed-gene-4.66-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-4.66&CDS=1-1920, snap_masked-CACA0S05-processed-gene-10.112-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-10.112&CDS=1-2034	YAL005C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W
1	OG0000001	augustus_masked-CACA0S15-processed-gene-8.160-mRNA-1_1&gene=augustus_masked-CACA0S15-processed-gene-8.160&CDS=1-1692, genemark-CACA0S21-processed-gene-7.87-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-7.87&CDS=1-1665, genemark-CACA0S27-processed-gene-0.92-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-0.92&CDS=1-1656, genemark-CACA0S29-processed-gene-0.9-mRNA-1_1&gene=genemark-CACA0S29-processed-gene-0.9&CDS=1-1686, genemark-CACA0S33-processed-gene-10.108-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.108&CDS=1-1614, maker-CACA0S12-snap-gene-4.2-mRNA-1_1&gene=maker-CACA0S12-snap-gene-4.2&CDS=1-5109	YDR342C, YDR343C, YHR092C, YNL318C
2	OG0000002	genemark-CACA0S05-processed-gene-6.25-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-6.25&CDS=1-2568, genemark-CACA0S12-processed-gene-1.26-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-1.26&CDS=1-1182, genemark-CACA0S12-processed-gene-3.70-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-3.70&CDS=1-1260, genemark-CACA0S21-processed-gene-10.32-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-10.32&CDS=1-1434	YBR205W, YDR483W, YJL139C, YKR061W, YOR099W
3	OG0000003	augustus_masked-CACA0S12-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-10.88&CDS=1-1980, augustus_masked-CACA0S17-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-CACA0S17-processed-gene-7.143&CDS=1-1611, augustus_masked-CACA0S21-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-CACA0S21-processed-gene-11.120&CDS=1-1905, augustus_masked-CACA0S27-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CACA0S27-processed-gene-0.57&CDS=1-1812, augustus_masked-CACA0S33-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-8.14&CDS=1-903, augustus_masked-CACA0S36-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-0.82&CDS=1-3906, genemark-CACA0S22-processed-gene-0.4-mRNA-1_1&gene=genemark-CACA0S22-processed-gene-0.4&CDS=1-1458, maker-CACA0S12-snap-gene-0.1-mRNA-1_1&gene=maker-CACA0S12-snap-gene-0.1&CDS=1-1308, snap_masked-CACA0S33-processed-gene-8.102-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-8.102&CDS=1-993	
4	OG0000004	genemark-CACA0S05-processed-gene-17.125-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-17.125&CDS=1-3444, genemark-CACA0S05-processed-gene-5.51-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.51&CDS=1-3387, genemark-CACA0S27-processed-gene-10.1-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-10.1&CDS=1-2367, genemark-CACA0S33-processed-gene-5.31-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-5.31&CDS=1-2301	YER013W, YGL120C, YKR086W, YNR011C
5	OG0000005	augustus_masked-CACA0S17-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-CACA0S17-processed-gene-4.44&CDS=1-2376, augustus_masked-CACA0S33-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.48&CDS=1-1851, augustus_masked-CACA0S36-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-4.47&CDS=1-3042	YBR068C, YCL025C, YDR046C, YDR508C, YKR039W
6	OG0000006	augustus_masked-CACA0S12-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-8.72&CDS=1-3255, genemark-CACA0S12-processed-gene-4.62-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-4.62&CDS=1-1641, genemark-CACA0S17-processed-gene-2.16-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-2.16&CDS=1-1569, genemark-CACA0S17-processed-gene-2.34-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-2.34&CDS=1-1584	YER056C, YER060W, YER060W-A
7	OG0000007	genemark-CACA0S15-processed-gene-5.49-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-5.49&CDS=1-1791, genemark-CACA0S15-processed-gene-5.50-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-5.50&CDS=1-3132, maker-CACA0S33-augustus-gene-1.134-mRNA-1_1&gene=maker-CACA0S33-augustus-gene-1.134&CDS=1-5130	YNL104C, YNL106C, YOR108W, YOR109W
8	OG0000008	genemark-CACA0S05-processed-gene-2.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.30&CDS=1-2031, genemark-CACA0S05-processed-gene-4.137-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.137&CDS=1-1926, genemark-CACA0S17-processed-gene-3.114-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-3.114&CDS=1-2103, genemark-CACA0S27-processed-gene-0.91-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-0.91&CDS=1-1902, maker-CACA0S17-snap-gene-3.132-mRNA-1_1&gene=maker-CACA0S17-snap-gene-3.132&CDS=1-1926	YMR008C
9	OG0000009	genemark-CACA0S05-processed-gene-17.136-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-17.136&CDS=1-2994, genemark-CACA0S12-processed-gene-8.107-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-8.107&CDS=1-1308, genemark-CACA0S27-processed-gene-10.25-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-10.25&CDS=1-2691	YER047C, YPL074W, YPR173C
