	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034615_Saturnispora_zaruensis
0	OG0000000	YBL113C, YDR545W, YEL077C, YER190W, YGR296W, YHL050C, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	snap_masked-NODE_91_length_495_cov_0.879679_ID_181-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_91_length_495_cov_0.879679_ID_181-processed-gene-0.1&CDS=1-216
1	OG0000001		augustus_masked-NODE_21_length_25121_cov_42.3391_ID_41-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_21_length_25121_cov_42.3391_ID_41-processed-gene-0.10&CDS=1-1845, augustus_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.7&CDS=1-1224, augustus_masked-NODE_231_length_351_cov_70.7304_ID_461-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_231_length_351_cov_70.7304_ID_461-processed-gene-0.0&CDS=1-333, augustus_masked-NODE_237_length_298_cov_133.797_ID_473-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_237_length_298_cov_133.797_ID_473-processed-gene-0.0&CDS=1-294, augustus_masked-NODE_23_length_10390_cov_65.9435_ID_45-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_23_length_10390_cov_65.9435_ID_45-processed-gene-0.0&CDS=1-1269, augustus_masked-NODE_254_length_243_cov_66.0656_ID_507-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_254_length_243_cov_66.0656_ID_507-processed-gene-0.2&CDS=1-240, augustus_masked-NODE_327_length_185_cov_92.8281_ID_653-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_327_length_185_cov_92.8281_ID_653-processed-gene-0.1&CDS=1-180, augustus_masked-NODE_32_length_5780_cov_61.5922_ID_63-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_32_length_5780_cov_61.5922_ID_63-processed-gene-0.2&CDS=1-1152, augustus_masked-NODE_341_length_165_cov_51.1591_ID_681-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_341_length_165_cov_51.1591_ID_681-processed-gene-0.0&CDS=1-147, augustus_masked-NODE_344_length_165_cov_65_ID_687-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_344_length_165_cov_65_ID_687-processed-gene-0.1&CDS=1-147, augustus_masked-NODE_56_length_829_cov_117.951_ID_111-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_56_length_829_cov_117.951_ID_111-processed-gene-0.2&CDS=1-828, augustus_masked-NODE_61_length_732_cov_112.057_ID_121-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_61_length_732_cov_112.057_ID_121-processed-gene-0.1&CDS=1-699, augustus_masked-NODE_84_length_540_cov_55.7375_ID_167-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_84_length_540_cov_55.7375_ID_167-processed-gene-0.1&CDS=1-537, augustus_masked-NODE_89_length_514_cov_71.7608_ID_177-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_89_length_514_cov_71.7608_ID_177-processed-gene-0.0&CDS=1-510, augustus_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.170&CDS=1-2634, snap_masked-NODE_17_length_126295_cov_42.083_ID_33-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_17_length_126295_cov_42.083_ID_33-processed-gene-0.38&CDS=1-2544, snap_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.0&CDS=1-2931, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-0.109&CDS=1-2439, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.55&CDS=1-2637
2	OG0000002	YJL003W, YLR256W	genemark-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.64&CDS=1-2712, genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-9.85-mRNA-1_1&gene=genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-9.85&CDS=1-2205, genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.123-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.123&CDS=1-2748, maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-8.156-mRNA-1_1&gene=maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-8.156&CDS=1-5043, snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.92&CDS=1-3087, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-1.110&CDS=1-3141, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-7.116&CDS=1-3057, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-7.136-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-7.136&CDS=1-2457, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.172-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.172&CDS=1-2661, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.41-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.41&CDS=1-2949
3	OG0000003	YDR011W, YNR070W, YOR153W, YPL058C	augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-9.29&CDS=1-4515, maker-NODE_2_length_1328254_cov_42.4867_ID_3-augustus-gene-12.221-mRNA-1_1&gene=maker-NODE_2_length_1328254_cov_42.4867_ID_3-augustus-gene-12.221&CDS=1-4869, maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-9.0-mRNA-1_1&gene=maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-9.0&CDS=1-6276, snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.52&CDS=1-4512, snap_masked-NODE_20_length_39510_cov_45.3143_ID_39-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_20_length_39510_cov_45.3143_ID_39-processed-gene-0.2&CDS=1-4473, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-6.33&CDS=1-4464, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-7.95&CDS=1-4488
4	OG0000004	YDR034C, YLR228C	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.12-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.12&CDS=1-990, snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.66&CDS=1-1509, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.53&CDS=1-1098, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-4.37&CDS=1-873, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.10-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.10&CDS=1-2199, snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-1.117&CDS=1-282, snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-2.108&CDS=1-2307, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.12&CDS=1-540, snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-0.117&CDS=1-2274
5	OG0000005	YFL010C	augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.45&CDS=1-435, augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.46&CDS=1-420, augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.47&CDS=1-447, augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.48&CDS=1-447, snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-0.82&CDS=1-399, snap_masked-NODE_18_length_120857_cov_42.569_ID_35-processed-gene-0.194-mRNA-1_1&gene=snap_masked-NODE_18_length_120857_cov_42.569_ID_35-processed-gene-0.194&CDS=1-606, snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-0.3&CDS=1-441, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.84-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.84&CDS=1-585, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.85&CDS=1-516
6	OG0000006	YAL005C, YJL034W, YLL024C, YNL209W	maker-NODE_10_length_355069_cov_42.3146_ID_19-snap-gene-2.237-mRNA-1_1&gene=maker-NODE_10_length_355069_cov_42.3146_ID_19-snap-gene-2.237&CDS=1-4422, maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-6.94-mRNA-1_1&gene=maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-6.94&CDS=1-2952, snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NODE_6_length_515559_cov_44.7286_ID_11-processed-gene-2.31&CDS=1-1998, snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-0.106&CDS=1-1845
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_229_length_367_cov_0.678862_ID_457-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_229_length_367_cov_0.678862_ID_457-processed-gene-0.2&CDS=1-300
8	OG0000008	YBL068W, YER099C, YHL011C, YOL061W	augustus_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.216-mRNA-1_1&gene=augustus_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.216&CDS=1-996, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-12.46&CDS=1-960, snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.130-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-8.130&CDS=1-1053
9	OG0000009	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.148-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.148&CDS=1-501, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.149-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.149&CDS=1-840, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.150-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-5.150&CDS=1-1107
