	OrthologID	Lachancea_fantastica	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR203W, YPR204W
1	OG0000001	augustus_masked-LAFA0A-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-LAFA0A-processed-gene-2.128&CDS=1-657, snap_masked-LAFA0B-processed-gene-5.128-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.128&CDS=1-375	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
2	OG0000002	augustus_masked-LAFA0B-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-7.96&CDS=1-2514, augustus_masked-LAFA0B-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-7.97&CDS=1-3546, augustus_masked-LAFA0F-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-0.56&CDS=1-747, augustus_masked-LAFA0F-processed-gene-21.38-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-21.38&CDS=1-1938, augustus_masked-LAFA0G-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-0.14&CDS=1-3996, snap_masked-LAFA0C-processed-gene-9.186-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.186&CDS=1-576, snap_masked-LAFA0C-processed-gene-9.187-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.187&CDS=1-1710, snap_masked-LAFA0E-processed-gene-15.124-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.124&CDS=1-852, snap_masked-LAFA0F-processed-gene-21.118-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.118&CDS=1-246	
3	OG0000003	genemark-LAFA0D-processed-gene-16.147-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-16.147&CDS=1-1659, snap_masked-LAFA0E-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-0.76&CDS=1-1752, snap_masked-LAFA0F-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-1.44&CDS=1-1764	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
4	OG0000004	genemark-LAFA0F-processed-gene-21.214-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-21.214&CDS=1-4089, snap_masked-LAFA0C-processed-gene-9.183-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.183&CDS=1-5058	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
5	OG0000005	genemark-LAFA0F-processed-gene-21.209-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-21.209&CDS=1-1686, snap_masked-LAFA0G-processed-gene-17.55-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-17.55&CDS=1-1728, snap_masked-LAFA0G-processed-gene-17.56-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-17.56&CDS=1-1719	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
6	OG0000006	maker-LAFA0D-snap-gene-12.109-mRNA-1_1&gene=maker-LAFA0D-snap-gene-12.109&CDS=1-747, snap_masked-LAFA0B-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-0.52&CDS=1-756, snap_masked-LAFA0B-processed-gene-7.157-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.157&CDS=1-762, snap_masked-LAFA0C-processed-gene-9.185-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.185&CDS=1-756, snap_masked-LAFA0D-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.70&CDS=1-756, snap_masked-LAFA0G-processed-gene-19.22-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-19.22&CDS=1-759	YKL071W
7	OG0000007	genemark-LAFA0F-processed-gene-9.94-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-9.94&CDS=1-1182, snap_masked-LAFA0D-processed-gene-12.59-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-12.59&CDS=1-1053, snap_masked-LAFA0E-processed-gene-15.95-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.95&CDS=1-1053	YMR083W, YMR303C, YOL086C
8	OG0000008	maker-LAFA0E-snap-gene-3.85-mRNA-1_1&gene=maker-LAFA0E-snap-gene-3.85&CDS=1-2421, snap_masked-LAFA0E-processed-gene-3.55-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-3.55&CDS=1-3042, snap_masked-LAFA0E-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-3.63&CDS=1-3567	YGR212W, YJR061W, YKL201C
9	OG0000009	maker-LAFA0G-snap-gene-4.100-mRNA-1_1&gene=maker-LAFA0G-snap-gene-4.100&CDS=1-1836, snap_masked-LAFA0G-processed-gene-4.13-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-4.13&CDS=1-1026	YJL158C, YJL160C, YKL163W, YKL164C
