	OrthologID	Candida_versatilis	Saccharomyces_cerevisiae
0	OG0000000	-augustus-gene-0.45-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-augustus-gene-0.45&CDS=1-3714, -processed-gene-0.105-mRNA-1_1&gene=augustus_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.105&CDS=1-1407, -processed-gene-0.110-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.110&CDS=1-1098, -processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.67&CDS=1-1968, -processed-gene-0.75-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.75&CDS=1-2193, -processed-gene-0.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.75&CDS=1-1215, -processed-gene-1.103-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.103&CDS=1-1959, -processed-gene-1.116-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.116&CDS=1-1977, -processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.23&CDS=1-1740, -processed-gene-1.58-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.58&CDS=1-1971, -processed-gene-1.81-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.81&CDS=1-1929, -processed-gene-1.82-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-1.82&CDS=1-1914, -processed-gene-14.194-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-14.194&CDS=1-2016, -processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-2.18&CDS=1-1851, -processed-gene-2.51-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.51&CDS=1-1599, -processed-gene-2.60-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.60&CDS=1-1923, -processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-2.81&CDS=1-1860, -processed-gene-3.112-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.112&CDS=1-1551, -processed-gene-3.132-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.132&CDS=1-1644, -processed-gene-3.144-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.144&CDS=1-1587, -processed-gene-3.18-mRNA-1_1&gene=genemark-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.18&CDS=1-1875, -processed-gene-3.35-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.35&CDS=1-711, -processed-gene-3.36-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.36&CDS=1-1161	YDR303C, YHR056C, YPL248C
1	OG0000001	-processed-gene-14.170-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-14.170&CDS=1-1689, -processed-gene-8.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-8.91&CDS=1-1914, -snap-gene-8.101-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-8.101&CDS=1-3456	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
2	OG0000002	-processed-gene-0.108-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.108&CDS=1-1086, -processed-gene-0.109-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.109&CDS=1-843, -processed-gene-0.111-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.111&CDS=1-1122, -processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.49&CDS=1-1074, -processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.57&CDS=1-1758, -processed-gene-0.60-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.60&CDS=1-1059, -processed-gene-0.93-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.93&CDS=1-1143, -processed-gene-11.142-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-11.142&CDS=1-909, -processed-gene-15.97-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-15.97&CDS=1-1251, -processed-gene-2.64-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.64&CDS=1-1146, -processed-gene-2.89-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.89&CDS=1-861, -processed-gene-3.24-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.24&CDS=1-1470, -processed-gene-6.156-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.156&CDS=1-1113	YGR263C
3	OG0000003	-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.103&CDS=1-1782, -processed-gene-3.151-mRNA-1_1&gene=genemark-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.151&CDS=1-1443	YAL063C, YAL064C-A, YAL065C, YAR050W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
4	OG0000004	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316090|dbj|BCJV01000012.1|-processed-gene-0.1&CDS=1-2922, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316085|dbj|BCJV01000017.1|-processed-gene-0.2&CDS=1-1167, -processed-gene-1.100-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.100&CDS=1-693, -processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.49&CDS=1-1794, -processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.53&CDS=1-1761, -processed-gene-1.99-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.99&CDS=1-765, -processed-gene-2.65-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-2.65&CDS=1-2175, -processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-2.91&CDS=1-2667, -processed-gene-3.21-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.21&CDS=1-711	YDL037C, YIR019C
5	OG0000005	-augustus-gene-21.1-mRNA-1_1&gene=maker-gi|1002316100|dbj|BCJV01000002.1|-augustus-gene-21.1&CDS=1-4380, -processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-0.12&CDS=1-2772, -processed-gene-1.92-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.92&CDS=1-2499, -processed-gene-17.51-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-17.51&CDS=1-2589, -processed-gene-2.40-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-2.40&CDS=1-2574, -processed-gene-2.80-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.80&CDS=1-2661, -processed-gene-20.64-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-20.64&CDS=1-2529, -processed-gene-3.139-mRNA-1_1&gene=genemark-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.139&CDS=1-2745, -processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-4.4&CDS=1-2538, -processed-gene-8.64-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-8.64&CDS=1-2742	YPR194C
6	OG0000006	-processed-gene-0.108-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.108&CDS=1-1671, -processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.24&CDS=1-1722, -processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.39&CDS=1-1530, -processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.86&CDS=1-1545, -processed-gene-14.64-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-14.64&CDS=1-1743, -processed-gene-2.85-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-2.85&CDS=1-1521, -processed-gene-2.87-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.87&CDS=1-1818, -processed-gene-21.123-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.123&CDS=1-1671, -processed-gene-3.29-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.29&CDS=1-1683	YLL028W
7	OG0000007	-processed-gene-1.118-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.118&CDS=1-1548, -processed-gene-14.62-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-14.62&CDS=1-1605, -processed-gene-2.71-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-2.71&CDS=1-1560, -processed-gene-20.51-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-20.51&CDS=1-1500, -processed-gene-21.158-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.158&CDS=1-1572, -processed-gene-22.63-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.63&CDS=1-1608, -processed-gene-3.79-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.79&CDS=1-1440, -processed-gene-4.105-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.105&CDS=1-1485	YML116W, YMR279C
8	OG0000008	-processed-gene-0.116-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.116&CDS=1-996, -processed-gene-0.36-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.36&CDS=1-960, -processed-gene-1.107-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.107&CDS=1-906, -processed-gene-1.57-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.57&CDS=1-996, -processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-1.64&CDS=1-999, -processed-gene-1.70-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.70&CDS=1-966, -processed-gene-2.88-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.88&CDS=1-891, -processed-gene-3.98-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.98&CDS=1-930	YJR107W
9	OG0000009	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.39&CDS=1-1641, -processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.54&CDS=1-1641, -processed-gene-3.43-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.43&CDS=1-1569, -processed-gene-6.12-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.12&CDS=1-1623, -snap-gene-0.46-mRNA-1_1&gene=maker-gi|1002316098|dbj|BCJV01000004.1|-snap-gene-0.46&CDS=1-3204	YEL063C, YNL268W, YNL270C
