	OrthologID	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
0	OG0000000		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
1	OG0000001	maker-BBIL01000010.1-snap-gene-10.10-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.10&CDS=1-192, maker-BBIL01000010.1-snap-gene-10.7-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.7&CDS=1-192, maker-BBIL01000010.1-snap-gene-10.8-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.8&CDS=1-192, maker-BBIL01000010.1-snap-gene-10.9-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.9&CDS=1-192, maker-BBIL01000014.1-snap-gene-0.10-mRNA-1_1&gene=maker-BBIL01000014.1-snap-gene-0.10&CDS=1-192, maker-BBIL01000014.1-snap-gene-0.9-mRNA-1_1&gene=maker-BBIL01000014.1-snap-gene-0.9&CDS=1-192, maker-BBIL01000015.1-snap-gene-0.9-mRNA-1_1&gene=maker-BBIL01000015.1-snap-gene-0.9&CDS=1-192, snap_masked-BBIL01000016.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-BBIL01000016.1-processed-gene-0.5&CDS=1-192, snap_masked-BBIL01000017.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-BBIL01000017.1-processed-gene-0.7&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
2	OG0000002	genemark-BBIL01000001.1-processed-gene-0.48-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-0.48&CDS=1-1557, genemark-BBIL01000004.1-processed-gene-0.1-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-0.1&CDS=1-1557, genemark-BBIL01000029.1-processed-gene-8.100-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-8.100&CDS=1-1557, genemark-BBIL01000031.1-processed-gene-0.18-mRNA-1_1&gene=genemark-BBIL01000031.1-processed-gene-0.18&CDS=1-1320, genemark-BBIL01000032.1-processed-gene-0.2-mRNA-1_1&gene=genemark-BBIL01000032.1-processed-gene-0.2&CDS=1-1557, genemark-BBIL01000035.1-processed-gene-3.136-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-3.136&CDS=1-1557, maker-BBIL01000030.1-augustus-gene-0.6-mRNA-1_1&gene=maker-BBIL01000030.1-augustus-gene-0.6&CDS=1-1182, maker-BBIL01000033.1-snap-gene-0.11-mRNA-1_1&gene=maker-BBIL01000033.1-snap-gene-0.11&CDS=1-1536	YER056C, YER060W, YER060W-A
3	OG0000003		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
4	OG0000004	augustus_masked-BBIL01000001.1-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-13.27&CDS=1-2799, augustus_masked-BBIL01000005.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-0.100&CDS=1-1023, genemark-BBIL01000001.1-processed-gene-0.71-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-0.71&CDS=1-3297, genemark-BBIL01000008.1-processed-gene-13.96-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-13.96&CDS=1-1803, genemark-BBIL01000023.1-processed-gene-11.23-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-11.23&CDS=1-5652, genemark-BBIL01000029.1-processed-gene-0.56-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-0.56&CDS=1-1881, genemark-BBIL01000029.1-processed-gene-8.78-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-8.78&CDS=1-2694, maker-BBIL01000032.1-snap-gene-0.9-mRNA-1_1&gene=maker-BBIL01000032.1-snap-gene-0.9&CDS=1-2745, snap_masked-BBIL01000004.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-0.58&CDS=1-2565, snap_masked-BBIL01000031.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-BBIL01000031.1-processed-gene-0.8&CDS=1-1908	
5	OG0000005	augustus_masked-BBIL01000010.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-BBIL01000010.1-processed-gene-0.0&CDS=1-870, augustus_masked-BBIL01000021.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-BBIL01000021.1-processed-gene-0.17&CDS=1-534, genemark-BBIL01000004.1-processed-gene-15.292-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.292&CDS=1-1413, snap_masked-BBIL01000001.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-0.3&CDS=1-1422, snap_masked-BBIL01000022.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-BBIL01000022.1-processed-gene-0.4&CDS=1-1329	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
6	OG0000006		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W
7	OG0000007	genemark-BBIL01000001.1-processed-gene-3.83-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-3.83&CDS=1-4383, genemark-BBIL01000008.1-processed-gene-5.79-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-5.79&CDS=1-9120, maker-BBIL01000001.1-snap-gene-3.3-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-3.3&CDS=1-4701, maker-BBIL01000005.1-snap-gene-7.116-mRNA-1_1&gene=maker-BBIL01000005.1-snap-gene-7.116&CDS=1-9048	YDR011W, YDR406W, YOR153W, YOR328W, YPL058C
8	OG0000008	genemark-BBIL01000003.1-processed-gene-0.9-mRNA-1_1&gene=genemark-BBIL01000003.1-processed-gene-0.9&CDS=1-1662, genemark-BBIL01000004.1-processed-gene-15.249-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.249&CDS=1-1662, genemark-BBIL01000019.1-processed-gene-0.11-mRNA-1_1&gene=genemark-BBIL01000019.1-processed-gene-0.11&CDS=1-1662, genemark-BBIL01000020.1-processed-gene-0.2-mRNA-1_1&gene=genemark-BBIL01000020.1-processed-gene-0.2&CDS=1-1611, genemark-BBIL01000021.1-processed-gene-0.7-mRNA-1_1&gene=genemark-BBIL01000021.1-processed-gene-0.7&CDS=1-1662, genemark-BBIL01000022.1-processed-gene-0.5-mRNA-1_1&gene=genemark-BBIL01000022.1-processed-gene-0.5&CDS=1-1662, genemark-BBIL01000026.1-processed-gene-0.2-mRNA-1_1&gene=genemark-BBIL01000026.1-processed-gene-0.2&CDS=1-1572	YNR056C
9	OG0000009	genemark-BBIL01000005.1-processed-gene-0.67-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-0.67&CDS=1-1023, genemark-BBIL01000005.1-processed-gene-14.38-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-14.38&CDS=1-1032, genemark-BBIL01000008.1-processed-gene-13.97-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-13.97&CDS=1-1032, genemark-BBIL01000029.1-processed-gene-1.70-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-1.70&CDS=1-1035	YDR541C, YGL039W, YGL157W, YOL151W
10	OG0000010	genemark-BBIL01000007.1-processed-gene-0.4-mRNA-1_1&gene=genemark-BBIL01000007.1-processed-gene-0.4&CDS=1-408, genemark-BBIL01000028.1-processed-gene-0.1-mRNA-1_1&gene=genemark-BBIL01000028.1-processed-gene-0.1&CDS=1-408, maker-BBIL01000006.1-snap-gene-0.6-mRNA-1_1&gene=maker-BBIL01000006.1-snap-gene-0.6&CDS=1-459, maker-BBIL01000007.1-snap-gene-0.2-mRNA-1_1&gene=maker-BBIL01000007.1-snap-gene-0.2&CDS=1-486, snap_masked-BBIL01000027.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-BBIL01000027.1-processed-gene-0.14&CDS=1-408, snap_masked-BBIL01000027.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-BBIL01000027.1-processed-gene-0.15&CDS=1-408, snap_masked-BBIL01000028.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-BBIL01000028.1-processed-gene-0.2&CDS=1-408	Q0250
11	OG0000011	genemark-BBIL01000010.1-processed-gene-7.128-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-7.128&CDS=1-1698, maker-BBIL01000010.1-augustus-gene-7.47-mRNA-1_1&gene=maker-BBIL01000010.1-augustus-gene-7.47&CDS=1-5022, maker-BBIL01000010.1-snap-gene-7.43-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-7.43&CDS=1-1692, snap_masked-BBIL01000029.1-processed-gene-8.10-mRNA-1_1&gene=snap_masked-BBIL01000029.1-processed-gene-8.10&CDS=1-1587	YDR342C, YDR343C, YHR092C, YNL318C
12	OG0000012	genemark-BBIL01000001.1-processed-gene-16.42-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.42&CDS=1-1857, snap_masked-BBIL01000001.1-processed-gene-16.137-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-16.137&CDS=1-1842, snap_masked-BBIL01000001.1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-6.74&CDS=1-1797, snap_masked-BBIL01000003.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-BBIL01000003.1-processed-gene-0.5&CDS=1-1842, snap_masked-BBIL01000008.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-BBIL01000008.1-processed-gene-2.46&CDS=1-1857	YHL040C, YHL047C
13	OG0000013	augustus_masked-BBIL01000004.1-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-3.0&CDS=1-204, snap_masked-BBIL01000001.1-processed-gene-8.69-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.69&CDS=1-2568, snap_masked-BBIL01000004.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.63&CDS=1-750, snap_masked-BBIL01000004.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.65&CDS=1-204, snap_masked-BBIL01000004.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.66&CDS=1-1230, snap_masked-BBIL01000004.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.67&CDS=1-1629, snap_masked-BBIL01000029.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-BBIL01000029.1-processed-gene-1.6&CDS=1-1011	
