	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034761_Lipomyces_lipofer
0	OG0000000	YFL040W	augustus_masked-flattened_line_106-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.101&CDS=1-1581, augustus_masked-flattened_line_193-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_193-processed-gene-0.48&CDS=1-1617, augustus_masked-flattened_line_31-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.97&CDS=1-1563, augustus_masked-flattened_line_44-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.109&CDS=1-1671, augustus_masked-flattened_line_469-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_469-processed-gene-0.12&CDS=1-1566, augustus_masked-flattened_line_551-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_551-processed-gene-0.9&CDS=1-1560, augustus_masked-flattened_line_583-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_583-processed-gene-0.2&CDS=1-1572, augustus_masked-flattened_line_6-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.37&CDS=1-1566, augustus_masked-flattened_line_794-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_794-processed-gene-0.1&CDS=1-786, genemark-flattened_line_106-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.121&CDS=1-1566, genemark-flattened_line_409-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_409-processed-gene-0.10&CDS=1-912, maker-flattened_line_178-augustus-gene-0.61-mRNA-1_1&gene=maker-flattened_line_178-augustus-gene-0.61&CDS=1-1617, maker-flattened_line_228-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_228-snap-gene-0.0&CDS=1-3114, maker-flattened_line_29-augustus-gene-1.42-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.42&CDS=1-1575, maker-flattened_line_380-augustus-gene-0.12-mRNA-1_1&gene=maker-flattened_line_380-augustus-gene-0.12&CDS=1-1554, maker-flattened_line_451-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_451-snap-gene-0.0&CDS=1-3105, maker-flattened_line_706-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_706-augustus-gene-0.4&CDS=1-1479, maker-flattened_line_732-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_732-augustus-gene-0.2&CDS=1-1569, maker-flattened_line_98-augustus-gene-0.101-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.101&CDS=1-1575, snap_masked-flattened_line_191-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_191-processed-gene-0.76&CDS=1-1665, snap_masked-flattened_line_380-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_380-processed-gene-0.7&CDS=1-1440
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	maker-flattened_line_312-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_312-augustus-gene-0.1&CDS=1-1794
2	OG0000002	YBL042C, YBR021W, YIR028W	augustus_masked-flattened_line_140-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.2&CDS=1-1665, augustus_masked-flattened_line_205-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.91&CDS=1-840, augustus_masked-flattened_line_210-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_210-processed-gene-0.16&CDS=1-1677, augustus_masked-flattened_line_240-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.60&CDS=1-1668, augustus_masked-flattened_line_240-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.62&CDS=1-1686, augustus_masked-flattened_line_254-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_254-processed-gene-0.53&CDS=1-1683, augustus_masked-flattened_line_270-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_270-processed-gene-0.59&CDS=1-1146, augustus_masked-flattened_line_6-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.35&CDS=1-1644, maker-flattened_line_178-augustus-gene-0.60-mRNA-1_1&gene=maker-flattened_line_178-augustus-gene-0.60&CDS=1-1731, maker-flattened_line_445-augustus-gene-0.10-mRNA-1_1&gene=maker-flattened_line_445-augustus-gene-0.10&CDS=1-1674
3	OG0000003	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_106-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.84&CDS=1-1659, augustus_masked-flattened_line_278-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_278-processed-gene-0.16&CDS=1-1740, augustus_masked-flattened_line_294-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_294-processed-gene-0.23&CDS=1-1659, augustus_masked-flattened_line_399-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_399-processed-gene-0.1&CDS=1-1659, augustus_masked-flattened_line_411-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_411-processed-gene-0.3&CDS=1-1659, genemark-flattened_line_523-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_523-processed-gene-0.10&CDS=1-954, genemark-flattened_line_606-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_606-processed-gene-0.3&CDS=1-1278
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_6-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.42&CDS=1-1743, maker-flattened_line_435-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_435-augustus-gene-0.8&CDS=1-1743
5	OG0000005	YIL166C, YOL163W	augustus_masked-flattened_line_190-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.24&CDS=1-1065, augustus_masked-flattened_line_190-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.33&CDS=1-1065, augustus_masked-flattened_line_292-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_292-processed-gene-0.23&CDS=1-1578, genemark-flattened_line_368-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_368-processed-gene-0.9&CDS=1-1593, maker-flattened_line_256-augustus-gene-0.20-mRNA-1_1&gene=maker-flattened_line_256-augustus-gene-0.20&CDS=1-1755, maker-flattened_line_70-augustus-gene-0.61-mRNA-1_1&gene=maker-flattened_line_70-augustus-gene-0.61&CDS=1-1779
6	OG0000006	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_114-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.46&CDS=1-1395, maker-flattened_line_302-augustus-gene-0.14-mRNA-1_1&gene=maker-flattened_line_302-augustus-gene-0.14&CDS=1-1632, maker-flattened_line_756-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_756-augustus-gene-0.5&CDS=1-1614
7	OG0000007	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	genemark-flattened_line_66-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.107&CDS=1-2046
8	OG0000008	YDR006C	augustus_masked-flattened_line_172-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_172-processed-gene-0.102&CDS=1-2070, augustus_masked-flattened_line_228-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.19&CDS=1-1377, augustus_masked-flattened_line_228-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.24&CDS=1-2067, augustus_masked-flattened_line_411-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_411-processed-gene-0.1&CDS=1-2079, maker-flattened_line_136-augustus-gene-0.50-mRNA-1_1&gene=maker-flattened_line_136-augustus-gene-0.50&CDS=1-1029, maker-flattened_line_276-augustus-gene-0.35-mRNA-1_1&gene=maker-flattened_line_276-augustus-gene-0.35&CDS=1-1542
9	OG0000009	YDR402C	augustus_masked-flattened_line_114-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.47&CDS=1-1629, augustus_masked-flattened_line_443-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_443-processed-gene-0.12&CDS=1-1659, augustus_masked-flattened_line_6-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.35&CDS=1-1602, augustus_masked-flattened_line_6-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.18&CDS=1-1581, augustus_masked-flattened_line_626-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_626-processed-gene-0.0&CDS=1-744, augustus_masked-flattened_line_98-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.31&CDS=1-1632
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_94-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.70&CDS=1-1527
11	OG0000011	YBL060W, YEL022W, YJR031C	maker-flattened_line_13-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-1.3&CDS=1-4995, snap_masked-flattened_line_62-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.117&CDS=1-585, snap_masked-flattened_line_92-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.37&CDS=1-2409
12	OG0000012	YML131W	augustus_masked-flattened_line_318-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_318-processed-gene-0.26&CDS=1-1035, augustus_masked-flattened_line_481-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_481-processed-gene-0.4&CDS=1-972, augustus_masked-flattened_line_567-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_567-processed-gene-0.4&CDS=1-999, maker-flattened_line_116-augustus-gene-0.17-mRNA-1_1&gene=maker-flattened_line_116-augustus-gene-0.17&CDS=1-1014, maker-flattened_line_216-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_216-augustus-gene-0.44&CDS=1-1053
